episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
16,0.929303356076437,-2.8789510005214565,-1.1799206632739936,-0.5822005115458184,-0.8502209188562865,-0.5239857176285272,0.141582,0.2,0.174335
17,0.928867253705096,-3.0144371781014554,-1.237417180738196,-0.6078305913532152,-0.892951219856273,-0.5473244758059062,0.139044,0.2,0.172845
18,0.9235563726107432,-3.1546602333434657,-1.2942179984306212,-0.6357783898678535,-0.9342221041698441,-0.5739852939327512,0.136595,0.2,0.171367
19,0.9243431064218322,-3.292398311347865,-1.3517124805152116,-0.6634126918151181,-0.9760873443290906,-0.5980248161485825,0.134231,0.2,0.169903
20,0.9273984878892296,-3.4165028463154505,-1.401837393864568,-0.6881173168601229,-1.012384923582916,-0.6198272447773511,0.131947,0.2,0.168451
21,0.9223973496636884,-3.5538787793120536,-1.4593114602339585,-0.7136868127193988,-1.055020154611118,-0.6435948261692581,0.12974,0.2,0.167011
22,0.9270340023553585,-3.6793808476327863,-1.5112904949374788,-0.7382729062875062,-1.0915169934126838,-0.6655917122445307,0.127605,0.2,0.165583
23,0.9312875250166778,-3.7940475321403113,-1.5584403946043623,-0.75957827919946,-1.1270642628177203,-0.6858876582680106,0.12554,0.2,0.164168
24,0.9298914489100558,-3.9084158054794678,-1.605517762019649,-0.7819411889718232,-1.1630841552070805,-0.7072657875233018,0.12354,0.2,0.162765
25,0.9287273465658156,-4.022632513026096,-1.6531946679826925,-0.803923186125387,-1.196407583428547,-0.7260435553933312,0.121603,0.2,0.161374
26,0.9246809207625143,-4.142455049052093,-1.7021853399282565,-0.8282438862419418,-1.2326000829690251,-0.7471307843542525,0.119726,0.2,0.159995
27,0.9315608701183056,-4.244950394135568,-1.7427512075796745,-0.8491726718587598,-1.262648300070748,-0.7662019034520989,0.117905,0.2,0.158627
28,0.9277588598814479,-4.3550052114978985,-1.7868736563147853,-0.871312872638823,-1.2962623986569966,-0.7858073505184059,0.11614,0.2,0.157271
29,0.9292324305320124,-4.4618134911007195,-1.8299221636581682,-0.8930576396069825,-1.3270541902533823,-0.8054690968779209,0.114426,0.2,0.155927
30,0.9258236538437179,-4.57293438562016,-1.8767699884138824,-0.9140078616070533,-1.3599022182274785,-0.8245692798894831,0.112763,0.2,0.154594
31,0.9268754496913697,-4.678396437961913,-1.9193580736206637,-0.9351080583193193,-1.390975103826899,-0.8446292146935691,0.111146,0.2,0.153273
32,0.9326647927270886,-4.7739669202798956,-1.9568691403873735,-0.9546332081201128,-1.4170915465686125,-0.8617713278799248,0.109576,0.2,0.151963
33,0.9267465521139499,-4.876470942144926,-1.9988775857464804,-0.975842089649247,-1.4486274686800185,-0.881798595114961,0.10805,0.2,0.150664
34,0.9259043911317845,-4.981918792493996,-2.0414711245415385,-0.9978287114556366,-1.478155044011319,-0.9012605297006804,0.106565,0.2,0.149376
35,0.9256841262694482,-5.086550154349257,-2.085266717602285,-1.0172659628216463,-1.5083626224383233,-0.9188941603076108,0.10512,0.2,0.1481
36,0.9251988854848268,-5.189433622522061,-2.129196612830827,-1.0357307682078685,-1.5418457320799563,-0.9375971392009075,0.103715,0.2,0.146834
37,0.9255751355294769,-5.287952638553832,-2.171067049550854,-1.0534209069612885,-1.5722539982329478,-0.9537619842217363,0.102346,0.2,0.145579
38,0.9243128386102689,-5.389622373370992,-2.2124133066948737,-1.0739084393772507,-1.6027658968017156,-0.9725158274286506,0.101013,0.2,0.144335
39,0.9255887442630352,-5.486539548724221,-2.2539118743189936,-1.0912168549046064,-1.633451900624865,-0.9886109485131717,0.099714,0.2,0.143101
40,0.9228878185831828,-5.585312468279343,-2.294683292086832,-1.1103377486067236,-1.6623993746528873,-1.0067498508371897,0.098449,0.2,0.141878
41,0.9302903827368795,-5.67313404425944,-2.3292985837090074,-1.1283601686277214,-1.6873027572510078,-1.022331927246069,0.097214,0.2,0.140665
42,0.924264132921097,-5.770332328835629,-2.369889846444318,-1.1479566546499858,-1.7158490517888267,-1.0412490806708616,0.096011,0.2,0.139463
43,0.9286208327569512,-5.860276286799065,-2.4072120143514515,-1.1654543965039053,-1.742699470986578,-1.058753865064009,0.094837,0.2,0.138271
44,0.9274931668296598,-5.951368479134174,-2.444888087496738,-1.1830076144439006,-1.769534626427993,-1.0754701445423576,0.093691,0.2,0.137089
45,0.9254407614129678,-6.042648348772254,-2.483878258571693,-1.1994737283258514,-1.7989497136658554,-1.0907843570572835,0.092573,0.2,0.135918
46,0.9301954577429404,-6.123884916167129,-2.5161697262385454,-1.2153349428154434,-1.82169194022505,-1.1052156609130577,0.091481,0.2,0.134756
47,0.9273185200337518,-6.206480407266686,-2.549255095661596,-1.2324663297889082,-1.8465824365678145,-1.1206262740221664,0.090415,0.2,0.133604
48,0.9285506752062253,-6.2891240925629965,-2.5836306027563167,-1.2477161114113795,-1.8720430378799198,-1.1347162024408854,0.089373,0.2,0.132462
49,0.9250043783932548,-6.376702736392515,-2.6199836248719897,-1.264205645927668,-1.8978958447181233,-1.150525684521328,0.088354,0.2,0.13133
50,0.927565215203884,-6.459354084012296,-2.6536230823436204,-1.2808682172683783,-1.922147602975823,-1.166414058690043,0.087359,0.2,0.130208
51,0.9280812862772748,-6.540541684518872,-2.687626939455753,-1.295726720981304,-1.947354338906475,-1.1814884078978127,0.086386,0.2,0.129095
52,0.9302290479604544,-6.617655275277502,-2.7194413862166122,-1.3106492169596498,-1.9699605746963313,-1.1956780911971012,0.085435,0.2,0.127991
53,0.9270909319582442,-6.694110828104085,-2.750332737224965,-1.3255274488825468,-1.992619921166721,-1.209832613097674,0.084504,0.2,0.126897
54,0.928007976675796,-6.771213179701124,-2.782703841012925,-1.3394884542955467,-2.0165563361759307,-1.2228820221966212,0.083593,0.2,0.125813
55,0.9222412663205122,-6.854442480982096,-2.8165049759311316,-1.355792266476348,-2.0419248977595634,-1.238427981501033,0.082701,0.2,0.124737
56,0.9290855234133737,-6.9267852583416225,-2.845725998235277,-1.3699292454713634,-2.063869851852907,-1.2514555212085794,0.081829,0.2,0.123671
57,0.9300503992586104,-6.997703795364864,-2.873789018836956,-1.3840418584671508,-2.083892309570481,-1.2639060659015313,0.080974,0.2,0.122614
58,0.9285008612828047,-7.070075932318855,-2.9032580845310143,-1.3982090081221978,-2.104550617349977,-1.2766808768397566,0.080138,0.2,0.121566
59,0.9267606341549207,-7.144668060946133,-2.9341582040325735,-1.4125322631804766,-2.1277164434061087,-1.2897673807076782,0.079318,0.2,0.120527
60,0.9236755613202201,-7.222085506195385,-2.966070643048437,-1.4274918719176533,-2.150631750253994,-1.304132446900708,0.078515,0.2,0.119497
61,0.9292288604453898,-7.291917737837143,-2.9948528932537064,-1.440709983297538,-2.1727224137077332,-1.3174918880105415,0.077728,0.2,0.118476
62,0.9255007820778042,-7.364407746665434,-3.024974035780354,-1.4537183336794004,-2.1947556291059076,-1.3302291842750293,0.076957,0.2,0.117463
63,0.9281356359510904,-7.4362306609853155,-3.05498395603867,-1.4672681609682732,-2.215870057475531,-1.342778012488435,0.076201,0.2,0.116459
64,0.9247321271737221,-7.50937957202144,-3.084995732776862,-1.4814565204267736,-2.236524511156313,-1.3563349798004587,0.075459,0.2,0.115464
65,0.9289231946925236,-7.575126767261041,-3.112820383591498,-1.493042507987451,-2.2572827762412437,-1.3680611557870128,0.074732,0.2,0.114477
66,0.9308959625750025,-7.637964347543325,-3.138160662240456,-1.5053375524243937,-2.2748564824593243,-1.3792006978125357,0.074019,0.2,0.113498
67,0.9250628284212932,-7.707049038655329,-3.1662858121999475,-1.5185086898976627,-2.294694364304566,-1.391941168678558,0.073319,0.2,0.112528
68,0.9299194734611453,-7.769426782577616,-3.191564202753526,-1.5308272126803633,-2.313209003384643,-1.4042138002059132,0.072633,0.2,0.111567
69,0.930879826157267,-7.8306689405078505,-3.216342633331257,-1.5426243592485116,-2.3318942597037786,-1.4158591880427154,0.071959,0.2,0.110613
70,0.9269527452688457,-7.896618406862945,-3.2439038458643097,-1.554835388112916,-2.3523734870966537,-1.4278792622025647,0.071297,0.2,0.109668
71,0.9267324472402597,-7.961347641154391,-3.270205484598911,-1.5684449392647655,-2.3717555494274114,-1.4403637930075863,0.070648,0.2,0.10873
72,0.9232812559011998,-8.028205907909262,-3.2977004406070662,-1.5812270233798202,-2.392109824196292,-1.452672357862927,0.07001,0.2,0.107801
73,0.9263306132200022,-8.094354369471954,-3.325616148863076,-1.5933866984188965,-2.412218935817359,-1.463802075517768,0.069384,0.2,0.10688
74,0.9279808419460549,-8.156482080020433,-3.351488883420631,-1.6048348860069315,-2.4299813080523203,-1.4742064894929736,0.068768,0.2,0.105966
75,0.9236923388526002,-8.221833771424748,-3.3784783361296506,-1.6174535014647153,-2.450479583208727,-1.486407040138133,0.068164,0.2,0.10506
76,0.9224189826427209,-8.290252672297791,-3.4078145158939743,-1.6294275120999349,-2.4716842802154075,-1.4969354857117012,0.06757,0.2,0.104162
77,0.9301116648791874,-8.348362698492068,-3.4318590191201843,-1.6405730578351332,-2.4892786929300046,-1.5076601631642703,0.066987,0.2,0.103272
78,0.926948909516263,-8.409650337797705,-3.457530465304628,-1.651920103264389,-2.5081346523890145,-1.518550018319251,0.066413,0.2,0.102389
79,0.926517612264759,-8.4718489649117,-3.4832745584595544,-1.663641209462065,-2.526977392158206,-1.5297064503493054,0.065849,0.2,0.101514
80,0.9343259871904785,-8.525251549952385,-3.5048196321028917,-1.6744455646306167,-2.542897713167274,-1.5398905588327152,0.065295,0.2,0.100647
81,0.929204762383201,-8.582342772334977,-3.5284879731644696,-1.6853614199645603,-2.559537071062397,-1.5502344290992793,0.06475,0.2,0.099786
82,0.9308448234537221,-8.637673777985464,-3.5510173130258496,-1.696090469588795,-2.5766877424617705,-1.5603935501193487,0.064213,0.2,0.098934
83,0.9262172894562126,-8.696682296033481,-3.5754498388354983,-1.7070447324069933,-2.5941447428871736,-1.5708160160094313,0.063686,0.2,0.098088
84,0.926615058404326,-8.755411979812799,-3.5994807915234817,-1.7187977584694396,-2.6120810510960863,-1.5821454271740247,0.063167,0.2,0.09725
85,0.9273845152080542,-8.813064787113277,-3.6231596647845383,-1.7297834823847786,-2.6295811215836387,-1.5927085432362724,0.062657,0.2,0.096418
86,0.9239547540819142,-8.873089751435908,-3.647854158751281,-1.7417464196004158,-2.647756149633074,-1.6040494709343553,0.062155,0.2,0.095594
87,0.9235221426409765,-8.932504637645751,-3.67289013686171,-1.7520240019302815,-2.6658459519848097,-1.6136527371876734,0.061661,0.2,0.094777
88,0.9300574070310912,-8.985263219751186,-3.694956594111301,-1.7615233226470297,-2.682631566379851,-1.6228927680801541,0.061174,0.2,0.093967
89,0.9275671985232761,-9.041286082545502,-3.7181013624036843,-1.772236878955663,-2.6992419421862026,-1.63318337457889,0.060696,0.2,0.093164
90,0.927895471267284,-9.095733497147164,-3.740739508036893,-1.781967774648107,-2.7164098377580057,-1.6425633864435774,0.060224,0.2,0.092368
91,0.9282954329511623,-9.149384118583388,-3.7630695889166783,-1.792311448647436,-2.732917762449548,-1.6522352203879014,0.05976,0.2,0.091578
92,0.9283563203846641,-9.203431642602204,-3.785722094746768,-1.802455223144126,-2.7493618925876366,-1.6616412292633147,0.059303,0.2,0.090796
93,0.9229996105380855,-9.261297866606693,-3.809739623173363,-1.8134585760744353,-2.7665515624002666,-1.6718983570206571,0.058853,0.2,0.09002
94,0.9242140224187603,-9.317934052397247,-3.83369510960536,-1.824058234957321,-2.7845817025137762,-1.6819159108389772,0.05841,0.2,0.08925
95,0.9263326412687295,-9.371411147528184,-3.855052300370894,-1.834645163305966,-2.7996759959421893,-1.6916771708156517,0.057973,0.2,0.088487
96,0.9291615219134663,-9.421102654383871,-3.8757720427451745,-1.8438444307176163,-2.8150519374856193,-1.7007006438457002,0.057543,0.2,0.087731
97,0.9268881640496599,-9.472345964785228,-3.8970543946661835,-1.8535272487916972,-2.830641321331008,-1.7101379278571573,0.057119,0.2,0.086981
98,0.9284863828347266,-9.524855585393231,-3.918912724230585,-1.8636015251681541,-2.8471615446033387,-1.720393176252258,0.056702,0.2,0.086238
99,0.9258634477932723,-9.576767748417037,-3.940081687375978,-1.8734227180906906,-2.8623756028374525,-1.7294999454869955,0.05629,0.2,0.085501
