seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.9436,400.7323,2375,1027,60282,57907,57906,242,42,210,242,242,238,7280,7519,0.0157,0.0328,0.9514,0.0039,0.0209,0.9752,3,16,204,224,210,238
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.9537,398.1941,1945,836,60062,58117,58117,221,42,206,221,221,210,7462,7688,0.0079,0.0329,0.9593,0.0078,0.0209,0.9713,6,16,206,208,206,210
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.9427,398.3353,2467,940,59410,56943,56945,236,42,223,236,236,214,7378,7612,0.0157,0.0288,0.9556,0.0065,0.0209,0.9725,5,16,218,225,223,214
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.9496,397.6122,2109,892,59520,57411,57412,244,42,241,244,244,229,7448,7686,0.0105,0.0276,0.9619,0.0065,0.0261,0.9674,5,20,239,236,241,229
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.9501,398.2818,2046,896,58938,56892,56892,234,42,207,234,234,232,7513,7765,0.0105,0.0316,0.9578,0.0091,0.0169,0.9739,7,13,207,219,207,232
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.946,398.616,2180,1026,59402,57222,57223,231,42,203,231,231,228,7356,7591,0.0132,0.0448,0.942,0.0052,0.0183,0.9765,4,14,199,214,203,228
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.9433,398.7877,2371,1008,59646,57275,57276,213,42,228,213,213,194,7280,7483,0.0106,0.0317,0.9578,0.0053,0.0383,0.9565,4,29,225,213,228,194
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.9486,397.181,2134,907,59136,57002,57004,215,42,209,215,215,212,7349,7561,0.0131,0.0327,0.9542,0.0039,0.0222,0.9739,3,17,202,205,209,212
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.951,397.8102,2200,712,59402,57202,57200,225,42,221,225,225,229,7394,7631,0.0143,0.0261,0.9596,0.0026,0.0143,0.9831,2,11,215,220,221,229
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,30.0,3,5,6,0.9482,399.655,2198,902,59852,57654,57655,238,42,209,238,238,235,7317,7544,0.0119,0.0264,0.9618,0.0065,0.0221,0.9714,5,17,206,234,209,235
