episode,service_level,squared_starvation_penalty,squared_congestion_penalty,time_of_day_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk
0,0.9199675422251608,-61.20019712491792,-47.21515682692678,-11.837994137099434,0.0,-77.38849794067399
1,0.9117655952344955,-77.8043150321485,-61.58839350179088,0.0,0.0,-97.6933782733695
2,0.9192248483202028,-81.94320316575889,-68.53113108627765,-0.18082171128874783,-0.22840637215420778,-106.31361253898027
3,0.916740101491993,-95.67464517359774,-80.1138271873633,-19.153581388291844,-0.8528586396268989,-123.43427555359506
4,0.9165426070386471,-96.00087236765557,-89.20458017809311,-14.231542828458712,0.0,-121.26952125004864
5,0.9129062321498361,-97.85794076332219,-93.64478257147529,-4.899431251471641,-3.000070087593432,-120.23825222867868
6,0.9088377941440632,-103.22323511096867,-104.52309406568972,-0.7984187375127949,-1.0085289315951094,-125.7285848090536
7,0.8993424985056784,-111.76515673903917,-111.90503232246427,0.0,0.0,-132.2003827021583
8,0.9109187629609593,-108.18725546344291,-113.69846837177884,-16.109899233538595,-1.6313059589384795,-126.7810615878591
9,0.9143646408839778,-100.30160473833068,-115.99292270217522,-2.0210222610418684,0.0,-121.09380155794764
10,0.9200109532357684,-89.11784475887893,-112.13423909578684,0.0,0.0,-108.38203674946686
11,0.9173404936990815,-94.5500728886781,-122.3136707822626,-11.01682002742907,-0.8732707254624358,-114.18135764994268
12,0.9168275657210753,-87.88831819277335,-120.05211400694357,-0.3294239770417412,-0.4161144973158836,-108.34190729431565
13,0.9163988104178558,-96.21135028652786,-130.36809219868235,-6.759783940437375,0.0,-113.09931780507749
14,0.9138249825710042,-91.03459624227733,-129.113548130488,-6.043789868766585,-1.19362545242538,-106.43982205668402
15,0.9238124054462935,-93.26478796055159,-136.26832390684282,-5.662158255720289,0.0,-107.45336948441984
16,0.917370435627924,-99.36929414478685,-140.42350584960488,-6.041362729694214,0.0,-110.70546715116576
17,0.9238921001926782,-87.54420255663639,-136.59703323144407,-9.127262890072048,-0.13557953184627536,-95.79881106708471
18,0.9130304213339739,-87.7007927391087,-140.93173911088206,-3.7365289659778487,0.0,-97.97678334521554
19,0.9242081447963801,-86.3080749087647,-138.18348529514688,-8.135917211401638,0.0,-93.43546753059405
20,0.9120708546384222,-99.75567123383998,-145.00513398751582,-1.280680692631281,0.0,-107.30808693517629
21,0.9066302160002403,-110.75465274695088,-151.9912846423926,-13.98318952432968,-1.0537613546886948,-118.73404981557093
22,0.9130749509877847,-107.7691503597007,-155.29620107508302,-0.28079371118670315,-0.3546867930779409,-115.79095618927327
23,0.9236045483644788,-96.00733814861883,-148.76399627920637,0.0,0.0,-98.30744189700889
24,0.9143317818137568,-98.08544834628078,-155.61682701101418,-2.227277274309275,0.0,-100.41001304550525
25,0.9218486622329829,-86.63493021582067,-151.44542230138467,0.0,0.0,-87.49353104287279
26,0.9197268050381409,-98.44301988697487,-163.65975451334944,-6.4109158215549265,0.0,-100.81376396217257
27,0.9185637103138469,-88.61344331585121,-159.41481715734676,0.0,0.0,-90.64347372279256
28,0.9193475305845038,-94.15633481211772,-163.5037244679313,0.0,0.0,-93.81660607163492
29,0.9257703501455189,-86.57119523610586,-158.05345060924444,-0.09516062277438755,-0.12020289192554218,-83.63297272871239
30,0.9179833338311281,-93.85990683521388,-160.6293839759366,-14.857593753297063,-1.9864070079247655,-88.42542966344925
31,0.9165170829657123,-101.32033396962467,-165.91121556702063,-12.208223044811088,0.0,-96.64474074888
32,0.9181719978395246,-99.45199883237619,-165.9477262593586,-15.095652880932315,0.0,-94.5812117423402
33,0.9147948710320412,-108.54032954437736,-172.97921500406238,-0.7218433291197892,0.0,-101.79533737190852
34,0.9217378186755166,-109.05906222716881,-174.279812422527,-7.921124254208324,0.0,-99.84248839174147
35,0.9240111454358229,-106.07771329973663,-170.8456328774074,-1.3539468263810028,0.0,-95.83447667955559
36,0.9275012967991945,-99.53427287065179,-166.68970920856069,0.0,0.0,-86.15449445490573
37,0.920904295403165,-102.2820048226677,-167.8285168716361,-11.587967323893361,0.0,-87.55301657428225
38,0.9218599324975892,-105.3615211595656,-171.4800685795557,-1.9966277438587505,-0.09388661580519102,-91.2707680230016
39,0.9204301724919192,-106.70716912423794,-172.6237713309425,-8.210743608647126,0.0,-90.85396880030052
40,0.9217423066386632,-106.00734773327758,-170.50684175661007,0.0,0.0,-86.18948568614532
41,0.9115788843309279,-125.24784315223117,-185.31212996224838,-19.350901373305362,0.0,-109.1236242801455
42,0.9246010399856553,-117.30202345223206,-180.5394653700553,0.0,0.0,-99.24656712405842
43,0.9301826966631436,-108.0306500290829,-175.75698954492913,0.0,0.0,-86.70813809003538
44,0.9218204079194912,-120.11078806999508,-183.77983301376386,-13.304084814303646,-1.8270333851338667,-99.57781967525193
45,0.9240930010160779,-122.35788073904297,-185.25166219928235,-24.11635913833181,-0.07882367499337901,-102.63079799316502
46,0.9241616198137937,-121.6542639412899,-185.62374079166983,-8.97183568844248,0.0,-99.11325070052646
47,0.9193582183374742,-121.24511554773963,-186.93406246768407,-10.623202975460474,0.0,-99.33321955517711
48,0.9269800854778576,-119.50495430623069,-184.25852614197188,-1.1478416587315092,-1.4826663068822836,-93.20099834033493
49,0.9230441918424412,-118.88149098718142,-185.22360995157564,-12.724343191500111,0.0,-93.37738981323899
50,0.9244798743847571,-123.02813254505338,-187.53956905848096,-3.5048365767689944,0.0,-96.13172052825047
51,0.9205573651827723,-126.84128427840952,-192.06299989457077,-1.2533830971940116,0.0,-101.90469272859781
52,0.9096009024665386,-142.38977459136555,-201.81083498369014,-12.337415262250033,0.0,-117.80546344946106
53,0.9220005336337493,-142.8700821397999,-201.93994129027067,-20.283859560681663,0.0,-117.1690995246507
54,0.9171120599564062,-147.04843711007595,-205.42143322070203,-26.63063723792889,-0.06463796607535963,-120.8590826355546
55,0.9223107569721115,-146.46715081789768,-205.48194139635848,-10.311032782137506,0.0,-116.3390461850172
56,0.9278273809523809,-139.38872855562533,-197.90421802693416,-5.053882999488603,0.0,-105.07215028710226
57,0.9194392132245239,-149.26110987900807,-207.4602536260708,-18.37750223837375,0.0,-116.62565596801426
58,0.9226928221132412,-149.3740898207468,-206.12971294607686,-10.348363132222083,0.0,-116.158287571295
59,0.9175017407889559,-152.6236593807793,-211.4860972177494,-13.750663428264797,0.0,-121.35826681185127
60,0.9262647682520448,-147.3734546180777,-210.08290410902515,-20.963870313328655,-2.5763048559604815,-115.03046755391566
61,0.9241358581304479,-151.29341349636312,-211.26266104635224,-20.985270609774247,0.0,-117.17353549419016
62,0.9255785993387436,-149.15481821404788,-208.1863886760474,-13.342929974235584,0.0,-113.58791099241627
63,0.9263417717708679,-150.7612354256931,-207.5722032859931,-11.616215189200839,0.0,-114.2559335443406
64,0.9235911838329568,-154.52683614320281,-210.38201020563199,-8.308480006839211,-1.9841808534978658,-117.58027707560994
65,0.9282091534838788,-158.70775550200466,-212.0690132875099,-19.371158973916128,-0.59850621489779,-122.88025064979863
66,0.929885477582846,-158.90670792482192,-212.19693736160096,-13.453656277587461,0.0,-121.07611176846831
67,0.9309591037435103,-158.99505857474128,-213.45287606327213,-18.062030745982398,0.0,-121.02221908999384
68,0.9211131972624311,-165.47198581069813,-217.53415166260578,-35.37970945541164,-6.8264806313079855,-128.60101500004532
69,0.9261103184481345,-167.212070082075,-218.85607411114003,-39.45189860797132,0.0,-129.62420322942774
70,0.9211604506838585,-175.47040014659606,-224.99089432116395,-41.90621786226657,-1.3672197016058103,-138.22470256441952
71,0.9199061562676328,-183.78521398393832,-231.19207028919487,-41.851171091352484,-3.6302793407884284,-148.3048024501682
72,0.9346782230543895,-182.18630049102828,-229.8312536725156,-41.478752133434604,0.0,-144.87821953942387
73,0.9291861694096331,-182.69405768759188,-230.64934541842118,-31.662128841234086,0.0,-143.61835138758184
74,0.9292778836987607,-181.93551139601288,-231.80627031625957,-30.82474326790844,-0.3070312405601558,-140.87552032907303
75,0.9184727446414711,-186.90517790991456,-232.36176712290123,-25.822554910881298,0.0,-144.1771196255447
76,0.9194379531427886,-194.3570569514034,-235.94568450292817,-40.1942079923893,0.0,-152.47298025477275
77,0.9217301437733669,-201.04080475096495,-242.7526634859409,-55.14106652209497,-11.769037280091698,-160.93835987202226
78,0.9240019533634477,-200.74173108505107,-240.92119187190104,-53.4986078513635,-1.324159283172518,-159.22949680993952
79,0.935462428618908,-192.514830686886,-235.78026714334283,-41.119379122599355,-0.2726058112055069,-149.7616154619801
80,0.9284012425732123,-198.44313116052308,-236.95647031448033,-43.83899013279198,-2.7284177328423316,-156.16510774108355
81,0.9223365216868195,-202.98282686837578,-240.93845450660814,-48.80237991205788,-9.865137929273036,-161.90854723426705
82,0.9319084888621313,-205.35673810062698,-243.31301094474284,-41.329961751559786,0.0,-163.06778636016594
83,0.9335967906113406,-207.49632929181436,-245.99060008166916,-40.16074764577232,0.0,-165.81209479067186
84,0.927494615936827,-208.35633853634155,-246.72066685417445,-43.65086314468584,-11.0849614120881,-167.61041381484893
85,0.93254373835147,-210.95004245664757,-248.83191164432958,-36.22548342271835,-0.21605798410259344,-168.41307253302796
86,0.9270593167050932,-215.7457124104979,-251.82323114306453,-46.40295617062612,-10.773614547827695,-174.72983256665563
87,0.928704706873721,-216.73585989938562,-254.2249320237867,-50.12962619218376,0.0,-175.35962261738607
88,0.9271586782316397,-222.11984370274251,-257.3788065150056,-53.42881845936775,0.0,-181.11873753326978
89,0.9301970870592458,-228.21717609495315,-261.9852537273275,-68.53247593747906,-6.908150813934816,-188.4435782255045
90,0.9302976495019111,-231.04015469931375,-265.1996507960369,-71.53512529656173,-0.23538100743367613,-191.75853850609678
91,0.9281889290012033,-235.05543763084222,-268.2590376461813,-83.14433897275228,-5.660400837780637,-197.35369974544983
92,0.9286539396887159,-233.29306053546938,-267.9870826791178,-75.38569712245521,-3.749726648086182,-196.70648263451412
93,0.9316009196515005,-229.98863865629716,-266.8931042699411,-67.49670638496261,-3.406021845040956,-192.74538406104165
94,0.9288609951653104,-234.3577577338168,-271.75669491300494,-70.98055354345631,-2.438510573594127,-198.18480349875048
95,0.9271725459663412,-238.4501448507093,-275.15754840013494,-75.04346193713633,-3.2984340842046924,-203.5324758287293
96,0.9311012309832744,-237.51618267837188,-275.4318806051109,-74.85284233941545,-6.2766056917489985,-201.7908956643626
97,0.9264427838300171,-243.16989499528268,-279.40001180169264,-78.75100487350078,-4.79936231309009,-208.6427786337546
98,0.9336344474555857,-242.57678406512306,-280.554887824639,-78.93812167982114,-13.921034696636243,-208.63221022251753
99,0.9257576213548406,-245.9500897929553,-284.10921231092766,-86.78824551548662,-1.5220860636053293,-212.83987668648226
100,0.930577129884096,-245.01836235450503,-285.0007874569558,-83.58782076995226,-4.303116007818299,-212.4798898092971
101,0.927996624370837,-249.46851763213863,-290.6811463739991,-90.19172010669385,-18.643127467374985,-219.0588351076606
102,0.9300993917816348,-249.3664347233261,-290.60412845789114,-95.23994980725548,-15.308420633025424,-219.29991538678726
103,0.9303130598487839,-251.27101604372749,-291.0044687151329,-85.79440296398637,-1.7769359767569437,-220.3728816261314
