,mean,std,variance,min,max
rebalancing_imbalance,0.627517580986023,0.05875036120414734,0.003451605,0.421424001455307,0.7575368881225586
squared_starvation_penalty,0.28926435112953186,0.04099836200475693,0.0016808657,0.1499711126089096,0.37966227531433105
squared_congestion_penalty,0.21964772045612335,0.0311003215610981,0.00096723,0.09973855316638947,0.30646854639053345
exponential_starvation_penalty,0.2647002339363098,0.0415930300951004,0.0017299802,0.12392958998680115,0.3611060082912445
exponential_congestion_penalty,0.20209011435508728,0.031883347779512405,0.0010165478,0.08059020340442657,0.2976907789707184
starvation_severity_max,0.9949017763137817,0.020400987938046455,0.00041620035,0.8379999995231628,1.0
congestion_severity_max,0.9940951466560364,0.023205261677503586,0.00053848414,0.6846153736114502,1.0
unmet_starvation_deficit,0.33583173155784607,0.029237397015094757,0.00085482537,0.22899293899536133,0.4124438762664795
starvation_variance,0.16021235287189484,0.018307112157344818,0.00033515034,0.0890859067440033,0.2021781951189041
imbalance_hotspot_distance,0.21285928785800934,0.11256706714630127,0.012671345,0.005711734760552645,0.6545219421386719
starvation_count,0.18843118846416473,0.05087491124868393,0.0025882565,0.02985074557363987,0.3283582031726837
congestion_count,0.14265292882919312,0.04104432463645935,0.0016846365,0.0,0.28358209133148193
hotspot_imbalance_mass,0.16165503859519958,0.015330295078456402,0.00023501796,0.13061651587486267,0.23636363446712494
projected_starvation_risk,0.031472306698560715,0.03159873187541962,0.0009984799,0.0,0.14691948890686035
projected_congestion_risk,0.020133625715970993,0.013264397159218788,0.00017594422,0.0,0.09121930599212646
