seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9303,400.1556,2926,1274,60282,57356,57357,218,43,208,218,218,224,5969,6189,0.0302,0.0302,0.9396,0.0208,0.0326,0.9466,16,25,203,219,208,224
43,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9323,397.2877,2754,1315,60062,57308,57308,196,41,216,196,196,195,6061,6258,0.0156,0.0495,0.9349,0.0169,0.0299,0.9531,13,23,220,180,216,195
44,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9284,396.874,2948,1304,59410,56462,56465,230,42,242,230,230,208,5857,6085,0.0301,0.0393,0.9306,0.0182,0.0456,0.9362,14,35,234,219,242,208
45,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9288,396.9523,2934,1304,59520,56586,56587,228,42,215,228,228,221,5927,6150,0.0223,0.0446,0.9332,0.0144,0.0366,0.9491,11,28,210,217,215,221
46,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9301,396.1449,2925,1193,58938,56013,56013,203,43,223,203,203,190,6088,6288,0.0237,0.0316,0.9447,0.0091,0.0378,0.9531,7,29,213,200,223,190
47,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9298,396.7402,2886,1284,59402,56516,56514,224,43,205,224,224,226,5916,6150,0.0237,0.0421,0.9342,0.0052,0.043,0.9518,4,33,193,220,205,226
48,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9311,396.8797,2875,1236,59646,56771,56772,232,43,215,232,232,217,5798,6035,0.0146,0.0412,0.9441,0.0131,0.0445,0.9424,10,34,215,222,215,217
49,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9326,396.4307,2757,1227,59136,56379,56377,207,43,197,207,207,194,6029,6241,0.0131,0.0458,0.9412,0.017,0.0366,0.9464,13,28,200,201,197,194
50,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.93,397.1634,3017,1144,59402,56385,56385,240,43,211,240,240,232,5724,5965,0.0118,0.0433,0.9449,0.0065,0.0352,0.9583,5,27,210,220,211,232
51,M8_KSFiltered_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9345,399.1372,2807,1111,59852,57045,57045,224,42,222,224,224,213,6034,6238,0.0146,0.037,0.9484,0.0157,0.0471,0.9373,12,36,223,222,222,213
