seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9431,399.5068,2678,751,60282,57604,57601,219,42,184,219,219,211,6896,7107,0.0157,0.0328,0.9514,0.0169,0.0717,0.9113,13,55,188,238,184,211
43,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9497,398.0528,2264,760,60062,57798,57799,177,42,194,177,177,171,7311,7491,0.0079,0.0329,0.9593,0.0131,0.0483,0.9386,10,37,199,185,194,171
44,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9412,398.2613,2622,869,59410,56788,56791,207,42,215,207,207,197,7049,7246,0.0157,0.0288,0.9556,0.0157,0.0758,0.9085,12,58,218,236,215,197
45,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9506,397.0059,2062,879,59520,57458,57460,213,43,223,213,213,211,7215,7426,0.0105,0.0276,0.9619,0.0235,0.0561,0.9205,18,43,234,228,223,211
46,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9465,397.8726,2226,929,58938,56712,56711,195,43,211,195,195,197,7114,7316,0.0105,0.0316,0.9578,0.0169,0.0652,0.9179,13,50,217,216,211,197
47,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9449,398.1624,2349,922,59402,57053,57054,204,41,192,204,204,214,7130,7351,0.0132,0.0448,0.942,0.0209,0.047,0.9321,16,36,199,209,192,214
48,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9443,398.5891,2438,884,59646,57208,57209,195,42,219,195,195,175,7062,7251,0.0106,0.0317,0.9578,0.029,0.0858,0.8852,22,65,234,230,219,175
49,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9458,396.9844,2300,905,59136,56836,56837,177,43,201,177,177,168,7209,7392,0.0131,0.0327,0.9542,0.0104,0.0653,0.9243,8,50,199,196,201,168
50,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9468,397.573,2353,809,59402,57049,57048,188,42,225,188,188,173,7241,7434,0.0143,0.0261,0.9596,0.0156,0.073,0.9113,12,56,228,221,225,173
51,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9447,399.0409,2402,905,59852,57450,57450,181,42,244,181,181,170,7123,7296,0.0119,0.0264,0.9618,0.0221,0.0768,0.901,17,59,253,212,244,170
