episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,starvation_variance,work_ratio,imbalance_hotspot_distance,starvation_count,congestion_count,imbalance_asymmetry,hotspot_imbalance_mass,time_of_day_fraction,day_of_week_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk,multi_horizon_congestion_risk,temporal_demand_gradient,future_net_pressure
0,0.8809350333940498,-19.562595785987003,-9.012119865618374,-6.85673066576627,-8.23075837111851,-6.3252121496905085,-30.943085752044357,-30.937451966108714,-10.592678831990868,-4.956500802990831,-30.949529502704085,-5.852301819200038,-7.548315578250635,-5.817562025583471,-3.8241535709658097,-5.0250479338773335,-17.124721371267,-12.434786033767018,-26.78943558040018,-10.968512316106102,-8.594083469880918,0.0,-3.8241535709658088
1,0.9234615500466882,-28.838046318416957,-13.357649307294361,-9.863871201219935,-12.180903791262983,-9.061279350006863,-47.0065965406173,-46.66291121680304,-15.717511496876797,-7.4074448571478975,-46.963818047217885,-6.3648430464868095,-10.982019022427826,-8.03700637126116,-6.114661275933973,-7.656468281973326,-23.76263070253485,-12.911891684266761,-32.42066223116661,-16.286533242733036,-12.551513075683959,0.0,-6.114661275933973
2,0.9303187323010182,-32.098358718055614,-14.95096892917488,-10.732187465702808,-13.619758125254554,-9.81574563939923,-53.22450993906757,-52.55551916406197,-17.63005878620601,-8.347639623552741,-53.23233388341633,-5.130727447075934,-12.148888007241403,-8.44332768514099,-7.218389743638254,-8.696399442962266,-25.165280047650096,-8.27450178783322,-29.325635975160388,-18.241200429486085,-13.85715828856964,0.0,-7.218389743638254
3,0.9351395482446857,-33.872843126293944,-15.929159038857483,-11.100350824445147,-14.517498233814687,-10.11438302504989,-56.397872685327656,-55.271414111184505,-18.748078677695837,-8.943320432013932,-56.51921906477657,-4.3648333534215515,-12.889816827006769,-8.488801754631892,-7.936402545471202,-9.181828895432545,-25.522550805919437,-2.349686886133943,-25.349926717081917,-19.35407471874896,-14.518768407545005,0.0,-7.936402545471201
4,0.9287400280856912,-35.157352359600125,-16.807834703231023,-11.436522025378913,-15.349395732666828,-10.40262119090383,-57.552465744722994,-55.85908302008486,-19.595516281419517,-9.446375716894874,-57.75086473473563,-3.6846518869535116,-13.663263739977397,-8.631102097646249,-8.368347576288617,-9.200666026863214,-25.004846761495042,0.0,-21.389816965600506,-20.179621506698652,-14.97773085290145,0.0,-8.368347576288617
5,0.9319514111319273,-36.24325775553066,-17.574890960777193,-11.705610558342084,-16.081822016965397,-10.624175999057726,-58.58022831096548,-56.17135530830116,-20.36182994397221,-9.895756709349243,-58.8976904456159,-3.0140558350625657,-14.323296794941205,-8.677636874715366,-8.820938992174062,-9.222414209302514,-25.033844980007743,0.0,-19.112845251845442,-20.89734093146722,-15.345916824063488,0.0,-8.820938992174062
6,0.9366722348168477,-37.89419614397128,-18.58672114742732,-12.150675261978305,-17.029806503858,-10.995770710014325,-60.641064187105925,-57.54881971565616,-21.44729228545254,-10.47965715295347,-61.14521378330793,-2.5665060572500202,-15.165003147524558,-8.881351600209708,-9.469338786253353,-9.414371713034074,-26.19117882718187,0.0,-18.8478077586019,-21.94418301376247,-15.95001313020892,0.0,-9.469338786253353
7,0.9374115663666195,-39.16011348619392,-19.425847239810746,-12.472337434446802,-17.816346832718384,-11.256772998243317,-61.72213332460015,-57.79292279247731,-22.296667003373358,-10.952346065415844,-62.47819230912347,-2.4800314905516982,-15.90731087810092,-9.009433570750828,-9.984750115262868,-9.455957804723264,-26.789243711192672,0.0,-17.693339077518928,-22.767909651814907,-16.392203834379075,0.0,-9.984750115262868
8,0.9386062780809938,-39.764834717922916,-19.995982007186107,-12.638497584635237,-18.363228043261866,-11.389388533893055,-61.45009210757761,-56.74911603375087,-22.760859827244015,-11.271787602148198,-62.4170097675084,-2.249715106817899,-16.46409651808766,-9.077332513382759,-10.214274857091732,-9.258539222377474,-27.005898661418136,0.0,-15.970703065313376,-23.19092725568144,-16.573907462241547,0.0,-10.214274857091732
9,0.9437572360002437,-40.22974465619459,-20.499626418643572,-12.706653234664373,-18.852740353846503,-11.431542449948106,-61.13186568018808,-55.459952751191565,-23.172589442904805,-11.558659080479247,-62.42129315679436,-2.162171792788571,-16.969082125509228,-9.067449840396545,-10.533870087650895,-9.107378630583732,-27.519228576732054,0.0,-14.743342359539659,-23.554371658190977,-16.675372998003503,0.0,-10.533870087650895
10,0.9386934069893119,-40.74309416289519,-20.96361036165426,-12.828647223881,-19.29834363151792,-11.530617430412832,-60.7436356875018,-54.58000581051109,-23.606368210292203,-11.818912826990926,-62.52885621847795,-2.0012728773835047,-17.420038527800383,-9.108673169675486,-10.81687903240765,-8.999091668054051,-28.338414989984418,0.0,-14.217571674753342,-23.9289812725404,-16.814112890354767,0.0,-10.816879032407648
11,0.9351261519867049,-41.26751702689959,-21.4723733370443,-13.027110867597466,-19.79672722327478,-11.702947338376246,-60.10198753121369,-53.449052338252,-24.046008015153824,-12.09929017077787,-62.258670283362235,-2.0095180569307898,-17.94814338414632,-9.260549662681614,-10.998233632534143,-8.79301210871641,-28.726840007949907,0.0,-13.195378576296305,-24.29882331487008,-16.968693712029605,0.0,-10.998233632534141
12,0.9369991627795718,-41.6161492514404,-21.902180219163174,-13.17771538615144,-20.217527469724637,-11.837391630780791,-59.19135214203152,-52.06833600236844,-24.39107693225799,-12.336442108222359,-61.650660750565535,-1.721195669482151,-18.425843707065532,-9.395176944627845,-11.142210615428935,-8.555405995752226,-28.97427895373729,0.0,-12.252484664625001,-24.568402198804932,-17.04774705263552,0.0,-11.142210615428933
13,0.9376870585418413,-42.398639159403885,-22.49799917284117,-13.410941915744358,-20.776482631830707,-12.042405321393742,-59.38726490104761,-51.72477110488932,-24.969724086420303,-12.675750177913063,-62.268329966963925,-1.8470942229122185,-18.95470688474965,-9.565104592218598,-11.533212484542977,-8.533492752340251,-30.16969114595693,0.0,-13.174921773416578,-25.09748637545581,-17.301152783948105,0.0,-11.533212484542975
14,0.9354298587433025,-43.06209768313845,-23.037974137794095,-13.582257839390065,-21.283942684801588,-12.183695033069641,-59.08291064697037,-50.911925479374226,-25.49546695158124,-12.973167520974028,-62.398157215154534,-1.7434105627155763,-19.447397093293574,-9.624873771820138,-11.82700218181197,-8.430048931631669,-30.85326550028748,0.0,-13.268626078349085,-25.55607070614691,-17.506026976991585,0.0,-11.827002181811968
15,0.9412605317216947,-43.715139541325144,-23.612763332835936,-13.755283342048843,-21.829206871702837,-12.327172383958542,-58.805584279401906,-50.00208121812723,-26.021188699607105,-13.291244562253574,-62.41203019628597,-1.558924233561904,-20.016870796706712,-9.730409652192455,-12.154837959077023,-8.295256898110466,-31.595198533227244,0.0,-13.57640500817268,-26.017273032361764,-17.69786650896346,0.0,-12.154837959077021
16,0.9338798468166587,-44.41368121946028,-24.18378108983229,-13.971873973487892,-22.373672013515456,-12.514552561124107,-58.275049864903615,-49.12017450472516,-26.560028013503448,-13.605640869310417,-62.38083574866095,-1.6506130592361132,-20.565628914558612,-9.88186149043977,-12.391631373733425,-8.134691646542386,-32.09491484886531,0.0,-13.452307620072215,-26.48712245930269,-17.92655876015759,0.0,-12.391631373733423
17,0.9365413088540124,-45.30463581504954,-24.817180279549213,-14.240602379591172,-22.964958571384447,-12.740761650058898,-58.36792378870341,-48.886615870379025,-27.198110047362263,-13.963161033458809,-62.946286740786206,-1.7610052899783097,-21.13519412424401,-10.044115597896127,-12.634527952141713,-8.1099782112414,-32.955881715140016,0.0,-13.54994850000392,-27.050665935199763,-18.253969879849738,0.0,-12.634527952141712
18,0.9396800577339427,-45.79427996387799,-25.294457491871807,-14.40390805167776,-23.426318502417637,-12.882495776866843,-57.67293415066004,-47.83035112476392,-27.61325085891491,-14.227548833438778,-62.633237536271366,-1.6870744296845597,-21.66414530889618,-10.156772894694557,-12.844010966964408,-7.94240494723097,-33.2870854981747,0.0,-13.067475250467195,-27.401871334255098,-18.392408629622846,0.0,-12.844010966964406
19,0.9344281910915672,-46.593304383922764,-25.90589001417797,-14.691780570948852,-24.00779299319139,-13.138103173474626,-57.48877501974747,-47.378269378382676,-28.192277772010197,-14.564095251849572,-62.81059894127496,-1.5888270018310968,-22.259893862012174,-10.387756534304227,-12.993010201412128,-7.820086430244364,-33.93229069993976,0.0,-13.056155509270564,-27.899588868663233,-18.69371551525951,0.0,-12.993010201412126
20,0.9389452819989188,-47.06601042681048,-26.34732816258242,-14.890273884840834,-24.427774990469214,-13.317874591120132,-56.64142359033763,-46.49805937979723,-28.611967615362982,-14.798356705774472,-62.41822323145974,-1.3784687788125378,-22.718873310311828,-10.571256637516015,-13.116955818588949,-7.628091154381593,-33.97437881078458,0.0,-12.478121795774376,-28.225316609345807,-18.840693817464764,0.0,-13.116955818588947
21,0.945305023923445,-47.6274075021692,-26.81984149497978,-15.148930201363498,-24.881915509782516,-13.554027874232347,-55.97440265900125,-45.69476318020522,-29.052372195231488,-15.05884640261274,-62.138711833839615,-1.3307723608850088,-23.22182771664493,-10.809307667704585,-13.166356448265615,-7.45012341756261,-34.42211334899859,0.0,-12.183767895628296,-28.577815838330373,-19.04959166383908,0.0,-13.166356448265613
22,0.9451093314136597,-48.28621237731341,-27.351526274636722,-15.371135956911177,-25.38658067387616,-13.748793141564908,-55.85461139323304,-45.347536694191376,-29.557062464538582,-15.352290517327669,-62.26180285867022,-1.187691152529581,-23.749010499219015,-10.982650000322026,-13.350601950784272,-7.358704082746602,-35.176529451148966,0.0,-12.440694363525592,-29.005356076487786,-19.280856300825846,0.0,-13.35060195078427
23,0.9346707973651758,-48.841323280578806,-27.809624694684278,-15.559818884396634,-25.82360514897793,-13.914037348000322,-55.38893921306764,-44.750335586546385,-29.988240276170067,-15.608388563910538,-62.2296923361189,-1.0598192509785098,-24.218331460251807,-11.115153730766766,-13.45499735271499,-7.257530315934083,-35.69218298960226,0.0,-12.326378147114932,-29.35909904826173,-19.482224232317243,0.0,-13.454997352714988
24,0.9350528743896228,-49.445122928732125,-28.28306050701201,-15.771307433372508,-26.27472581237767,-14.100642281677295,-55.143515983355556,-44.27781607183373,-30.453629192570496,-15.878542923528176,-62.35631972852966,-0.8822463055925628,-24.70102091258294,-11.27162629856647,-13.568918673520066,-7.18221078569279,-36.19160838018924,0.0,-12.234187350161601,-29.73947092377634,-19.705652004955972,0.0,-13.568918673520065
25,0.940977772416081,-49.833230901683464,-28.695896773811793,-15.91879151560614,-26.676051784598187,-14.233347290843646,-54.30770895475609,-43.22523035580115,-30.797479013320096,-16.106038890570005,-61.817470093045465,-0.6895953751698551,-25.16473180496791,-11.405757121374535,-13.622896608221746,-6.997047426283563,-36.21172649407719,0.0,-11.557772596797868,-30.001721663902067,-19.831509237781553,0.0,-13.622896608221746
