seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9226,399.6756,3121,1546,60282,57161,57161,151,46,225,151,151,147,6080,6372,0.0302,0.0302,0.9396,0.026,0.1133,0.8607,20,87,222,211,225,147
43,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9248,397.0472,3034,1480,60062,57028,57029,158,47,206,158,158,145,6072,6395,0.0156,0.0495,0.9349,0.0143,0.1185,0.8672,11,91,206,210,206,145
44,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9171,396.1257,3478,1445,59410,55932,55933,163,49,230,164,163,145,6032,6341,0.0301,0.0393,0.9306,0.0221,0.1497,0.8281,17,115,227,238,230,145
45,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9268,395.9295,3043,1311,59520,56477,56479,131,42,224,131,131,136,6231,6501,0.0223,0.0446,0.9332,0.0274,0.1371,0.8355,21,105,229,204,224,136
46,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9248,396.6216,2889,1543,58938,56049,56051,168,49,208,168,168,159,6097,6441,0.0237,0.0316,0.9447,0.0143,0.1434,0.8422,11,110,201,244,208,159
47,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9299,396.5946,2851,1312,59402,56551,56551,138,48,195,138,138,147,6181,6477,0.0237,0.0421,0.9342,0.0143,0.1602,0.8255,11,123,190,230,195,147
48,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9267,396.5678,3020,1352,59646,56626,56626,148,52,216,148,148,155,6013,6317,0.0146,0.0412,0.9441,0.0275,0.123,0.8495,21,94,227,206,216,155
49,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9258,396.7894,2946,1443,59136,56190,56190,149,46,196,149,149,151,6023,6324,0.0131,0.0458,0.9412,0.0222,0.1124,0.8654,17,86,204,203,196,151
50,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9333,396.912,2913,1047,59402,56489,56489,156,51,228,156,156,152,6028,6336,0.0118,0.0433,0.9449,0.0234,0.1029,0.8737,18,79,240,197,228,152
51,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9286,398.35,3022,1250,59852,56830,56831,165,44,214,165,165,171,6064,6383,0.0146,0.037,0.9484,0.0183,0.1281,0.8536,14,98,217,232,214,171
