episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
109,0.822513220851171,-1.7939961479146476,-0.567613095850904,-1.3147277316063763,-0.4332439519648713,0.01168,0.05,0.067103
110,0.8285834667565518,-1.8020258563044445,-0.5697428963419008,-1.3206728248446933,-0.43493925039371417,0.011598,0.05,0.066434
111,0.8210538804427043,-1.8114489468534922,-0.5726708886414826,-1.3276430416487328,-0.437353623414828,0.011518,0.05,0.065772
112,0.8307622656695396,-1.8191061925026495,-0.5749982083344396,-1.3331042027964046,-0.4390789760329445,0.011438,0.05,0.065116
113,0.8265886058614078,-1.8276602192974232,-0.5773858936443127,-1.3394074162771563,-0.44099632720047677,0.01136,0.05,0.064467
114,0.8171253925338797,-1.8372027137434532,-0.5803733233579169,-1.3463799783702795,-0.44347155465484067,0.011283,0.05,0.063824
115,0.8198129768415368,-1.8461349889388552,-0.5832021553320407,-1.3530582484563212,-0.44560998349842357,0.011207,0.05,0.063188
116,0.820087588267246,-1.8537886704466946,-0.5856533393826824,-1.3586567040403776,-0.44747095022845457,0.011132,0.05,0.062558
117,0.8208000268690804,-1.8622460750057053,-0.5877881160991679,-1.3648579802100642,-0.44911385003784854,0.011058,0.05,0.061934
118,0.8165416310021315,-1.8705551609732614,-0.5902009427665107,-1.3708777211599128,-0.45095065761648256,0.010985,0.05,0.061317
119,0.8182566480202926,-1.8785313527698129,-0.5927236525578118,-1.3767438415587427,-0.4528658026988513,0.010912,0.05,0.060706
120,0.8159580175709208,-1.8866354980605502,-0.5953459767195054,-1.3827673260535502,-0.4547941492802653,0.010841,0.05,0.0601
121,0.8184905469106392,-1.8942076340710403,-0.5975282706960904,-1.3882874147373931,-0.456499853666327,0.010771,0.05,0.059501
122,0.8168406565741331,-1.9020400956985082,-0.5997482988322456,-1.3940058859365638,-0.4582569614381606,0.010702,0.05,0.058908
123,0.8249603207752068,-1.9089545558770835,-0.6020053924608451,-1.3989723276194763,-0.45986596205458946,0.010633,0.05,0.058321
124,0.8218408160526139,-1.9168935744195812,-0.6045061503601867,-1.4048194666772276,-0.46179969636460005,0.010565,0.05,0.057739
125,0.8206108816480546,-1.9245020302644333,-0.6068573285538724,-1.410388512546183,-0.46338276942770495,0.010499,0.05,0.057164
126,0.8261417481600968,-1.9318087469921192,-0.6092080038914752,-1.4157514274325211,-0.4652028359605865,0.010433,0.05,0.056594
127,0.819401601348504,-1.9389083590339267,-0.6111582057257997,-1.4209010348703353,-0.46675125009303375,0.010368,0.05,0.05603
128,0.8202830346116619,-1.9461546586057796,-0.6134553494618117,-1.4264695161598153,-0.4683481299349641,0.010303,0.05,0.055471
129,0.82418579639028,-1.9541191972925096,-0.6159868645152101,-1.432292632937616,-0.4703393235332171,0.01024,0.05,0.054918
130,0.8051602762403224,-1.9617090817193885,-0.6186596975235802,-1.437860380956429,-0.472343944479712,0.010177,0.05,0.054371
131,0.8215808737114267,-1.9682154729459087,-0.6207770619773311,-1.4425559631496085,-0.4739820983623892,0.010115,0.05,0.053829
132,0.829680891964629,-1.975632623624888,-0.6228531997335035,-1.4482215307279978,-0.4755550570103098,0.010054,0.05,0.053292
133,0.8311686121044464,-1.981971378423538,-0.6251584821757625,-1.4528226463018135,-0.4773814969387076,0.009993,0.05,0.052761
134,0.81497834762673,-1.9900665861993134,-0.6273793146963571,-1.4588224522972233,-0.4791832493958083,0.009934,0.05,0.052235
135,0.8224855062693812,-1.9967672223768096,-0.6292162899145392,-1.4637578445904913,-0.4804944819349338,0.009875,0.05,0.051714
136,0.8156923283441841,-2.0042216260964354,-0.6317078651143787,-1.4692771323421334,-0.4823451349351369,0.009816,0.05,0.051198
137,0.8339619435949711,-2.010922707123444,-0.6340448115550882,-1.4740993845521098,-0.48422700846943956,0.009758,0.05,0.050688
138,0.8247474493642257,-2.0181245231734533,-0.6362158402045485,-1.4794726622337437,-0.48585302130880265,0.009701,0.05,0.050183
139,0.8175509661996149,-2.026139934920377,-0.6384192449199279,-1.4852820364769124,-0.4876480266756354,0.009645,0.05,0.049682
140,0.8242959226565784,-2.032605782301717,-0.640609928103995,-1.4900187734762087,-0.4893361121821474,0.009589,0.05,0.049187
141,0.8138392706966731,-2.0395715965612817,-0.6428754731273003,-1.495070614843011,-0.49098906712894635,0.009534,0.05,0.048697
142,0.8253516886071292,-2.0463966837763037,-0.6446289328254398,-1.5002069490682983,-0.49228767044984234,0.00948,0.05,0.048211
143,0.8130937697923264,-2.054086860139049,-0.6471882241022866,-1.5059340387850721,-0.4943066619780184,0.009426,0.05,0.047731
144,0.8222730868270024,-2.0603482568915066,-0.64928473974688,-1.5105232836312505,-0.4959390800708873,0.009373,0.05,0.047255
145,0.8138479382743028,-2.067177369328591,-0.6512328937695662,-1.5155142871618117,-0.4975139725573546,0.00932,0.05,0.046784
146,0.8220253842804996,-2.0730449047482065,-0.6528014437162345,-1.5198680266053608,-0.49869115161168476,0.009268,0.05,0.046317
147,0.8273916128814247,-2.079291976643611,-0.6550312370361947,-1.5244142164878132,-0.5004105188444445,0.009217,0.05,0.045856
148,0.8277520091068182,-2.08577989062144,-0.6573100113043735,-1.5291459126275486,-0.5022636246433273,0.009166,0.05,0.045399
149,0.825670337059763,-2.092152249299355,-0.6593000890380829,-1.5339048175461563,-0.5037736968753413,0.009116,0.05,0.044946
150,0.8294288150042626,-2.0984287163865107,-0.6614930214044977,-1.5386850681032038,-0.5053804988525835,0.009066,0.05,0.044498
151,0.8179857918930213,-2.1054046890869147,-0.6632466458309838,-1.5437769131919963,-0.5068041131595699,0.009017,0.05,0.044054
152,0.8108541370961009,-2.1128777120233257,-0.6652247006689453,-1.549286405613757,-0.5083782291188986,0.008968,0.05,0.043615
153,0.8206727889798363,-2.119446962769637,-0.6674504428886773,-1.5542213822955278,-0.5101846411984742,0.00892,0.05,0.04318
154,0.8116565130060922,-2.1256413502042983,-0.6696040181225678,-1.558730654157683,-0.5118608954465027,0.008872,0.05,0.04275
155,0.8213678348727866,-2.1323026110204557,-0.6716559579925424,-1.5637078261137338,-0.5135282653973708,0.008825,0.05,0.042324
156,0.8140151831150413,-2.1393446542930197,-0.6733701495397141,-1.5688874205658887,-0.5149086380321151,0.008779,0.05,0.041902
157,0.8291861678844406,-2.1451537748791254,-0.6749625956065763,-1.5731509308781833,-0.5162294953357075,0.008732,0.05,0.041484
158,0.825536422950158,-2.150999825327495,-0.6768503530721897,-1.5773883206634922,-0.517703313261651,0.008687,0.05,0.04107
159,0.8177686581084977,-2.1569803619622956,-0.678719321698114,-1.5818243285976819,-0.5191296046246818,0.008642,0.05,0.040661
160,0.8212845019500192,-2.16286530879941,-0.6806068090246042,-1.5861255163460397,-0.5205931611599459,0.008597,0.05,0.040256
161,0.813696464017764,-2.169379978995513,-0.6826170956457726,-1.5908630355427844,-0.5221688116784616,0.008553,0.05,0.039854
162,0.8181221052631579,-2.175589998613701,-0.684598679072619,-1.5954053058283246,-0.5236253421433886,0.008509,0.05,0.039457
163,0.810662538074483,-2.1817554866896622,-0.6862166605635502,-1.6000016971974964,-0.5248653124679568,0.008465,0.05,0.039064
164,0.8080740343347639,-2.1881344029690384,-0.6879831188333414,-1.6046482373285798,-0.52627031222485,0.008423,0.05,0.038674
165,0.8219751054072668,-2.1945009793902,-0.6900776225221953,-1.609401420125383,-0.5279316124792521,0.00838,0.05,0.038289
166,0.8268061834374629,-2.1996173448337943,-0.6917431086441415,-1.612991960251903,-0.5291363287765928,0.008338,0.05,0.037907
167,0.8215674065597496,-2.205750977458719,-0.6941731373449266,-1.617540960272715,-0.5309336561070707,0.008296,0.05,0.037529
168,0.8159912376779846,-2.211901029344521,-0.6960671950263291,-1.6220647306632796,-0.5324075080703747,0.008255,0.05,0.037155
169,0.8079733774812288,-2.218480934579693,-0.6979600459293994,-1.6269145014294943,-0.5338895904566586,0.008214,0.05,0.036785
170,0.8229840737636211,-2.2241100298130796,-0.6998799906611921,-1.6310286892300294,-0.5352802321502366,0.008174,0.05,0.036418
171,0.8176267496640985,-2.2301038917011295,-0.7018177694399486,-1.6354720331317176,-0.5367736799357289,0.008134,0.05,0.036055
172,0.8004413830000668,-2.2365509980816447,-0.7039022039126205,-1.6402214822068861,-0.5383602005441231,0.008094,0.05,0.035695
173,0.8284426987060998,-2.2420178633505605,-0.7056086137891401,-1.6442782779999898,-0.5396813808002753,0.008055,0.05,0.035339
174,0.8239530004196391,-2.247494737839802,-0.7072303841111953,-1.6483299364247184,-0.5409317402524993,0.008016,0.05,0.034987
175,0.8234621848739496,-2.253052692914432,-0.7090340284758622,-1.6525087730896326,-0.5423307333429058,0.007978,0.05,0.034638
176,0.8212016272736442,-2.258846547632139,-0.7108325836045389,-1.6567342547913164,-0.5437092954892275,0.007939,0.05,0.034293
177,0.8201766077974009,-2.2646849664927977,-0.7127757663961525,-1.6610626049279615,-0.5452612079480135,0.007902,0.05,0.033951
178,0.8158515676721724,-2.2704128535781223,-0.7143317155361795,-1.6652806977087962,-0.5464971146238288,0.007864,0.05,0.033613
179,0.8304024548566034,-2.275653602133406,-0.7159733209563811,-1.669091028359915,-0.5477507744507286,0.007827,0.05,0.033278
180,0.8224257695450831,-2.2811011560589916,-0.7179396304019694,-1.673072230254644,-0.5493071921508546,0.007791,0.05,0.032946
181,0.8200532978014656,-2.286621912352433,-0.7197012658380263,-1.6770906776892591,-0.5507179940743064,0.007754,0.05,0.032617
182,0.8237046957395162,-2.2919794433314347,-0.7216479448623846,-1.6810803932774776,-0.5521544089715299,0.007718,0.05,0.032292
183,0.8245542949756888,-2.297320868433371,-0.7234078042424649,-1.6849985155805332,-0.5534425861437106,0.007682,0.05,0.03197
184,0.8214959145191704,-2.303187485165974,-0.7251625393943669,-1.6893341852793111,-0.5548467924477203,0.007647,0.05,0.031652
185,0.8273959699936085,-2.308390899476773,-0.72674867574997,-1.6931910971226876,-0.556000058954444,0.007612,0.05,0.031336
186,0.8233254426032741,-2.3133784906770485,-0.7283122456809491,-1.6968252760573708,-0.5573124155307959,0.007577,0.05,0.031024
187,0.8223107031988123,-2.318596562326852,-0.7297644744771413,-1.7006235955005384,-0.5585481317129569,0.007543,0.05,0.030714
188,0.8050717429057984,-2.324233772309796,-0.731322053818207,-1.7047949793897537,-0.5597066605419108,0.007509,0.05,0.030408
189,0.8199299820767517,-2.329676036124616,-0.7329017399387778,-1.7087335799225964,-0.5608427266769344,0.007475,0.05,0.030105
190,0.8257653103921536,-2.335296563310522,-0.7342534399236237,-1.7128356605190835,-0.5619351094958842,0.007442,0.05,0.029805
191,0.8208112815703088,-2.3407806137608347,-0.7360314836768752,-1.7168972758357877,-0.5633570703574087,0.007408,0.05,0.029508
192,0.8194963003190551,-2.346190336706631,-0.7376317689877814,-1.7209340898903074,-0.5646864635534511,0.007375,0.05,0.029214
193,0.8107397168467789,-2.3513829426441193,-0.7392557715213874,-1.7247367343796711,-0.5658463281034263,0.007343,0.05,0.028922
194,0.8207043220523469,-2.3567627712070545,-0.7411419369952305,-1.7287125124905032,-0.5672804378933625,0.007311,0.05,0.028634
195,0.8290130796670631,-2.361243251341069,-0.7425399063143187,-1.7319238290247208,-0.5684032396739197,0.007278,0.05,0.028349
196,0.8261669931770588,-2.3660347419436762,-0.7439653068146326,-1.7354704836983466,-0.569523943631352,0.007247,0.05,0.028066
197,0.8183957111406148,-2.371130411002661,-0.7454721900898313,-1.739279016296706,-0.5706748071977478,0.007215,0.05,0.027786
198,0.8151846301503646,-2.376014479571256,-0.7468343870378455,-1.742932852562949,-0.5716947055862359,0.007184,0.05,0.027509
199,0.8175419870244667,-2.3812435223022557,-0.7485422817550976,-1.7467548278556126,-0.5729059172630641,0.007153,0.05,0.027235
200,0.8229647218453189,-2.386122546974974,-0.7500580528674117,-1.750324990187337,-0.5741392372525118,0.007122,0.05,0.026963
201,0.8242185527445336,-2.3911947653707566,-0.7518252538390855,-1.7540852749616,-0.5754332224963481,0.007092,0.05,0.026695
202,0.8272148800783162,-2.3959739360384766,-0.7533160148676401,-1.7574999452514486,-0.5766104680255894,0.007062,0.05,0.026429
203,0.8265761234071093,-2.4013243800033934,-0.7548423000244063,-1.7614089503932195,-0.5778748111196683,0.007032,0.05,0.026165
204,0.8240099509177705,-2.4062737240535843,-0.7562260371436352,-1.7649640861622513,-0.5789875252666293,0.007002,0.05,0.025904
205,0.8233112493467523,-2.4114812610787584,-0.7576512236715367,-1.7688689361819907,-0.5800380801238568,0.006973,0.05,0.025646
206,0.8119372396183309,-2.4167299879262103,-0.7590311875519496,-1.77280644569136,-0.5811395101556575,0.006944,0.05,0.02539
207,0.8338208593907606,-2.4208630745999185,-0.7604353006417889,-1.7758011342293756,-0.5822276138692032,0.006915,0.05,0.025137
208,0.8089059423436159,-2.426401448004316,-0.7623180484787697,-1.7798591020955978,-0.5836044993589468,0.006886,0.05,0.024887
209,0.8114602897773008,-2.4318697504638704,-0.764041462683045,-1.7839091844968333,-0.5848730758829563,0.006858,0.05,0.024639
210,0.8278777549417682,-2.4364891894736993,-0.7655138663791753,-1.7872542348487226,-0.586017540512422,0.00683,0.05,0.024393
211,0.8127316437944505,-2.4417606498316715,-0.7669557946042178,-1.7911705363594115,-0.5871521048270104,0.006802,0.05,0.02415
212,0.8196441545714142,-2.4457791348132036,-0.7682239680131764,-1.7940731569679738,-0.5881674838526282,0.006774,0.05,0.023909
213,0.8247941676628558,-2.450387598999673,-0.769767281866938,-1.7975407160367987,-0.5893671111913832,0.006746,0.05,0.023671
214,0.8278507477785834,-2.4556998572470197,-0.7712782532533035,-1.8015515797380786,-0.5907034773628266,0.006719,0.05,0.023435
