episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.8248729266987693,-0.026260187004987945,-0.006563603171079484,-0.018773627215920404,-0.005081241541918583,0.05,0.05,0.2
1,0.8277635825712749,-0.061125454379717926,-0.018300063075130032,-0.04449741144592114,-0.013529817343946027,0.048539,0.05,0.198006
2,0.8121189790312856,-0.10226100362135176,-0.030713752155552727,-0.07455885064547019,-0.022841164266540176,0.047161,0.05,0.196032
3,0.8285480175916791,-0.13391024249827999,-0.042816108439592174,-0.09812441985139406,-0.03170940251740258,0.045859,0.05,0.194078
4,0.8198314541631484,-0.168181988573361,-0.05255779629785953,-0.12334014976781423,-0.039258403980899824,0.044627,0.05,0.192143
5,0.8227793024968204,-0.2009003798496631,-0.06258295840699334,-0.14710905938010718,-0.04655506288112499,0.043459,0.05,0.190228
6,0.8149222029298224,-0.2357235866111831,-0.07363700845533783,-0.1732011472472582,-0.054443626596839434,0.042351,0.05,0.188331
7,0.8243523662895776,-0.2675043941947373,-0.08300088842697331,-0.19680763766279494,-0.061294962841392686,0.041298,0.05,0.186454
8,0.8282997762863534,-0.30192910870574385,-0.09140970526434412,-0.2226239698864154,-0.06830573468561087,0.040296,0.05,0.184595
9,0.8178355704697986,-0.3312585870423141,-0.10098592056778138,-0.24392400315176627,-0.07585078397066236,0.039342,0.05,0.182755
10,0.7949049289274506,-0.36195731447250035,-0.10967302641960963,-0.26605085084004,-0.08259002205269927,0.038432,0.05,0.180933
11,0.8196415046705378,-0.3908574621431842,-0.11943214781776013,-0.28714498388123233,-0.08936485171126021,0.037563,0.05,0.179129
12,0.8186413263243024,-0.41861823526728426,-0.12875113350575812,-0.30720259423672447,-0.09632615822919967,0.036732,0.05,0.177343
13,0.8246622302883646,-0.44367738517511335,-0.1371810757717021,-0.3257540070682308,-0.10256756402945223,0.035938,0.05,0.175575
14,0.8252897857849798,-0.47038456575161924,-0.1476000610512941,-0.34495753024982856,-0.11030981858740363,0.035176,0.05,0.173825
15,0.8245799376194788,-0.49565251262972204,-0.1569558530499951,-0.3631333177815144,-0.11725057717149483,0.034447,0.05,0.172092
16,0.8336129660078521,-0.5199015084438926,-0.16492061731937047,-0.3806871712857547,-0.12345727939291874,0.033747,0.05,0.170376
17,0.8130160928080514,-0.5451329332858569,-0.17212826085896313,-0.3988270371019798,-0.12927026449535253,0.033075,0.05,0.168678
18,0.8183514670843262,-0.5688247218887773,-0.17966517951536184,-0.41654506769516403,-0.1348419508320553,0.03243,0.05,0.166996
19,0.819674634005666,-0.5925611459404274,-0.1864375909143945,-0.43404652026574964,-0.14019646280427314,0.031809,0.05,0.165332
20,0.8285993474552411,-0.6143167617017968,-0.19309017899279793,-0.44992448548287034,-0.14529001612203546,0.031211,0.05,0.163683
21,0.8205167327840505,-0.6386979157908821,-0.1998124911467981,-0.4679487575269188,-0.15093729209161943,0.030635,0.05,0.162052
22,0.8244733363452303,-0.6602899452847714,-0.20729933062834657,-0.48401571502373425,-0.1564703756649783,0.03008,0.05,0.160436
23,0.812554739607896,-0.6808907729607352,-0.21441746625389915,-0.4989749894951023,-0.16180169548475618,0.029545,0.05,0.158837
24,0.8359914187357602,-0.7018064159115832,-0.22145822177070906,-0.5142879430261885,-0.16732466800504156,0.029029,0.05,0.157253
25,0.8153056070045462,-0.7238640403191733,-0.22898385072068647,-0.5302745925588158,-0.17330471383702126,0.028531,0.05,0.155686
26,0.8282278459812082,-0.7435511112494514,-0.23577067655604983,-0.5447880560646835,-0.17848416778674236,0.028049,0.05,0.154133
27,0.8303776409915156,-0.7650922777100193,-0.24275731471693204,-0.5607858567627712,-0.18432951323354002,0.027583,0.05,0.152597
28,0.8230119752421959,-0.7843096147215964,-0.24849365309377985,-0.5749336891951078,-0.18888157215366735,0.027132,0.05,0.151076
29,0.8230195525095747,-0.8039884937504888,-0.2548224814969812,-0.5891195013359741,-0.19380648781370796,0.026696,0.05,0.14957
30,0.8253012048192772,-0.8207524767698939,-0.25999403363312734,-0.6011566236070226,-0.1977353141557227,0.026274,0.05,0.148078
31,0.8260730247069736,-0.8381036252127331,-0.26555721660181386,-0.6136471193937741,-0.20185690208704904,0.025865,0.05,0.146602
32,0.8162898209632681,-0.8585172688482399,-0.2723277532086241,-0.6284789040057562,-0.20730515840999303,0.025468,0.05,0.145141
33,0.8266650877163303,-0.8766847924872502,-0.2791435416072785,-0.6420146930814898,-0.21246314969686803,0.025084,0.05,0.143694
34,0.817554701854017,-0.8970194082700194,-0.28642250518490137,-0.6567912311040479,-0.21791446468331568,0.024711,0.05,0.142261
35,0.8280642434488589,-0.9146533184404524,-0.2933319012039781,-0.6694364936604172,-0.22290674664882656,0.024349,0.05,0.140843
36,0.8077740303541315,-0.9332318842252834,-0.29972179952305633,-0.6827046075512156,-0.22777447078147797,0.023997,0.05,0.139439
37,0.8250455434855948,-0.9499753798843801,-0.3051833332928734,-0.6950845318049792,-0.23170150443220347,0.023655,0.05,0.138049
38,0.8301741460147354,-0.966478672431808,-0.3101430094978251,-0.7069538027237005,-0.23563252761922812,0.023323,0.05,0.136673
39,0.8233253448189177,-0.9825909866063949,-0.3148383271004442,-0.7187029200772035,-0.23919777563363986,0.023,0.05,0.13531
40,0.8124304642459795,-1.0001248043880793,-0.31977499541920046,-0.7315439753914769,-0.2425210284580976,0.022686,0.05,0.133961
41,0.8257065609833918,-1.0160753818550465,-0.3249745935292045,-0.7430917306093927,-0.2466325963334214,0.02238,0.05,0.132626
42,0.8306547569170954,-1.0328086480735612,-0.3304639550700759,-0.7554927933680486,-0.25072067421625405,0.022083,0.05,0.131304
43,0.8203227575661886,-1.0505402116611953,-0.33605849224929435,-0.7681809940736748,-0.25524046114541526,0.021793,0.05,0.129995
44,0.819677624744479,-1.0668120054217756,-0.34082882567571615,-0.7798607273743834,-0.25911349981184223,0.021511,0.05,0.128699
45,0.8245737919903158,-1.0816432854583296,-0.34553243074513473,-0.790739623048307,-0.2627100774102268,0.021236,0.05,0.127416
46,0.8250955670310509,-1.0970685112479241,-0.35020836706379427,-0.8021967558108605,-0.2666537144724151,0.020968,0.05,0.126145
47,0.815442371830325,-1.1138152265801822,-0.3549169409971009,-0.81463279460249,-0.2702483741981666,0.020706,0.05,0.124888
48,0.8281236961999967,-1.1279856383919467,-0.3597285755135773,-0.8248957218428148,-0.27414222988609505,0.020451,0.05,0.123643
49,0.8226776415252813,-1.142459209622215,-0.36527083425549517,-0.8352743203362363,-0.2783119366124078,0.020203,0.05,0.12241
50,0.8194864048338368,-1.1563083108674208,-0.36983803457581804,-0.8453455918532983,-0.2816610878391469,0.01996,0.05,0.12119
51,0.8200524510792818,-1.1709381821509803,-0.37499755046671396,-0.8562636874583844,-0.28541582258951476,0.019723,0.05,0.119982
52,0.8267755046970131,-1.1833199069028963,-0.37945822955208386,-0.8655067018279272,-0.2887583222770443,0.019492,0.05,0.118786
53,0.814607305325127,-1.1994409315978738,-0.384124386080459,-0.8773434960017691,-0.29243198868619735,0.019265,0.05,0.117601
54,0.8255219250440178,-1.2127471140683126,-0.3880541446861935,-0.8873220153369505,-0.29561825318062096,0.019045,0.05,0.116429
55,0.8170680680848215,-1.2265720976488255,-0.39272672034779105,-0.8976075519099177,-0.29924744408772996,0.018829,0.05,0.115268
56,0.8255564743405842,-1.240165210897058,-0.39674627418693864,-0.9077403335086264,-0.3023070661491783,0.018618,0.05,0.114119
57,0.8130026809651474,-1.2538728375190304,-0.40096060431811376,-0.9178255831249407,-0.30549150131171,0.018411,0.05,0.112982
58,0.8186201219614628,-1.266831625445094,-0.4046501507729436,-0.927494869657674,-0.3081582979014367,0.01821,0.05,0.111855
59,0.8198634179242896,-1.2808888968165955,-0.408928358962153,-0.9378379257710125,-0.3114547962466592,0.018012,0.05,0.11074
60,0.8194970484867097,-1.2943593239720843,-0.41320350748887125,-0.9475315651520309,-0.31484995697755686,0.017819,0.05,0.109636
61,0.8282899248925244,-1.3068356734404305,-0.4174520636299778,-0.9566608992626161,-0.3179719104840737,0.01763,0.05,0.108543
62,0.822311683061582,-1.3192991825810825,-0.4212575804175393,-0.965806473415799,-0.320914192485959,0.017445,0.05,0.107461
63,0.8223162613320845,-1.3313902021234234,-0.42487441076817395,-0.9744021029567029,-0.3235133672262304,0.017263,0.05,0.10639
64,0.8333026801986323,-1.3425618635750975,-0.42825658902099795,-0.9824576852656798,-0.32601176880916205,0.017086,0.05,0.105329
65,0.8167458412368019,-1.3555220884429584,-0.4326952286806326,-0.9920468940433633,-0.32954539811182004,0.016912,0.05,0.104279
66,0.8269850325525203,-1.3681673480586587,-0.4363432563686196,-1.0013770743815447,-0.3324465150669235,0.016741,0.05,0.10324
67,0.8210932627640029,-1.380346545515863,-0.4403518013782591,-1.0106213021693211,-0.33529981908740847,0.016574,0.05,0.10221
68,0.8160724771411794,-1.391742254755527,-0.44433258671060755,-1.0188025689707303,-0.33815927861064504,0.016411,0.05,0.101191
69,0.8260760299562719,-1.4040387909362262,-0.44778160037100256,-1.027926253502253,-0.3410942225662878,0.01625,0.05,0.100183
70,0.8274257976437276,-1.4157421663338576,-0.4514555479856209,-1.0367704333910934,-0.34384501306812426,0.016093,0.05,0.099184
71,0.8273989540343197,-1.4259488652704715,-0.45484373529179617,-1.044191758593563,-0.34629238073159785,0.015938,0.05,0.098195
72,0.8251633439437092,-1.4368166935195945,-0.4579282637321099,-1.052209338757729,-0.3487647624334872,0.015787,0.05,0.097216
73,0.8258481857080286,-1.4476875446177588,-0.46096147709750124,-1.0600809854911661,-0.35117648603104495,0.015638,0.05,0.096247
74,0.8232799405244661,-1.4588218326316624,-0.4642210092357403,-1.068133181867956,-0.35370531816495876,0.015492,0.05,0.095288
75,0.8280545288073519,-1.4688333577502966,-0.4672382713837858,-1.0754572140635468,-0.3558610159142814,0.015349,0.05,0.094338
76,0.821369146660328,-1.4790255873751164,-0.4702515465806202,-1.0827930507565264,-0.3582448977575214,0.015209,0.05,0.093397
77,0.819828535210328,-1.4888559548117921,-0.4734609442637333,-1.0897851511271854,-0.36092838182661735,0.015071,0.05,0.092466
78,0.8215934075155665,-1.4992696685790505,-0.47713250174954863,-1.0974547024263774,-0.36376363810557133,0.014935,0.05,0.091544
79,0.8230957396208467,-1.5093772696397152,-0.4804653967697513,-1.1049734498675226,-0.36615997535258316,0.014802,0.05,0.090632
80,0.829329707407967,-1.5198170488427525,-0.48336275420671343,-1.1125483513964418,-0.36828602241887254,0.014671,0.05,0.089728
81,0.8163877008049035,-1.5312030446691534,-0.4871598235132137,-1.120933497850275,-0.371235477673965,0.014543,0.05,0.088834
82,0.8315286034253381,-1.5428973698143367,-0.4905075360390751,-1.1297740747630478,-0.3741031328592872,0.014417,0.05,0.087948
83,0.8256953197210318,-1.552636148288496,-0.49389603810657057,-1.1368583390590514,-0.37662379970613785,0.014293,0.05,0.087071
84,0.8263115925175266,-1.5620724202439242,-0.4974151345712832,-1.1437445372010508,-0.3791088075058012,0.014171,0.05,0.086203
85,0.8196325441588705,-1.5716881761925658,-0.5007226469483855,-1.1508253660523267,-0.3814133398320379,0.014051,0.05,0.085344
86,0.8203680149241075,-1.582144284802561,-0.5033163974526368,-1.1584848783424717,-0.38359033651496727,0.013933,0.05,0.084493
87,0.8133104884767856,-1.592833564301431,-0.5067171237394225,-1.1664889171162796,-0.38622563633216556,0.013817,0.05,0.083651
88,0.8240018899125916,-1.6019103510171449,-0.5095545846712252,-1.1731892312992185,-0.38823572449239957,0.013703,0.05,0.082817
89,0.8162246068704866,-1.6115189015069422,-0.5126969973185739,-1.1801945792726525,-0.39078117319622846,0.013591,0.05,0.081991
90,0.8202903415289082,-1.620284862567918,-0.5156407435482246,-1.186647878837595,-0.3929628581476568,0.013481,0.05,0.081174
91,0.8242219215155615,-1.629491314179047,-0.5185514971923316,-1.1934650492625873,-0.3949476970022723,0.013372,0.05,0.080365
92,0.821551957729305,-1.6396731036072143,-0.5218602102607949,-1.2010712662981795,-0.39755274210149183,0.013265,0.05,0.079563
93,0.8212937284907614,-1.6494199280005746,-0.5245540935575828,-1.2081325773425171,-0.3995723938272934,0.01316,0.05,0.07877
94,0.8273270477512399,-1.6584070506093929,-0.5272813406719429,-1.214793353843199,-0.40175456867030507,0.013057,0.05,0.077985
95,0.8240069779924852,-1.6670615688406805,-0.5296417680512115,-1.2210529375057226,-0.40363800075167744,0.012955,0.05,0.077207
96,0.8104353403892575,-1.6771774406451145,-0.532690640097849,-1.2285994162682414,-0.40587075853026766,0.012855,0.05,0.076438
97,0.8103749202832881,-1.6874090438879297,-0.5358991432629552,-1.2361098252281557,-0.40829801207857647,0.012756,0.05,0.075676
98,0.8221563542052612,-1.696483940318529,-0.5384551603999633,-1.242767683400476,-0.4102810534375698,0.012659,0.05,0.074921
99,0.8179046844832842,-1.705762030497802,-0.5411858200399909,-1.2496058165313992,-0.4125435648350323,0.012563,0.05,0.074174
100,0.8143333889537794,-1.7160722636089585,-0.543982571359221,-1.2574454505472512,-0.4148230043438299,0.012469,0.05,0.073435
101,0.8160977750768088,-1.7261132607244307,-0.5467933362651731,-1.2647271037129495,-0.4171647913924315,0.012376,0.05,0.072703
102,0.8261481493892733,-1.7344968774506855,-0.5492963709303227,-1.2709372793308977,-0.419072373326306,0.012284,0.05,0.071978
103,0.8335756305362093,-1.7429633968773022,-0.5521481564751954,-1.2771784315555479,-0.42125081669560155,0.012194,0.05,0.071261
104,0.822896232583874,-1.7515452423834543,-0.5546767814865299,-1.2834541368964842,-0.4233746348538763,0.012105,0.05,0.07055
105,0.8222667334334836,-1.7605277927876222,-0.5572818030144792,-1.2899987565721014,-0.42529089847789836,0.012018,0.05,0.069847
106,0.8148949476851304,-1.769016784134766,-0.5596877264082158,-1.2961913278047008,-0.4272782159741199,0.011931,0.05,0.06915
107,0.8180183237190363,-1.7775065194093933,-0.5626859531102151,-1.3025636673340872,-0.4294410808744723,0.011846,0.05,0.068461
108,0.8217256754958073,-1.7860134144257427,-0.5651455418265731,-1.308881280395704,-0.4313243176875285,0.011762,0.05,0.067779
