episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-0.7687764220288955,-0.5885089640272781,-0.2429938408342423,-0.24866595132662042
1,0.9410190086621751,-1.013368608700171,-0.7523512258043406,-0.3353404779773728,-0.32946985258918093
2,0.9286567877629063,-1.3066831792167948,-0.9603330156196765,-0.4372802039325327,-0.41801903171915467
3,0.9404350049637495,-1.4996871078737275,-1.1020154034035305,-0.49888250912039883,-0.4764922084793078
4,0.9370372564117752,-1.7015150771598757,-1.2483670927794863,-0.5768873927280325,-0.5401849297397361
5,0.9332886151594609,-1.9108460499718978,-1.394901166907176,-0.649382610558846,-0.6078640037189772
6,0.939555286643473,-2.066761126340427,-1.5047898228938585,-0.7144170870990956,-0.6684973932641072
7,0.931345437056631,-2.257363519762683,-1.6442921963252741,-0.7853937867716614,-0.7307468674203443
8,0.9372848601968717,-2.412466409030539,-1.747102015436742,-0.8373779262307804,-0.7850705212426357
9,0.9314151890264303,-2.5799826144450533,-1.8572074831654637,-0.9053193868788144,-0.8420525826522247
10,0.9319231923192319,-2.739433863184493,-1.9568247458124075,-0.9692660703812779,-0.8881386411635523
11,0.9334897572421261,-2.8662288262530438,-2.0454998201210985,-1.0088752950303597,-0.920195215969113
12,0.9402229587225068,-2.9671986788197846,-2.117111435924717,-1.0515614500910773,-0.956742256302253
13,0.9336536401750467,-3.0903516116377676,-2.2042901250738938,-1.1104558222198726,-1.004968680661506
14,0.9396313640730067,-3.1885904456396275,-2.2772832498366014,-1.146489712466765,-1.0332180286504526
15,0.94155491119971,-3.280053393081974,-2.3403873307377934,-1.1886485795813,-1.073597945888091
16,0.9379648104480319,-3.388919993649983,-2.4083665883060714,-1.2401372636049197,-1.1169414763978356
17,0.934247071609709,-3.4889876464530523,-2.482726654294932,-1.278274735727899,-1.1490946678563365
18,0.9363491154576414,-3.574267319224903,-2.548630507286273,-1.3176305126543466,-1.1816362945196746
19,0.9304353072490874,-3.6711797601476714,-2.6239088435008044,-1.3487520706192766,-1.2090471450416278
20,0.9342717332205642,-3.751967150758425,-2.6770515660682475,-1.3887279305442042,-1.241943621831938
21,0.9451025540036961,-3.806124002397636,-2.716643845806038,-1.4191436691045674,-1.2664244078433986
22,0.936816159672959,-3.875719876885937,-2.7711415940561137,-1.4408163214192398,-1.289901433648636
23,0.9371945701357466,-3.943543021158274,-2.820213603497532,-1.4711259217812178,-1.3164781833386607
24,0.940820423695802,-3.994168272187102,-2.8567638395710597,-1.4887901402362471,-1.333042762630158
25,0.9377116594097726,-4.054156444271475,-2.8957737267246326,-1.5126404182590292,-1.353517078775537
26,0.9363541199342007,-4.11421198828511,-2.9431104063932176,-1.5419390400564945,-1.37756015148353
27,0.940819878758778,-4.168292063804612,-2.977960427676908,-1.577649883490248,-1.4078422586342212
28,0.9345769368082828,-4.235197872853874,-3.017480711211498,-1.6068357885307563,-1.4299495605120665
29,0.9338994790255066,-4.302831560833071,-3.0693287543126138,-1.6288549689459964,-1.4500252898535213
30,0.9321062160531081,-4.367359378069295,-3.1122420372907014,-1.6565094854264761,-1.4753560205838112
31,0.9440975050532476,-4.405836896404549,-3.141805679019042,-1.6767273342082911,-1.4906421154349188
32,0.9375491203675714,-4.458531360288308,-3.1774558737131797,-1.7029529061129283,-1.508939354982083
33,0.931592941745226,-4.542328118518397,-3.2281625569292216,-1.7465771384945477,-1.5450780686123717
34,0.9379709285078611,-4.577391055178358,-3.250568157777008,-1.7610771537571546,-1.5590664147281612
35,0.9387081282266778,-4.620499109416377,-3.281859540000127,-1.7792495010664942,-1.5733952609030921
36,0.9369575699132112,-4.6640575835370655,-3.313431364887995,-1.7990897787354023,-1.5905781699905277
37,0.9378192653855509,-4.704139804467964,-3.3443347892802744,-1.817510886372214,-1.6094819080134086
38,0.9392235123367199,-4.741540459777715,-3.3693625378060763,-1.8427806292144133,-1.6315609769653447
39,0.9379170638703527,-4.7803825618776985,-3.39242221317312,-1.8589011788883756,-1.6428902445329039
40,0.9397982330468004,-4.811582813112001,-3.4207183804168717,-1.870735339687904,-1.6563196270746008
41,0.9312381354144695,-4.857786634506592,-3.4555671212138552,-1.8940798614936831,-1.6786217676880753
42,0.939083955395816,-4.875998231381486,-3.472157597039027,-1.899239136155356,-1.6887210855560377
43,0.9406266850398418,-4.895288406399693,-3.4879793522818803,-1.9123920305446849,-1.7007176320983255
44,0.9378640190723361,-4.929552772974109,-3.511740357436856,-1.926064598338415,-1.712653061968039
