episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-0.8475056341849267,-0.6493859517504461,-3.180209898389876,-3.138478924287483,-0.2429938408342423,-0.24866595132662042
1,0.9312141899305132,-0.4349753908768665,-0.3191357788202834,-0.9218259625373602,-0.8574998133573923,-0.175858080566123,-0.1559168079605009
2,0.9336991450918571,-0.5774816870054064,-0.3926748671519799,-1.5147488564190073,-1.3094492616533624,-0.22041661467438953,-0.18495897951492446
3,0.9267625330617457,-0.6151743565174455,-0.4037738259210783,-1.588770822361569,-1.267784534651556,-0.24718679838578028,-0.20096867354380504
4,0.9317130325061588,-0.6640582472118302,-0.4077864230082646,-1.6555897965491122,-1.2437436765648169,-0.28573431765240215,-0.2151961253462323
5,0.9361431170406307,-0.6576940365766403,-0.40059285723820204,-1.5055884231518744,-1.086954068452005,-0.29875877756886365,-0.22459077982481962
6,0.9412353923205342,-0.6661418579545788,-0.38431984112493583,-1.4444598780654248,-0.9513695870195975,-0.30726866821825216,-0.22488552137790746
7,0.9356471658078206,-0.7297543723897215,-0.42002699019383527,-1.6459830119567997,-1.1361580636668074,-0.3364084380887783,-0.2556088589521119
8,0.9354059764563839,-0.7752165459986637,-0.4475209180406886,-1.8033852563637096,-1.2112297470299083,-0.3600690114312186,-0.28280929602279814
9,0.940571220444957,-0.7261101853407228,-0.41045850688660424,-1.4993319167683907,-0.9037759451459071,-0.3551348877179639,-0.26980112128393896
10,0.9313883419843685,-0.7806097571910772,-0.42936615721079385,-1.6232890901098236,-0.9490770189232149,-0.40347191941895144,-0.29540945612415426
11,0.9325856138776731,-0.8282493479266821,-0.446103353945575,-1.7894957075541487,-1.0698994183564892,-0.43630149164975796,-0.32414495095163876
12,0.9360381432169845,-0.8200717089396117,-0.436824021834431,-1.6613357333532537,-0.9545224823155648,-0.4410059581246782,-0.3309605283784969
13,0.9281318483383867,-0.8880056728770834,-0.48367957781391463,-1.8738250305114623,-1.166409456662893,-0.4722723459472765,-0.35581411709978605
14,0.933355517909003,-0.9141962754104384,-0.500672763846446,-1.9113668495461715,-1.2028730941248575,-0.48228693472008227,-0.36725047013269313
15,0.9344987238083932,-0.9502055412832228,-0.5051068290866824,-1.9855398429606737,-1.1972462754147815,-0.505284244566337,-0.3777666871231483
16,0.9287150429537562,-0.971582655756969,-0.5087674276970997,-2.0023570569159523,-1.1673185930366088,-0.530714432234862,-0.392029754806809
17,0.9380530973451328,-0.9403871419299075,-0.4884453528820906,-1.8032442722934408,-0.986439972014989,-0.5296981303691102,-0.3954661244745507
18,0.9342856280010872,-0.9747348757304886,-0.49810091988568644,-1.904309036753908,-1.0214104574388456,-0.5545379631299757,-0.41207585504531025
19,0.9313492897684615,-1.0409365377952469,-0.5350679138986343,-2.1026420887639743,-1.202919707920943,-0.5840700433412125,-0.4370631476580211
20,0.9331244728280516,-1.0237403790402932,-0.5062739830965047,-1.9369434413292403,-0.996990835347087,-0.5961752584751998,-0.4362596133229341
21,0.9346451159522137,-1.0495382325752174,-0.5166523920287615,-1.9734537494695321,-1.0116979245636195,-0.6146847067218176,-0.4527844029698205
22,0.9410184466599009,-1.022774410132633,-0.49192833590781243,-1.7769283506011981,-0.8284088139365154,-0.6176366971486252,-0.452953637701297
