episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_failure_risk,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,repaired_idle_away_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9176298881041454,-2.544373648461638,-0.02350327608984533,-0.010337626684159556,-0.004399726328301605,-0.0069002355438414565,-0.004247262835966871,-0.00023710722671690596,-6.199846809436798e-05,-0.030735432392006948,-0.00023070800831952103,-0.0035419210822114923,-0.008924937243529711,-0.0019917744652398852,-0.00032342504126550513,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9150284185891007,-2.5888446651996007,-0.04669921971577778,-0.020476912525274248,-0.008708964415787765,-0.013808560387330547,-0.008437499243135648,-0.0004311642089043975,-0.0001209180803632429,-0.06151730809797774,-0.00045063207923188697,-0.006549891570976526,-0.017123093820478708,-0.004022841245605012,-0.0006783220243804443,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9087223813591973,-2.635297724527019,-0.07125263748485933,-0.0311835141263179,-0.013402214376061537,-0.020922505988654163,-0.0127722735071721,-0.0006611512154657243,-0.00017898258885403956,-0.09365357902061767,-0.0006847176319698859,-0.010210246911482758,-0.02577260002214957,-0.0061973097005635575,-0.0011718316896845266,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9176657736101809,-2.662700827768969,-0.08710454514198739,-0.03926459487006878,-0.01610754772574576,-0.026836982022089177,-0.016251848573660896,-0.0008420547358120218,-0.00022224453088651703,-0.111651705090975,-0.00046989923269822746,-0.012603258663603406,-0.031192784127857164,-0.007581792546185472,-0.0015425008980014532,0.009172,0.01,0.0,0.97,100,11,1,12
4,0.9143581416926237,-2.704865574953037,-0.10894039820692175,-0.04894170952439833,-0.020215833426030394,-0.03386807243224307,-0.020350510645387586,-0.0010727246308296072,-0.00027669489323570086,-0.14103183141407444,-0.0006854034356467475,-0.015320695618443137,-0.039381401349745035,-0.009091127616484286,-0.0021202405473516547,0.008925,0.01,0.0,0.97,100,11,1,12
5,0.9213217938631,-2.739570813190377,-0.1267777312637445,-0.056548028279492284,-0.023812166609615857,-0.03904259159148471,-0.02368090991619695,-0.0012164224669801804,-0.00032428754463247007,-0.16503987110026946,-0.0009014028191357936,-0.01770705598468554,-0.045200670617118445,-0.010666686851503938,-0.0024472789971541216,0.008692,0.01,0.0,0.97,100,11,1,12
6,0.9221481679951772,-2.774135042089583,-0.14498157617703136,-0.06410107405897811,-0.027512005555490632,-0.04401791913424607,-0.02706656646950648,-0.0013415379325847434,-0.0003665593436175543,-0.1888787137268517,-0.0010615834221903344,-0.019845980239660315,-0.050093840202484474,-0.012414171737807596,-0.002884544958232693,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.908539127244835,-2.815323554558933,-0.1668466637890238,-0.07375989658661884,-0.03158394762741817,-0.05055462321289357,-0.030959715982952742,-0.0016000545839129456,-0.00041699779968880433,-0.21744382244168622,-0.0012299401059358928,-0.0229298699636036,-0.059356118057842557,-0.014398428546181853,-0.0033969543277415793,0.00826,0.01,0.0,0.97,100,11,1,12
8,0.9161633982493045,-2.8324466403783477,-0.17369317792428351,-0.07784650132080465,-0.03300902015269363,-0.055767556249240235,-0.034166392789108394,-0.0017491603528137333,-0.00045229007879176786,-0.22826853936123748,-0.001428187808687152,-0.024459722978044947,-0.0628879789394717,-0.0157590579067482,-0.0038152078147346935,0.008059,0.01,0.0,0.97,100,11,1,12
9,0.9179369107439961,-2.8663304496916098,-0.19122724817321013,-0.0853513489143066,-0.036407600939953856,-0.060878384295876095,-0.037254702002814215,-0.001908881774227565,-0.0004928206692343712,-0.2518455284737125,-0.001579970655353267,-0.026755820290092675,-0.06899083755215071,-0.01720867628045187,-0.0040872047367753695,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9015509216473712,-2.9066759973027954,-0.21283148780064362,-0.0950846554319762,-0.04055831898492671,-0.0672437719476463,-0.04137824020563406,-0.0021400401938183305,-0.0005429862400837598,-0.27964175104184497,-0.0018244691345446853,-0.029497778488099983,-0.07646790371877776,-0.018491163895057946,-0.0046602805062934075,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9143803932782721,-2.9403696374450177,-0.23055643123146516,-0.10286626510469647,-0.04400339812051672,-0.07238657839200964,-0.04470539941568178,-0.002323865228261521,-0.000582498354132837,-0.30305836689266985,-0.001986364653222198,-0.0318478000268594,-0.08316587700272747,-0.019437741441972627,-0.005178683082505353,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9156825696740671,-2.9700393804031373,-0.24623440842614283,-0.109938191010598,-0.04719530556962946,-0.07720656780535833,-0.047882341464055296,-0.0024798203265220947,-0.0006155489968610312,-0.3233607265440879,-0.0021134714349153503,-0.03352344016201326,-0.08816488898169922,-0.021013653382855654,-0.005415721497628267,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.9144754539340955,-2.9907682362333734,-0.2569978226407426,-0.11561882174868268,-0.049356280734285024,-0.08204738548598056,-0.05071794005210039,-0.0026205640019812725,-0.0006546751159951947,-0.33692898890255435,-0.002280110822395868,-0.03502068476899496,-0.09182919201645554,-0.02237637409527253,-0.0059215744301855874,0.007188,0.01,0.0,0.97,100,11,1,12
