episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.921434185661488,-2.529210652531031,-0.029210652531031514,-0.015702395572364913,-0.0074046432348353845,-0.0061218725934925715,-0.004326962775271568,-0.01357357302001874,-0.012824647357452708,-0.01064086930675694,-0.0007060403224095351,0.01,0.01,0.0,0.97,100,12,1,13
1,0.9289965700450602,-2.5660039391597658,-0.06600393915976566,-0.03510645851049613,-0.015075073007541087,-0.011368074936017401,-0.007855446178082775,-0.0227169418401769,-0.021145923375353988,-0.020110055411193616,-0.0009185030580856351,0.009708,0.01,0.0,0.97,100,11,1,12
2,0.9167001742393781,-2.605228421626715,-0.10522842162671504,-0.056493038809483614,-0.023894994328334678,-0.0175956104867967,-0.01237570888257579,-0.039706826738872256,-0.036381995901925875,-0.03348972839286441,-0.0010462921234787386,0.009432,0.01,0.0,0.97,100,12,1,13
3,0.926087029260703,-2.640978249642555,-0.1409782496425551,-0.07598379144624323,-0.03164078963528432,-0.022796701559098707,-0.01609164265702629,-0.05193143725790752,-0.04548919924381607,-0.04345544195280043,-0.0019198740256367063,0.009172,0.01,0.0,0.97,100,11,1,12
4,0.9204658405672255,-2.678339441952171,-0.17833944195217163,-0.09630392697093759,-0.039812572528416384,-0.028306893222314205,-0.0200590119733532,-0.06359724540196295,-0.053582211376537105,-0.05395711674994447,-0.0023069442125882435,0.008925,0.01,0.0,0.97,100,11,1,12
5,0.919487127983663,-2.716386755552575,-0.21638675555257555,-0.11691580601493136,-0.04793023941185445,-0.03371156010087861,-0.023864916162966775,-0.07599161859031997,-0.06156816838167348,-0.06482038099619318,-0.0031337064483380078,0.008692,0.01,0.0,0.97,100,11,1,12
6,0.9171625562616949,-2.753104499227063,-0.2531044992270637,-0.13689038874349724,-0.055861588267180816,-0.0391448237683525,-0.027647832552889714,-0.08757682667020879,-0.0711906107797462,-0.0753453223071827,-0.0034642864783264796,0.00847,0.01,0.0,0.97,100,11,1,12
7,0.9229031016185997,-2.787631605231817,-0.2876316052318172,-0.15563625229706313,-0.06344845649037795,-0.04424321043708518,-0.03109072810352219,-0.09890691023701087,-0.07842093859438962,-0.08593508678061985,-0.003915538309533638,0.00826,0.01,0.0,0.97,100,11,1,12
8,0.9219409640392668,-2.8198364604908646,-0.31983646049086467,-0.17327682495891272,-0.07060306044068282,-0.04885590560022233,-0.034429892522136504,-0.11028037409732389,-0.08865679355022252,-0.09644419438420704,-0.004340074397902432,0.008059,0.01,0.0,0.97,100,11,1,12
9,0.919776495066783,-2.8529186350743148,-0.35291863507431487,-0.1910707063524408,-0.07770245217592085,-0.05380450542880792,-0.03794238343089214,-0.12006069892571371,-0.09703021053991824,-0.10585287345318777,-0.004680063578264175,0.007868,0.01,0.0,0.97,100,11,1,12
10,0.9048418789782174,-2.8915422999477682,-0.3915422999477684,-0.2128541449927154,-0.08689549253489612,-0.05986525185721361,-0.04232130071186553,-0.13523493913639517,-0.1094339388484555,-0.12005402534672142,-0.005879450413126541,0.007686,0.01,0.0,0.97,100,11,1,12
11,0.9269110265134926,-2.9194972982985794,-0.4194972982985796,-0.2278220324174649,-0.09282770449966436,-0.06389721374547182,-0.04506949353377094,-0.14432468603278253,-0.11649029130715567,-0.12871519344825544,-0.006307153820473097,0.007513,0.01,0.0,0.97,100,11,1,12
12,0.9274082066151927,-2.938699261173789,-0.4386992611737896,-0.23824044246211915,-0.09751644125950348,-0.06746621125404625,-0.04783043579487308,-0.15175756098532725,-0.12307146792877581,-0.13492973014208406,-0.006102799561576023,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.9169145949943691,-2.969399156020737,-0.46939915602073723,-0.2548429569973026,-0.10421079548308497,-0.07213475383925977,-0.05087704070558227,-0.16405224082982606,-0.13181702519093022,-0.14449113472643352,-0.006556013748783855,0.007188,0.01,0.0,0.97,100,11,1,12
14,0.9266578316082602,-2.9953672291225075,-0.4953672291225076,-0.26905032540880264,-0.10982966882013587,-0.07584275400907135,-0.05350349209500771,-0.17141423536248085,-0.1367804465693063,-0.15153880740489398,-0.006725408295892791,0.007035,0.01,0.0,0.97,100,11,1,12
15,0.9325808777902628,-3.018440244188577,-0.5184402441885777,-0.2812058896838617,-0.11461620054784513,-0.07916379508891719,-0.0558662637950629,-0.17758967542320497,-0.14249064691370208,-0.1582443706833596,-0.007006443905664217,0.006889,0.01,0.0,0.97,100,10,1,11
16,0.9265132826528386,-3.0432165237016413,-0.5432165237016413,-0.2948267905008945,-0.12017737787103235,-0.08287448867565561,-0.05839354288726682,-0.1847893657043765,-0.1499674032458861,-0.1654642848307583,-0.00714122316464076,0.006749,0.01,0.0,0.97,100,11,1,12
