episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9290040094616585,-2.515570107901492,-0.008141604180843571,-0.0059747362244059335,-0.0009595232769905124,-0.019614724666392434,-0.010689084365428425,-0.0056571824066376395,-0.003422436164211877,-4.9502678975704844e-05,-4.398605857024904e-05,-0.007861931634019128,0.0006368708249181509,0.01,0.01,0.0,0.97,100,12,1,13
1,0.9335506519558676,-2.5495039051179766,-0.02614475298872096,-0.01304565618611389,-0.005118057594142113,-0.05194701287122827,-0.037714210929208354,-0.010313996000625075,-0.006626915458123518,-8.926164317920969e-05,-7.476993813086306e-05,-0.016647182950950423,0.0004487374172985102,0.009708,0.01,0.0,0.97,100,11,1,12
2,0.9255238956731494,-2.585063811837195,-0.04534775606058806,-0.02097278575341541,-0.009289601575597849,-0.08677217440410374,-0.06604485196590773,-0.016105708866957776,-0.010394157176000207,-0.00014326668693577404,-0.00012057405787374416,-0.027310268261542526,3.706711465648304e-05,0.009432,0.01,0.0,0.97,100,11,1,12
3,0.929085733422639,-2.619118358402608,-0.06353335027443677,-0.028260137277512434,-0.01330977824304364,-0.11940664333443075,-0.0928914026021977,-0.021130359817921482,-0.013642151828055407,-0.00019866042577967738,-0.00016288907520877082,-0.0378568724095359,-0.00018533682457741528,0.009172,0.01,0.0,0.97,100,11,1,12
4,0.9279276293988998,-2.653279424866286,-0.081595729733865,-0.03535808080785314,-0.017170072601030716,-0.15220182099439378,-0.11921123816009,-0.026272206090107574,-0.016807318406324403,-0.0002517372957585187,-0.00020445318594202526,-0.04894060662123377,-0.00045325101490128496,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.9252891842576627,-2.6867690058091096,-0.09922017667510548,-0.04243183895629926,-0.021103125710969062,-0.184399802990891,-0.14544821107110523,-0.031209099386768906,-0.020171081539618458,-0.00029470135362428233,-0.0002482388158786629,-0.05907306196280939,-0.0005519306113138185,0.008692,0.01,0.0,0.97,100,11,1,12
6,0.9333177037979771,-2.7151725001735914,-0.11416387824009364,-0.048489432124938656,-0.024144694305875493,-0.2117880011174222,-0.1665219193939794,-0.035552952674029345,-0.02275979970993037,-0.0003398746393192816,-0.0002774847634998852,-0.06786234632386726,-0.0008157279304113775,0.00847,0.01,0.0,0.97,100,11,1,12
7,0.9273148688532791,-2.745141300727116,-0.1301206749970297,-0.055069350300245,-0.027474854057288656,-0.2409033765764808,-0.1898707740489802,-0.04017535134078846,-0.025676653060646874,-0.0003866741284483719,-0.00031660178352553364,-0.07755602633593418,-0.0012426485197220003,0.00826,0.01,0.0,0.97,100,11,1,12
8,0.9332971432448938,-2.7720910666736054,-0.14420499863452513,-0.06088724220994263,-0.0304096510087359,-0.2668529962585831,-0.21039003150615687,-0.04447590477736844,-0.028261290303434924,-0.0004322978401853751,-0.00035067043352890324,-0.08648510465350107,-0.0015359486030986193,0.008059,0.01,0.0,0.97,100,11,1,12
9,0.9322050989025763,-2.7992187492975034,-0.15826110596207923,-0.06658204998551255,-0.033355814239801475,-0.29256776452344896,-0.23108044914506704,-0.048569615402673606,-0.030809664665787724,-0.00047063160766720307,-0.0003825733858250044,-0.09478178792601459,-0.0017727512030702277,0.007868,0.01,0.0,0.97,100,11,1,12
10,0.9185052005444189,-2.831474613776885,-0.17588759958546613,-0.07377201421248254,-0.03718291892745383,-0.3237738941856683,-0.2564942231534204,-0.05357580268864971,-0.03419637904276107,-0.0005475019499487088,-0.00042213061408027046,-0.10621382256033754,-0.002311860236661653,0.007686,0.01,0.0,0.97,100,11,1,12
11,0.9262897609715891,-2.8602949450185795,-0.1914210856442153,-0.08006915626600739,-0.04057121318177342,-0.35140347724534915,-0.2790984520613072,-0.057829551493135456,-0.03705981838841547,-0.0005863468446096144,-0.0004625730432885159,-0.11502285467436937,-0.0025138522510693494,0.007513,0.01,0.0,0.97,100,11,1,12
12,0.9316249409541805,-2.8854698566657975,-0.20466653992986464,-0.08541747339113358,-0.04346853420989015,-0.37563102481710575,-0.2987625951124022,-0.06166412295605709,-0.039631211219614784,-0.0006272499036375892,-0.0004913851334680345,-0.12234590005143446,-0.0028107846204076066,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.9271183591123067,-2.9119154663632627,-0.21875646485963252,-0.09117703563495302,-0.04652639195739734,-0.40143017606770826,-0.31940202932461575,-0.06576126104248577,-0.04210678879534874,-0.0006742042746460052,-0.0005228708904581207,-0.1311871064289743,-0.003003773044105694,0.007188,0.01,0.0,0.97,100,11,1,12
14,0.9335869710319049,-2.9346686766088466,-0.2308955823127719,-0.09629635860251083,-0.04898155216079727,-0.4235596560032872,-0.3365475994628132,-0.06959341557323169,-0.04429794272726974,-0.0007075319110134041,-0.0005614334247259448,-0.13877695329348244,-0.0032761402750413385,0.007035,0.01,0.0,0.97,100,11,1,12
15,0.9335885681661713,-2.9567925246244235,-0.24231582304938354,-0.10087410092216127,-0.05139571891836534,-0.44474343875767175,-0.353565632517711,-0.07313813061804036,-0.04645027604739887,-0.000743613191641435,-0.0005843163081212013,-0.1453607382662923,-0.0035072310428618083,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.9297906656362354,-2.980402293726987,-0.2547788964015286,-0.10599569550543532,-0.05403625268448679,-0.4675302550039362,-0.3718119752154268,-0.07685951843982194,-0.048735551428328056,-0.0007808603208996448,-0.0006121707127434818,-0.15277756023885627,-0.0036610865038491746,0.006749,0.01,0.0,0.97,100,11,1,12
17,0.9314163032085743,-3.002910487796552,-0.2665149297189262,-0.11073829939716147,-0.05644176623318066,-0.4890203708658954,-0.3886955231778225,-0.08017819114279687,-0.05077796195225687,-0.0008148411608935126,-0.0006359861253888838,-0.1597574377971839,-0.003894727923078889,0.006615,0.01,0.0,0.97,100,11,1,12
18,0.9294205919132972,-3.025724583955387,-0.2784741905810804,-0.11549241238653836,-0.05896130959743352,-0.5108107093171536,-0.40599049655062935,-0.08355655885745779,-0.05292425999083292,-0.0008575815199867547,-0.0006601140087286921,-0.16743119683041355,-0.004013503606169308,0.006486,0.01,0.0,0.97,100,11,1,12
19,0.9270136223120562,-3.0476473542978706,-0.2900969025802536,-0.12044123087854025,-0.06131587204482784,-0.532154874597617,-0.4225467474513797,-0.08736174571156251,-0.055133161023253704,-0.0009001413038816967,-0.0006853270333239538,-0.17511365021098121,-0.004103742037838941,0.006362,0.01,0.0,0.97,100,11,1,12
20,0.9317331462550945,-3.0691177435579826,-0.3012961054917091,-0.12494425474253897,-0.06374468555763732,-0.5526624120973894,-0.43919531823220037,-0.09056428450318124,-0.05718706276760516,-0.0009357169649704713,-0.0007054375733997589,-0.18117668095330156,-0.004354179610275819,0.006242,0.01,0.0,0.97,100,11,1,12
21,0.9269579974543911,-3.0910370185457374,-0.3128821874747784,-0.12975962587839412,-0.06601363114786192,-0.573731705984968,-0.4555487415005152,-0.09407268420734792,-0.05924564100628971,-0.0009902033667409896,-0.0007335953850614393,-0.19012346133502664,-0.004655650155453451,0.006127,0.01,0.0,0.97,100,11,1,12
22,0.9279434378551848,-3.1118279094607955,-0.3240720986812018,-0.13437502147902497,-0.06848131556666374,-0.5940579435537999,-0.47218302587026467,-0.09734105958426116,-0.061397816684063904,-0.001018758615387575,-0.0007592353897076467,-0.19639248946457108,-0.004697731964870716,0.006016,0.01,0.0,0.97,100,11,1,12
23,0.9272972290069906,-3.1258408427384845,-0.3317096459288662,-0.13819615589035353,-0.07011222712911169,-0.6085066801379064,-0.4831277353950553,-0.10044816537366558,-0.06357058062423553,-0.0010431361819786393,-0.0007841407906393509,-0.20139423589760497,-0.0043705987436894285,0.005909,0.01,0.0,0.97,100,11,1,12
24,0.9330526525993477,-3.1444364556733246,-0.3413879868546426,-0.14207498171032987,-0.07218860481510836,-0.6262610717070497,-0.4973828603340475,-0.1032212736044536,-0.06546650324565294,-0.0010690476341727573,-0.0008079487099887491,-0.2070102609770005,-0.00447938288480309,0.005806,0.01,0.0,0.97,100,11,1,12
25,0.9273049047699309,-3.1641115018686077,-0.3514833891886013,-0.14628190740055907,-0.07428405883953755,-0.6453731288422202,-0.5122377171579592,-0.10637761767197014,-0.06751045925963149,-0.0011058336851772995,-0.0008349397485586449,-0.21336004711142528,-0.00453601925943492,0.005706,0.01,0.0,0.97,100,11,1,12
26,0.9216181622204258,-3.1857744956058207,-0.3628562459495313,-0.15093394332676488,-0.07659771255183094,-0.6661569113127178,-0.528381219027298,-0.10978405200939717,-0.06955525859002129,-0.0011418930788628541,-0.0008621197369267028,-0.22077871366464163,-0.00480496759177643,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9319628161130177,-3.2032753595386363,-0.3721477665016072,-0.15478390652255497,-0.07850768200777646,-0.6830665255749437,-0.5417091824623685,-0.11252675737223813,-0.07128262960807304,-0.0011694825931189941,-0.000885975939048194,-0.22658877329992463,-0.004938753485513571,0.005517,0.01,0.0,0.97,100,11,1,12
28,0.92843916234597,-3.2219480915171417,-0.3820116612375468,-0.1588593579198273,-0.08061625013404203,-0.701088977414942,-0.5560803091452379,-0.11577557956528221,-0.07326720290617916,-0.001196884452080414,-0.0009092763635663171,-0.23204772857616843,-0.005097229885207578,0.005426,0.01,0.0,0.97,100,11,1,12
29,0.9344736974241384,-3.238125590645958,-0.39074351853179096,-0.1624395986188469,-0.08251009448804157,-0.7166695155153031,-0.5688065153678645,-0.1183275235148894,-0.07487964928600976,-0.0012264301848170388,-0.0009316432098966773,-0.23735485414364235,-0.005240974750169536,0.005339,0.01,0.0,0.97,100,11,1,12
30,0.9276666553468944,-3.2558863429037617,-0.4002386187721409,-0.16625714990006388,-0.08457801635478256,-0.7338360312822065,-0.5826953329332017,-0.1210369273763616,-0.07655915880972733,-0.0012546403196622765,-0.0009496841175766063,-0.24264264185351708,-0.005351049675884317,0.005255,0.01,0.0,0.97,100,11,1,12
31,0.933049659760566,-3.2716986153357768,-0.4084647731026958,-0.1696189103917931,-0.08632399598287747,-0.7490613502457045,-0.5949244949264868,-0.1236085463923804,-0.07823517194599011,-0.0012781912031637256,-0.0009696556591916884,-0.24729059048234409,-0.005415120628417084,0.005173,0.01,0.0,0.97,100,11,1,12
32,0.9334273340719106,-3.2877540321145386,-0.4169601160393239,-0.17302707297420292,-0.08815932977239742,-0.7644294818589926,-0.6074391717496521,-0.12597847060399733,-0.07973998455524905,-0.0013035016348705657,-0.0009862496684280406,-0.2524328255832578,-0.0054819783566913746,0.005094,0.01,0.0,0.97,100,11,1,12
33,0.9315156646909399,-3.3034998488360303,-0.42528496066205285,-0.1765118178300111,-0.08997305136667468,-0.7797116127362065,-0.6198172695713582,-0.1285215555513053,-0.08139238366657961,-0.0013325638307498272,-0.0010044338009028843,-0.2575320946876282,-0.00565914977600412,0.005017,0.01,0.0,0.97,100,11,1,12
34,0.9323227938966979,-3.3186311503624433,-0.43309512519742405,-0.17976383412944313,-0.09153934856769913,-0.794482260134996,-0.6309945792960161,-0.13095544215249447,-0.0829183662869791,-0.0013568764401254518,-0.0010242445483041535,-0.26203763722405987,-0.005740985131269247,0.004942,0.01,0.0,0.97,100,11,1,12
35,0.9339066838220356,-3.333580470906778,-0.4408832716435492,-0.18285721583272155,-0.09314891563716446,-0.8087103836903193,-0.6422335877559916,-0.13318719738558057,-0.08430706801159625,-0.0013803881435809366,-0.0010389608158474025,-0.26685202521330714,-0.0058723611637977275,0.00487,0.01,0.0,0.97,100,11,1,12
36,0.9228964865503392,-3.3505499251768582,-0.4501878795240339,-0.18682400670398064,-0.09525077097625631,-0.8255998226136916,-0.6560414472612964,-0.13602761719258913,-0.0861083392380248,-0.0014085856136997605,-0.0010593271041512543,-0.2715996793755939,-0.005991694533447333,0.004799,0.01,0.0,0.97,100,11,1,12
37,0.9287146887853962,-3.365753881064338,-0.45822806888462786,-0.19017579177614363,-0.09699634682535975,-0.8404427807277489,-0.6678754137640217,-0.13843500856163057,-0.0877387517371347,-0.0014310573891871262,-0.001079074129565557,-0.27586567801937556,-0.00606562549708928,0.004731,0.01,0.0,0.97,100,11,1,12
38,0.9353101087394281,-3.3798969352672477,-0.4655721859208167,-0.19318919198746926,-0.09853071718914665,-0.8539519326389565,-0.6784331779398877,-0.14060429452642964,-0.08915704322468829,-0.0014552544752056526,-0.0010926556236981015,-0.27997278581582963,-0.006138449131116502,0.004665,0.01,0.0,0.97,100,11,1,12
39,0.925055797016328,-3.3957037196870354,-0.4741146075151442,-0.19679428252699022,-0.10033182490196668,-0.8692710960571993,-0.690718214395169,-0.14326122028498386,-0.0907903603576982,-0.0014854273613026628,-0.0011102650096464193,-0.28546243813417693,-0.006223484072645913,0.0046,0.01,0.0,0.97,100,11,1,12
40,0.9262445400286753,-3.4119276804225835,-0.482842606869073,-0.20037009500149902,-0.10220005347649204,-0.8849177491495276,-0.7031975118579383,-0.14587388511474164,-0.09241698944087731,-0.0015135599520516051,-0.0011253658874041655,-0.2904189651902406,-0.006186881136473442,0.004537,0.01,0.0,0.97,100,11,1,12
41,0.9300058818586674,-3.425505989252286,-0.48992426662496225,-0.20329009922479144,-0.10374949923933456,-0.8981368909189816,-0.7138698601322324,-0.14805298275202242,-0.09382318771973089,-0.0015344327524264866,-0.0011415872157464564,-0.29479511138042935,-0.006207988706194438,0.004476,0.01,0.0,0.97,100,11,1,12
42,0.933502205968697,-3.4387736290322604,-0.4970507371515,-0.2062133860699391,-0.10536981303305636,-0.9110646876605849,-0.7244961184518818,-0.15000424812630886,-0.09525110292243434,-0.0015547504730793263,-0.0011587534060769232,-0.29901407949274583,-0.0062876276890888195,0.004417,0.01,0.0,0.97,100,11,1,12
43,0.9277431162132934,-3.4538787843929537,-0.5050938678700311,-0.2095316370852735,-0.10708553571816642,-0.9256482250845675,-0.736146935652888,-0.15231372398430776,-0.09683933359444755,-0.0015780552545268025,-0.0011783817947854645,-0.30393971894671695,-0.006399524299099292,0.004359,0.01,0.0,0.97,100,11,1,12
44,0.9329418672930123,-3.466643341381751,-0.5118195165093054,-0.21229639458589675,-0.1085063563185149,-0.9379475581488329,-0.7458563749237939,-0.15431730172157423,-0.09810517318326391,-0.0016022670339333417,-0.0011952426555082714,-0.30807284492050124,-0.006498980163632672,0.004302,0.01,0.0,0.97,100,11,1,12
45,0.9326164150721126,-3.479606931914056,-0.5187826546291605,-0.21507720234885155,-0.11006015760853344,-0.9503955263228743,-0.756171969165314,-0.15619478149411994,-0.0994489564896298,-0.0016205544068548833,-0.001210208496721617,-0.3118884045857184,-0.006647091606941653,0.004247,0.01,0.0,0.97,100,11,1,12
46,0.9302372403610617,-3.493037073107383,-0.5258407345387079,-0.21798551032940755,-0.11153007567610512,-0.9633000833885104,-0.7664468134318984,-0.15842457656964262,-0.1008327907889402,-0.0016429151430722574,-0.0012273190445145248,-0.31609359991619085,-0.006757127526206962,0.004194,0.01,0.0,0.97,100,11,1,12
