episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_failure_risk,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,repaired_idle_away_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.9015509216473712,-2.9066759973201686,-0.2128314878070134,-0.0950846554369217,-0.040558318985636124,-0.06724377199054367,-0.041378240233310944,-0.002140040195532583,-0.0005429862406212825,-0.2796417510463402,-0.001824469134282417,-0.02949777848969874,-0.07646790371885873,-0.01849116389608323,-0.004660280506743705,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9143803932782721,-2.9403696374722865,-0.23055643124315398,-0.10286626511222775,-0.04400339812251695,-0.0723865784406541,-0.044705399438495955,-0.0023238652299986486,-0.0005824983546462413,-0.303058366906064,-0.0019863646529588368,-0.0318478000292826,-0.08316587700510751,-0.019437741442983693,-0.005178683082998117,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9156825696740671,-2.9700393804323992,-0.2462344084430743,-0.10993819101624243,-0.04719530557132635,-0.07720656783686809,-0.04788234149394456,-0.0024798203283709548,-0.0006155489974369589,-0.323360726562188,-0.0021134714346199173,-0.03352344016249346,-0.08816488898499329,-0.02101365338362245,-0.005415721498307278,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.9144754539340955,-2.990768236267722,-0.25699782266133914,-0.11561882175562405,-0.04935628073615134,-0.08204738551938971,-0.050717940097105826,-0.0026205640040658576,-0.0006546751165921921,-0.3369289889243361,-0.0022801108221464556,-0.035020684770000234,-0.09182919201888777,-0.022376374096546598,-0.005921574431023579,0.007188,0.01,0.0,0.97,100,11,1,12
14,0.9178514217060473,-3.014649484300433,-0.26966298200527944,-0.12180191169920641,-0.05163868386359528,-0.08664620529795969,-0.05351323691634243,-0.002762692654045573,-0.0006957540611098643,-0.35312167509550113,-0.002416978610412397,-0.03666759255206709,-0.09606506179841379,-0.02397726566997426,-0.006183463318245938,0.007035,0.01,0.0,0.97,100,11,1,12
15,0.9241683878226118,-3.04036031924742,-0.28308901054569247,-0.12777772175407154,-0.05416666911723456,-0.09071741757314285,-0.055837747973244665,-0.002886206563819113,-0.000726490903517007,-0.37084735539295605,-0.0025516449735365366,-0.038331216127046125,-0.10122790324786522,-0.02512991356006913,-0.006408779585167373,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.9169382749235577,-3.069964998689021,-0.2985597579187176,-0.13464192183412613,-0.05692440376661596,-0.09523001691078693,-0.05832910068500782,-0.0030384153363299973,-0.0007577693140350838,-0.3914441829839904,-0.0027013154437133236,-0.04051641174465822,-0.10779096383040383,-0.026744823097418147,-0.0066492431045115895,0.006749,0.01,0.0,0.97,100,11,1,12
17,0.9114683706934442,-3.100195274815828,-0.31415806560044834,-0.14143103136397353,-0.059792776355679964,-0.10006419884854857,-0.06096186946601486,-0.0031806178888898135,-0.000794616062376882,-0.4123164515218542,-0.0028476904444047673,-0.04272197835231544,-0.11362314354772655,-0.02769253928702674,-0.006907788612601252,0.006615,0.01,0.0,0.97,100,10,1,11
18,0.9097624010004168,-3.127931275923983,-0.32861899921689414,-0.1480380408260219,-0.062441877263921246,-0.10460861195771412,-0.06391709364143815,-0.003346936378712394,-0.0008294700953222705,-0.43139263921599474,-0.003001623691426526,-0.04430802477926348,-0.11884418249802624,-0.028911456130930293,-0.007301329070680257,0.006486,0.01,0.0,0.97,100,11,1,12
19,0.9172639874987261,-3.1539151594898978,-0.34227238843684665,-0.15409424613483388,-0.06507911476239815,-0.10860685327104029,-0.06655274357506039,-0.003472809018289213,-0.0008599408576922483,-0.44926549885620815,-0.0031336080623998947,-0.04605054343984642,-0.1234611351257109,-0.030231037309519957,-0.007764198006057067,0.006362,0.01,0.0,0.97,100,11,1,12
20,0.9140275272265651,-3.181871182605998,-0.356954034718176,-0.16065137498589915,-0.0677714431810626,-0.11298508085750177,-0.0691592390304176,-0.003628232858449628,-0.0008910465373156253,-0.46872828304113207,-0.0032471968476101695,-0.04774622043629582,-0.12946095362389237,-0.03132594444046129,-0.008153603399390745,0.006242,0.01,0.0,0.97,100,11,1,12
21,0.9123631735256682,-3.2086554798258136,-0.3709290956093292,-0.16706057796686186,-0.07013694908403567,-0.11742348871065862,-0.0717479858900705,-0.0037817078909469118,-0.0009354314406852596,-0.48721451854168263,-0.0033805830504685316,-0.05011953620693788,-0.13572306881278262,-0.0322679885220267,-0.008493096454178343,0.006127,0.01,0.0,0.97,100,11,1,12
22,0.9167613826302066,-3.2345393515109127,-0.38445628687276906,-0.172991048329386,-0.07271991648471751,-0.12156064993907513,-0.07410777362816535,-0.003914353071002788,-0.0009669309925455197,-0.5051705300110266,-0.003510033850983765,-0.05169672743046897,-0.14108853440716165,-0.03330873599136578,-0.008735673133873105,0.006016,0.01,0.0,0.97,100,10,1,11
23,0.9152530952581488,-3.2602027781214082,-0.3981330807848622,-0.1789067020727389,-0.0753620942126163,-0.12541211999098284,-0.07659586157010037,-0.004037062753733111,-0.000995917500014761,-0.5229821759006162,-0.0036278395720475303,-0.05336526383987502,-0.14565875803380876,-0.0342735732340384,-0.0091150162032135,0.005909,0.01,0.0,0.97,100,10,1,11
24,0.9188078279970712,-3.2838868742593044,-0.41034537416039885,-0.18418708959201813,-0.07777188339087474,-0.12905337438795417,-0.0788655861281958,-0.004146604230141891,-0.001021852967647701,-0.5394065348376146,-0.003709766838128798,-0.05445130225291773,-0.14972776797381965,-0.0351881335398022,-0.00937258453819464,0.005806,0.01,0.0,0.97,100,11,1,12
25,0.9146806000337098,-3.3086756564032305,-0.4232773338419688,-0.18979857972449604,-0.08030280268352487,-0.1328095636553277,-0.08132150377622273,-0.004267297068990749,-0.0010560532259204548,-0.5565923120615698,-0.003827236225813961,-0.05623504535570233,-0.15391066414376373,-0.03626385588021865,-0.009594531816322102,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9138877661007815,-3.333247101608519,-0.4361332651974957,-0.1954890429688402,-0.08269830880062523,-0.13653944701876106,-0.08369849947494198,-0.004379131475216274,-0.001090074735775685,-0.5735760238256868,-0.003947579670553164,-0.058290578943063734,-0.15866035403023676,-0.037213648994453605,-0.009754983512497841,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9150867957218538,-3.357365097550808,-0.4487479030568138,-0.2009595015379332,-0.08514367192044756,-0.1401906971800911,-0.08595543426125479,-0.004492777601965313,-0.001117721069786274,-0.5903073593812987,-0.0040604028847156725,-0.05968211082847967,-0.16298922835405266,-0.03835168426902833,-0.009937088408769758,0.005517,0.01,0.0,0.97,100,10,1,11
28,0.9168742845599623,-3.380109907153546,-0.4604569803824798,-0.20622857883998627,-0.08726782641901297,-0.14383474539934962,-0.08813275530101443,-0.004614451930683595,-0.0011453247735003036,-0.6060813349731988,-0.004153522050362768,-0.06115485572083391,-0.16738969783794064,-0.039118138919590734,-0.010153012852394302,0.005426,0.01,0.0,0.97,100,11,1,12
29,0.9157112491003733,-3.402639736826413,-0.4722750206643639,-0.21144245854097685,-0.08956395496957364,-0.14739677956492037,-0.09038677165032719,-0.0047103155960223795,-0.0011786907864783812,-0.6215722181757287,-0.004254503376355443,-0.062920888842005,-0.1709287152601297,-0.040457667081106444,-0.010365857170774912,0.005339,0.01,0.0,0.97,100,11,1,12
30,0.9161374673141577,-3.4246187938499815,-0.4838156373773402,-0.21651409138562258,-0.09174449585560751,-0.1507015667447604,-0.09245384362308012,-0.004828019778730794,-0.0012066673886607236,-0.636762402446065,-0.004352773615013776,-0.06451560225505415,-0.1752736921630936,-0.04143076183025716,-0.010621512883070259,0.005255,0.01,0.0,0.97,100,11,0,11
31,0.9165526906776084,-3.44468170010868,-0.4944181255438679,-0.2213128250532294,-0.09374024203936825,-0.1541904951037144,-0.09469545326997367,-0.004944661327924708,-0.0012365810610139034,-0.6505843748389724,-0.004425223614654466,-0.06634371498263916,-0.17946357190220838,-0.042518843940566334,-0.010869998842675602,0.005173,0.01,0.0,0.97,100,11,1,12
32,0.9113875180447847,-3.4676358085598755,-0.5066393709134482,-0.2268023734424787,-0.09601026757417397,-0.15785181796638534,-0.09693014791080434,-0.005079068400608098,-0.0012634485229477224,-0.666466795744596,-0.004531351227854457,-0.06792846633547704,-0.18449157793879817,-0.0434897226421245,-0.011119054038725765,0.005094,0.01,0.0,0.97,100,10,1,11
33,0.922320067739204,-3.485173239017613,-0.5158552655437043,-0.23099128840959235,-0.0977501734996044,-0.16084257778887232,-0.09884075642565056,-0.005166239071368541,-0.0012888761349205652,-0.6783721171494516,-0.004585827051083141,-0.06941718624359201,-0.1875735355732328,-0.04436942876818738,-0.011346412086046961,0.005017,0.01,0.0,0.97,100,11,1,12
34,0.9169977630129211,-3.5048083209449485,-0.5262721891869266,-0.23558518964227815,-0.0996978985912909,-0.16401436720257337,-0.10076221520921942,-0.00525809810648106,-0.0013164482738069973,-0.6918971328685781,-0.0045932834312765935,-0.07083728019974449,-0.19107733445835004,-0.045333121162871685,-0.011520002796966439,0.004942,0.01,0.0,0.97,100,11,1,12
35,0.9097311573102187,-3.526855826853304,-0.5377550618757617,-0.24085231675094618,-0.10168043247453823,-0.1677298582177778,-0.1027290059141026,-0.005397035546179037,-0.0013416982431446785,-0.7072562022913373,-0.004673953741060896,-0.07269460932067805,-0.19627147154246463,-0.04635421267372579,-0.011735761097980413,0.00487,0.01,0.0,0.97,100,11,1,12
36,0.9195551655472679,-3.5459658140496253,-0.547699465822243,-0.24511580454547477,-0.10373018915336407,-0.17055408865999083,-0.10452787853067277,-0.005470422082198495,-0.001365256392498084,-0.7203890442799518,-0.004755229640312349,-0.07392188205127523,-0.19897057465497364,-0.04732404018311253,-0.011974697790781896,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.9190434102729714,-3.5647297280803665,-0.5574889482654941,-0.24934789787348954,-0.10564317180472338,-0.17339989614922025,-0.10627554363374828,-0.00555248608392758,-0.0013886242296565216,-0.7333710209708308,-0.004848465640683008,-0.0750811036587217,-0.20196011687086526,-0.048210890361636574,-0.012121201018524269,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9128574305275876,-3.58532743353165,-0.5681061585172982,-0.2539654483733367,-0.10768390215169256,-0.17665798378395617,-0.10826955001832199,-0.005644815366258812,-0.0014164152264022443,-0.7475558758678065,-0.004931414941600045,-0.07672715406500318,-0.20520203956971228,-0.048834198113452645,-0.012449488863011818,0.004665,0.01,0.0,0.97,100,10,1,11
39,0.9096675672500881,-3.60656161315941,-0.5794968041769569,-0.2589750110566924,-0.10990246490858652,-0.18015212623795543,-0.11044162357844613,-0.005744008591994681,-0.0014476939089788348,-0.7622149576081675,-0.005023095461578844,-0.07891442790559607,-0.20898076075104519,-0.05004449344599606,-0.01257273568388282,0.0046,0.01,0.0,0.97,100,10,1,11
40,0.9106231869560868,-3.627217123736089,-0.5904443891713966,-0.2637283217819598,-0.11214552691165888,-0.18352258084509956,-0.11249582505147204,-0.005843986875362995,-0.0014669594896662478,-0.7764298188113615,-0.0051211887184031005,-0.08005889959857562,-0.2127273516196915,-0.050935370525792896,-0.012775206514506126,0.004537,0.01,0.0,0.97,100,11,1,12
41,0.904848332072935,-3.6457699831224546,-0.6004922350415921,-0.2685465626656261,-0.11393995440780683,-0.1871279012419999,-0.11445628163308712,-0.005963781156518126,-0.0014943226722097757,-0.7891228455367546,-0.005172252970521046,-0.08141438352760237,-0.21685829604436901,-0.05174891236069624,-0.013054236753301748,0.004476,0.01,0.0,0.97,100,11,1,12
42,0.9215245508379326,-3.6628845896999045,-0.6093306173655084,-0.2724514366710108,-0.11557038659784356,-0.1898238550173253,-0.11608214299215434,-0.006043290847069812,-0.0015188290311849745,-0.80097927285399,-0.0052610970655828015,-0.08281826632729751,-0.22035634336631874,-0.052427444277230235,-0.01324006630994077,0.004417,0.01,0.0,0.97,100,10,1,11
43,0.918842026453706,-3.680582309414095,-0.618525325427516,-0.27646345233343844,-0.11736080373404487,-0.19249729410385147,-0.11787230646654207,-0.006137076288193642,-0.0015415884617032934,-0.8132056699697058,-0.005334241038261796,-0.08398378553200767,-0.22394771080622025,-0.053166836367481804,-0.013403571374187817,0.004359,0.01,0.0,0.97,100,10,1,11
44,0.9160473114671588,-3.69848279150518,-0.6279252312259198,-0.28067057567199094,-0.11912481450944311,-0.19531187650053047,-0.11962945023881068,-0.00622261455712647,-0.0015685431089132239,-0.8256050198233291,-0.00543341401876187,-0.0854165141572782,-0.22723531978770184,-0.05404514578851988,-0.013723737112257965,0.004302,0.01,0.0,0.97,100,10,1,11
45,0.9176890324969287,-3.7156998688037017,-0.6368907085159297,-0.2846427061958646,-0.12082224116271935,-0.19806432000036955,-0.12130365969256351,-0.006313560758397932,-0.0015899510527350989,-0.8375201776446608,-0.005514282289881354,-0.08658431884536569,-0.23061436218182543,-0.0547224141358594,-0.013958573538746907,0.004247,0.01,0.0,0.97,100,10,1,11
46,0.9163954229723835,-3.731737949411289,-0.6451644367806401,-0.2885739186807619,-0.12217081971427098,-0.20098113878892945,-0.12290888980424866,-0.0064112669286015105,-0.001612922259826829,-0.8485797477126694,-0.005564779164738933,-0.08792784844056274,-0.2340556272777613,-0.055538079164363145,-0.01429455145407436,0.004194,0.01,0.0,0.97,100,11,1,12
47,0.9177698360765759,-3.746675876906607,-0.6531966828329476,-0.2922601076492019,-0.12369338889688873,-0.20347271152291654,-0.12442586238437525,-0.006489552056079472,-0.0016350604162841242,-0.858766778245734,-0.005644023771783699,-0.08902786987031414,-0.23743997162687802,-0.05655524932489889,-0.014472345358004648,0.004141,0.01,0.0,0.97,100,11,1,12
48,0.9139793882978724,-3.7644133762739287,-0.6626352282323941,-0.2964496464987925,-0.1255293194595351,-0.20633154342168605,-0.12616580062686716,-0.006571432171923651,-0.0016585195422223378,-0.8710593123277223,-0.0057180551469386744,-0.09015378037435764,-0.2407632663710955,-0.057286183877499855,-0.014628094219788019,0.00409,0.01,0.0,0.97,100,10,1,11
49,0.9179292929292929,-3.780244994999162,-0.6706940829212245,-0.300151413245756,-0.12699049830303083,-0.2089867146473121,-0.1276920858459941,-0.006659081502635489,-0.0016803355447434507,-0.8820663045417108,-0.005793484834753012,-0.09137669772133468,-0.24394467586935356,-0.05798346237878498,-0.01491901440022987,0.004041,0.01,0.0,0.97,100,11,1,12
50,0.9141994464480416,-3.797240462992262,-0.6796828545990218,-0.30412719418528533,-0.12875029107205657,-0.21166074393643314,-0.12939798960050655,-0.006744372220234034,-0.001703135026370508,-0.89375286913275,-0.0058738650093914276,-0.0927322041697465,-0.24709116345388443,-0.05864458330820384,-0.015252432954091696,0.003992,0.01,0.0,0.97,100,10,1,11
51,0.915050505050505,-3.8048215991276106,-0.6839233222523189,-0.306867021804429,-0.12951196158509382,-0.21415138667802647,-0.13094525562690604,-0.0068128621323299806,-0.0017217046553849647,-0.8984462233398692,-0.005890237244013791,-0.09354084437305307,-0.24909988615062742,-0.059328635573641354,-0.015406915183010622,0.003945,0.01,0.0,0.97,100,11,1,12
52,0.9136729222520107,-3.8215344553381523,-0.6926334666464569,-0.3106435355221317,-0.13123010690011475,-0.2168577763796669,-0.13252740881574288,-0.006887477549480565,-0.0017403092230321266,-0.9100120431333215,-0.005960818387130382,-0.09464376887168793,-0.2519154904055484,-0.06006341785166743,-0.015574667818435578,0.003898,0.01,0.0,0.97,100,10,1,11
53,0.9115927706403578,-3.8354365532591834,-0.6999912459121792,-0.31419334408848776,-0.13256230063348354,-0.21944746452447975,-0.13414224980615805,-0.006964170286429684,-0.001762060176955394,-0.9194279917152672,-0.0059776392084811775,-0.09584618830677291,-0.2545150846722435,-0.06067129989586651,-0.015775165471412295,0.003853,0.01,0.0,0.97,100,11,1,12
54,0.9130485840826734,-3.8518497102467415,-0.7087788446835863,-0.3180662867226587,-0.13434554284024544,-0.22220452229070922,-0.1358700699034761,-0.007035563926326258,-0.0017849778766320353,-0.9306871306359085,-0.006059954768373735,-0.09726608284825532,-0.2571619108065435,-0.06124365231204198,-0.015987635904029955,0.003809,0.01,0.0,0.97,100,10,1,11
55,0.9124746637184448,-3.868219515344537,-0.7174158329299907,-0.32184818419142275,-0.1359838760496051,-0.2247998555334253,-0.13743194150989552,-0.007113163343097149,-0.0018043933207663881,-0.9419909710003119,-0.006132461408864107,-0.09831709590251114,-0.259947025631711,-0.061958713830706356,-0.01629472320744156,0.003766,0.01,0.0,0.97,100,10,1,11
56,0.9201663691779207,-3.8825242260344957,-0.7249070807996099,-0.32530497097237143,-0.13735840149621614,-0.22724383238807336,-0.1389007812699443,-0.00719850745275116,-0.0018226873045476346,-0.9519081605379681,-0.006212326186720926,-0.09936275410365832,-0.2628574161657807,-0.06285148635987485,-0.01640987990068744,0.003724,0.01,0.0,0.97,100,11,1,12
57,0.9166694628057578,-3.897538013619604,-0.7326229326690149,-0.32874994835236815,-0.13873739110014116,-0.22963318803613647,-0.14033674049905875,-0.0072770823321777825,-0.0018435608176372406,-0.9622234059638841,-0.006273557990488977,-0.10049147738388077,-0.2657409246656831,-0.06347809695843475,-0.01663564740402768,0.003682,0.01,0.0,0.97,100,10,1,11
58,0.9141492296306264,-3.9129238868689358,-0.7406643694468817,-0.33220608608852736,-0.14029837643030102,-0.23203718429031284,-0.1418385771180334,-0.00735105782633049,-0.0018575191904518999,-0.9729477601432468,-0.0063365557278759355,-0.1010771676705892,-0.2685658988688608,-0.06436286679880175,-0.016810044873437346,0.003642,0.01,0.0,0.97,100,10,1,11
59,0.9186656988031129,-3.9251622816112013,-0.747179913823171,-0.3352587651514187,-0.14147031734656798,-0.23425345318147886,-0.1432178433283005,-0.007415427962849888,-0.0018763931958381327,-0.9813089005622169,-0.006377663833107628,-0.10194452430739429,-0.27085531873260615,-0.06494220836337557,-0.016988105545175467,0.003602,0.01,0.0,0.97,100,11,1,12
60,0.9128714879805254,-3.939477667062669,-0.7547878088358388,-0.33875609809291013,-0.14281414416864008,-0.23659765465762833,-0.1445633281683725,-0.00749977625815928,-0.0018923183795121234,-0.9911273133513963,-0.006452462060561615,-0.10283568933250019,-0.2739672012026801,-0.06557404987600811,-0.017212593156521766,0.003564,0.01,0.0,0.97,100,11,1,12
61,0.9127239243261343,-3.950300972560993,-0.7610348238800838,-0.3419156768089042,-0.14398380357071938,-0.2389330259404911,-0.14615419589167097,-0.007563117375634822,-0.0019135374762601378,-0.998295922416519,-0.006535775447529409,-0.10392491080656327,-0.2762498186931776,-0.06640706984419692,-0.017400523664231803,0.003526,0.01,0.0,0.97,100,11,1,12
62,0.9120762354528589,-3.965334380778296,-0.7689072148838625,-0.34538542309214854,-0.14543574005002985,-0.24136907785361986,-0.1475132134209837,-0.007644563294640161,-0.0019338281081241354,-1.0087303658231415,-0.006610076233716019,-0.10501445244921248,-0.27925890662138014,-0.06686880070342426,-0.017594788864717895,0.003489,0.01,0.0,0.97,100,10,1,11
63,0.9081900808462916,-3.98111895578336,-0.777235922230224,-0.3491377630072139,-0.14697323583408606,-0.24389463490524252,-0.14905072243625705,-0.007725493644673708,-0.001955142234306985,-1.0197490654815975,-0.006699930232506613,-0.10620142228330429,-0.2825681352482156,-0.06743064187674555,-0.01778794653170623,0.003453,0.01,0.0,0.97,100,10,1,11
64,0.9195021579845428,-3.994003306473764,-0.7838928281118137,-0.35209919668862755,-0.14816772290968291,-0.2458946557947394,-0.1502729183095211,-0.007799082310581725,-0.001970978065374292,-1.0286875469095078,-0.006742026179138804,-0.1071111678163242,-0.285409606144324,-0.06793179761487668,-0.01797332949266958,0.003417,0.01,0.0,0.97,100,11,1,12
65,0.9151410109712593,-4.007082494677597,-0.7908124613888583,-0.3551605313216293,-0.1495823708226948,-0.24796597867166875,-0.15165937924911582,-0.007863283667238997,-0.0019915284833957846,-1.0377135869999388,-0.006797197419334167,-0.10805383211995369,-0.28752768563230663,-0.06857035192330968,-0.01810307422760426,0.003382,0.01,0.0,0.97,100,11,1,12
66,0.9146660846791794,-4.0184137054347895,-0.7967187470853869,-0.3579065817392584,-0.15067733444395545,-0.25009383598239704,-0.1529304911299703,-0.007923386044282896,-0.0020082626120454697,-1.0453253910796434,-0.006866289407019456,-0.1089114064668971,-0.28986420617485137,-0.06916955327744367,-0.018265098118616256,0.003348,0.01,0.0,0.97,100,11,1,12
67,0.913200418311237,-4.0323902136154555,-0.8041619255748645,-0.3611921437568581,-0.1520865331448866,-0.25237894488720247,-0.1543223645970437,-0.008002998667253954,-0.00202673045894608,-1.0550009006476093,-0.006931833571732446,-0.1099678898770097,-0.29258435013258227,-0.06968530689428765,-0.01835099292069345,0.003315,0.01,0.0,0.97,100,10,1,11
68,0.9148181011535049,-4.045019446882535,-0.8107956610917063,-0.3642495216862593,-0.15332859526537304,-0.2546331458862428,-0.15565002940715666,-0.008071721559363266,-0.002040857577965127,-1.0637457179886525,-0.006983201774225698,-0.11079245900300061,-0.29502744506579515,-0.0702029224859507,-0.018557353866014207,0.003282,0.01,0.0,0.97,100,11,1,12
69,0.9186282569669312,-4.0559167056366645,-0.816652825499112,-0.36694828004619,-0.1545036705061803,-0.2566101663329112,-0.15696005594959042,-0.008127600041373787,-0.0020529650167865118,-1.0711646683202674,-0.006986808833187356,-0.11151445821430513,-0.2968106928432687,-0.0709685568433545,-0.01871121045913882,0.00325,0.01,0.0,0.97,100,11,1,12
70,0.922865617310998,-4.052108242857903,-0.8157116682475912,-0.3679232883493972,-0.15396900219927456,-0.25844632263069456,-0.1580565666440876,-0.008162906213381343,-0.002066349990773531,-1.067551566710744,-0.007049102126911582,-0.11187273156059288,-0.2971991772287015,-0.07153053103697726,-0.018838553577426143,0.003219,0.01,0.0,0.97,100,11,1,12
71,0.9121169543690619,-4.065816884422615,-0.8229073797554133,-0.3711320279487714,-0.15527232142666328,-0.2605805518794152,-0.15934652192081836,-0.008240273475428286,-0.002085208812829652,-1.0769916175211467,-0.007110244246503133,-0.11288107169563116,-0.30017539752398004,-0.07206181479240843,-0.019008188486478405,0.003188,0.01,0.0,0.97,100,10,1,11
72,0.9206665884285882,-4.077477175694582,-0.8290493796255921,-0.37383918502706026,-0.15640512227063866,-0.26245018151584565,-0.16040930950220195,-0.008293399561287117,-0.002101135445384966,-1.0850601056546467,-0.007172726422131612,-0.11372946355555087,-0.30246508248351445,-0.07260128238296405,-0.01921289916413272,0.003157,0.01,0.0,0.97,100,11,1,12
73,0.9068525559780313,-4.091725893692567,-0.8365343418182738,-0.3772115591797672,-0.15772143106070408,-0.26476402614300854,-0.1617284872635176,-0.008371568372093432,-0.0021197700689211197,-1.0948174431609492,-0.0072577020743795325,-0.11489264372305306,-0.3058545399874341,-0.07305548139590752,-0.01939548368282733,0.003128,0.01,0.0,0.97,100,10,1,11
74,0.9214267687389586,-4.102992934231897,-0.8424236169806418,-0.3798420445501167,-0.15879784404796438,-0.2664880550443058,-0.16285957269434514,-0.008430152466689876,-0.0021351525826207086,-1.1026243966814944,-0.007317560719227942,-0.115873367737372,-0.30775614808992674,-0.0735256061863196,-0.019477858001569818,0.003098,0.01,0.0,0.97,100,11,1,12
75,0.9208216588461668,-4.114470873614369,-0.8484084198202851,-0.38246197942347454,-0.15999192627937184,-0.26821829190600116,-0.16398156014986173,-0.008485668124645908,-0.0021487631706904944,-1.1105186310302484,-0.0073698783556715225,-0.11659111232483103,-0.3098233348768858,-0.07394198711060515,-0.019547857332526966,0.00307,0.01,0.0,0.97,100,10,1,11
