episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.934166641627355,-1.5449896857103331,-1.2460485319767427,-1.0223427830840808,-0.9018824866038427,0.1,0.1,0.2,0.2,1454,737,1468,33281,37976,37972,0,0,0,0,3344,3354,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9394201773504911,-2.47223573461456,-2.012844373763381,-1.6268383613439379,-1.4241942860729242,0.095673,0.1,0.197012,0.2,1275,754,1482,33493,38242,38237,0,0,0,0,3346,3346,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.931572557960501,-3.27661201629885,-2.6996284646101443,-2.161399152704619,-1.9357651969141088,0.091705,0.1,0.194068,0.2,1402,909,1471,33773,38396,38387,0,0,0,0,3421,3429,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9334108665831693,-3.833620287742874,-3.1706372641672442,-2.4118869572810735,-2.203961593982081,0.088053,0.1,0.191169,0.2,1437,796,1337,33534,38246,38241,0,0,0,0,3439,3454,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9328872968412327,-4.281360605724135,-3.6067364168182237,-2.586551806004663,-2.377080042237336,0.084681,0.1,0.188312,0.2,1519,748,1500,33779,38367,38359,0,0,0,0,3489,3502,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9322152129079219,-4.612164979954617,-3.8975619967594697,-2.858739860705145,-2.6681950546507522,0.081557,0.1,0.185499,0.2,1436,799,1458,32972,37749,37743,0,0,0,0,3502,3504,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9334403997144897,-4.776353739307383,-3.98359149043845,-2.902301276179038,-2.7474990001873425,0.078656,0.1,0.182727,0.2,1540,698,1225,33624,38316,38310,0,0,0,0,3524,3522,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9328265130367642,-4.859565900701066,-4.015419053624362,-2.9460952780271543,-2.783589330945016,0.075954,0.1,0.179997,0.2,1461,801,1452,33674,38231,38227,0,0,0,0,3487,3478,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9295015444249288,-5.146118004654737,-4.285355056510209,-3.0209502869371985,-2.9041494787054485,0.073432,0.1,0.177308,0.2,1471,857,1222,33022,37677,37673,0,0,0,0,3444,3461,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9340087787866034,-5.321463642921328,-4.398227506263143,-3.1289712604415407,-3.0716946345717857,0.071071,0.1,0.174658,0.2,1436,759,967,33262,37924,37916,0,0,0,0,3436,3418,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9352999134147434,-5.336632641623038,-4.408520875714541,-3.0228219355727073,-3.0156379642844886,0.068858,0.1,0.172049,0.2,1535,632,1101,33493,38142,38134,0,0,0,0,3516,3500,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9294352400532108,-5.436828347387473,-4.506369907000099,-3.084762095201623,-3.0812449013031142,0.066779,0.1,0.169478,0.2,1561,773,1232,33076,37565,37553,0,0,0,0,3385,3385,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9302757705353193,-5.4482938572346225,-4.482717986850383,-3.0406900855043855,-3.082638216346607,0.064821,0.1,0.166946,0.2,1526,838,1481,33905,38562,38557,0,0,0,0,3530,3524,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9418333133756436,-5.484178717794064,-4.579511498795907,-2.921393558905722,-3.0752615253864635,0.062975,0.1,0.164452,0.2,1285,658,1211,33404,38286,38278,0,0,0,0,3536,3531,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9339990258158792,-5.506908110233883,-4.646478415478422,-2.887862660734913,-3.055492064960202,0.061231,0.1,0.161994,0.2,1437,731,1399,32848,37515,37507,0,0,0,0,3552,3537,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9380663297347409,-5.538840344457373,-4.669474490906612,-2.9511119673005584,-3.120458651271745,0.059581,0.1,0.159574,0.2,1326,745,1174,33439,38188,38181,0,0,0,0,3431,3421,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.94561493921848,-5.397386641284564,-4.524597035798536,-2.842661724049524,-3.0617851493503845,0.058017,0.1,0.15719,0.2,1290,504,1014,32987,37763,37757,0,0,0,0,3458,3462,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9427499106398189,-5.391798458777889,-4.533886276745995,-2.7897267230154723,-3.0109917389384093,0.056534,0.1,0.154841,0.2,1306,616,1495,33572,38374,38370,0,0,0,0,3507,3505,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9385988639437381,-5.406640743855996,-4.588471815023732,-2.764147718793347,-2.99467664844085,0.055125,0.1,0.152528,0.2,1296,747,1300,33273,38138,38131,0,0,0,0,3412,3430,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9357309556579498,-5.4989389781821965,-4.64703629260089,-2.7675375619379996,-3.009794637429604,0.053784,0.1,0.150249,0.2,1310,838,1261,33422,38123,38119,0,0,0,0,3491,3504,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9352303845695916,-5.588390590045755,-4.7401301798342095,-2.850289630811692,-3.074848978592171,0.052507,0.1,0.148004,0.2,1448,728,1337,33596,38173,38171,0,0,0,0,3517,3517,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9346336010355073,-5.671133152480971,-4.840696731012852,-2.9078106612471952,-3.1277968636417715,0.051289,0.1,0.145793,0.2,1375,847,1175,33993,38754,38744,0,0,0,0,3514,3508,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9347369666144247,-5.722286239524277,-4.871949795083418,-2.9915147902721464,-3.1894994896098403,0.050126,0.1,0.143614,0.2,1554,653,1379,33817,38326,38314,0,0,0,0,3473,3476,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9235539654144306,-5.894946498941722,-5.044884645635278,-3.150368026358232,-3.338703782132793,0.049015,0.1,0.141468,0.2,1774,790,1219,33540,38004,37991,0,0,0,0,3526,3533,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9366245971264194,-5.899199941488183,-5.039805555643542,-3.1440211276751424,-3.34767310850052,0.047952,0.1,0.139355,0.2,1549,555,1334,33199,37730,37725,0,0,0,0,3490,3501,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.933014639976098,-5.945652050822862,-5.087528560386621,-3.1575116447655547,-3.395693226676968,0.046934,0.1,0.137273,0.2,1566,676,1254,33470,37922,37914,0,0,0,0,3442,3455,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9340892771661082,-5.9662559076827835,-5.129516683832058,-3.1345638593706697,-3.417011804934903,0.045958,0.1,0.135222,0.2,1355,848,1233,33424,37994,37983,0,0,0,0,3537,3536,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9287797252202147,-6.083077994825529,-5.244861015204594,-3.2548763652891886,-3.5627289247559704,0.045023,0.1,0.133201,0.2,1486,883,1187,33263,37961,37958,0,0,0,0,3504,3522,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9311749254788537,-6.199217082463237,-5.310894027523311,-3.3487960236143897,-3.666620455959947,0.044124,0.1,0.131211,0.2,1502,830,1293,33883,38536,38534,0,0,0,0,3539,3547,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.932360197368421,-6.276109561400976,-5.392311168362691,-3.358799941317258,-3.7023356360892574,0.043261,0.1,0.129251,0.2,1590,713,1186,34048,38540,38533,0,0,0,0,3537,3532,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9396873785827431,-6.179332440826747,-5.323135500398775,-3.356203733130065,-3.6954218551633145,0.042431,0.1,0.127319,0.2,1358,660,1214,33459,38241,38237,0,0,0,0,3569,3575,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9419341279610892,-6.157664696567113,-5.332142488186743,-3.2456851843235883,-3.6453151750777466,0.041632,0.1,0.125417,0.2,1358,576,1269,33307,38197,38187,0,0,0,0,3575,3573,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9276165927346841,-6.22158841096608,-5.38132235636252,-3.2107956663251427,-3.636082005533717,0.040862,0.1,0.123543,0.2,1563,852,1317,33364,37946,37940,0,0,0,0,3537,3531,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9388376439380237,-6.24845582181647,-5.401343327856709,-3.206855569898654,-3.6623132435086525,0.040121,0.1,0.121697,0.2,1332,697,1161,33174,38172,38165,0,0,0,0,3548,3547,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9373275989915468,-6.355621150424176,-5.479972098602359,-3.3650523595023856,-3.7857117499295407,0.039406,0.1,0.119879,0.2,1351,762,1213,33715,38538,38530,0,0,0,0,3480,3465,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.936492237607145,-6.426572640345416,-5.545555450972496,-3.400723586035617,-3.7995173891385368,0.038716,0.1,0.118088,0.2,1341,778,1269,33366,38327,38324,0,0,0,0,3552,3567,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9381474163223759,-6.447231090400093,-5.57327658481873,-3.4701835976088726,-3.8525062898191713,0.03805,0.1,0.116324,0.2,1385,681,1281,33402,38068,38059,0,0,0,0,3533,3515,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9350684116597263,-6.4184802254945446,-5.583456373437946,-3.5677169683706276,-3.919188194222677,0.037406,0.1,0.114586,0.2,1377,806,1147,33620,38241,38238,0,0,0,0,3463,3466,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9331811579165802,-6.50181578203757,-5.705367934619495,-3.603195950710179,-3.941376428912858,0.036784,0.1,0.112874,0.2,1458,796,1195,33733,38456,38452,0,0,0,0,3505,3508,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9318414245322746,-6.583158753208005,-5.793798028882071,-3.6123259320554304,-3.9412651786790236,0.036182,0.1,0.111187,0.2,1542,724,1154,33246,37784,37779,0,0,0,0,3579,3559,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9334333733493397,-6.594901017506976,-5.774992684154411,-3.5941345300519165,-3.9641065733541376,0.035599,0.1,0.109526,0.2,1485,733,1294,33320,38062,38061,0,0,0,0,3560,3551,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9397692006387659,-6.5609717243846735,-5.777859658218113,-3.459600043078841,-3.911185066990054,0.035035,0.1,0.107889,0.2,1370,629,1121,33189,37929,37922,0,0,0,0,3524,3534,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9415365964540082,-6.549201843793344,-5.7888661402392465,-3.4170453140309522,-3.9046030303057084,0.034489,0.1,0.106277,0.2,1292,637,1260,32995,37739,37735,0,0,0,0,3567,3557,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9374834437086093,-6.559117390461802,-5.805876085913537,-3.422358124445368,-3.9332343621002064,0.033959,0.1,0.104689,0.2,1462,662,1224,33975,38796,38793,0,0,0,0,3445,3460,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9322785568740262,-6.58959756353435,-5.834937092949817,-3.4702513587357933,-3.975935226846441,0.033445,0.1,0.103125,0.2,1331,929,1401,33372,38178,38173,0,0,0,0,3534,3547,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.947377938517179,-6.4872168879010905,-5.790628987218679,-3.398833277578049,-3.935402846796907,0.032947,0.1,0.101584,0.2,1169,577,1177,33180,37979,37972,0,0,0,0,3498,3489,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9355342136854742,-6.5267122660142025,-5.8297546372944655,-3.433295196818396,-3.9801466447946994,0.032463,0.1,0.100067,0.2,1353,795,1202,33320,38062,38058,0,0,0,0,3523,3518,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9276562546883907,-6.697989112431287,-5.987307138274936,-3.539098601857865,-4.064918931562338,0.031994,0.1,0.098572,0.2,1690,721,1299,33327,37726,37720,0,0,0,0,3504,3504,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9371167960373312,-6.775008635597338,-6.061341279007973,-3.58745786890131,-4.10738904388765,0.031537,0.1,0.097099,0.2,1428,654,1175,33109,37666,37664,0,0,0,0,3551,3564,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9295377508474068,-6.8917102282018945,-6.142308884372199,-3.7204595439893073,-4.224571439832171,0.031094,0.1,0.095648,0.2,1509,840,1398,33337,37823,37820,0,0,0,0,3519,3514,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.93113645965357,-6.92732709457596,-6.17766889451478,-3.7576966146685415,-4.27106931146976,0.030663,0.1,0.094219,0.2,1548,734,1056,33138,37759,37752,0,0,0,0,3549,3529,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9341379824169275,-7.0172147384631645,-6.259088302037725,-3.837551565487928,-4.349615942037023,0.030243,0.1,0.092811,0.2,1423,787,1220,33555,38239,38236,0,0,0,0,3578,3588,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9320892592928103,-7.000036026705379,-6.269814408197809,-3.7613879691226053,-4.321629715662741,0.029835,0.1,0.091424,0.2,1433,816,1320,33117,37828,37825,0,0,0,0,3523,3534,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
