episode,mean_loss,lr,tau,polyak,reward_norm_mode,fixed_reward_scale,station_id_embedding,station_id_embed_dim,action_context,station_spotlights,demand_horizon,global_health,linear_teacher_prefit,teacher_prefit_sets,teacher_prefit_acc,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl,bypass_mean_deficit,bypass_pct_same,mean_v_pred,n_step_terminal,reward_ema_mean,prediction_mean,prediction_std,prediction_min,prediction_max,target_mean,target_std,v_next_mean,v_next_std,bootstrap_mean,bootstrap_std,td_error_mean,td_error_std,fraction_terminal_transitions,terminal_target_mean,nonterminal_target_mean,grad_norm,grad_norm_before_clip,grad_norm_after_clip,mean_pool_size,pct_forced,pct_nn_top1_chosen,pct_pool_mixed,action_entropy,candidate_entropy
1,0.141767,0.0005,0.5,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.893,1336,40,305.8,0.005554,-4.77911,0.0,0.0,5.5602,5.5,21.53,19.3,,0.7343,4.1,-0.07078,1,-4.1813,-0.48587,0.007773,-0.516158,-0.469437,-0.538451,0.42104,-0.076279,0.002742,-0.07399,0.00266,-0.05258,0.417966,0.0,0.0,-0.538451,0.2293,0.2293,0.2293,44.58,1.4,5.7,31.6,1.6453,1.6427
2,0.124578,0.000499,0.4995,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8968,2669,80,609.6,0.015878,-4.65112,0.0,0.0,5.3844,5.0,23.12,21.2,,0.729,4.6,-0.47797,1,-4.1464,-0.529122,0.026681,-0.599009,-0.456297,-0.482843,0.474609,-0.097036,0.002865,-0.094125,0.002779,0.046278,0.470161,0.0,0.0,-0.482843,0.0675,0.0675,0.0675,45.86,1.4,6.2,34.7,1.6605,1.6412
3,0.111898,0.000499,0.499,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8884,4025,124,935.4,0.03427,-4.93102,0.0,0.0,5.5955,5.5,22.64,20.2,,0.7443,3.6,-0.53191,1,-4.5472,-0.554753,0.130822,-1.041939,-0.289038,-0.646202,0.603025,-0.1342,0.003363,-0.130174,0.003262,-0.091449,0.557129,0.0,0.0,-0.646202,0.0743,0.0743,0.0743,45.79,1.5,5.8,34.7,1.647,1.6402
4,0.103669,0.000498,0.4985,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8957,5367,164,1274.5,0.096172,-4.59874,0.0,0.0,6.1176,5.4,23.06,21.3,,0.7376,3.9,-0.55526,1,-4.0591,-0.602936,0.21196,-1.683041,-0.266611,-0.629439,0.494499,-0.176456,0.005873,-0.171162,0.005697,-0.026503,0.420395,0.0,0.0,-0.629439,0.1489,0.1489,0.1489,46.71,1.4,6.9,34.9,1.639,1.6333
5,0.096485,0.000498,0.498,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8972,6717,208,1598.0,0.109059,-4.5537,0.0,0.0,4.7532,5.4,23.14,21.7,,0.743,4.5,-0.61276,1,-3.5371,-0.720442,0.278366,-2.05814,-0.25412,-0.627017,0.632756,-0.216757,0.012224,-0.210255,0.011857,0.093425,0.527654,0.0,0.0,-0.627017,0.1691,0.1691,0.1691,48.16,1.3,5.3,38.0,1.6743,1.6326
6,0.092123,0.000497,0.4975,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8893,8111,252,1927.8,0.222004,-4.72365,0.0,0.0,5.0415,5.4,22.23,20.9,,0.732,4.2,-0.65185,1,-3.6696,-0.685018,0.268837,-1.683995,-0.233429,-0.676091,0.574698,-0.263731,0.024029,-0.25379,0.03247,0.008927,0.482785,0.007812,-0.80293,-0.675092,0.2003,0.2003,0.2003,48.96,1.2,5.7,37.0,1.6266,1.6272
7,0.090527,0.000497,0.497,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8798,9534,296,2235.2,0.369159,-5.03876,0.0,0.0,6.201,5.8,21.68,20.9,,0.7501,3.9,-0.71198,1,-4.0109,-0.802488,0.325383,-1.850516,-0.270892,-0.73461,0.423337,-0.319547,0.05308,-0.309961,0.051488,0.067878,0.281545,0.0,0.0,-0.73461,0.2786,0.2793,0.2786,45.8,1.5,6.7,37.5,1.6498,1.6382
8,0.085501,0.000496,0.4965,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8866,10953,340,2548.5,0.439903,-4.74381,0.0,0.0,4.8986,6.1,21.12,22.3,,0.7299,3.7,-0.78214,1,-3.5811,-0.780193,0.37282,-2.050449,-0.260712,-0.810085,0.707639,-0.390246,0.091199,-0.378539,0.088464,-0.029892,0.534933,0.0,0.0,-0.810085,0.3293,0.3302,0.3293,46.85,1.4,7.0,36.3,1.6436,1.6361
9,0.083001,0.000495,0.496,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8894,12401,384,2858.9,0.459481,-4.5706,0.0,0.0,6.0615,6.3,20.46,20.5,,0.7372,4.4,-0.78577,1,-4.0123,-0.924041,0.417668,-2.353147,-0.250011,-0.980154,0.640012,-0.489749,0.140247,-0.475057,0.13604,-0.056112,0.437942,0.0,0.0,-0.980154,0.3912,0.3924,0.3912,44.27,1.3,6.7,34.7,1.6103,1.6355
10,0.079199,0.000495,0.4955,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.887,13854,400,4450.5,0.522262,-4.64117,0.0,0.0,5.7309,5.6,19.56,18.2,0.8284,0.7473,2.8,-0.99018,1,-4.1835,-0.985749,0.466695,-3.295666,-0.317595,-0.992378,0.615211,-0.605403,0.203442,-0.578653,0.198796,-0.006629,0.328966,0.007812,-1.303811,-0.989925,0.4765,0.4944,0.4765,42.67,1.5,7.9,32.1,1.603,1.6452
11,0.07456,0.000494,0.495,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8934,15293,400,4761.7,0.464386,-4.39551,0.0,0.0,5.1643,5.8,20.75,20.5,,0.7395,3.9,-1.02913,1,-3.5523,-1.132358,0.596681,-3.930868,-0.310507,-1.228397,0.832078,-0.750582,0.286578,-0.728065,0.27798,-0.09604,0.412021,0.0,0.0,-1.228397,0.628,0.7103,0.628,44.86,1.3,6.8,34.7,1.6256,1.6397
12,0.07439,0.000494,0.4945,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8839,16770,400,5094.3,0.660901,-4.76029,0.0,0.0,5.1573,5.7,21.89,22.2,,0.7458,4.5,-1.25227,1,-3.6348,-1.531276,0.952924,-5.725,-0.375486,-1.449689,0.955943,-0.93838,0.449909,-0.910228,0.436411,0.081587,0.407927,0.0,0.0,-1.449689,0.756,0.9154,0.756,47.92,1.4,8.1,35.5,1.6369,1.6299
13,0.074066,0.000493,0.494,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8935,18245,400,5422.4,0.678811,-4.31368,0.0,0.0,4.8545,6.3,21.36,19.5,,0.7445,3.9,-1.45084,1,-3.8853,-1.320374,0.682444,-4.495466,-0.357693,-1.310837,0.774728,-0.946637,0.41053,-0.918238,0.398215,0.009537,0.383474,0.0,0.0,-1.310837,0.8141,1.0309,0.8141,46.77,1.4,7.0,33.9,1.6018,1.6286
14,0.079755,0.000493,0.4935,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8838,19719,400,5749.4,0.714161,-4.71027,0.0,0.0,5.5268,5.6,21.06,20.8,,0.7484,4.3,-1.56105,1,-4.0105,-1.687456,0.868835,-6.10048,-0.410733,-1.73017,1.190343,-1.224292,0.609864,-1.187563,0.591568,-0.042714,0.548345,0.0,0.0,-1.73017,0.8383,1.1567,0.8383,46.41,1.1,7.2,35.4,1.6048,1.6297
15,0.082443,0.000492,0.493,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8929,21213,400,6060.4,0.751247,-4.33157,0.0,0.0,4.6564,5.8,19.34,19.1,,0.7378,4.1,-1.60356,1,-3.4206,-1.659816,0.861784,-6.08782,-0.356927,-1.591313,0.944492,-1.235145,0.610505,-1.19809,0.592189,0.068503,0.423973,0.0,0.0,-1.591313,0.8783,1.3015,0.8783,42.81,1.4,8.1,33.1,1.6019,1.6373
16,0.087455,0.000492,0.4925,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8832,22724,400,6392.1,0.803407,-4.58713,0.0,0.0,5.2092,6.0,21.44,20.4,,0.7423,4.2,-1.76753,1,-4.1784,-1.838638,0.81868,-5.859188,-0.525608,-1.795252,0.955453,-1.392859,0.603067,-1.351073,0.584975,0.043386,0.476342,0.0,0.0,-1.795252,0.9095,1.4939,0.9095,46.91,1.4,8.9,34.9,1.6004,1.6246
17,0.091079,0.000491,0.492,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8864,24251,400,6710.2,0.752568,-4.45294,0.0,0.0,5.3422,7.1,19.99,17.8,,0.7273,4.4,-1.84097,1,-3.8562,-2.006584,0.990544,-6.40528,-0.428929,-1.920051,1.052261,-1.516645,0.763611,-1.471146,0.740702,0.086533,0.389959,0.0,0.0,-1.920051,0.9346,1.6309,0.9346,43.85,1.4,8.4,31.9,1.5449,1.6293
18,0.096174,0.00049,0.4915,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8831,25778,400,7028.8,0.813476,-4.62104,0.0,0.0,5.9054,6.5,19.9,20.4,,0.732,5.0,-2.00524,1,-4.125,-2.177406,1.101611,-6.766302,-0.450797,-2.081779,1.196488,-1.761583,1.057885,-1.708735,1.026149,0.095626,0.400063,0.0,0.0,-2.081779,0.9335,1.7403,0.9335,44.2,1.2,7.9,34.6,1.5773,1.6307
19,0.103184,0.00049,0.491,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8864,27280,400,7372.6,0.762462,-4.52032,0.0,0.0,5.4792,6.1,20.06,19.6,,0.742,3.4,-2.11883,1,-4.0196,-2.122332,1.004178,-7.156635,-0.475607,-2.201243,1.186694,-1.801772,0.790777,-1.747719,0.767054,-0.078911,0.419149,0.0,0.0,-2.201243,0.962,1.8528,0.962,44.86,1.4,7.8,34.4,1.5899,1.6342
20,0.103286,0.000489,0.4905,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8884,28793,400,8515.6,0.783767,-4.43216,0.0,0.0,4.9916,6.6,20.32,19.8,0.837,0.7439,4.7,-2.3427,1,-4.2822,-2.225942,1.044137,-8.086838,-0.617457,-2.429065,1.268615,-2.104338,1.032282,-2.041207,1.001313,-0.203123,0.545499,0.0,0.0,-2.429065,0.9621,1.8278,0.9621,43.75,1.3,8.0,34.1,1.595,1.6346
21,0.105306,0.000489,0.49,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8925,30328,400,8870.6,0.774566,-4.19337,0.0,0.0,4.4576,7.2,19.39,20.1,,0.7412,4.3,-2.18661,1,-3.4913,-2.405452,1.255141,-7.992932,-0.434936,-2.348299,1.266923,-1.99525,0.995315,-1.935392,0.965456,0.057153,0.438554,0.0,0.0,-2.348299,0.9634,1.7975,0.9634,45.01,1.6,8.7,32.8,1.5717,1.6307
22,0.108936,0.000488,0.4895,0.001,fixed,10.0,1,8,0,0,0,0,0,0,0.0,0.8869,31850,400,9188.6,0.811828,-4.45085,0.0,0.0,5.3769,5.9,19.95,21.1,,0.7335,4.9,-2.65429,1,-3.5412,-3.069565,1.450913,-8.256693,-0.744435,-2.845054,1.392077,-2.476693,1.258404,-2.365539,1.221424,0.224512,0.604125,0.007812,-2.503781,-2.847741,0.9655,1.9493,0.9655,44.3,1.4,8.9,34.4,1.6089,1.6306
