Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;similarly imbalanced congested;similarly imbalanced starved;starvation;trips;
Mon 07:00.000000;;0.7764918804168701;1;1;;;;24;;2;;;;;0;0;;12;
Mon 07:01.000000;;0.7764918804168701;1;1;;;;40;;2;;;;;0;0;;20;
Mon 07:02.000000;;0.7764918804168701;1;1;;;;50;;2;;;;;0;0;;25;
Mon 07:03.000000;;0.7764918804168701;1;1;;;;62;;2;;;;;0;0;;31;
Mon 07:04.000000;;0.7764918804168701;1;1;;;;78;;2;;;;;0;0;;39;
Mon 07:05.000000;;0.7764918804168701;1;1;;;;88;;2;;;;;0;0;;44;
Mon 07:06.000000;;0.7764918804168701;1;1;;;;100;;2;;;;;0;0;;50;
Mon 07:07.000000;;0.7764918804168701;1;1;;;;116;;2;;;;;0;0;;58;
Mon 07:08.000000;;0.7764918804168701;1;1;;;;128;;2;;;;;0;0;;64;
Mon 07:09.000000;;0.7764918804168701;1;1;;;;142;;2;;;;;0;0;;71;
Mon 07:10.000000;;0.7764918804168701;1;1;;;;170;;2;;;;;0;0;;85;
Mon 07:11.000000;;0.7764918804168701;1;1;;;;176;;2;;;;;0;0;;88;
Mon 07:12.000000;;0.7764918804168701;1;1;;;;196;;2;;;;;0;0;;98;
Mon 07:13.000000;;0.7764918804168701;1;1;;;;208;;2;;;;;0;0;;104;
Mon 07:14.000000;;0.7764918804168701;1;1;;;;218;;2;;;;;0;0;;109;
Mon 07:15.000000;;0.7764918804168701;1;1;;;;236;;2;;;;;0;0;;118;
Mon 07:16.000000;;0.7764918804168701;1;1;;;;246;;2;;;;;0;0;;123;
Mon 07:17.000000;;0.7764918804168701;1;1;;;;262;;2;;;;;0;0;;131;
Mon 07:18.000000;;0.7764918804168701;1;1;;;;280;;2;;;;;0;0;;140;
Mon 07:19.000000;;0.7764918804168701;1;1;;;;288;;2;;;;;0;0;;144;
Mon 07:19.447757;;1.3838801383972168;2;1;;;;288;;3;;;;;0;0;;144;
Mon 07:20.000000;;1.3838801383972168;2;1;;;;308;;3;;;;;0;0;;154;
Mon 07:21.000000;;1.3838801383972168;2;1;;;;326;;3;;;;;0;0;;163;
Mon 07:22.000000;;1.3838801383972168;2;1;;;;336;;3;;;;;0;0;;168;
Mon 07:22.894471;;2.0033347606658936;3;1;;;;336;;4;;;;;0;0;;168;
Mon 07:23.000000;;2.0033347606658936;3;1;;;;340;;4;;;;;0;0;;170;
Mon 07:24.000000;;2.0033347606658936;3;1;;;;352;;4;;;;;0;0;;176;
Mon 07:25.000000;;2.0033347606658936;3;1;;;;366;;4;;;;;0;0;;183;
Mon 07:26.000000;;2.0033347606658936;3;1;;;;380;;4;;;;;0;0;;190;
Mon 07:27.000000;;2.0033347606658936;3;1;;;;400;;4;;;;;0;0;;200;
Mon 07:28.000000;;2.0033347606658936;3;1;;;;408;;4;;;;;0;0;;204;
Mon 07:29.000000;;2.0033347606658936;3;1;;;;426;;4;;;;;0;0;;213;
Mon 07:30.000000;;2.0033347606658936;3;1;;;;444;;4;;;;;0;0;;222;
Mon 07:31.000000;1;2.0033347606658936;3;1;;;;455;;4;;;;;0;0;1;228;
Mon 07:31.283144;1;2.5344953536987305;4;1;;;;455;;5;;;;;0;0;1;228;
Mon 07:32.000000;1;2.5344953536987305;4;1;;;;477;;5;;;;;0;0;1;239;
Mon 07:33.000000;1;2.5344953536987305;4;1;;;;503;;5;;;;;0;0;1;252;
Mon 07:34.000000;1;2.5344953536987305;4;1;;;;523;;5;;;;;0;0;1;262;
Mon 07:35.000000;2;2.5344953536987305;4;1;;;;548;;5;;;;;0;0;2;275;
Mon 07:36.000000;2;2.5344953536987305;4;1;;;;568;;5;0.1385215866180016;;1;;0;0;2;285;
Mon 07:36.183902;2;3.024866819381714;5;1;;;;568;;6;0.1385215866180016;;1;;0;0;2;285;
Mon 07:37.000000;2;3.024866819381714;5;1;;;;584;;6;0.1385215866180016;;1;;0;0;2;293;
Mon 07:38.000000;2;3.024866819381714;5;1;;;;598;;6;0.1385215866180016;;1;;0;0;2;300;
Mon 07:39.000000;2;3.024866819381714;5;1;;;;602;;6;0.1385215866180016;;1;;0;0;2;302;
Mon 07:40.000000;2;3.024866819381714;5;1;;;;618;;6;0.1385215866180016;;1;;0;0;2;310;
Mon 07:41.000000;2;3.024866819381714;5;1;;;;626;;6;0.1385215866180016;;1;;0;0;2;314;
Mon 07:42.000000;2;3.024866819381714;5;1;;;;640;;6;0.1385215866180016;;1;;0;0;2;321;
Mon 07:43.000000;2;3.024866819381714;5;1;;;;648;;6;0.1385215866180016;;1;;0;0;2;325;
Mon 07:44.000000;2;3.024866819381714;5;1;;;;668;;6;0.1385215866180016;;1;;0;0;2;335;
Mon 07:45.000000;2;3.024866819381714;5;1;;;;696;;6;0.1385215866180016;;1;;0;0;2;349;
Mon 07:45.220753;2;3.5550270080566406;5;1;;;1;696;;7;0.1385215866180016;;1;;0;0;2;349;
Mon 07:46.000000;2;3.5550270080566406;5;1;;;1;704;;7;0.1385215866180016;;1;;0;0;2;353;
Mon 07:47.000000;2;3.5550270080566406;5;1;;;1;718;;7;0.1385215866180016;;1;;0;0;2;360;
Mon 07:48.000000;2;3.5550270080566406;5;1;;;1;738;;7;0.1385215866180016;;1;;0;0;2;370;
Mon 07:49.000000;2;3.5550270080566406;5;1;;;1;756;;7;0.1385215866180016;;1;;0;0;2;379;
Mon 07:49.950482;3;3.5550270080566406;5;1;;;1;756;1;7;0.1385215866180016;0.36850513202130036;1;;0;0;2;379;
Mon 07:50.000000;3;3.5550270080566406;5;1;;;1;772;1;7;0.1385215866180016;0.36850513202130036;1;;0;0;2;387;
Mon 07:50.717526;3;4.088425159454346;6;1;;;1;772;1;8;0.1385215866180016;0.36850513202130036;1;;0;0;2;387;
