Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;similarly imbalanced congested;similarly imbalanced starved;starvation;trips;
Mon 07:48.000000;;3.766731023788452;3;2;1;1;;670;;7;0.23881255293897002;;1;;0;0;;335;
Mon 07:49.000000;;3.766731023788452;3;2;1;1;;692;;7;0.23881255293897002;;1;;0;0;;346;
Mon 07:50.000000;;3.766731023788452;3;2;1;1;;706;;7;0.23881255293897002;;1;;0;0;;353;
Mon 07:51.000000;;3.766731023788452;3;2;1;1;;728;;7;0.23881255293897002;;1;;0;0;;364;
Mon 07:51.717526;;4.306134939193726;4;2;1;1;;728;;8;0.23881255293897002;;1;;0;0;;364;
Mon 07:52.000000;;4.306134939193726;4;2;1;1;;750;;8;0.23881255293897002;;1;;0;0;;375;
Mon 07:53.000000;;4.306134939193726;4;2;1;1;;754;;8;0.23881255293897002;;1;;0;0;;377;
Mon 07:54.000000;;4.306134939193726;4;2;1;1;;760;;8;0.23881255293897002;;1;;0;0;;380;
Mon 07:55.000000;;4.306134939193726;4;2;1;1;;776;;8;0.23881255293897002;;1;;0;0;;388;
Mon 07:55.836790;;4.837625741958618;5;2;1;1;;776;;9;0.23881255293897002;;1;;0;0;;388;
Mon 07:56.000000;1;4.837625741958618;5;2;1;1;;787;;9;0.23881255293897002;;1;;0;0;1;394;
Mon 07:57.000000;1;4.837625741958618;5;2;1;1;;795;;9;0.23881255293897002;;1;;0;0;1;398;
Mon 07:58.000000;2;4.837625741958618;5;2;1;1;;804;;9;0.23881255293897002;;1;;0;0;2;403;
Mon 07:59.000000;3;4.837625741958618;5;2;1;1;;813;;9;0.23881255293897002;;1;;0;0;3;408;
Mon 08:00.000000;3;4.837625741958618;5;2;1;1;;831;;9;0.23881255293897002;;1;;0;0;3;417;
Mon 08:01.000000;3;4.837625741958618;5;2;1;1;;857;;9;0.23881255293897002;;1;;0;0;3;430;
Mon 08:03.000000;3;4.837625741958618;5;2;1;1;;865;;9;0.23881255293897002;;1;;0;0;3;434;
Mon 08:04.000000;3;4.837625741958618;5;2;1;1;;879;;9;0.23881255293897002;;1;;0;0;3;441;
Mon 08:05.000000;3;4.837625741958618;5;2;1;1;;905;;9;0.23881255293897002;;1;;0;0;3;454;
Mon 08:06.000000;3;4.837625741958618;5;2;1;1;;907;;9;0.23881255293897002;;1;;0;0;3;455;
Mon 08:07.000000;3;4.837625741958618;5;2;1;1;;917;;9;0.23881255293897002;;1;;0;0;3;460;
Mon 08:07.608725;3;5.311686754226685;5;3;1;1;;917;;10;0.23881255293897002;;1;;0;0;3;460;
Mon 08:08.000000;3;5.311686754226685;5;3;1;1;;931;;10;0.23881255293897002;;1;;0;0;3;467;
Mon 08:09.000000;3;5.311686754226685;5;3;1;1;;949;;10;0.23881255293897002;;1;;0;0;3;476;
Mon 08:10.000000;3;5.311686754226685;5;3;1;1;;963;;10;0.23881255293897002;;1;;0;0;3;483;
Mon 08:11.000000;3;5.311686754226685;5;3;1;1;;969;;10;0.23881255293897002;;1;;0;0;3;486;
Mon 08:11.348881;3;5.769834518432617;5;4;1;1;;969;;11;0.23881255293897002;;1;;0;0;3;486;
Mon 08:12.000000;3;5.769834518432617;5;4;1;1;;985;;11;0.23881255293897002;;1;;0;0;3;494;
Mon 08:13.000000;3;5.769834518432617;5;4;1;1;;991;;11;0.23881255293897002;;1;;0;0;3;497;
Mon 08:14.000000;3;5.769834518432617;5;4;1;1;;1017;;11;0.23881255293897002;;1;;0;0;3;510;
Mon 08:15.000000;3;5.769834518432617;5;4;1;1;;1025;;11;0.23881255293897002;;1;;0;0;3;514;
Mon 08:16.000000;3;5.769834518432617;5;4;1;1;;1039;;11;0.23881255293897002;;1;;0;0;3;521;
Mon 08:17.000000;4;5.769834518432617;5;4;1;1;;1064;;11;0.23881255293897002;;1;;0;0;4;534;
Mon 08:18.000000;4;5.769834518432617;5;4;1;1;;1080;;11;0.23881255293897002;;1;;0;0;4;542;
Mon 08:19.000000;4;5.769834518432617;5;4;1;1;;1106;;11;0.23881255293897002;;1;;0;0;4;555;
Mon 08:20.000000;4;5.769834518432617;5;4;1;1;;1118;;11;0.23881255293897002;;1;;0;0;4;561;
Mon 08:21.000000;4;5.769834518432617;5;4;1;1;;1130;;11;0.23881255293897002;;1;;0;0;4;567;
Mon 08:22.000000;4;5.769834518432617;5;4;1;1;;1142;;11;0.23881255293897002;;1;;0;0;4;573;
Mon 08:22.138397;4;6.2226433753967285;5;5;1;1;;1142;;12;0.23881255293897002;;1;;0;0;4;573;
Mon 08:23.000000;4;6.2226433753967285;5;5;1;1;;1148;;12;0.23881255293897002;;1;;0;0;4;576;
Mon 08:24.000000;4;6.2226433753967285;5;5;1;1;;1162;;12;0.23881255293897002;;1;;0;0;4;583;
Mon 08:25.000000;4;6.2226433753967285;5;5;1;1;;1174;;12;0.23881255293897002;;1;;0;0;4;589;
Mon 08:26.000000;4;6.2226433753967285;5;5;1;1;;1188;;12;0.23881255293897002;;1;;0;0;4;596;
Mon 08:27.000000;5;6.2226433753967285;5;5;1;1;;1213;;12;0.23881255293897002;;1;;0;0;5;609;
Mon 08:28.000000;5;6.2226433753967285;5;5;1;1;;1223;;12;0.23881255293897002;;1;;0;0;5;614;
Mon 08:29.000000;6;6.2226433753967285;5;5;1;1;;1238;;12;0.23881255293897002;;1;;0;0;6;622;
Mon 08:29.776328;6;6.2226433753967285;5;5;1;1;;1238;;12;0.23881255293897002;0.34981853243316774;1;1;0;0;6;622;
Mon 08:29.495950;6;6.7301013469696045;5;6;1;1;;1238;;13;0.23881255293897002;0.34981853243316774;1;1;0;0;6;622;
Mon 08:30.000000;6;6.7301013469696045;5;6;1;1;;1250;;13;0.23881255293897002;0.34981853243316774;1;1;0;0;6;628;
Mon 08:31.000000;6;6.7301013469696045;5;6;1;1;;1264;;13;0.6773158235831978;0.34981853243316774;2;1;0;0;6;635;
Mon 08:32.000000;6;6.7301013469696045;5;6;1;1;;1282;;13;0.6773158235831978;0.34981853243316774;2;1;0;0;6;644;
Mon 08:33.000000;6;6.7301013469696045;5;6;1;1;;1296;;13;0.6773158235831978;0.34981853243316774;2;1;0;0;6;651;
Mon 08:34.000000;6;6.7301013469696045;5;6;1;1;;1306;;13;1.1158190942274255;0.34981853243316774;3;1;0;0;6;656;
Mon 08:34.034051;6;6.7301013469696045;5;6;1;1;;1306;;13;1.1158190942274255;0.5306147241182466;3;2;0;0;6;656;
Mon 08:35.000000;6;6.7301013469696045;5;6;1;1;;1324;;13;1.1158190942274255;0.5306147241182466;3;2;0;0;6;665;
Mon 08:36.000000;6;6.7301013469696045;5;6;1;1;;1336;;13;1.1158190942274255;0.5306147241182466;3;2;0;0;6;671;
Mon 08:36.008840;6;7.20185923576355;5;6;2;1;;1336;;14;1.1158190942274255;0.5306147241182466;3;2;0;0;6;671;
Mon 08:36.213842;6;7.20185923576355;5;6;2;1;;1336;;14;1.1158190942274255;0.8804332565514144;3;3;0;0;6;671;
