Time;Failed events;accumulated solution time;branch1;branch10;branch100;branch101;branch102;branch103;branch104;branch105;branch106;branch107;branch108;branch109;branch11;branch110;branch111;branch112;branch113;branch114;branch115;branch116;branch117;branch118;branch119;branch12;branch120;branch121;branch122;branch123;branch124;branch126;branch127;branch129;branch13;branch131;branch132;branch133;branch134;branch135;branch137;branch139;branch14;branch140;branch146;branch147;branch149;branch15;branch151;branch153;branch154;branch158;branch16;branch160;branch163;branch165;branch168;branch17;branch170;branch172;branch174;branch177;branch18;branch181;branch183;branch186;branch188;branch19;branch2;branch20;branch21;branch212;branch213;branch216;branch217;branch218;branch22;branch220;branch221;branch229;branch23;branch231;branch24;branch25;branch26;branch27;branch28;branch29;branch3;branch30;branch31;branch32;branch33;branch34;branch35;branch36;branch37;branch38;branch39;branch4;branch40;branch41;branch42;branch43;branch44;branch45;branch46;branch47;branch48;branch49;branch5;branch50;branch51;branch52;branch53;branch54;branch55;branch56;branch57;branch58;branch59;branch6;branch60;branch61;branch63;branch64;branch65;branch66;branch67;branch68;branch69;branch7;branch70;branch71;branch72;branch73;branch74;branch75;branch76;branch77;branch79;branch8;branch80;branch81;branch82;branch83;branch84;branch86;branch87;branch88;branch89;branch9;branch90;branch91;branch92;branch93;branch94;branch95;branch96;branch97;branch98;branch99;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;similarly imbalanced congested;similarly imbalanced starved;starvation;trips;
Mon 07:00.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;12;;2;;;;;0;0;;6;
Mon 07:01.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;28;;2;;;;;0;0;;14;
Mon 07:02.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;40;;2;;;;;0;0;;20;
Mon 07:03.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;56;;2;;;;;0;0;;28;
Mon 07:04.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;60;;2;;;;;0;0;;30;
Mon 07:05.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;72;;2;;;;;0;0;;36;
Mon 07:06.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;84;;2;;;;;0;0;;42;
Mon 07:07.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;98;;2;;;;;0;0;;49;
Mon 07:08.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;112;;2;;;;;0;0;;56;
Mon 07:09.000000;;7.033776044845581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;126;;2;;;;;0;0;;63;
