episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,alpha,alpha_initial,epsilon
0,0.8702443266384601,-2.5059317076404293,-0.0035984998780489957,-0.0017980345790171472,-0.0006623138399890472,-0.00127560700651951,-0.0006276643178187458,-0.0015229156231810854,0.02,0.02,0.2
1,0.9257011231421077,-2.5124313087031567,-0.006994570721405433,-0.003219358815923797,-0.0013554229517737954,-0.0022863026625257452,-0.0012723592105372116,-0.0021977218974053472,0.019416,0.02,0.198006
2,0.9152258410400751,-2.5199616580724205,-0.011071412461646423,-0.004923010291688679,-0.0022125177618189254,-0.0034033896095866725,-0.0020642449106552155,-0.0029153058222007137,0.018864,0.02,0.196032
3,0.9245478727853713,-2.52641084412791,-0.014494408288009084,-0.006325875630648296,-0.002967237042232219,-0.0043709691809644515,-0.002707856947249357,-0.0035054847943999864,0.018344,0.02,0.194078
4,0.920068252600888,-2.533266261281388,-0.01810560792577834,-0.007865240127582806,-0.0036949017300264135,-0.005445865464245837,-0.003356007442767585,-0.0044023463871113505,0.017851,0.02,0.192143
5,0.9131933982792675,-2.540302711813009,-0.021897578779378854,-0.00946598865179963,-0.004497177751123998,-0.006542142403471443,-0.004002882123789069,-0.00525999079132233,0.017384,0.02,0.190228
6,0.9186460106876149,-2.546697856851907,-0.025319115683211865,-0.010916742409143662,-0.005215165233070916,-0.007574441353669822,-0.004627085428735349,-0.006134588057913714,0.016941,0.02,0.188331
7,0.9256984081817117,-2.5523711564085545,-0.028325259519698172,-0.012177887638829443,-0.005824756411666054,-0.00842603071480684,-0.005165185796672394,-0.0067850831737310685,0.016519,0.02,0.186454
8,0.9191264983638799,-2.5583078748109696,-0.03151048939793717,-0.013529309234678011,-0.006486499005907185,-0.009372853431308472,-0.005767890828331485,-0.007620100298280102,0.016119,0.02,0.184595
9,0.920967850191288,-2.5641277583746045,-0.034543893433306355,-0.014816231892198375,-0.0070935085755683795,-0.010280831372848326,-0.006334394665352886,-0.008353494908549692,0.015737,0.02,0.182755
10,0.9135078850578573,-2.570470795525239,-0.03799315564125568,-0.016304435099979885,-0.007793850988772798,-0.011264267247306857,-0.007016286984986877,-0.009206738865063737,0.015373,0.02,0.180933
11,0.9215375804332446,-2.575977170906825,-0.04090332678152826,-0.017539984520452984,-0.008383677128992389,-0.012097992544387754,-0.0075429206070880845,-0.009835137148892096,0.015025,0.02,0.179129
12,0.9251829124380457,-2.5808963455840352,-0.04348524732899936,-0.018608090025928843,-0.008919436738224816,-0.012839623452765412,-0.008052465786312944,-0.010309619956958376,0.014693,0.02,0.177343
13,0.9203771872321114,-2.5862658411181805,-0.0463474897453309,-0.019835202737354528,-0.009501242501447585,-0.013692294073692386,-0.008556239212024771,-0.010993209515512447,0.014375,0.02,0.175575
14,0.9244099243428227,-2.59117021692979,-0.048890694619035384,-0.02086460725910987,-0.010039828165591565,-0.014412044996729198,-0.009018688674322567,-0.011452946245948392,0.014071,0.02,0.173825
15,0.9268452211246583,-2.5958356879613587,-0.051338530140073765,-0.021872476816988534,-0.01056506417133043,-0.015118537601023435,-0.009498582203997134,-0.011904977472762238,0.013779,0.02,0.172092
16,0.923391901189817,-2.6006641475714534,-0.053924789445092956,-0.022968911391735385,-0.011107304546415087,-0.015881703045082983,-0.00995406615943179,-0.012453126728555315,0.013499,0.02,0.170376
17,0.9223961763861445,-2.605378073420555,-0.0564028962294926,-0.024023946514613388,-0.011608176313118643,-0.016664224765834186,-0.010426078434823797,-0.013069950307583959,0.01323,0.02,0.168678
18,0.9227563675156687,-2.6101091825381344,-0.05887450737358284,-0.025048598125462306,-0.012135414213865785,-0.017385551319686526,-0.010894063163936724,-0.013601812620868082,0.012972,0.02,0.166996
19,0.9197271061027764,-2.614777414026594,-0.061342056267670614,-0.026079565827372624,-0.012658655635657632,-0.01811828315967327,-0.011380779339203905,-0.014105097551102327,0.012723,0.02,0.165332
20,0.9238973815399394,-2.6192717547520084,-0.06367041605881399,-0.027036291035356444,-0.01312197987322877,-0.018811916012736477,-0.011832388528931528,-0.01457364273295569,0.012484,0.02,0.163683
21,0.9205040791058193,-2.623679594725602,-0.06601462204130044,-0.028039346929305157,-0.01361606967901936,-0.019501129469518957,-0.012288903303349993,-0.015079783205972625,0.012254,0.02,0.162052
22,0.9305994746440462,-2.6274849403951843,-0.06798196994877886,-0.02885150865228266,-0.014025439055899461,-0.02007015766287523,-0.012648645399062125,-0.015500581772688983,0.012032,0.02,0.160436
23,0.9199231262011531,-2.6319550321181135,-0.07039748037210983,-0.02985945059324659,-0.014554904941120871,-0.020739720608953714,-0.013105645984553192,-0.015976947131103647,0.011818,0.02,0.158837
24,0.9252911813643927,-2.63595865828979,-0.07252374767912859,-0.030729338268762296,-0.015032277250678362,-0.02132534132830575,-0.013529995946283995,-0.016356972127274015,0.011612,0.02,0.157253
25,0.9212494945410432,-2.6402035621107736,-0.07476637794778598,-0.03166976449332537,-0.015488136773673715,-0.02200507093549041,-0.013933867843181222,-0.01691097412858355,0.011412,0.02,0.155686
26,0.9255615152531009,-2.643940758676522,-0.07670962064191338,-0.032481996120460564,-0.015870721206659322,-0.022563905215221763,-0.014290240362247677,-0.017392313177573997,0.01122,0.02,0.154133
27,0.9256639818944286,-2.6477053869577376,-0.07866093942710614,-0.03330110602271744,-0.016271121642482244,-0.023131469250993558,-0.014646562791735908,-0.017823681492388783,0.011033,0.02,0.152597
28,0.9286110877429125,-2.65121246121803,-0.08048340830090242,-0.03406046179663865,-0.016634447059140498,-0.023636876942636414,-0.014976645607909603,-0.018267168366158434,0.010853,0.02,0.151076
29,0.9226181476068075,-2.6550191421543157,-0.08252528112232355,-0.034909990597249814,-0.017083151808487365,-0.024211134054628488,-0.015368118534385303,-0.018655422707899726,0.010679,0.02,0.14957
30,0.9208310700706138,-2.6588601016846933,-0.08452571794039872,-0.03573878559538244,-0.017488032512776766,-0.02476750302274275,-0.01572422634722584,-0.019178214377571296,0.01051,0.02,0.148078
31,0.924355146178113,-2.6624712755957822,-0.08643047794876932,-0.03655013727131093,-0.017870734895646306,-0.025329456608302475,-0.01609370972461969,-0.019574479423834366,0.010346,0.02,0.146602
32,0.9249861272259496,-2.6659346228311405,-0.08824066853603062,-0.03732389948720642,-0.01824298026514648,-0.025842588695611436,-0.016435375898872367,-0.01998558820766882,0.010187,0.02,0.145141
33,0.9273355229742999,-2.6692813692164523,-0.0900003136928644,-0.0380439393933746,-0.01862965304745693,-0.026354658832618057,-0.0167892836201215,-0.020283595920128933,0.010034,0.02,0.143694
34,0.9211458159345248,-2.672964958136991,-0.09191109046245342,-0.038842017575066466,-0.0190197933909157,-0.026891357284886976,-0.017148034392832752,-0.020669502759485966,0.009884,0.02,0.142261
35,0.921874471324649,-2.6764590157197006,-0.09373294399273728,-0.039598790348221266,-0.01939629397867442,-0.027432533764678455,-0.017486205735974834,-0.021024644178024344,0.009739,0.02,0.140843
36,0.9203111291084565,-2.680002091032874,-0.09563481737143999,-0.040401286468947806,-0.019776941377197457,-0.02796758135433569,-0.017833614564266295,-0.021475504190936086,0.009599,0.02,0.139439
37,0.9245114253890032,-2.683309368484346,-0.0973730046116121,-0.04113623811197067,-0.020132140923912106,-0.0284721938513624,-0.018184515895143073,-0.021834130179313235,0.009462,0.02,0.138049
38,0.9236657844483902,-2.686583118774877,-0.09909023383330888,-0.04185117003783871,-0.020489044024838973,-0.02896469002130577,-0.01849670998856114,-0.022238955327286196,0.009329,0.02,0.136673
39,0.9227841309232369,-2.689866428746195,-0.10082783413202924,-0.04257784737765237,-0.02085249854328351,-0.029470341759834425,-0.018836703114411102,-0.02264672457512921,0.0092,0.02,0.13531
40,0.9220766078024591,-2.6931017124165066,-0.10254822310487394,-0.04330213983694177,-0.021200857764160145,-0.02995033342223987,-0.019159831319853195,-0.023022386071537036,0.009074,0.02,0.133961
41,0.9239755269438935,-2.6961971991089206,-0.10417852390636159,-0.04398597196687512,-0.021543602788049617,-0.030436835668523746,-0.019477018856208027,-0.023393291829454068,0.008952,0.02,0.132626
42,0.9247569560844787,-2.6992350471600797,-0.10581557711096432,-0.044681736596073066,-0.021892895450792288,-0.030902690477286894,-0.019783201692323112,-0.02378416716349959,0.008833,0.02,0.131304
43,0.920828136692442,-2.7024535699106105,-0.10751801480317787,-0.045394155215710066,-0.02223555293430998,-0.031389457111354796,-0.02011061689168682,-0.024161139988390867,0.008717,0.02,0.129995
