episode,service_level,bias,rebalancing_imbalance,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
62,0.8134322069604787,-6.223493678543608,-3.7234936785436052,0.003489,0.01,0.0,0.97,100,38,0,38
63,0.8041335453100159,-6.257724210376703,-3.757724210376702,0.003453,0.01,0.0,0.97,100,40,0,40
64,0.8256951294955609,-6.287904818937216,-3.787904818937214,0.003417,0.01,0.0,0.97,100,40,0,40
65,0.8030883489599085,-6.321583570453799,-3.8215835704537993,0.003382,0.01,0.0,0.97,100,38,0,38
66,0.8036322741997751,-6.354930269085675,-3.8549302690856733,0.003348,0.01,0.0,0.97,100,39,0,39
67,0.8058976348729714,-6.3875191682531645,-3.8875191682531627,0.003315,0.01,0.0,0.97,100,39,0,39
68,0.8025112047404025,-6.420249276333518,-3.920249276333516,0.003282,0.01,0.0,0.97,100,40,0,40
69,0.8064126845783819,-6.451846702260642,-3.9518467022606383,0.00325,0.01,0.0,0.97,100,39,0,39
70,0.8093415394991991,-6.48244872414441,-3.9824487241444086,0.003219,0.01,0.0,0.97,100,38,0,38
71,0.8211330469233212,-6.510821770645725,-4.010821770645724,0.003188,0.01,0.0,0.97,100,38,0,38
72,0.8005763881907443,-6.542615896519675,-4.042615896519674,0.003157,0.01,0.0,0.97,100,38,0,38
73,0.8119145494979446,-6.572304134261024,-4.072304134261023,0.003128,0.01,0.0,0.97,100,39,0,39
74,0.7992291698361986,-6.602853233701298,-4.102853233701297,0.003098,0.01,0.0,0.97,100,38,0,38
75,0.8042076688157448,-6.632974051164358,-4.132974051164357,0.00307,0.01,0.0,0.97,100,41,0,41
76,0.8136762008288607,-6.66119555235166,-4.161195552351659,0.003042,0.01,0.0,0.97,100,39,0,39
77,0.8115426969666634,-6.689395366664258,-4.189395366664257,0.003014,0.01,0.0,0.97,100,38,0,38
78,0.8140441040627466,-6.716938171503879,-4.2169381715038785,0.002987,0.01,0.0,0.97,100,40,0,40
79,0.809368469340945,-6.744704826077627,-4.244704826077626,0.00296,0.01,0.0,0.97,100,39,0,39
80,0.8049763271884759,-6.773306028732779,-4.273306028732778,0.002934,0.01,0.0,0.97,100,39,0,39
81,0.8138645552560647,-6.79984851748243,-4.299848517482429,0.002909,0.01,0.0,0.97,100,38,0,38
82,0.8181251579213341,-6.825862413787083,-4.325862413787082,0.002883,0.01,0.0,0.97,100,38,0,38
83,0.8093684847669649,-6.852691857449207,-4.352691857449206,0.002859,0.01,0.0,0.97,100,39,0,39
84,0.7960519756737895,-6.882129436029181,-4.38212943602918,0.002834,0.01,0.0,0.97,100,40,0,40
85,0.8038030262091327,-6.909691489384956,-4.409691489384955,0.00281,0.01,0.0,0.97,100,40,0,40
86,0.8014355284814959,-6.936905317473314,-4.436905317473313,0.002787,0.01,0.0,0.97,100,38,0,38
87,0.8016635859519409,-6.963995989184844,-4.463995989184843,0.002763,0.01,0.0,0.97,100,38,0,38
88,0.8076072459608664,-6.9899370767537725,-4.489937076753772,0.002741,0.01,0.0,0.97,100,39,0,39
89,0.7937999932498565,-7.0179024677475565,-4.517902467747556,0.002718,0.01,0.0,0.97,100,38,0,38
90,0.8191541160865696,-7.041879087276857,-4.541879087276856,0.002696,0.01,0.0,0.97,100,38,0,38
91,0.8157120140745001,-7.06573119325762,-4.565731193257619,0.002674,0.01,0.0,0.97,100,37,0,37
92,0.8181109435113469,-7.08870014461335,-4.588700144613349,0.002653,0.01,0.0,0.97,100,37,0,37
93,0.8017682254236722,-7.115196177073663,-4.6151961770736625,0.002632,0.01,0.0,0.97,100,41,0,41
94,0.8231300579013308,-7.137166318079581,-4.63716631807958,0.002611,0.01,0.0,0.97,100,37,0,37
95,0.8007414738890473,-7.162674424761533,-4.662674424761532,0.002591,0.01,0.0,0.97,100,39,0,39
96,0.8067615718459227,-7.186922913261534,-4.686922913261533,0.002571,0.01,0.0,0.97,100,39,0,39
97,0.7951542220058095,-7.213199913979527,-4.713199913979526,0.002551,0.01,0.0,0.97,100,41,0,41
98,0.8067760630770268,-7.237026579857784,-4.737026579857783,0.002532,0.01,0.0,0.97,100,39,0,39
99,0.8144829338527992,-7.259617804198535,-4.759617804198534,0.002513,0.01,0.0,0.97,100,38,0,38
100,0.8018094713472549,-7.284184288122007,-4.784184288122006,0.002494,0.01,0.0,0.97,100,39,0,39
101,0.8067348937751208,-7.307280685210845,-4.807280685210844,0.002475,0.01,0.0,0.97,100,38,0,38
102,0.8101168228215142,-7.329990914749114,-4.829990914749113,0.002457,0.01,0.0,0.97,100,39,0,39
103,0.8201092194025056,-7.351465297609328,-4.8514652976093275,0.002439,0.01,0.0,0.97,100,41,0,41
104,0.8060534920768005,-7.3738491601696685,-4.873849160169668,0.002421,0.01,0.0,0.97,100,38,0,38
105,0.8100277063791435,-7.396638992783153,-4.896638992783152,0.002404,0.01,0.0,0.97,100,40,0,40
106,0.8061384966601843,-7.419189692263229,-4.919189692263228,0.002386,0.01,0.0,0.97,100,39,0,39
107,0.822772344471611,-7.439180322862002,-4.9391803228620015,0.002369,0.01,0.0,0.97,100,38,0,38
108,0.8086636589142124,-7.460799538972298,-4.960799538972297,0.002352,0.01,0.0,0.97,100,39,0,39
109,0.8132432977222335,-7.4823765221765655,-4.982376522176565,0.002336,0.01,0.0,0.97,100,39,0,39
110,0.8152082279548136,-7.502804758291381,-5.00280475829138,0.00232,0.01,0.0,0.97,100,38,0,38
111,0.8057114755210365,-7.524176868133801,-5.0241768681338,0.002304,0.01,0.0,0.97,100,38,0,38
112,0.809209753477991,-7.545491959896043,-5.045491959896042,0.002288,0.01,0.0,0.97,100,40,0,40
113,0.8078773867625653,-7.566108891302612,-5.066108891302611,0.002272,0.01,0.0,0.97,100,38,0,38
114,0.8023224548784996,-7.587805052612946,-5.0878050526129455,0.002257,0.01,0.0,0.97,100,38,0,38
