episode,service_level,bias,rebalancing_imbalance,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.8010435306119036,-2.6125707029043235,-0.11257070290432315,0.01,0.01,0.0,0.97,100,38,0,38
1,0.8114197323290067,-2.7143179900659646,-0.21431799006596397,0.009708,0.01,0.0,0.97,100,37,0,37
2,0.7958718670419515,-2.8236657430275582,-0.3236657430275575,0.009432,0.01,0.0,0.97,100,39,0,39
3,0.8082746390510765,-2.9216371362548728,-0.421637136254872,0.009172,0.01,0.0,0.97,100,39,0,39
4,0.8045192498840368,-3.0207136732417634,-0.5207136732417622,0.008925,0.01,0.0,0.97,100,37,0,37
5,0.8040407083793646,-3.116491908753675,-0.6164919087536747,0.008692,0.01,0.0,0.97,100,38,0,38
6,0.8023802700561353,-3.2097588757758553,-0.7097588757758552,0.00847,0.01,0.0,0.97,100,39,0,39
7,0.8030564250205046,-3.2985238820729346,-0.7985238820729341,0.00826,0.01,0.0,0.97,100,38,0,38
8,0.8137366270493888,-3.3822341741071296,-0.882234174107128,0.008059,0.01,0.0,0.97,100,41,0,41
9,0.791496073561984,-3.4720226742933145,-0.9720226742933138,0.007868,0.01,0.0,0.97,100,37,0,37
10,0.7795206825319517,-3.565275402336448,-1.0652754023364488,0.007686,0.01,0.0,0.97,100,39,0,39
11,0.7983020584172759,-3.6484779883629446,-1.1484779883629455,0.007513,0.01,0.0,0.97,100,40,0,40
12,0.8156208907920024,-3.7226411998594746,-1.2226411998594762,0.007346,0.01,0.0,0.97,100,38,0,38
13,0.8041450254651807,-3.7992439861347473,-1.2992439861347498,0.007188,0.01,0.0,0.97,100,40,0,40
14,0.8194796262434786,-3.8685532607729134,-1.3685532607729145,0.007035,0.01,0.0,0.97,100,40,0,40
15,0.8084089422577021,-3.9407388460950177,-1.4407388460950186,0.006889,0.01,0.0,0.97,100,40,0,40
16,0.8110053869002668,-4.008474766639677,-1.5084747666396796,0.006749,0.01,0.0,0.97,100,36,0,36
17,0.800932259208593,-4.080554523836477,-1.5805545238364787,0.006615,0.01,0.0,0.97,100,40,0,40
18,0.8062741698893185,-4.147904712751838,-1.6479047127518385,0.006486,0.01,0.0,0.97,100,38,0,38
19,0.8097379675514221,-4.213286569018111,-1.7132865690181107,0.006362,0.01,0.0,0.97,100,38,0,38
20,0.7949121383262392,-4.282764783663735,-1.782764783663732,0.006242,0.01,0.0,0.97,100,37,0,37
21,0.7930256619006428,-4.350401327799723,-1.8504013277997184,0.006127,0.01,0.0,0.97,100,39,0,39
22,0.8140005688567652,-4.4118247316604835,-1.911824731660481,0.006016,0.01,0.0,0.97,100,40,0,40
23,0.8023534171752251,-4.473785304396584,-1.973785304396582,0.005909,0.01,0.0,0.97,100,38,0,38
24,0.804459234608985,-4.535129248692419,-2.0351292486924177,0.005806,0.01,0.0,0.97,100,39,0,39
25,0.7969234398166869,-4.596954141876221,-2.0969541418762194,0.005706,0.01,0.0,0.97,100,38,0,38
26,0.8136104592691921,-4.65213879947416,-2.1521387994741543,0.00561,0.01,0.0,0.97,100,38,0,38
27,0.8129534713439392,-4.70742004390796,-2.2074200439079577,0.005517,0.01,0.0,0.97,100,39,0,39
28,0.7938251871792714,-4.766526505357874,-2.266526505357872,0.005426,0.01,0.0,0.97,100,38,0,38
29,0.8090318028325185,-4.8216166175629835,-2.3216166175629818,0.005339,0.01,0.0,0.97,100,40,0,40
30,0.8106328082563824,-4.872877413420316,-2.372877413420314,0.005255,0.01,0.0,0.97,100,38,0,38
31,0.8039037063279181,-4.926383953445036,-2.426383953445036,0.005173,0.01,0.0,0.97,100,38,0,38
32,0.8019808639795524,-4.979506240647745,-2.479506240647744,0.005094,0.01,0.0,0.97,100,39,0,39
33,0.8075711915484374,-5.030247145791317,-2.530247145791316,0.005017,0.01,0.0,0.97,100,39,0,39
34,0.8111408050776683,-5.079077600950967,-2.579077600950969,0.004942,0.01,0.0,0.97,100,37,0,37
35,0.8038402977499577,-5.128800643441632,-2.6288006434416338,0.00487,0.01,0.0,0.97,100,39,0,39
36,0.7961294459067287,-5.180107039206581,-2.680107039206582,0.004799,0.01,0.0,0.97,100,38,0,38
37,0.8151517197151247,-5.2259498652610565,-2.725949865261053,0.004731,0.01,0.0,0.97,100,37,0,37
38,0.8131093168950383,-5.271149288916605,-2.7711492889166043,0.004665,0.01,0.0,0.97,100,39,0,39
39,0.8098192427646802,-5.316259464578524,-2.8162594645785246,0.0046,0.01,0.0,0.97,100,38,0,38
40,0.8155475720622712,-5.360282665818165,-2.860282665818166,0.004537,0.01,0.0,0.97,100,40,0,40
41,0.8121491242814401,-5.4039247715353715,-2.9039247715353715,0.004476,0.01,0.0,0.97,100,40,0,40
42,0.8135434126718069,-5.446457050011912,-2.946457050011911,0.004417,0.01,0.0,0.97,100,37,0,37
43,0.8115240708406086,-5.489314260789551,-2.989314260789551,0.004359,0.01,0.0,0.97,100,39,0,39
44,0.7904953482524516,-5.536394216433496,-3.0363942164334943,0.004302,0.01,0.0,0.97,100,37,0,37
45,0.7858884460811515,-5.58381223422425,-3.083812234224251,0.004247,0.01,0.0,0.97,100,38,0,38
46,0.804351837871391,-5.626865538008301,-3.1268655380082984,0.004194,0.01,0.0,0.97,100,39,0,39
47,0.8119436015222895,-5.666531154697406,-3.1665311546974055,0.004141,0.01,0.0,0.97,100,37,0,37
48,0.7981334312808869,-5.709947365523199,-3.2099473655232,0.00409,0.01,0.0,0.97,100,38,0,38
49,0.808018828276036,-5.7496553813226825,-3.2496553813226825,0.004041,0.01,0.0,0.97,100,38,0,38
50,0.8181650359977848,-5.786979027424718,-3.286979027424718,0.003992,0.01,0.0,0.97,100,39,0,39
51,0.8085338984476176,-5.825411342982316,-3.325411342982314,0.003945,0.01,0.0,0.97,100,38,0,38
52,0.8119802297532093,-5.862841765784908,-3.3628417657849057,0.003898,0.01,0.0,0.97,100,37,0,37
53,0.8035965205754433,-5.901265337793218,-3.401265337793213,0.003853,0.01,0.0,0.97,100,40,0,40
54,0.816602899718083,-5.937335591906872,-3.437335591906868,0.003809,0.01,0.0,0.97,100,38,0,38
55,0.8075692874487147,-5.974247336847136,-3.47424733684713,0.003766,0.01,0.0,0.97,100,39,0,39
56,0.808340368056728,-6.010371107982275,-3.5103711079822673,0.003724,0.01,0.0,0.97,100,39,0,39
57,0.7993999430113474,-6.048380967977669,-3.5483809679776654,0.003682,0.01,0.0,0.97,100,38,0,38
58,0.8085385326498025,-6.08397060643875,-3.583970606438744,0.003642,0.01,0.0,0.97,100,38,0,38
59,0.7966648100325755,-6.1211550424684695,-3.6211550424684664,0.003602,0.01,0.0,0.97,100,38,0,38
60,0.8135529572416147,-6.15441105969654,-3.654411059696535,0.003564,0.01,0.0,0.97,100,39,0,39
61,0.7982765832845311,-6.190904781941542,-3.690904781941539,0.003526,0.01,0.0,0.97,100,38,0,38
