episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon
0,0.90660066558523,-2.549715624565119,-0.049715624565118924,-0.02553462330567418,-0.01248004673747928,0.01,0.01,0.0
1,0.9077274867173314,-2.5978461422197516,-0.09784614221975169,-0.050130379482942605,-0.02485263363216416,0.009708,0.01,0.0
2,0.9026772550596435,-2.6472251879460877,-0.14722518794608783,-0.07534519636496353,-0.03725130841484649,0.009432,0.01,0.0
3,0.915212554163251,-2.689394113264773,-0.18939411326477307,-0.09698415994953284,-0.04742782461817665,0.009172,0.01,0.0
4,0.9024418527599232,-2.7361264242485106,-0.23612642424851035,-0.12102890733413299,-0.05974952328154694,0.008925,0.01,0.0
5,0.9071172709316728,-2.779626032470362,-0.27962603247036133,-0.14353807740582597,-0.07071960291491618,0.008692,0.01,0.0
6,0.9031540263987459,-2.823111537337321,-0.32311153733731995,-0.16592543509980665,-0.0819177243590924,0.00847,0.01,0.0
7,0.9059136635254339,-2.8642129524224487,-0.36421295242244733,-0.18708426814311074,-0.09245344317212298,0.00826,0.01,0.0
8,0.9088859124124719,-2.9025458314229358,-0.4025458314229339,-0.206885215629884,-0.10248009327187789,0.008059,0.01,0.0
9,0.9064534532518961,-2.9414486518541887,-0.4414486518541868,-0.226620072744105,-0.11236637468295667,0.007868,0.01,0.0
10,0.8925482424466352,-2.98516419225057,-0.48516419225056817,-0.24944053072041614,-0.12423198428863229,0.007686,0.01,0.0
11,0.9072869992925243,-3.0211776062325155,-0.5211776062325135,-0.2678554372769468,-0.13360483291655909,0.007513,0.01,0.0
12,0.9120671634242556,-3.054856762528012,-0.5548567625280089,-0.284876594930545,-0.14183306827674366,0.007346,0.01,0.0
13,0.9078210881952499,-3.0894311970138584,-0.5894311970138547,-0.3028718063909014,-0.1507543739747005,0.007188,0.01,0.0
14,0.9059234033987016,-3.124093154963567,-0.6240931549635643,-0.320766155815462,-0.15940174620216696,0.007035,0.01,0.0
15,0.9122042027940362,-3.1539775200437425,-0.65397752004374,-0.33591152055823,-0.1667342994671889,0.006889,0.01,0.0
16,0.902549128194801,-3.1876169057585657,-0.6876169057585639,-0.35326457678202816,-0.17563490130603318,0.006749,0.01,0.0
17,0.9109624900778571,-3.217793572533117,-0.7177935725331145,-0.36868623050711646,-0.18325185449387352,0.006615,0.01,0.0
18,0.9117715695426056,-3.2484278066415397,-0.7484278066415369,-0.3841801431848486,-0.1910404724272119,0.006486,0.01,0.0
19,0.9058787590794922,-3.278862842649628,-0.7788628426496252,-0.3998656345612061,-0.19914160603496125,0.006362,0.01,0.0
20,0.9087596680965236,-3.3067215048129843,-0.8067215048129813,-0.41403154897958644,-0.2060342451991598,0.006242,0.01,0.0
21,0.9028647025899353,-3.338643835950486,-0.8386438359504828,-0.43050820507575793,-0.21431407428416616,0.006127,0.01,0.0
22,0.9073934648396326,-3.367087591921898,-0.8670875919218947,-0.44499543983043455,-0.2213420426200153,0.006016,0.01,0.0
23,0.9082403317711318,-3.393302682495847,-0.8933026824958442,-0.4586424460907932,-0.22774792784515763,0.005909,0.01,0.0
24,0.9060232945091514,-3.421920044932445,-0.9219200449324423,-0.47339908678504156,-0.23496878269775018,0.005806,0.01,0.0
