episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9391769519720955,-2.531633241499671,-0.016022789195219097,-0.006670998449442689,-0.002857255080408521,-0.02998470066273026,-0.022041902590513366,-0.004729663113210799,-0.0033106117428974673,0.01,0.01,0.0,0.97,100,15,1,16
1,0.9359242117926183,-2.563879602707912,-0.032424037391243096,-0.013509617915860422,-0.005891435303354083,-0.06064359138216452,-0.044913369399564355,-0.009555191523746403,-0.006467909901785376,0.009708,0.01,0.0,0.97,100,14,1,15
2,0.9355444200506126,-2.595277378784098,-0.0484977912650141,-0.020277027679173883,-0.008925755896255922,-0.09062075921514474,-0.06726844151206954,-0.014285511892512271,-0.009604979753169634,0.009432,0.01,0.0,0.97,100,14,1,15
3,0.9387878077766433,-2.6237167203948255,-0.06306488275928941,-0.026446178101600208,-0.011626406413313762,-0.11788331212889146,-0.08723189120600981,-0.01886104979931742,-0.012666936208075269,0.009172,0.01,0.0,0.97,100,14,1,15
4,0.9338182902782151,-2.6550895609617275,-0.07897492115839452,-0.03325995609333819,-0.014401476798336305,-0.1479735726128542,-0.10877815492775868,-0.02392296940457184,-0.01581311533704704,0.008925,0.01,0.0,0.97,100,14,1,15
5,0.9345861641955888,-2.6839953876608855,-0.09387197824147796,-0.039617046430740106,-0.017060174302898305,-0.17580697808340826,-0.12884905786489415,-0.028310448975366356,-0.018870196209444533,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.9369399547776568,-2.7112168622787145,-0.10755969496173502,-0.04539541703070202,-0.019409986120719043,-0.2016486218323329,-0.14729309960160514,-0.03244500035474878,-0.021577889502413412,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9388258839226151,-2.7371384019038665,-0.12086774695838487,-0.05098746823724577,-0.021834680350578704,-0.22623562591598836,-0.1653713742750271,-0.03654913872954311,-0.024376804241708055,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.941564609695695,-2.7602491841431425,-0.1326584855876765,-0.05594189641881226,-0.024059844757034408,-0.2483013648041223,-0.18183947785299484,-0.04029511657093405,-0.026811007755487108,0.008059,0.01,0.0,0.97,100,14,1,15
9,0.9375766639221683,-2.78420507657439,-0.14500764685195333,-0.061313087799948915,-0.026291539053778835,-0.2716054689270768,-0.19877995257078943,-0.044157500446184036,-0.02950616646301845,0.007868,0.01,0.0,0.97,100,14,1,15
10,0.9319793031616437,-2.8106980630254186,-0.15852251226117842,-0.06712834567652479,-0.028705164683202253,-0.29690129622880757,-0.21724080655835876,-0.04813515240604038,-0.03227811148351257,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9357259434994027,-2.8350037220082993,-0.17103643623668727,-0.07239540279558491,-0.03103364465220837,-0.32007453128418845,-0.23454886350591814,-0.051840833184394516,-0.034889621318034615,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9372406813965255,-2.8574765229763597,-0.1824142766494604,-0.07704221398496927,-0.03319942820704509,-0.3415213775266738,-0.25067883584871736,-0.05512884990938722,-0.03727615633877623,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.936079354404842,-2.8802184646852815,-0.1940694862155947,-0.08209984449194506,-0.03529288054261573,-0.3632942735130249,-0.2664917354628463,-0.05858908561344301,-0.039695681799589766,0.007188,0.01,0.0,0.97,100,14,1,15
14,0.9386288211063489,-2.9016784103492825,-0.2050005952559332,-0.0867041542162945,-0.037228552232762585,-0.38378729638448256,-0.2812587232768149,-0.061999538889973,-0.041873114971342856,0.007035,0.01,0.0,0.97,100,14,1,15
15,0.939233662435355,-2.922113007345847,-0.21544065514650731,-0.09109723649140591,-0.039099646466241554,-0.4033637778006432,-0.29565708091569676,-0.06512597047667887,-0.043812388534232645,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9334734011261451,-2.937900791818857,-0.22381740907718317,-0.09540323890698038,-0.040448940797835,-0.4192178496959693,-0.3068053129770098,-0.06867165346289379,-0.046153273037649246,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9400692743093689,-2.9570510348765064,-0.2334864190054071,-0.09944537457495087,-0.04226737430494443,-0.43731608341025885,-0.32063014845132726,-0.07152230872682298,-0.048057878272512934,0.006615,0.01,0.0,0.97,100,14,1,15
18,0.9420079678618459,-2.975206019427142,-0.24254069089495578,-0.10324827300612835,-0.04385434564362209,-0.4545163921720599,-0.3330305955139915,-0.07424337408077435,-0.049874985422225876,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.933790807487176,-2.99470354165581,-0.25260261138597073,-0.10772757565453168,-0.04564069099064073,-0.47348021765304393,-0.346733425911913,-0.07747642105456438,-0.0520224344987476,0.006362,0.01,0.0,0.97,100,14,1,15
20,0.9371784592770762,-3.0137368433423717,-0.2621131619039439,-0.11176006847548384,-0.04736648719371129,-0.4915681527254907,-0.35992035173293735,-0.0805100204729073,-0.05411196070568858,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.9342938111965247,-3.0332587887493383,-0.27201966724742094,-0.11605372697935419,-0.04907305502967118,-0.5102055134666704,-0.3732185908465006,-0.08375832258712514,-0.05617698340369735,0.006127,0.01,0.0,0.97,100,14,1,15
22,0.9404204826525837,-3.0504464737651147,-0.2806852803548805,-0.11973068901205886,-0.05073024107487952,-0.5264971357060423,-0.38562278119548477,-0.08652111222931072,-0.05797272561442107,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.9358269840199582,-3.068560006516784,-0.2901978426711149,-0.12374136779761266,-0.052562416869398304,-0.5441765567358484,-0.3988173803055275,-0.08932011684599833,-0.05994760898337525,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9366112757667588,-3.0866146729137127,-0.29932102190116333,-0.12762934018371852,-0.05423072291349728,-0.561463136986968,-0.41142199786755673,-0.09210612330099038,-0.06188945676070017,0.005806,0.01,0.0,0.97,100,14,1,15
25,0.9373620262550345,-3.1031302126569287,-0.3077587253027458,-0.13115735323553943,-0.05588370549346068,-0.5774247838977566,-0.42338787794101,-0.09470338408633915,-0.0637786309309122,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.9345021557531663,-3.1203094872489348,-0.31646366683363214,-0.1348393482712934,-0.05750846330187713,-0.5938687325201993,-0.4354502790242834,-0.09754646514666145,-0.06558605198314392,0.00561,0.01,0.0,0.97,100,14,1,15
27,0.9388030373676147,-3.136589227873799,-0.32462864462815644,-0.13825260341545056,-0.05896603504719753,-0.6093435069246111,-0.4466717233341169,-0.10012694296259791,-0.06722964668633463,0.005517,0.01,0.0,0.97,100,14,1,15
28,0.941649696214888,-3.151090429570028,-0.3319659265726228,-0.14131954231197302,-0.06034200995882069,-0.623216877574651,-0.45690195424575797,-0.10233656968914429,-0.06886133899076327,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.9368463327699593,-3.167235394923537,-0.3403039488910652,-0.144832570998769,-0.061932073709905715,-0.6386109257334849,-0.46853587565414,-0.10485247161618597,-0.07059541102867016,0.005339,0.01,0.0,0.97,100,14,1,15
30,0.9317753358582856,-3.184288334777069,-0.3491258546476745,-0.14865030181934716,-0.06353127712597594,-0.6550050684751596,-0.4805913903096436,-0.1074171463044114,-0.07238398305395896,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.9343980012154771,-3.1999419241162173,-0.3573463310154044,-0.1522003318240834,-0.06501277109482496,-0.6702912388958713,-0.4914831053669003,-0.11000685681841442,-0.0740807778830261,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.9389769065520945,-3.214569322280189,-0.36481446774796256,-0.15530817888742646,-0.06641630880495851,-0.684126302115541,-0.5019675339974974,-0.11210711838053763,-0.07554873373691533,0.005094,0.01,0.0,0.97,100,14,1,15
33,0.9389983746444535,-3.2288556537639574,-0.37195567408112234,-0.15831088598633358,-0.06770375228228014,-0.6976622887160463,-0.5119004853085952,-0.11428616476628634,-0.07705214593986774,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.9355210228505617,-3.244141943006035,-0.37982386777056365,-0.16173140094507182,-0.06906894329796301,-0.7124018565070835,-0.5224324570744204,-0.11678038361910716,-0.07866889860112693,0.004942,0.01,0.0,0.97,100,13,1,14
35,0.9370186692845416,-3.258471551150413,-0.3871735662656245,-0.1648240730678896,-0.07048549990128077,-0.7260460075365982,-0.532810136224546,-0.11899205347961482,-0.08007966853996577,0.00487,0.01,0.0,0.97,100,14,1,15
36,0.9357342964188071,-3.27267788565825,-0.39442051404144796,-0.16798749088418513,-0.07175766530684317,-0.7397452600624256,-0.5426055342901588,-0.12125376038296529,-0.08167267154862907,0.004799,0.01,0.0,0.97,100,14,1,15
37,0.9378304404739642,-3.2855440584059354,-0.4010075022859611,-0.17085512076211057,-0.07297393567272158,-0.7522276796896571,-0.5516538407196391,-0.1233006573228687,-0.08315376966502962,0.004731,0.01,0.0,0.97,100,14,1,15
38,0.9366755060253097,-3.299425555277917,-0.4080864325759869,-0.17390246600887105,-0.0742931532011919,-0.7655908095744783,-0.5615438022571686,-0.12556491618335205,-0.08460667340268908,0.004665,0.01,0.0,0.97,100,14,1,15
39,0.9408310825546478,-3.31192062681119,-0.41449497564197624,-0.17661860448785766,-0.07545487170414038,-0.7775779173957139,-0.5703175904123344,-0.1276157188628954,-0.08600510345221082,0.0046,0.01,0.0,0.97,100,14,1,15
40,0.9301550258376396,-3.327122374462293,-0.4223168854779237,-0.18001477412920946,-0.07683312484601412,-0.7922190089236065,-0.5808129354897777,-0.13015812764432283,-0.08764980364030497,0.004537,0.01,0.0,0.97,100,14,1,15
41,0.9383687120791946,-3.340017428593739,-0.4287642708668488,-0.18281659285067686,-0.07795771940621149,-0.8044844538089817,-0.5895669774923599,-0.13219953878676627,-0.08896883357301599,0.004476,0.01,0.0,0.97,100,14,1,15
42,0.9418394043067015,-3.3517377319236963,-0.43482287310742596,-0.18537651395524868,-0.0791333532956012,-0.8157359971741347,-0.5981359330694019,-0.13409046178088296,-0.09021776336960859,0.004417,0.01,0.0,0.97,100,14,1,15
43,0.9401746361746361,-3.363732044582617,-0.4409534034084129,-0.18791085889001263,-0.08027211805499708,-0.8272002644273054,-0.6066175147920657,-0.13589665298994835,-0.09149329173846876,0.004359,0.01,0.0,0.97,100,14,1,15
44,0.9389264333506615,-3.375794882571942,-0.4471114346462452,-0.19051375582834895,-0.0813410334168772,-0.8387004448007389,-0.6148912725466412,-0.13776191791184753,-0.0926792823585459,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9352634236660495,-3.3884431987515438,-0.45353481135947404,-0.19323334857702776,-0.08248967756049733,-0.8507595179896655,-0.6236498211943817,-0.13972936625329135,-0.0940274073504313,0.004247,0.01,0.0,0.97,100,14,1,15
46,0.9381137015962536,-3.4001784224024827,-0.459373892417973,-0.19576837765081256,-0.08353503729596229,-0.8618507752739626,-0.6317764735266974,-0.14166007902898103,-0.09529374557256538,0.004194,0.01,0.0,0.97,100,14,1,15
47,0.9371308724832215,-3.4121439732208665,-0.46536622707459496,-0.19821996449181675,-0.08464993859195113,-0.8731648849725564,-0.6402512951065944,-0.1434344003386956,-0.09648779428380955,0.004141,0.01,0.0,0.97,100,14,1,15
48,0.9383904377171546,-3.4235595723749874,-0.47120081885510634,-0.20077097346965356,-0.08572696841562283,-0.8842696760109656,-0.6483323766611204,-0.1452600646469498,-0.09777064666359264,0.00409,0.01,0.0,0.97,100,14,1,15
49,0.9413617680749276,-3.434036638014723,-0.476524120314518,-0.20306968083748517,-0.08673049589858046,-0.8943539329333783,-0.6558772372259937,-0.1469132524825661,-0.09888544694223203,0.004041,0.01,0.0,0.97,100,14,1,15
50,0.9374643444410886,-3.4454968641043817,-0.48237515363376365,-0.20558723275961854,-0.08779777094720449,-0.9053592128987099,-0.6639770792764914,-0.14873219413381802,-0.1001875678863705,0.003992,0.01,0.0,0.97,100,14,1,15
51,0.932872007273462,-3.457912355128817,-0.48862394914142393,-0.2082831260778928,-0.08890619354722717,-0.9173276824281362,-0.6724914950947615,-0.15078449814763742,-0.10157535799612062,0.003945,0.01,0.0,0.97,100,14,1,15
52,0.935708065380493,-3.469154080573156,-0.49429269357739003,-0.2106690885636793,-0.09002167732043982,-0.9280450460948668,-0.6807279577495581,-0.15244534346893407,-0.10282710228955126,0.003898,0.01,0.0,0.97,100,14,1,15
53,0.9386552370747389,-3.479901946353718,-0.499716421752037,-0.21292414265327217,-0.09103438566055636,-0.9382120787307614,-0.6883250182953579,-0.15400566348432856,-0.10392674460564855,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9359417469212442,-3.4910061180704686,-0.5054369016955341,-0.21533859072179795,-0.09206850291402338,-0.9486762292102495,-0.6961304811448213,-0.15570444850825554,-0.10523842426618198,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9363351697114821,-3.5017271303556643,-0.5108308830181911,-0.21770049385421616,-0.09299884542248847,-0.9589686549181877,-0.7035359887701405,-0.15734907170320644,-0.10634262327841108,0.003766,0.01,0.0,0.97,100,14,1,15
56,0.9414467483506126,-3.5089593897767855,-0.5146157188608258,-0.2195847855166364,-0.09376653908277034,-0.9666968190453116,-0.7089068007477015,-0.15887725994981738,-0.10729470899380003,0.003724,0.01,0.0,0.97,100,14,1,15
57,0.9306110123141965,-3.520866565493881,-0.5206608644928595,-0.222272882593454,-0.09478085289161944,-0.9782063869465095,-0.7169819927894628,-0.16079864879777045,-0.10858540702474115,0.003682,0.01,0.0,0.97,100,14,1,15
58,0.9359480860077669,-3.5304950486382025,-0.5257177556981801,-0.22449712295978758,-0.0957042438102435,-0.9876790989985355,-0.7238431040645994,-0.16238157893599336,-0.1096890645682366,0.003642,0.01,0.0,0.97,100,14,1,15
59,0.9366239994596237,-3.5406148502850128,-0.5308625415587027,-0.22672576223619714,-0.09659075806606197,-0.9974572682844629,-0.730661682364105,-0.16404665970790713,-0.11085292017884532,0.003602,0.01,0.0,0.97,100,14,1,15
60,0.9435197401806557,-3.549312747290699,-0.5352127696677881,-0.22860498799154402,-0.09736871527649715,-1.0057902934209184,-0.7366972339997842,-0.16545184224730608,-0.11182803674938432,0.003564,0.01,0.0,0.97,100,14,1,15
61,0.9393294929332172,-3.5584679902513874,-0.5398379812754832,-0.23059286295112244,-0.09825891716586241,-1.014624988195547,-0.7433087964227627,-0.16690509298095046,-0.11289421652876155,0.003526,0.01,0.0,0.97,100,14,1,15
62,0.9365898058252428,-3.5683798663524193,-0.5448790117067392,-0.2327817933691314,-0.099125410387952,-1.0241319265453206,-0.7500957982535772,-0.16852339564716784,-0.11399546961971249,0.003489,0.01,0.0,0.97,100,14,1,15
63,0.936097528300623,-3.5781338792944397,-0.5497532374471413,-0.23493288254758998,-0.09997417615867898,-1.033533728397976,-0.7567582681611204,-0.17016555483913484,-0.11501938513489357,0.003453,0.01,0.0,0.97,100,14,1,15
64,0.9406488964744072,-3.5870875630060377,-0.5543303170286623,-0.2368453980026259,-0.10082793498305108,-1.0419943825885596,-0.7631206211095379,-0.17148498939988016,-0.11601365730812421,0.003417,0.01,0.0,0.97,100,14,1,15
65,0.9358145641854358,-3.5965388218423695,-0.5592298709301866,-0.23894626755349097,-0.10172717343392026,-1.051161822015266,-0.769842547756347,-0.17299195502083647,-0.11704244239320444,0.003382,0.01,0.0,0.97,100,14,1,15
66,0.9354085864436945,-3.6063221077882868,-0.5641597967582692,-0.24104665570989217,-0.10262101509964468,-1.060447137294278,-0.7766145053361276,-0.17454352570294634,-0.11812414197703826,0.003348,0.01,0.0,0.97,100,14,1,15
67,0.9387465829705376,-3.615347168878714,-0.568741762732515,-0.24299087858241045,-0.1034661315489583,-1.0690731710846777,-0.7829770012897016,-0.1759404261028085,-0.1191019864371086,0.003315,0.01,0.0,0.97,100,14,1,15
68,0.9335307997389427,-3.6251664998413307,-0.5737581492272654,-0.2451619106757434,-0.10438635620098223,-1.0785269345681685,-0.7899755134589378,-0.17751227482272833,-0.1202069029513661,0.003282,0.01,0.0,0.97,100,14,1,15
69,0.9350856299377694,-3.634729603549409,-0.5785184452735029,-0.2472622826348885,-0.10518418472162898,-1.0877092833892135,-0.7962683718945447,-0.17912199299979165,-0.12121569493891238,0.00325,0.01,0.0,0.97,100,14,1,15
70,0.9365902964959569,-3.6436573463309414,-0.5830594322253831,-0.24921332313911745,-0.10599280386826862,-1.0962751270565625,-0.8024581120576115,-0.18058004952138804,-0.12219537228499845,0.003219,0.01,0.0,0.97,100,14,1,15
71,0.9350076078051064,-3.652979994578792,-0.5878040339901892,-0.25126980307411384,-0.10680274111934436,-1.105216124135452,-0.8088216171926583,-0.1820871930593253,-0.12314547622405819,0.003188,0.01,0.0,0.97,100,14,1,15
72,0.9391581418748952,-3.6614309594676095,-0.592147820699961,-0.2531291779061721,-0.10757089738222299,-1.113270498076283,-0.814685222475245,-0.18345076082102366,-0.12404436256913969,0.003157,0.01,0.0,0.97,100,14,1,15
73,0.9389984107124743,-3.669494231651201,-0.5962826978738461,-0.25499788594888373,-0.10828517787214498,-1.1211946783557485,-0.8201896023917405,-0.18475318904399396,-0.12493864165431669,0.003128,0.01,0.0,0.97,100,14,1,15
74,0.9433263781382514,-3.676974939358437,-0.6001128605470312,-0.2566287670159084,-0.10898229369146945,-1.1283427448061458,-0.8254282525992668,-0.18596543968590867,-0.12575094128225117,0.003098,0.01,0.0,0.97,100,14,1,15
