episode,service_level,starvation_count,congestion_count,hotspot_imbalance_mass
0,0.8978834565262565,-11.110292581744105,-6.612561346585852,-11.295703420071145
1,0.9355217587712694,-36.23131464781142,-22.429412020305595,-41.25685451137859
2,0.9313034124185741,-55.89479714483973,-35.4682581747526,-68.42570881527723
3,0.9268835057965428,-72.91316487289409,-46.73599706929133,-93.73137849615604
4,0.9267466349235418,-88.35207361154676,-56.89146626441846,-117.51334200693081
5,0.9340666036988513,-101.63608807422108,-65.86961569069616,-139.35157338915582
6,0.9328115593016255,-113.59455422649849,-74.28533040564665,-159.97116292847832
7,0.9264910257547533,-124.36120922444813,-81.88120644052755,-179.30967050928604
8,0.932037081627739,-134.16169404214955,-88.8324793070113,-197.14398833284204
9,0.9118202247191012,-143.20995738004876,-95.52970899472977,-214.51561420342964
10,0.9284941063266778,-151.9361057389393,-102.08253210820409,-231.21959491797418
11,0.9307738998482549,-159.3828228766188,-107.76149029261923,-246.17609585186705
12,0.92648792431158,-166.03817454530133,-112.92016273405291,-260.4504352382872
13,0.9247079581406669,-172.08864744115914,-117.69003943948819,-274.1951260144216
14,0.9296263855749192,-177.36638208709502,-121.85493263823953,-286.6944902562485
15,0.9237098649494678,-182.61044293925522,-125.98975042885341,-298.87061527742804
16,0.9322183098591549,-187.5827123612878,-130.07553249850508,-310.4412745141975
17,0.9317343173431735,-191.66838671591742,-133.49894927786588,-321.21860088613994
18,0.9271409152695967,-195.8216500988667,-136.77828599782495,-331.64238594371875
19,0.9305421395798117,-199.42263596818907,-139.65267009665087,-341.50814236407183
20,0.9273198829880274,-202.55198511647015,-142.35506394225885,-350.8347082576599
21,0.9333808971729243,-204.98187490396316,-144.59160734429767,-359.1958919619924
22,0.9228709159078736,-207.5750334842331,-146.76134520982072,-367.6273253011025
23,0.9291057206020411,-209.90285935364105,-148.55511269848125,-375.2383021721127
24,0.9306570431566703,-211.9158154148312,-150.2269772078001,-382.4610124567301
25,0.9306978281113881,-213.98179571285823,-152.04543970488928,-390.13550851203667
26,0.9272059487611766,-215.53298456081316,-153.44430879770917,-397.0081870741667
27,0.9291501001464829,-216.84480626749874,-154.76944874828672,-403.19561165851974
28,0.9205614454233239,-218.4046307687837,-156.2082682771522,-410.20112481542077
29,0.9271735154249482,-219.77433515767476,-157.56035120675136,-416.3517564400308
30,0.9323294738736577,-221.3477852371429,-159.0679887361793,-423.51094330026814
31,0.9277640089463821,-222.66331336503012,-160.24235138502308,-429.5523381813772
32,0.9318481255240149,-223.7513261375352,-161.33825102407403,-435.02814197670386
33,0.922528777635666,-224.38747773375243,-161.97836618314193,-439.9680758502114
34,0.9304580106849151,-225.4205665470432,-162.91728015882418,-445.61387107089524
35,0.9223438157657387,-226.3910328446661,-163.77527999930874,-450.99003351766925
36,0.9282069970845481,-227.13594893255532,-164.43967295420404,-455.87414210514976
37,0.9289506416284925,-228.15725546613803,-165.30410335253583,-461.28233363072525
38,0.9224831517382656,-228.8426987134982,-166.00378880420658,-465.8887744442579
39,0.9326789489580187,-229.61926867834316,-166.75573122085643,-470.41253273684345
40,0.9301435699635718,-230.10825391980802,-167.411471394712,-474.9660337717188
41,0.9259570887673538,-230.88460562494578,-168.1993084163216,-479.5319877392405
42,0.9263855934781287,-231.18846120201457,-168.7254474062734,-483.4064182039105
43,0.9274434740997727,-231.53312115825315,-169.15516870535768,-487.2051987798202
44,0.9269215751058781,-232.19423928562497,-169.72232851374974,-491.39993553403974
45,0.9308289687556438,-232.4743381297422,-169.87874290707768,-494.84005542560294
46,0.924981290226014,-232.504655519477,-170.2482164519274,-498.2443341326279
47,0.9233574442435202,-232.92230356429576,-170.66738126236604,-502.19010470472756
48,0.9261740933265227,-233.18374785019478,-171.06525095423402,-505.86761687647527
49,0.934689928340338,-233.46161242843584,-171.62697242695577,-509.8564016566922
50,0.9211459836459837,-233.90465095008872,-172.02419988540345,-513.4476649208339
51,0.9233244926542897,-234.48835328126245,-172.50999391461576,-517.2092746145846
52,0.9273401963131434,-234.83322399210365,-172.95003177218774,-520.5229275342066
53,0.9247082518808127,-235.02586902013834,-173.14180449671076,-523.7892400007213
54,0.9347249142686745,-235.20858004767894,-173.29854305720178,-526.723988798485
55,0.9329857848634558,-235.49548786086618,-173.61822176838055,-530.3545080480612
56,0.9267651888341544,-235.82391648367835,-174.10680607599068,-533.9056063049974
57,0.9327300512390255,-235.9720087663909,-174.48344758743463,-537.2277165902245
58,0.9267582567555273,-236.07893976505449,-174.752981797908,-540.1200766667147
59,0.9236771519141673,-236.0545680545478,-174.91228278781082,-542.5369778561823
60,0.9374601148691768,-236.36798192883947,-175.247802783198,-545.5610700169411
61,0.9343065693430657,-236.4415762522503,-175.53097805091363,-548.1305626613316
62,0.9415055951169888,-236.42817186350223,-175.6332833783949,-550.513159596579
63,0.9299598056272121,-236.4941770522468,-175.84174325735492,-553.3691397946604
64,0.9312314789356307,-236.70884355656446,-176.077358396089,-556.3624823306861
65,0.9294836874281218,-236.8196342941333,-176.37242041996916,-559.1343740914127
66,0.924543795620438,-236.91622660446555,-176.6195970372755,-561.9121821682237
67,0.9336379592083762,-237.21262655344282,-177.0017825460009,-564.7633126770454
68,0.9380914585750045,-237.374600327219,-177.25110979554535,-567.5467269075026
69,0.9337164636869845,-237.53868775021587,-177.6440960522742,-570.3022304672127
70,0.9275670177118238,-237.63785946078926,-177.9796489235319,-573.137443126515
71,0.9329825616355983,-237.65578421703879,-178.20762720853503,-575.4959877364298
72,0.9334230596680125,-237.7801987035825,-178.47862053601312,-578.2901823579059
73,0.9182613945064896,-237.94184684825748,-178.7488600111316,-580.8676210301259
74,0.9279009205426356,-237.95246725147624,-178.95436720083907,-583.2973154595998
75,0.9276578023677792,-238.26413222592478,-179.32932643976494,-586.1206644099182
76,0.9332194347031142,-238.38357051432612,-179.61446667520653,-588.8950834968626
77,0.9336812285671686,-238.42492562258997,-179.79856549924594,-591.0034544204657
78,0.926678048342169,-238.4541925449573,-179.85746960061593,-593.184452263552
79,0.9200277744233788,-238.70276511564063,-180.15917626386877,-595.7674266602293
80,0.928690426607961,-238.94378318847438,-180.4928431845577,-598.4238876811239
81,0.933751848610147,-239.27355466178506,-180.82325009060364,-601.072577590252
82,0.9359063130324834,-239.65537620102194,-181.24081796528574,-603.8068297906672
83,0.9303810878711747,-239.96005875754165,-181.55041258856775,-606.438821908909
84,0.9347058290820177,-240.23489865372335,-181.84969194209782,-608.8191144827115
85,0.932760015581458,-240.52808822630865,-182.12575154706653,-611.3587130851057
86,0.9299961008967937,-240.64973997209384,-182.3632000008213,-613.5777273324796
87,0.927841520258157,-240.89215857267675,-182.64733237770625,-616.0371087374066
88,0.9300305517282693,-241.08772643185617,-182.91104719202616,-618.3503799439961
89,0.9349423827238907,-241.3248381996921,-183.1845088196209,-620.6427997842821
90,0.9304692943920987,-241.6121721121563,-183.49555278469228,-622.9500023612572
91,0.9293908644726145,-241.89802438341673,-183.78581174199758,-625.3990524166185
92,0.9276270216546698,-242.02749621219206,-183.94182632129827,-627.5555776942978
93,0.9275388507408746,-242.26586813786767,-184.2463529268294,-629.9436305963089
94,0.9330463316976247,-242.4925410153873,-184.48891403877414,-632.303909688555
95,0.934866248598867,-242.80219948499777,-184.80485337077644,-634.6900518205435
96,0.9287112851548593,-243.09869104412851,-185.09962629983875,-636.9851021486008
97,0.9336892972199021,-243.27729082769196,-185.31413101339743,-639.1513518285426
98,0.936822833818542,-243.53983129710227,-185.5773021792323,-641.2674707383917
99,0.9245049877942195,-243.69387661584372,-185.79553730721494,-643.3046548675851
100,0.9318518071197802,-243.9364870999631,-186.09214940930875,-645.5213344023781
101,0.9313325622450843,-244.17295322601785,-186.4111137572047,-647.7592555816299
102,0.9293466759379629,-244.29612381874213,-186.62986472242548,-649.7794457536743
103,0.929569022358089,-244.43971063423822,-186.8407773429708,-651.6591343834658
104,0.9307992788461539,-244.62526467711814,-187.06267729508167,-653.6663027165336
105,0.9314237421146359,-244.7996241965775,-187.26797158301986,-655.5864843414181
106,0.9347014368073603,-244.97127928814956,-187.49344396739733,-657.4886072864734
107,0.9318615426546744,-245.0436264876982,-187.65924269963443,-659.3050123827626
108,0.9279658432448917,-245.20115797555448,-187.87402260014122,-661.1142499133078
109,0.9301435118186203,-245.3050533392754,-188.0554790482649,-662.8080084947243
110,0.9303935969303636,-245.52315548621405,-188.27387003953854,-664.6366863629435
111,0.9324846144563774,-245.5723016647275,-188.41552905504898,-666.26238485484
112,0.9290731180213712,-245.56908846288607,-188.5118858030427,-667.8050085494001
113,0.9305996525489726,-245.74469126084688,-188.7387153725035,-669.6274336164105
114,0.9288356000954426,-245.81657736400433,-188.90555517634795,-671.2327851927162
115,0.9363843006516139,-245.8485771076066,-189.05129747783005,-672.8707063685512
116,0.9326833378471908,-245.90935754833262,-189.19692096084495,-674.4547383722603
117,0.933956050535896,-245.9611508130152,-189.35605133975636,-676.1009198916795
118,0.9318209279845335,-245.97474595897427,-189.4781057151043,-677.6175955188346
119,0.9319075564159961,-245.98766104656931,-189.57162419491357,-679.0409833813513
120,0.9371609678795636,-246.18044596665635,-189.81576155404773,-680.7842307244421
121,0.9334548769371012,-246.19137188501773,-189.9120619947553,-682.0995116255134
122,0.9285994152928057,-246.2092525756644,-190.02054156732993,-683.5543315609059
123,0.9282975226733216,-246.18120672551933,-190.1072953921079,-684.8917190977605
124,0.9336202715809894,-246.26521330283447,-190.25774587239985,-686.3410560557575
125,0.9361137097504301,-246.33758164161662,-190.379447813993,-687.8489781868171
126,0.9325169986160419,-246.37448382418987,-190.4974591951268,-689.1755376923695
127,0.9395804280603892,-246.4303499968356,-190.58049559273744,-690.4486270856418
128,0.9364890435207227,-246.47449158615333,-190.66447219994492,-691.7344899968926
129,0.9276897513500683,-246.52466184014116,-190.73673801320052,-692.97415382087
130,0.9312253677908481,-246.63526845454706,-190.89560777623234,-694.3854616587339
131,0.9242964605748194,-246.76836287392115,-191.05808216887252,-695.8566885366299
132,0.9242590886121103,-246.94199994546943,-191.26507328048325,-697.3031092643425
133,0.9345344806979802,-247.0841173556253,-191.42625702638983,-698.7519766056441
134,0.9286186384666226,-247.17739988940974,-191.53112185131815,-700.0723694524728
135,0.9222646731446106,-247.17167042750768,-191.5623478295831,-701.09126918915
136,0.9310386841303686,-247.2871515447649,-191.69137299705696,-702.2247730759497
137,0.9301334933253338,-247.35047203939186,-191.77786204258905,-703.3291639623931
138,0.9261469265367317,-247.44277418214554,-191.9117078291496,-704.5059495479981
139,0.9383911439114391,-247.57682978336433,-192.05840960651048,-705.698560658428
140,0.9320957647201799,-247.6817453190565,-192.20556129913015,-706.8653898190895
141,0.9313564974834758,-247.70304403625616,-192.27217876850838,-707.8993936462365
142,0.9305538904208128,-247.808459998295,-192.36613694480008,-708.933841900676
143,0.9243755228875343,-247.90084131304363,-192.48522678352933,-710.0301304984537
144,0.9362309263486723,-247.98215774884164,-192.60630511577676,-711.1360290221434
145,0.9359366946608859,-248.06420326567874,-192.73141752423564,-712.3019159473985
146,0.9262580664707486,-248.18527652221636,-192.8806611105002,-713.441078052934
147,0.9320152829158833,-248.25419344065392,-192.98088513803395,-714.4853692831839
148,0.9285671191553544,-248.3560126439046,-193.09568122101575,-715.5875032856844
149,0.9234370779435157,-248.43878327393827,-193.1994137051888,-716.5969252252278
