episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-0.5056647968551261,-0.4022405242736568
1,0.9411905832958465,-1.0302732090742717,-0.87918260017008,-0.6909794312281693,-0.5776536869357815
2,0.9380246096452962,-1.3265026197477905,-1.1178956616972249,-0.886514273931341,-0.7447019643428077
3,0.9451355086833724,-1.5515707607501938,-1.2908137669121815,-1.0203403145875365,-0.8681100443290523
4,0.9383806457330222,-1.781716266066666,-1.49430080916865,-1.1783231107954852,-1.0183451573537752
5,0.934238503128607,-2.0193513614698575,-1.7009888522089018,-1.3165359989428345,-1.155002286786749
6,0.9411345411345411,-2.216372226220504,-1.850760673102384,-1.4437577893947022,-1.273777131981189
7,0.9351312819294285,-2.4423374467006176,-2.0380174879258277,-1.5834369479156205,-1.3956463921024342
8,0.9331192990878541,-2.6324347066220763,-2.21312772095329,-1.7015576887178367,-1.519751941093984
9,0.9348527391122529,-2.8194472474988364,-2.3686216748511706,-1.814029060055982,-1.6359538191762397
10,0.9402256876889461,-2.969846437121024,-2.489454879385914,-1.928327116942218,-1.7275239118469015
11,0.9377641526281326,-3.1030128632830705,-2.6077772665553867,-2.019016105106926,-1.8266675881721717
12,0.9388846909475593,-3.2482498965795785,-2.7277498172715298,-2.0918862367408586,-1.8970195842056867
13,0.9402389242406051,-3.345652965159059,-2.7984676410632816,-2.1342621447573924,-1.947599988969423
14,0.9362019575077585,-3.474720228520551,-2.904547097066178,-2.208811693434631,-2.02353722710825
15,0.9370426783741003,-3.5871691464088995,-2.9837270135327043,-2.283514197577891,-2.1117122433271605
16,0.9375660417232738,-3.7037708695189204,-3.0801624454530696,-2.3310841836872616,-2.1744425996934376
17,0.9320397111913358,-3.832781804024887,-3.1931066557918233,-2.401889903173794,-2.2509299189779117
18,0.9313064076039699,-3.9361405918576886,-3.2793308342469474,-2.434207081902171,-2.2904683588237535
19,0.9378394689197345,-4.029307595243232,-3.354122484393106,-2.462584440627326,-2.3297738193958963
20,0.9336296384679632,-4.123913999967233,-3.4245067874768127,-2.5027945713508815,-2.378112199882426
21,0.940294978275648,-4.200864900505954,-3.49019989089597,-2.560315362007679,-2.4261519869516617
22,0.936384631534747,-4.281323334863401,-3.5527870086901308,-2.6267469151155876,-2.4769969864802435
23,0.937256896654898,-4.373695722608264,-3.633764522418382,-2.6819744597898914,-2.54041519407167
24,0.942124301216705,-4.395331606527749,-3.658500565674794,-2.6774932302407417,-2.5560504869579
25,0.9433797909407665,-4.430185494690295,-3.7091017433524267,-2.689615970843324,-2.57473318817699
