Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality,Bikes Critical (>0.83),Bikes High (0.60-0.83),Bikes Medium (0.30-0.60),Bikes Low (<=0.30)
2,0,7,420,0,0,0,0,0,0,0,0,0.0,0.443,31,151,362,224
2,0,8,480,0,0,0,0,0,0,3,0,46.26,0.438,31,147,350,240
2,0,9,540,1,1,0,1,1,0,20,10,20.5,0.4385,32,144,352,240
2,0,10,600,1,1,0,0,0,0,14,11,19.5,0.438,33,142,353,240
2,0,11,660,3,3,0,4,0,0,18,31,0.5,0.4417,35,142,357,234
2,0,12,720,7,7,4,3,0,0,22,19,4.5,0.4443,35,144,355,234
2,0,13,780,12,12,9,8,1,0,21,9,22.63,0.4444,37,143,352,236
2,0,14,840,21,21,2,10,1,0,6,24,19.33,0.4449,37,143,353,235
2,0,15,900,42,26,9,10,1,16,24,20,3.36,0.4499,40,150,351,227
2,0,16,960,30,29,33,14,0,1,15,8,19.5,0.4508,42,148,350,228
2,0,17,1020,20,19,22,17,2,1,25,26,12.25,0.452,42,149,357,220
2,0,18,1080,10,10,23,22,1,0,10,20,23.78,0.4508,43,143,356,226
2,0,19,1140,7,7,6,7,3,0,22,8,18.5,0.4511,45,141,354,228
2,0,20,1200,2,2,3,2,0,0,16,14,21.99,0.4491,44,139,358,227
2,0,21,1260,4,3,0,2,2,1,18,23,11.5,0.4477,42,138,362,226
2,0,22,1320,3,2,2,1,1,1,7,18,20.5,0.4448,38,140,361,229
2,0,23,1380,0,0,3,0,0,0,23,3,30.53,0.4388,37,132,363,236
2,1,24,1440,0,0,0,0,0,0,0,0,0.0,0.4391,37,132,364,235
2,1,1,1500,0,0,0,0,0,0,0,0,0.0,0.4391,37,132,364,235
2,1,2,1560,0,0,2,0,0,0,0,0,0.0,0.4391,37,132,364,235
2,1,3,1620,0,0,0,0,0,0,0,0,0.0,0.4391,37,132,364,235
2,1,4,1680,0,0,0,0,0,0,0,0,0.0,0.4391,37,132,364,235
2,1,5,1740,0,0,0,0,0,0,0,0,0.0,0.4393,37,132,364,235
2,1,6,1800,7,6,1,3,0,1,0,0,0.0,0.4431,39,131,373,225
2,1,7,1860,24,21,9,3,6,3,0,0,0.0,0.4467,40,132,377,219
2,1,8,1920,5,5,8,14,1,0,17,34,7.44,0.4472,41,130,379,218
2,1,9,1980,4,3,8,5,1,1,16,12,23.5,0.4461,40,132,373,223
2,1,10,2040,10,10,2,16,0,0,13,15,28.13,0.4438,41,126,373,228
2,1,11,2100,12,11,5,13,0,1,15,20,28.17,0.4404,39,123,378,228
2,1,12,2160,11,9,0,4,0,2,12,6,27.94,0.4384,39,119,383,227
2,1,13,2220,15,14,6,8,0,1,18,5,31.38,0.4367,37,120,381,230
2,1,14,2280,36,34,12,3,1,2,24,28,2.53,0.441,38,124,382,224
2,1,15,2340,45,43,12,1,1,2,21,24,9.06,0.445,37,129,387,215
2,1,16,2400,22,17,14,1,0,5,13,13,36.3,0.4435,36,127,386,219
2,1,17,2460,16,12,12,4,1,4,12,20,9.5,0.4454,38,124,391,215
2,1,18,2520,5,5,10,4,0,0,18,15,25.3,0.4441,37,123,394,214
2,1,19,2580,7,7,5,0,0,0,5,5,53.38,0.4382,37,116,387,228
2,1,20,2640,3,2,6,1,1,1,14,14,21.5,0.4366,37,112,391,228
2,1,21,2700,10,6,0,1,0,4,5,0,37.15,0.4351,36,113,387,232
2,1,22,2760,2,2,2,0,0,0,10,22,20.0,0.4324,35,109,391,233
2,1,23,2820,0,0,1,0,0,0,26,6,17.08,0.43,35,108,387,238
2,2,24,2880,0,0,0,0,0,0,0,0,0.0,0.43,35,108,387,238
2,2,1,2940,0,0,0,0,0,0,0,0,0.0,0.43,35,108,387,238
2,2,2,3000,0,0,0,0,0,0,0,0,0.0,0.43,35,108,387,238
2,2,3,3060,0,0,0,0,0,0,0,0,0.0,0.43,35,108,387,238
2,2,4,3120,0,0,0,0,0,0,0,0,0.0,0.43,35,108,387,238
2,2,5,3180,0,0,0,0,0,0,0,0,0.0,0.4303,35,108,389,236
2,2,6,3240,18,17,1,3,1,1,0,0,0.0,0.4325,35,109,395,229
2,2,7,3300,32,22,12,11,1,10,0,0,0.0,0.4358,36,113,392,227
2,2,8,3360,24,23,12,7,0,1,17,20,19.0,0.4352,36,116,389,227
2,2,9,3420,13,13,0,6,1,0,9,6,29.28,0.4322,38,110,389,231
2,2,10,3480,25,23,5,2,0,2,13,26,16.77,0.4325,38,107,394,229
2,2,11,3540,15,14,5,1,1,1,13,20,16.38,0.4325,35,111,398,224
2,2,12,3600,5,4,17,6,0,1,21,8,27.31,0.4312,35,110,398,225
2,2,13,3660,22,11,9,9,0,11,12,19,0.0,0.4349,35,114,401,218
2,2,14,3720,9,9,7,11,0,0,19,18,17.5,0.4366,35,119,405,209
2,2,15,3780,40,38,2,9,1,2,15,17,23.0,0.4399,37,120,403,208
2,2,16,3840,29,27,3,4,1,2,24,13,18.0,0.4416,38,121,409,200
