episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,maintenance_restoration_value,alpha,alpha_initial,epsilon
0,0.8702443266384601,-0.003210922610970026,-0.0019432494536532855,-0.000964373015871519,-0.00035968290389527666,-0.0006741475495257976,-0.0003298751312414714,-0.0008252406893403267,-7.352068447776789e-06,0.01,0.01,0.2
1,0.9238348241307418,-0.007067421714893208,-0.0039548969979558,-0.0018052802267203554,-0.0007814089108111643,-0.0012946530875478398,-0.0006923075178471483,-0.0011803567403224583,-2.3976927187285237e-05,0.009708,0.01,0.198006
2,0.9179567082160568,-0.01121404626105649,-0.00612836743757909,-0.002689473602269129,-0.0012267489598233744,-0.0019007424735846758,-0.0010993343491975819,-0.0016320130669644755,-4.259016403412085e-05,0.009432,0.01,0.196032
3,0.9224566275743229,-0.015002541030073485,-0.008161333899670562,-0.0035363746414906845,-0.0016732012954626587,-0.0024715531326662096,-0.0014681582781399761,-0.001967930565822076,-5.6336476020380507e-05,0.009172,0.01,0.194078
4,0.9202173480882645,-0.018844282259348626,-0.010194378598790781,-0.0043825008264575275,-0.002100821009806544,-0.0030496239014494906,-0.0018177556113649325,-0.0025142463140109955,-7.40047834091267e-05,0.008925,0.01,0.192143
5,0.9214288105520404,-0.02250521303738608,-0.01211659100998876,-0.005173298632417034,-0.0025099022000498405,-0.0035860132309450286,-0.0021709011220450414,-0.0029584576819530165,-9.030223076046372e-05,0.008692,0.01,0.190228
6,0.9171962711350112,-0.026336685567760865,-0.014153630413019253,-0.0060272226739028975,-0.0029371896496606033,-0.0041753506857470845,-0.00254053811609294,-0.003409089995591035,-0.00010549982890127535,0.00847,0.01,0.188331
7,0.9184841738781112,-0.029914118095516123,-0.016047922630589174,-0.006825623264266259,-0.0033187248430986594,-0.004720849810421039,-0.0028749404020605223,-0.003913346475226953,-0.00011902846513067715,0.00826,0.01,0.186454
8,0.926043980264831,-0.03308289198798307,-0.017726486394594117,-0.007511312367737845,-0.0036849498032087836,-0.005182036063017283,-0.003179951164706963,-0.004294328588360243,-0.00013122469971712632,0.008059,0.01,0.184595
9,0.923149204644607,-0.03635032958646311,-0.019420249359824924,-0.008205601043644989,-0.0040331612632653665,-0.0056537527296584645,-0.0034941144357729732,-0.004642054007444033,-0.0001442277548147493,0.007868,0.01,0.182755
