episode,service_level,bias,rebalancing_imbalance,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9209157650049333,-2.5421632070948954,-0.04216320709489518,-0.0042232235270166715,-0.0410557399594225,-0.006964130597842451,-0.004169405089862176,0.01,0.01,0.0,0.97,100,13,0,13
1,0.9137803483758155,-2.5869685741156094,-0.08696857411560997,-0.00819919662314657,-0.08459325268387417,-0.014286905214602243,-0.008270420458596247,0.009708,0.01,0.0,0.97,100,13,0,13
2,0.9093117544565071,-2.632739846101027,-0.13273984610102854,-0.012434763929799492,-0.1292238475165524,-0.02164379512912986,-0.012898245148934446,0.009432,0.01,0.0,0.97,100,13,0,13
3,0.9166513308684523,-2.6736831244329116,-0.1736831244329134,-0.01645695501374564,-0.16902000427134078,-0.027899219134604383,-0.016715335651264197,0.009172,0.01,0.0,0.97,100,14,0,14
4,0.9100622887813928,-2.7171082636502564,-0.21710826365025876,-0.020413688554029863,-0.21153162184018198,-0.034909291125086304,-0.020815487704694706,0.008925,0.01,0.0,0.97,100,13,0,13
5,0.9073181346456429,-2.7598408336390645,-0.259840833639068,-0.024790683590601662,-0.2530241142291618,-0.04154620490097439,-0.025177171764315394,0.008692,0.01,0.0,0.97,100,13,0,13
6,0.908362974326124,-2.800395859863821,-0.3003958598638238,-0.028525892711096307,-0.2927147182947295,-0.047806326012674163,-0.028914638963714778,0.00847,0.01,0.0,0.97,100,13,0,13
7,0.909629580034481,-2.839645265536362,-0.3396452655363648,-0.03215585584532169,-0.33099670353884186,-0.054221621407334906,-0.032772743884115454,0.00826,0.01,0.0,0.97,100,13,0,13
8,0.9117851511503705,-2.8765064652432883,-0.3765064652432904,-0.03565216126332382,-0.3669194000362359,-0.06018562464688566,-0.03621035300252898,0.008059,0.01,0.0,0.97,100,13,0,13
9,0.9205986978991879,-2.9082286484381905,-0.40822864843819207,-0.038681824554226384,-0.3978901897673622,-0.0651564137829352,-0.039272662031749304,0.007868,0.01,0.0,0.97,100,13,0,13
