episode,service_level,rebalancing_imbalance,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
50,0.8280463242698892,-2.2015667280723497,-0.867122917714976,-0.28408734252434226,0.01996,0.05,0.12119
51,0.8107558335014458,-2.2274921153341953,-0.8772369776696006,-0.28741155702523774,0.019723,0.05,0.119982
52,0.8191186143389607,-2.2544449635116974,-0.8879834752778631,-0.29092926076280273,0.019492,0.05,0.118786
53,0.8121655070912497,-2.2848703806253368,-0.900531248638998,-0.2948410642971622,0.019265,0.05,0.117601
54,0.8249853274084011,-2.3114532298047137,-0.9115105113789014,-0.29836396819428157,0.019045,0.05,0.116429
55,0.81736932835696,-2.338424631964329,-0.9221108070928916,-0.30207144474625947,0.018829,0.05,0.115268
56,0.8255058474104325,-2.363391157312416,-0.932122340608818,-0.3050018845245904,0.018618,0.05,0.114119
57,0.8073056300268097,-2.391512638892632,-0.9433045576641474,-0.3088494712861731,0.018411,0.05,0.112982
58,0.8245166059099233,-2.415020207628609,-0.9526140397148846,-0.31180617878620226,0.01821,0.05,0.111855
59,0.8236236405024872,-2.438857506405776,-0.9623204874774685,-0.3148005920905175,0.018012,0.05,0.11074
60,0.8236598764800218,-2.4628276059542755,-0.9718134754463349,-0.3177497888277277,0.017819,0.05,0.109636
61,0.8277211823154513,-2.487482579872379,-0.9812799347609856,-0.32103499287246584,0.01763,0.05,0.108543
62,0.8154392938957014,-2.5119496790872793,-0.9911937309784014,-0.32406345392738006,0.017445,0.05,0.107461
63,0.8138360151205968,-2.5361402000401982,-1.0007955270015858,-0.3270730992123462,0.017263,0.05,0.10639
64,0.8377000117039242,-2.5565084104784517,-1.0085717103728253,-0.3295837098193401,0.017086,0.05,0.105329
65,0.8147482920114817,-2.581291931669445,-1.0184628472017667,-0.3327102909379527,0.016912,0.05,0.104279
66,0.8235619840257735,-2.606802620593695,-1.0286607844524047,-0.33618018878428885,0.016741,0.05,0.10324
67,0.824717245099196,-2.62793426633408,-1.037011343383281,-0.3388114067536267,0.016574,0.05,0.10221
68,0.8207868467410452,-2.650541757936935,-1.0455589298516759,-0.3419937136658444,0.016411,0.05,0.101191
69,0.8179670615041801,-2.6741134251512344,-1.0552161373602056,-0.345001621422664,0.01625,0.05,0.100183
70,0.8162680554853281,-2.6960325093361814,-1.0642269458282478,-0.3479571660729627,0.016093,0.05,0.099184
71,0.8265635181874385,-2.716457607299036,-1.0723920760784682,-0.3502168106656463,0.015938,0.05,0.098195
72,0.8279108728430222,-2.735383968167952,-1.0800891075786314,-0.35250147444127244,0.015787,0.05,0.097216
73,0.8250564334085779,-2.7564737811997895,-1.0888445320308693,-0.35499578914990665,0.015638,0.05,0.096247
74,0.8190896188158961,-2.7775143755710765,-1.096968469609819,-0.3578247980396343,0.015492,0.05,0.095288
75,0.8341076333548103,-2.7969310989971223,-1.104575985475155,-0.36016871101715386,0.015349,0.05,0.094338
76,0.8278719141566777,-2.815817070780422,-1.111815674304497,-0.3627638242618921,0.015209,0.05,0.093397
77,0.8209293791907128,-2.8358594206607637,-1.1194980265416723,-0.3655843817981749,0.015071,0.05,0.092466
78,0.8230871221657184,-2.8558282909087307,-1.1270948183383025,-0.3683251994540983,0.014935,0.05,0.091544
79,0.8227220221512537,-2.879025495830057,-1.136462135166312,-0.3716649584274874,0.014802,0.05,0.090632
80,0.8256030618925316,-2.8982537920666624,-1.1440888466497792,-0.3739291214616377,0.014671,0.05,0.089728
81,0.8213888795338968,-2.9179352395528584,-1.1517655830945592,-0.3764926474666845,0.014543,0.05,0.088834
82,0.831275997372897,-2.937840215653609,-1.1597974740859276,-0.37920693199258154,0.014417,0.05,0.087948
83,0.8248550541971262,-2.955524353682742,-1.1666022582660465,-0.38166353944330134,0.014293,0.05,0.087071
84,0.8225404525367976,-2.9742089057760857,-1.1735756348960118,-0.38410207360932147,0.014171,0.05,0.086203
85,0.8225539531899084,-2.9928115552994226,-1.180880886345612,-0.3863767031637622,0.014051,0.05,0.085344
86,0.8189943186636139,-3.0104327719214607,-1.1878776711893662,-0.38855542760469913,0.013933,0.05,0.084493
87,0.8163676678089095,-3.0305424339525397,-1.196086127371786,-0.3911257512531896,0.013817,0.05,0.083651
88,0.8333839559920354,-3.0494214463091707,-1.2035537146046484,-0.39342174734641866,0.013703,0.05,0.082817
89,0.8076196261051495,-3.0694744120721196,-1.2115074422458303,-0.39603766032492815,0.013591,0.05,0.081991
90,0.8178232776705547,-3.0879708080521975,-1.2187672085768673,-0.3985241388660935,0.013481,0.05,0.081174
91,0.8211434370771312,-3.1057790910558545,-1.225983347341536,-0.4005584160025576,0.013372,0.05,0.080365
92,0.8263446687440726,-3.1217068461632946,-1.2323769084424612,-0.40261489413433477,0.013265,0.05,0.079563
93,0.8132079254235023,-3.140712787043993,-1.2400956550209938,-0.4049562407979207,0.01316,0.05,0.07877
94,0.8286473585320853,-3.159889697557641,-1.2477423355681223,-0.40745871309079307,0.013057,0.05,0.077985
95,0.8142948201825013,-3.1787868743385435,-1.255567156232307,-0.4096705132186143,0.012955,0.05,0.077207
96,0.8134231360037811,-3.1965920219974384,-1.2627767382747064,-0.411679722192381,0.012855,0.05,0.076438
97,0.8171886013493103,-3.214717728188488,-1.2699244985587965,-0.41412152028864485,0.012756,0.05,0.075676
98,0.821449021523123,-3.232552445752917,-1.2770775272180945,-0.4161355933199201,0.012659,0.05,0.074921
99,0.8255936049859431,-3.2484214109244443,-1.2833561612029667,-0.41820027200183996,0.012563,0.05,0.074174
100,0.8176706157183381,-3.265248995162789,-1.2904338484323927,-0.42020009494522065,0.012469,0.05,0.073435
101,0.8189506735541375,-3.2829984786089996,-1.2977625045009948,-0.42251324276204605,0.012376,0.05,0.072703
102,0.8188596417740395,-3.2988715796133503,-1.3042352297748188,-0.42446885706847287,0.012284,0.05,0.071978
103,0.8261545743457975,-3.316568529231088,-1.3111696930861758,-0.42706636915086044,0.012194,0.05,0.071261
104,0.8237848532099324,-3.332380446136295,-1.3172433857140404,-0.42911516980192593,0.012105,0.05,0.07055
105,0.8318811550659322,-3.349431037816364,-1.3242360018847699,-0.4310787252486168,0.012018,0.05,0.069847
106,0.822568922093947,-3.3655877925672555,-1.3306102284801733,-0.43313794845010195,0.011931,0.05,0.06915
107,0.823566338649474,-3.380976279810277,-1.3369777795895803,-0.43510293096773883,0.011846,0.05,0.068461
108,0.8155696792226808,-3.3993392673855043,-1.3445599174092238,-0.437402420128522,0.011762,0.05,0.067779
109,0.8240913288004701,-3.416105904416298,-1.35144319921955,-0.43946832529765745,0.01168,0.05,0.067103
110,0.8270160950535097,-3.4309126379403065,-1.3575755298727588,-0.44124975865359944,0.011598,0.05,0.066434
111,0.8186132438433247,-3.4474482481195308,-1.3642884298200875,-0.4433712258688203,0.011518,0.05,0.065772
112,0.8285992152654348,-3.4619579122773256,-1.3700026120169406,-0.4450321230234964,0.011438,0.05,0.065116
113,0.8219152287044645,-3.480068043353836,-1.3775467070992247,-0.44724695605422066,0.01136,0.05,0.064467
114,0.8158827184335589,-3.497525954079592,-1.3846161461688997,-0.4494615181365643,0.011283,0.05,0.063824
115,0.8142934305583688,-3.5143545361385216,-1.391379433039856,-0.45170228393643064,0.011207,0.05,0.063188
116,0.8260965507876155,-3.5284745898547327,-1.396724511727288,-0.45365408086933257,0.011132,0.05,0.062558
117,0.8167696648082219,-3.54316464607434,-1.4029787494076356,-0.4551266907954598,0.011058,0.05,0.061934
118,0.821408791098132,-3.558590929040038,-1.4090889366041897,-0.45711910872181627,0.010985,0.05,0.061317
119,0.8218515345461875,-3.5739816691241395,-1.4151802203515942,-0.45901662519334896,0.010912,0.05,0.060706
120,0.811816779558715,-3.5911922438898274,-1.421854223359031,-0.4614946110346416,0.010841,0.05,0.0601
121,0.8205349147616875,-3.6049454441239566,-1.4274086102715284,-0.4632289170766755,0.010771,0.05,0.059501
122,0.817125977644255,-3.6196061252189327,-1.43316411046198,-0.46518948475403044,0.010702,0.05,0.058908
123,0.8340823657171498,-3.6330242042177594,-1.4382572218184237,-0.4669399346906997,0.010633,0.05,0.058321
124,0.825666062680357,-3.6459249585341045,-1.4435521951286203,-0.4684766396761956,0.010565,0.05,0.057739
125,0.8204579062770894,-3.660302350370148,-1.4492803090116961,-0.47005594865742467,0.010499,0.05,0.057164
126,0.825570454010821,-3.673903006298013,-1.454543949644409,-0.4719958888155978,0.010433,0.05,0.056594
127,0.8258238516645596,-3.6866970958174567,-1.459409338865023,-0.4736610333866346,0.010368,0.05,0.05603
128,0.8194986816194386,-3.7000530472645496,-1.4648695410192547,-0.47535854343349926,0.010303,0.05,0.055471
129,0.820421470103855,-3.713031488922593,-1.4700885348716526,-0.4769877931407814,0.01024,0.05,0.054918
130,0.8129190843268732,-3.7265473651478853,-1.4752997938277506,-0.47888233963034776,0.010177,0.05,0.054371
131,0.8231590611463685,-3.7393616518713264,-1.480279922717862,-0.4806131729111758,0.010115,0.05,0.053829
132,0.8232452401250355,-3.7525475218308255,-1.485557299636274,-0.4823121193878165,0.010054,0.05,0.053292
133,0.8235105593414749,-3.7666339708530834,-1.4909927131897942,-0.484337713423525,0.009993,0.05,0.052761
134,0.8112762163539102,-3.7808794434306545,-1.4967903394781532,-0.48617082932225386,0.009934,0.05,0.052235
135,0.8219967641903735,-3.7935846042018255,-1.5021092230988358,-0.48754426620851316,0.009875,0.05,0.051714
136,0.8246862205517149,-3.80643581172703,-1.507377965534824,-0.48908946637014244,0.009816,0.05,0.051198
137,0.8288990825688074,-3.819335270976594,-1.5121226091363156,-0.4910374366551871,0.009758,0.05,0.050688
138,0.8274781792900102,-3.8317566303575097,-1.5172219138124705,-0.4925859468922091,0.009701,0.05,0.050183
139,0.8147785377515107,-3.844785812819824,-1.522410130201408,-0.4941250699142477,0.009645,0.05,0.049682
140,0.8244808743169398,-3.8592382369688836,-1.5281106593254912,-0.49614697866009033,0.009589,0.05,0.049187
141,0.8152184882430114,-3.87198089935677,-1.533094632834691,-0.4977154613189934,0.009534,0.05,0.048697
142,0.8280113075623505,-3.8838365802215806,-1.537880261812908,-0.4990990203424048,0.00948,0.05,0.048211
143,0.8184772825760859,-3.8968266863064622,-1.5429244322654723,-0.5009034439239818,0.009426,0.05,0.047731
144,0.8129491559654645,-3.9094069880339206,-1.5479517133228327,-0.5026469316025716,0.009373,0.05,0.047255
145,0.8165543209669015,-3.921371413733887,-1.5527903276128665,-0.5041232027142354,0.00932,0.05,0.046784
146,0.8204011921904826,-3.93372673771133,-1.5577084226244446,-0.5057344410516019,0.009268,0.05,0.046317
147,0.8279829689453587,-3.9455263729497494,-1.5622947178891946,-0.5074913826528255,0.009217,0.05,0.045856
148,0.8213976247515165,-3.958164208781646,-1.5671936406295035,-0.5093504015225134,0.009166,0.05,0.045399
149,0.8232663696730268,-3.970556334356603,-1.5721909506904288,-0.5110472581147143,0.009116,0.05,0.044946
150,0.8257459505541347,-3.982668382664187,-1.5770214620440572,-0.5126487558714132,0.009066,0.05,0.044498
151,0.8237358963643961,-3.994911531214933,-1.5820186179614848,-0.5141037777275639,0.009017,0.05,0.044054
152,0.8056775486348835,-4.008121105606185,-1.5875694180096815,-0.5155196072820476,0.008968,0.05,0.043615
153,0.8186264723497704,-4.020504508555852,-1.592678294801403,-0.5172034682406307,0.00892,0.05,0.04318
154,0.8147607111435733,-4.03271384762211,-1.5974248488402334,-0.5188392459470186,0.008872,0.05,0.04275
155,0.8212177798526126,-4.044569184380065,-1.6020400005400115,-0.5204899571086186,0.008825,0.05,0.042324
156,0.8138650204388087,-4.056709199715193,-1.6069980072352552,-0.521834101094239,0.008779,0.05,0.041902
157,0.8193541870096637,-4.070076815183244,-1.6126134775430376,-0.5234234255952479,0.008732,0.05,0.041484
158,0.8227113741844353,-4.0810510444581185,-1.6169619694380715,-0.5247995145867755,0.008687,0.05,0.04107
159,0.8217877189709848,-4.092491855901548,-1.6213991342301715,-0.5264165174056424,0.008642,0.05,0.040661
160,0.8263227491086822,-4.102984229863313,-1.625528148544983,-0.5277202901458545,0.008597,0.05,0.040256
161,0.8134777781515998,-4.114744597361971,-1.6301107033458355,-0.5293164931288982,0.008553,0.05,0.039854
162,0.8086568421052631,-4.127070521318676,-1.6350613804968612,-0.5309464486196495,0.008509,0.05,0.039457
163,0.8171078538612995,-4.138543862900004,-1.639993990592079,-0.5321594194459959,0.008465,0.05,0.039064
164,0.8072693133047211,-4.150215072988315,-1.6448723413620336,-0.5335683343823695,0.008423,0.05,0.038674
165,0.8170365019905595,-4.161460662268886,-1.6495393728017411,-0.5349729706572602,0.00838,0.05,0.038289
166,0.818628197964816,-4.172054827184146,-1.653525914917154,-0.5363264145001306,0.008338,0.05,0.037907
167,0.8243609376840617,-4.183267518857817,-1.65766512553721,-0.5379635422995697,0.008296,0.05,0.037529
168,0.8166821130676553,-4.195047158917815,-1.6622638453456298,-0.5396343788791683,0.008255,0.05,0.037155
169,0.8079733774812288,-4.2063663531932,-1.6667590745148588,-0.5410193739732969,0.008214,0.05,0.036785
170,0.8299245599329421,-4.2158802156515165,-1.6704393224531566,-0.5422108367507661,0.008174,0.05,0.036418
171,0.8147694610269232,-4.226926397604046,-1.674889367097446,-0.5436671068468061,0.008134,0.05,0.036055
172,0.7994382398180967,-4.239517002097736,-1.6801183710126242,-0.5453443199425015,0.008094,0.05,0.035695
173,0.8195966464219699,-4.250170041026434,-1.684368541641928,-0.5467689700554227,0.008055,0.05,0.035339
174,0.8180612673101133,-4.260947212045773,-1.688605373910066,-0.5481280904863277,0.008016,0.05,0.034987
175,0.8198655462184874,-4.2722717184332755,-1.693167953041823,-0.5496001897976115,0.007978,0.05,0.034638
176,0.8131997444776922,-4.283369646713352,-1.6977407723472688,-0.5509648365478704,0.007939,0.05,0.034293
177,0.8197934021992669,-4.294008367388656,-1.7018734668153817,-0.5525870989519407,0.007902,0.05,0.033951
178,0.8224549729243409,-4.304298292073974,-1.7058536402653481,-0.5539948999502382,0.007864,0.05,0.033613
179,0.8239618283286405,-4.315948877863107,-1.7105858217476353,-0.5554797935038662,0.007827,0.05,0.033278
180,0.8222725415418142,-4.326414136625381,-1.7145748542804766,-0.5569391111296166,0.007791,0.05,0.032946
181,0.8217854763491006,-4.3367006490495665,-1.7185884016467194,-0.5583171023695681,0.007754,0.05,0.032617
182,0.8272704444630451,-4.347482885303838,-1.7227136349416505,-0.5598560170797015,0.007718,0.05,0.032292
183,0.8309528633171259,-4.3571343069439745,-1.7263749722726398,-0.5611120156435193,0.007682,0.05,0.03197
184,0.8221923998165356,-4.367464610252244,-1.7303366850737487,-0.562531609611388,0.007647,0.05,0.031652
185,0.8164799677061257,-4.3779778147270205,-1.7346258350487855,-0.5638180164150115,0.007612,0.05,0.031336
186,0.8208915413596506,-4.388045268511285,-1.738590677991475,-0.5652194922507136,0.007577,0.05,0.031024
187,0.8267478742070455,-4.397308453335369,-1.7424121406939834,-0.5663857982870544,0.007543,0.05,0.030714
188,0.8130300628909609,-4.407340483153698,-1.746689648308568,-0.5675307517394864,0.007509,0.05,0.030408
189,0.8287911020285097,-4.4170571525061995,-1.7505645672439392,-0.5686551080171522,0.007475,0.05,0.030105
190,0.8216479488509884,-4.427095340411213,-1.754697442821728,-0.5699060918515226,0.007442,0.05,0.029805
191,0.8112145776110404,-4.437037845392096,-1.7585126700131326,-0.5713131628820396,0.007408,0.05,0.029508
192,0.8193605322109836,-4.4463058402624975,-1.7622861626117703,-0.5724557070674133,0.007375,0.05,0.029214
193,0.8075395828097511,-4.4565331390640806,-1.7664126244208296,-0.5736230765375014,0.007343,0.05,0.028922
194,0.8193814156772778,-4.467015995654334,-1.7706094002933743,-0.5749774436420044,0.007311,0.05,0.028634
195,0.8286223883132325,-4.4763586192662945,-1.774200654409168,-0.5762911825846939,0.007278,0.05,0.028349
196,0.8200871444977369,-4.4862856871583086,-1.7782748023088968,-0.5774720707665295,0.007247,0.05,0.028066
197,0.8178243113792582,-4.49556476748813,-1.782079353432579,-0.5786395330487997,0.007215,0.05,0.027786
198,0.8259947128256074,-4.504514010148994,-1.7857409333006795,-0.5796880312335319,0.007184,0.05,0.027509
199,0.811170966827332,-4.51464135108911,-1.7897688721938723,-0.5809238748339727,0.007153,0.05,0.027235
200,0.8212686567164179,-4.52351095963985,-1.7932981140668123,-0.5820755320671219,0.007122,0.05,0.026963
201,0.8142369001329764,-4.5344259856998885,-1.7977593111255517,-0.5835759838527014,0.007092,0.05,0.026695
202,0.8216449778047834,-4.543897639657725,-1.8014915338060333,-0.5847478285899441,0.007062,0.05,0.026429
203,0.8287726358148894,-4.5527616479596045,-1.8050445552265084,-0.5858992971774565,0.007032,0.05,0.026165
204,0.8226316143347004,-4.561116131372788,-1.808466616764968,-0.5869213531110729,0.007002,0.05,0.025904
205,0.8304084694617239,-4.570386756062441,-1.8122760621382636,-0.5880595684101977,0.006973,0.05,0.025646
206,0.8185895712941809,-4.5791548821407,-1.8158988166411305,-0.5891912608824926,0.006944,0.05,0.02539
207,0.8298870284446238,-4.58835687322569,-1.8193930773944789,-0.5904647932880491,0.006915,0.05,0.025137
208,0.8210396997694418,-4.597666398314184,-1.8230490579982614,-0.5917266442098246,0.006886,0.05,0.024887
209,0.8185202575798229,-4.606879559541281,-1.826703052790489,-0.5929681909813634,0.006858,0.05,0.024639
210,0.8236503082861296,-4.615701043371873,-1.8301176034980995,-0.5941305487883721,0.00683,0.05,0.024393
211,0.8150856455975157,-4.625353158188361,-1.8340236903098366,-0.5953422939916566,0.006802,0.05,0.02415
212,0.8217562475710931,-4.63408994257211,-1.8375080456082253,-0.5964530227542683,0.006774,0.05,0.023909
213,0.8189854023201387,-4.6444365425469245,-1.841543763500405,-0.5979221244065316,0.006746,0.05,0.023671
214,0.8245966042253283,-4.653108210327262,-1.8449211927484772,-0.59911307201668,0.006719,0.05,0.023435
215,0.8164540966758209,-4.661712562724766,-1.8483202919039967,-0.6003433326433272,0.006692,0.05,0.023201
216,0.817713889029986,-4.670980224808094,-1.8521731757583682,-0.6014220548820631,0.006665,0.05,0.02297
217,0.8288515452630182,-4.67900761191436,-1.8553164586286761,-0.6024389834965659,0.006639,0.05,0.022741
218,0.8260337163465571,-4.687725860285622,-1.8586316720237512,-0.6037119921653618,0.006612,0.05,0.022514
219,0.8267149229862806,-4.6964835645226986,-1.8621534479284663,-0.6048116727476824,0.006586,0.05,0.02229
220,0.8238891977960876,-4.704883872981058,-1.8656095858892043,-0.6058456908696439,0.00656,0.05,0.022067
221,0.8215640844833955,-4.712268191215483,-1.8685258381763163,-0.6068456323559125,0.006534,0.05,0.021847
222,0.8213112533441701,-4.720999373361742,-1.8720134375032236,-0.6079825585973743,0.006508,0.05,0.02163
223,0.8197358593060365,-4.728825273198322,-1.8751954646104043,-0.6089519697971527,0.006483,0.05,0.021414
224,0.8191248903582754,-4.7372050543188955,-1.8786061655024375,-0.6100052377701274,0.006458,0.05,0.0212
225,0.8127726223958772,-4.746130531590245,-1.8824225306964157,-0.61108455991992,0.006433,0.05,0.020989
226,0.8315312755894985,-4.753390107545761,-1.8853227691466379,-0.6119763950750545,0.006408,0.05,0.02078
227,0.8214418809499611,-4.761308703423866,-1.8884844503704896,-0.6130098317292636,0.006383,0.05,0.020573
228,0.8225018179358395,-4.769313934476395,-1.8916102911612462,-0.6140102770021066,0.006359,0.05,0.020368
229,0.8281074837789177,-4.777123691575747,-1.8946459864508267,-0.6150871525608453,0.006335,0.05,0.020165
230,0.8132615281050152,-4.78559582287536,-1.8981518987998693,-0.6162423663822099,0.006311,0.05,0.019964
231,0.8086859800798827,-4.794390715752903,-1.9016047276261354,-0.6174949580104369,0.006287,0.05,0.019765
232,0.8240981963927856,-4.8021813583226,-1.9048149585989949,-0.6183804464254125,0.006263,0.05,0.019567
233,0.816644362663098,-4.810953815306578,-1.9083371243454037,-0.6195936957581862,0.00624,0.05,0.019372
234,0.8231810205183585,-4.818973473114647,-1.9113983470849336,-0.6206929956768251,0.006216,0.05,0.019179
235,0.8170922178459867,-4.826795432662145,-1.9144733181419171,-0.6216798217889266,0.006193,0.05,0.018988
236,0.8256616897122506,-4.834488314889779,-1.9176702130482228,-0.6226315155531298,0.00617,0.05,0.018799
237,0.8229781031794454,-4.842678259798461,-1.9209324088886972,-0.623714574502084,0.006147,0.05,0.018611
238,0.825516010640089,-4.850585717091452,-1.9240989376673832,-0.6247280579041279,0.006125,0.05,0.018426
239,0.8205599973237881,-4.858608448460231,-1.927335906153044,-0.6257456648876794,0.006102,0.05,0.018242
240,0.8238418610905668,-4.865881589303166,-1.9302889929379787,-0.6266172080454007,0.00608,0.05,0.01806
241,0.8227032275344851,-4.873548573070804,-1.9332467693844062,-0.6276003883709025,0.006058,0.05,0.01788
242,0.8319993173478966,-4.880195671968454,-1.9360177085017622,-0.6283824035289304,0.006036,0.05,0.017702
243,0.8176149517549047,-4.888358489111167,-1.9394834228803368,-0.6294164438816313,0.006014,0.05,0.017526
244,0.821896580764696,-4.896452527230068,-1.9427890984976037,-0.6305017696985885,0.005992,0.05,0.017351
245,0.8313488717239519,-4.903839290688628,-1.9457811735842736,-0.6314359846305522,0.00597,0.05,0.017178
246,0.8314283295233257,-4.910638214436422,-1.9484192167552137,-0.6323103970550134,0.005949,0.05,0.017007
247,0.8345381796173632,-4.917742425268151,-1.9512081235649372,-0.633266718549671,0.005928,0.05,0.016837
248,0.8115530782873068,-4.927083097527647,-1.955139406296915,-0.6344634087658426,0.005907,0.05,0.016669
249,0.8158901455037504,-4.934238789869782,-1.9580910771814897,-0.6352575831692622,0.005886,0.05,0.016503
250,0.8248173954020668,-4.941574320576192,-1.9611185221124585,-0.6361569627691467,0.005865,0.05,0.016339
251,0.8295227711146523,-4.948364022388858,-1.963804624863715,-0.6370291945172929,0.005844,0.05,0.016176
252,0.8245203556387459,-4.955888008050234,-1.9668923383658563,-0.6379265350660959,0.005824,0.05,0.016014
253,0.8244969171353073,-4.962693934861817,-1.9696668016031655,-0.6387512559748878,0.005804,0.05,0.015855
254,0.8168375427190131,-4.970220179320038,-1.972641124889811,-0.6396973147834086,0.005783,0.05,0.015697
255,0.8113841141071251,-4.9783931004082085,-1.9759418015169516,-0.6407531055795738,0.005763,0.05,0.01554
