episode,service_level,rebalancing_imbalance,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.8248729266987693,-0.04640997489990126,-0.018773627215920404,-0.005081241541918583,0.05,0.05,0.2
1,0.8226533082302313,-0.11961192787928883,-0.04839474137896842,-0.014095323981720408,0.048539,0.05,0.198006
2,0.8210625041870436,-0.18303964087364058,-0.07378535887256046,-0.021990120727891214,0.047161,0.05,0.196032
3,0.8271935251918865,-0.2498224763153047,-0.09902181248033246,-0.03111568601096191,0.045859,0.05,0.194078
4,0.8160565572277687,-0.3148894173669613,-0.12641242280961165,-0.038298894142947876,0.044627,0.05,0.192143
5,0.8167548028649843,-0.3817290311162038,-0.15261404733120004,-0.04668771786275959,0.043459,0.05,0.190228
6,0.8145344818866843,-0.44443634571469315,-0.1775592295846042,-0.05441895528836363,0.042351,0.05,0.188331
7,0.816068679295803,-0.5048803735990275,-0.20176733336593192,-0.061448544724155854,0.041298,0.05,0.186454
8,0.8315029489526133,-0.5602809742155446,-0.22440365336945528,-0.0678554757979724,0.040296,0.05,0.184595
9,0.820251677852349,-0.6178361045915608,-0.24685415251996107,-0.07520323611719491,0.039342,0.05,0.182755
10,0.8090355278835988,-0.679848824520936,-0.27082082895570403,-0.08369245102392031,0.038432,0.05,0.180933
11,0.8271311958259698,-0.7273951571394193,-0.28963746544493085,-0.08922505323535947,0.037563,0.05,0.179129
12,0.8235105809408276,-0.7801070083321775,-0.30994872051936184,-0.09552550404250773,0.036732,0.05,0.177343
13,0.8234187000067218,-0.8259750419722975,-0.32775390473735533,-0.10203069645571189,0.035938,0.05,0.175575
14,0.8290809051716908,-0.8825923906701528,-0.34951187683847273,-0.1101646090232547,0.035176,0.05,0.173825
15,0.8285374115437503,-0.9300909044625247,-0.3676133622830632,-0.11692472592483383,0.034447,0.05,0.172092
16,0.8338143015335056,-0.9730612920922915,-0.38419468814999347,-0.12257380614778542,0.033747,0.05,0.170376
17,0.8190614498725072,-1.018162283943591,-0.4021693457138644,-0.12835846432216885,0.033075,0.05,0.168678
18,0.8129196727593848,-1.0680340178988463,-0.42185752839838253,-0.13501432308186156,0.03243,0.05,0.166996
19,0.812346265415868,-1.1143344529631298,-0.44053044067138714,-0.14113016638471967,0.031809,0.05,0.165332
20,0.8186289935242386,-1.1610278709313158,-0.4591641829131515,-0.14666801792275636,0.031211,0.05,0.163683
21,0.8144474960160037,-1.2124135990292066,-0.48003506746008917,-0.15368165559221894,0.030635,0.05,0.162052
22,0.8147348694007999,-1.2602391737244822,-0.4990110347276223,-0.16010879270051231,0.03008,0.05,0.160436
23,0.8216667789530419,-1.301179672768016,-0.5138524701405357,-0.1659772487595045,0.029545,0.05,0.158837
24,0.8272105902113718,-1.3384726299462846,-0.5278624682843027,-0.17099768141847466,0.029029,0.05,0.157253
25,0.8051860582589662,-1.3882434228412404,-0.5477755448429852,-0.17818961926654772,0.028531,0.05,0.155686
26,0.8276583985127373,-1.4273611830458863,-0.5633373652736188,-0.1826477187312153,0.028049,0.05,0.154133
27,0.8257195142239229,-1.4663795410577498,-0.5787423978003465,-0.1882022407873126,0.027583,0.05,0.152597
28,0.8194631324004306,-1.5023205972061255,-0.5928868825630833,-0.19287328703214432,0.027132,0.05,0.151076
29,0.8263286971712692,-1.5390339544068974,-0.6073166210320966,-0.19773295554234688,0.026696,0.05,0.14957
30,0.8239945698286102,-1.5719038039267192,-0.6199532175074101,-0.20199846723776566,0.026274,0.05,0.148078
31,0.8283666413694241,-1.605941367023759,-0.6332798449114448,-0.20644327232071188,0.025865,0.05,0.146602
32,0.8224762545179457,-1.640173216436288,-0.6466583661365641,-0.2108885607808394,0.025468,0.05,0.145141
33,0.8265297491160698,-1.6754967452323368,-0.6605297535018935,-0.21584621299958812,0.025084,0.05,0.143694
34,0.8175045932854518,-1.7096710020986066,-0.6737594579893638,-0.22034090085420638,0.024711,0.05,0.142261
35,0.8215891800507185,-1.7441701989235796,-0.6865099113414277,-0.22526862549350354,0.024349,0.05,0.140843
36,0.822495784148398,-1.7790205859903732,-0.6997609807731603,-0.22998219933849884,0.023997,0.05,0.139439
37,0.8317758585790432,-1.8104886754012663,-0.7120883952187459,-0.23386359157483208,0.023655,0.05,0.138049
38,0.8262893503014066,-1.8412431370177267,-0.7242555844732119,-0.2376779113004216,0.023323,0.05,0.136673
39,0.8256381035378505,-1.8715024139859409,-0.7365861697891191,-0.24139400101659855,0.023,0.05,0.13531
40,0.8141161794949597,-1.9075216454692505,-0.7513518900433035,-0.24553592731351856,0.022686,0.05,0.133961
41,0.8221464676149054,-1.9386297877120529,-0.7640055629830006,-0.2496062768704384,0.02238,0.05,0.132626
42,0.8208845167669387,-1.9687848014057177,-0.7763045566253118,-0.25312003078190853,0.022083,0.05,0.131304
43,0.8249596968538616,-2.001378964296846,-0.788894014110521,-0.25763211585546114,0.021793,0.05,0.129995
44,0.8215709929291914,-2.0309505487323247,-0.8003083947952779,-0.2615822884119927,0.021511,0.05,0.128699
45,0.8146877837183496,-2.061199099587495,-0.8118310065204182,-0.26550308199393996,0.021236,0.05,0.127416
46,0.8285661592113205,-2.0879063757864547,-0.8226568826276978,-0.2688984704638432,0.020968,0.05,0.126145
47,0.8137161244909246,-2.1189742993343157,-0.835433539033005,-0.27276944961112043,0.020706,0.05,0.124888
48,0.822082408504531,-2.1474273394941585,-0.8466191012440697,-0.2766452627332851,0.020451,0.05,0.123643
49,0.8225768520073913,-2.176034678059438,-0.8570400167583049,-0.2808414333859182,0.020203,0.05,0.12241
