feature,corr_reward,corr_td_target,corr_td_error,corr_future_starvation,corr_future_congestion,corr_future_broken_fleet_ratio
rebalancing_imbalance,-0.005141639432617807,0.0019872371247265015,0.00198743820812089,0.005959542875942455,0.0032428699763698385,-0.09361540748199002
squared_starvation_penalty,-0.049663796391899204,-0.012290970916205056,-0.012291015716337738,0.05100548993185351,0.0464457666617333,0.11875415979996021
squared_congestion_penalty,0.00961630325623591,0.001588274153673971,0.0015888253329675484,-0.010061432371581119,-0.008565853569796862,-0.29675538620893843
starvation_severity_max,-0.039858255245473595,-0.008123880143990753,-0.008123578963721461,0.04121136020612256,0.036638475822134496,0.03646895510983292
congestion_severity_max,0.0006648722404160683,-0.0010584088913526135,-0.0010579719976787263,-0.0014260868416383712,0.0010919722443571821,-0.23589890437895786
starvation_count,-0.038239118591529314,-0.011103045622789003,-0.011102944715747574,0.040063374046493704,0.0339370345292684,0.05396980498809051
congestion_count,-0.002366296266765455,0.0021007397304148405,0.0021009127566149156,0.0014245346875165319,0.004531846047790415,-0.207884452917219
gross_starvation_risk,-0.03976756830715304,-0.010416861337666885,-0.010416788207834423,0.04141585101582602,0.035867406679707586,-0.01024988306466802
gross_congestion_risk,-0.03555399670396237,-0.010761599858480169,-0.010761590404357205,0.03650505461478934,0.033272023649583836,-0.10519139053660244
net_starvation_shortfall,-0.02794734237868972,-0.004713156313845732,-0.004712957786911507,0.02894239630912422,0.02558297924537051,-0.004338267379734963
net_congestion_shortfall,-0.032494825513040636,-0.007350705175856163,-0.007350545954341144,0.03215243561269106,0.03320289715753351,-0.20040476337880533
