reward,td_target,td_error,future_starvation,future_congestion,future_broken_fleet_ratio
-0.5,-0.49702956559007105,-0.49702956559007105,5.0,0.0,0.04712041884816754
-0.5,-0.49819273599279645,-0.49819273599279645,5.0,0.0,0.04712041884816754
-0.4,-0.3991961340203455,-0.3991961340203455,3.0,1.0,0.04712041884816754
-0.5,-0.4971487707817639,-0.4971487707817639,4.0,1.0,0.04712041884816754
-0.4,-0.39870891586015267,-0.39870891586015267,3.0,1.0,0.04712041884816754
-0.2,-0.19894744762344194,-0.19894744762344194,2.0,0.0,0.04712041884816754
-0.4,-0.39853807566224847,-0.39853807566224847,1.0,3.0,0.04842931937172775
0.0,0.0,0.0,0.0,0.0,0.04842931937172775
0.0,0.0,0.0,0.0,0.0,0.04842931937172775
-0.1,-0.09983527904918052,-0.09983527904918052,1.0,0.0,0.04842931937172775
-0.1,-0.09990503253022692,-0.09990503253022692,1.0,0.0,0.04842931937172775
-0.1,-0.09984225501145624,-0.09984225501145624,1.0,0.0,0.04842931937172775
-0.1,-0.09983527904918052,-0.09983527904918052,1.0,0.0,0.04842931937172775
0.0,0.0,0.0,0.0,0.0,0.04842931937172775
-0.6000000000000001,-0.5986812454209021,-0.5986812454209021,4.0,2.0,0.049738219895287955
-0.1,-0.0995465630381726,-0.0995465630381726,0.0,1.0,0.049738219895287955
-0.30000000000000004,-0.29936978820623783,-0.29936978820623783,2.0,1.0,0.049738219895287955
-0.1,-0.09970290680871637,-0.09970290680871637,0.0,1.0,0.049738219895287955
-0.5,-0.49797277122022615,-0.49797277122022615,0.0,5.0,0.049738219895287955
-0.7000000000000001,-0.6959821521674004,-0.6959821521674004,2.0,5.0,0.051047120418848166
-0.4,-0.3981646500568388,-0.3981646500568388,3.0,1.0,0.051047120418848166
0.0,0.0,0.0,0.0,0.0,0.05235602094240838
-0.1,-0.09956303198641005,-0.09956303198641005,1.0,0.0,0.05235602094240838
0.0,0.0,0.0,0.0,0.0,0.05235602094240838
0.0,0.0,0.0,0.0,0.0,0.05235602094240838
-0.2,-0.1994358970723993,-0.1994358970723993,0.0,2.0,0.05235602094240838
-0.2,-0.1993701503712166,-0.1993701503712166,1.0,1.0,0.05235602094240838
0.0,0.0,0.0,0.0,0.0,0.05366492146596859
-0.5,-0.4972633913166909,-0.4972633913166909,4.0,1.0,0.0549738219895288
-0.30000000000000004,-0.2985646823145364,-0.2985646823145364,3.0,0.0,0.05366492146596859
0.0,0.0,0.0,0.0,0.0,0.05366492146596859
-0.2,-0.19904964281683443,-0.19904964281683443,2.0,0.0,0.0549738219895288
-0.1,-0.09966555185892405,-0.09966555185892405,1.0,0.0,0.060209424083769635
0.0,0.0,0.0,0.0,0.0,0.061518324607329845
0.0,0.0,0.0,0.0,0.0,0.061518324607329845
-0.4,-0.39772596676721556,-0.39772596676721556,2.0,2.0,0.06282722513089005
-0.30000000000000004,-0.2993782040082389,-0.2993782040082389,3.0,0.0,0.06282722513089005
-0.8,-0.7966823597762406,-0.7966823597762406,8.0,0.0,0.06282722513089005
-0.6000000000000001,-0.5988445989667581,-0.5988445989667581,6.0,0.0,0.06413612565445026
-1.0,-0.9946240446082891,-0.9946240446082891,10.0,0.0,0.06413612565445026
-0.9,-0.8980549839952169,-0.8980549839952169,6.0,3.0,0.06544502617801047
-0.9,-0.8963706259886988,-0.8963706259886988,9.0,0.0,0.06544502617801047
-0.7000000000000001,-0.6982000372709433,-0.6982000372709433,7.0,0.0,0.06544502617801047
-1.3,-1.293650860548182,-1.293650860548182,13.0,0.0,0.06675392670157068
-0.2,-0.19932651303634127,-0.19932651303634127,2.0,0.0,0.06675392670157068
-0.30000000000000004,-0.29924505088517056,-0.29924505088517056,3.0,0.0,0.06675392670157068
-0.4,-0.39766098330865907,-0.39766098330865907,2.0,2.0,0.06282722513089005
-0.8,-0.7963091765279172,-0.7963091765279172,5.0,3.0,0.06282722513089005
-0.4,-0.3970618798935421,-0.3970618798935421,3.0,1.0,0.06282722513089005
-0.1,-0.09966197363623029,-0.09966197363623029,0.0,1.0,0.06413612565445026
0.0,0.0,0.0,0.0,0.0,0.06413612565445026
