rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
0.6414368,0.22535846,0.1459228,1.0,0.7777778,0.14925373,0.029850746,0.13228858,0.08922724,0.07077038,0.021042239
0.71840924,0.25194535,0.16852583,1.0,0.7947826,0.13432837,0.04477612,0.09981915,0.08024619,0.06404075,0.018835593
0.71840924,0.2666196,0.15685165,1.0,0.855,0.1641791,0.029850746,0.10209691,0.06594693,0.049185492,0.014918068
0.58114177,0.21335536,0.14471604,1.0,0.91700405,0.13432837,0.05970149,0.2396535,0.08359378,0.11494629,0.023858905
0.578576,0.19066921,0.1649646,1.0,0.9417293,0.104477614,0.07462686,0.23306647,0.09095287,0.10566709,0.027902374
0.5644644,0.19599596,0.16577938,1.0,0.9417293,0.104477614,0.08955224,0.24289085,0.08886299,0.09972026,0.030241424
0.6414368,0.23183134,0.17898448,1.0,0.96842104,0.14925373,0.05970149,0.19330874,0.09423653,0.08866416,0.028978452
0.64400256,0.22641467,0.19966319,1.0,0.98421055,0.13432837,0.08955224,0.18590957,0.11376016,0.091671966,0.037900623
0.6452854,0.22945778,0.19796899,1.0,0.98421055,0.13432837,0.08955224,0.19242981,0.113653734,0.09339519,0.036609944
0.6504169,0.22163025,0.20263468,1.0,1.0,0.104477614,0.08955224,0.19216284,0.118343666,0.09127553,0.037193444
0.6619628,0.23373728,0.20621349,1.0,1.0,0.13432837,0.104477614,0.20090577,0.121290214,0.09810753,0.039350167
0.66067994,0.23500855,0.20861341,1.0,1.0,0.13432837,0.104477614,0.20456472,0.12331003,0.100249074,0.040185083
0.66067994,0.22981714,0.20810212,1.0,1.0,0.14925373,0.11940298,0.20886625,0.118204735,0.10086682,0.038674477
0.66067994,0.22761002,0.2087253,1.0,1.0,0.13432837,0.13432837,0.21355858,0.116756074,0.10014325,0.03867402
0.6427197,0.22042874,0.20572908,1.0,1.0,0.11940298,0.13432837,0.22477348,0.11120335,0.10205994,0.03770298
0.6170622,0.24632318,0.1857656,1.0,1.0,0.14925373,0.13432837,0.14469089,0.123426996,0.051053476,0.04119198
0.60679924,0.24578106,0.16004056,1.0,0.9785714,0.14925373,0.08955224,0.14414342,0.11419452,0.045890003,0.033442114
0.6042335,0.24644923,0.17173298,1.0,0.9785714,0.14925373,0.11940298,0.14535002,0.12878355,0.043736473,0.03790313
0.61064786,0.24828552,0.16457729,1.0,0.97692305,0.13432837,0.08955224,0.15848643,0.11996073,0.041810907,0.030303085
0.56703013,0.2351341,0.15980679,1.0,0.93125,0.104477614,0.08955224,0.20432831,0.12491518,0.05739853,0.027567878
0.5798589,0.23428011,0.16890974,1.0,0.97692305,0.08955224,0.07462686,0.19202976,0.13980149,0.053584136,0.02322176
0.5721616,0.22566594,0.17631924,1.0,1.0,0.08955224,0.08955224,0.19336887,0.14455973,0.045438595,0.026342401
0.5298268,0.21104337,0.15051097,0.9727273,0.8963636,0.07462686,0.05970149,0.21551232,0.13278155,0.04390889,0.021566907
0.5182809,0.20440356,0.124106444,0.9032967,0.88384616,0.05970149,0.05970149,0.2439673,0.20361227,0.04464089,0.02151684
0.5311097,0.21282637,0.1321084,0.85384613,1.0,0.04477612,0.08955224,0.24965252,0.20866264,0.047284964,0.02572321
0.51186657,0.20549728,0.12862496,0.85384613,0.975,0.04477612,0.07462686,0.27550367,0.23753576,0.056924403,0.025074461
0.51186657,0.19553658,0.13211687,0.8605128,0.92115384,0.04477612,0.08955224,0.28883195,0.262158,0.067029215,0.02989451
0.5093008,0.19465293,0.12904465,0.90615386,0.88384616,0.05970149,0.05970149,0.31439364,0.287094,0.06874576,0.031169105
0.5093008,0.2102974,0.11872165,0.9727273,0.8925,0.07462686,0.05970149,0.31638607,0.21303847,0.047148533,0.034824695
0.5388069,0.2268389,0.11290854,1.0,0.7807692,0.08955224,0.014925373,0.3441899,0.1966311,0.06039704,0.02696639
0.5388069,0.22586583,0.12705214,1.0,0.92,0.104477614,0.07462686,0.3386223,0.21023954,0.06578252,0.038990118
0.5362412,0.20475137,0.1481296,1.0,0.97692305,0.08955224,0.08955224,0.3405744,0.27026027,0.08272645,0.03049677
0.5221296,0.20553738,0.12284241,1.0,0.8625,0.08955224,0.04477612,0.3214501,0.26541865,0.07775002,0.021356955
0.53239256,0.20234647,0.12962054,0.95,0.93317306,0.05970149,0.07462686,0.3021885,0.26864105,0.07915475,0.026040055
0.5144323,0.18760946,0.11968963,0.8566667,0.8663462,0.04477612,0.029850746,0.2682309,0.25706795,0.061904196,0.023032133
0.5939705,0.24030085,0.1278161,0.9625,0.83776224,0.05970149,0.029850746,0.22644113,0.19691382,0.053181663,0.025866866
0.63117385,0.27257973,0.13281924,1.0,0.84615386,0.11940298,0.04477612,0.21047163,0.20156571,0.06363166,0.027653232
0.6414368,0.27261427,0.12471803,1.0,0.77521366,0.13432837,0.014925373,0.19090354,0.16840944,0.056716215,0.017590437
0.6722258,0.2924953,0.124089636,1.0,0.8065934,0.19402985,0.04477612,0.20469844,0.14657964,0.059785344,0.022009516
0.6824888,0.29069978,0.13294177,1.0,0.88901097,0.1641791,0.05970149,0.18042341,0.1242835,0.05054867,0.022323502
0.5695959,0.29530126,0.11453159,1.0,0.79761904,0.23880596,0.014925373,0.19725119,0.119977355,0.05707545,0.02350799
0.58114177,0.28457582,0.12715563,1.0,0.85041666,0.1641791,0.029850746,0.17552574,0.123360924,0.0521679,0.027628915
0.5631815,0.26416704,0.12947369,1.0,0.8066667,0.17910448,0.029850746,0.1546545,0.12205164,0.04152717,0.02644921
0.5554843,0.2705412,0.12333868,1.0,0.7392857,0.17910448,0.029850746,0.14842862,0.10448581,0.040054284,0.022537267
0.5208467,0.25920972,0.115444645,1.0,0.75664335,0.14925373,0.0,0.16294135,0.097475365,0.056846566,0.018236443
0.5144323,0.23823531,0.13557814,0.98125,0.83605766,0.14925373,0.029850746,0.14417772,0.1207158,0.04796283,0.024263108
0.5208467,0.24207227,0.13887723,1.0,0.8638095,0.14925373,0.029850746,0.13716939,0.10646445,0.05273809,0.02689214
0.50416934,0.2504292,0.12873577,1.0,0.85384613,0.1641791,0.04477612,0.14015648,0.088096656,0.05714443,0.030742679
0.5298268,0.25218242,0.13935614,1.0,0.80833334,0.14925373,0.04477612,0.111183956,0.08450793,0.043884892,0.02932404
0.477229,0.22623836,0.11903398,1.0,0.75,0.1641791,0.014925373,0.08535239,0.06707372,0.03895784,0.023868414
0.46953174,0.22650366,0.1121466,1.0,0.7167832,0.1641791,0.014925373,0.07303008,0.060888503,0.027496574,0.022751568
0.48877487,0.19137949,0.117253646,1.0,0.70411766,0.13432837,0.014925373,0.063823976,0.04960841,0.030978058,0.018583404
