,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
rebalancing_imbalance,1.0,0.5668099663523228,0.7335778361658382,0.3754088819078975,0.6097486279442597,0.5108311446264587,0.5251762824144774,0.16749759602013517,0.16883940655604582,0.28136301523928064,0.40679718980471374
squared_starvation_penalty,0.5668099663523228,1.0,0.17138185629796765,0.6389256503329286,0.2659319200813357,0.8062685220172389,0.24443645008111475,0.3329908327036897,0.39302756891216994,0.22500553529140307,0.40081972365592994
squared_congestion_penalty,0.7335778361658382,0.17138185629796765,1.0,0.18014923877638217,0.8471694576018448,0.26555382625909524,0.7311346657211084,0.07192286233442632,0.10043991657431105,0.30219737745703684,0.4487444441316559
starvation_severity_max,0.3754088819078975,0.6389256503329286,0.18014923877638217,1.0,0.2252040842866466,0.7386144989741265,0.1918107176609489,0.2676060524138802,0.2764572944676858,0.2745137305612408,0.2908971124604494
congestion_severity_max,0.6097486279442597,0.2659319200813357,0.8471694576018448,0.2252040842866466,1.0,0.30270430266022735,0.831685388675896,0.13822241464377755,0.19914513550991852,0.27960532316859465,0.536302752869181
starvation_count,0.5108311446264587,0.8062685220172389,0.26555382625909524,0.7386144989741265,0.30270430266022735,1.0,0.27485628866594075,0.2856210692351121,0.3051938702680964,0.32286005667853235,0.3615408960168297
congestion_count,0.5251762824144774,0.24443645008111475,0.7311346657211084,0.1918107176609489,0.831685388675896,0.27485628866594075,1.0,0.12553779800266412,0.17890777600176958,0.2524005361044057,0.5009520811154404
gross_starvation_risk,0.16749759602013517,0.3329908327036897,0.07192286233442632,0.2676060524138802,0.13822241464377755,0.2856210692351121,0.12553779800266412,1.0,0.7605564480966067,0.759504899462571,0.44030410733457875
gross_congestion_risk,0.16883940655604582,0.39302756891216994,0.10043991657431105,0.2764572944676858,0.19914513550991852,0.3051938702680964,0.17890777600176958,0.7605564480966067,1.0,0.4047699149593157,0.7078097156957021
net_starvation_shortfall,0.28136301523928064,0.22500553529140307,0.30219737745703684,0.2745137305612408,0.27960532316859465,0.32286005667853235,0.2524005361044057,0.759504899462571,0.4047699149593157,1.0,0.3480221027108065
net_congestion_shortfall,0.40679718980471374,0.40081972365592994,0.4487444441316559,0.2908971124604494,0.536302752869181,0.3615408960168297,0.5009520811154404,0.44030410733457875,0.7078097156957021,0.3480221027108065,1.0
