label,n,service_level_mean,service_level_std,starvations_mean,starvations_std,congestions_mean,congestions_std,total_depot_visits_mean,total_depot_visits_std,total_fixed_on_site_mean,total_fixed_on_site_std,total_picked_up_to_depot_mean,total_picked_up_to_depot_std,total_functional_pickups_mean,total_functional_pickups_std,broken_ratio_end_onsite_mean,broken_ratio_end_onsite_std,broken_ratio_end_depot_mean,broken_ratio_end_depot_std,functional_ratio_end_mean,functional_ratio_end_std,functional_ratio_start_mean,functional_ratio_start_std,total_trips_mean,total_trips_std
Hybrid: Imbalance squared count temporal,10,0.94629,0.002271294295721677,2369.2,154.32850964384022,830.7,69.92066933318073,42.0,0.0,214.6,8.527081042837061,193.3,11.851394667107982,7011.6,73.57415004983437,0.0213,0.006658661860898012,0.05996,0.00929016206054077,0.91876,0.011084142827581281,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Imbalance severity temporal,10,0.94612,0.0017868656605601132,2356.2,121.81570779939118,853.8,65.31258173838586,41.9,0.3162277660168383,212.6,15.421485733295032,191.7,14.765199325139877,7182.7,143.03461119603182,0.01815,0.006090840117203318,0.06477999999999999,0.012167059354393456,0.91708,0.012481702163122152,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Imbalance severity squared temporal,10,0.9457599999999999,0.0028371347048269085,2369.4,181.4994337303686,861.3,65.09659489302543,42.2,0.6324555320336757,210.8,18.219647514580394,195.6,14.960689229518211,7135.0,117.63597333393484,0.01841,0.005477519714453087,0.0665,0.012724167730914443,0.91507,0.015377259544896552,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Imbalance squared temporal,10,0.9451,0.002730893219768569,2410.7,190.1590270156943,859.8,56.49346078185609,42.2,0.42163702135578457,203.5,14.736575812130402,198.2,11.93314711214104,6977.8,167.16910932080458,0.01948,0.005607296833392878,0.06179,0.011076546794416067,0.91875,0.013384671996147084,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Squared temporal,10,0.9449099999999999,0.0015487988177222292,2434.7,102.44895748073232,847.4,93.51197190140356,42.1,0.31622776601683844,214.3,8.097324661063482,200.2,10.778579580713675,6799.7,88.13758184414488,0.015289999999999998,0.004552276597728022,0.051070000000000004,0.01052151763451135,0.93366,0.012148543579833384,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Net temporal,10,0.9448000000000001,0.0034114187338668608,2377.7,184.33426762873532,909.7,41.48373175113346,41.8,0.4216370213557833,206.3,14.552968387545166,190.8,13.926792723220792,6991.0,148.5432970925013,0.02023,0.005392391759589514,0.07289,0.013875353849341805,0.9068400000000001,0.013676110558196017,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Imbalance count temporal,10,0.94458,0.0029222517953721274,2442.9,142.01287109116402,857.5,86.39733792195221,42.0,0.0,203.2,14.0854534893272,192.9,11.570556502510058,6995.9,136.41884034106127,0.01711,0.005724499007676469,0.06441,0.00904758408514548,0.91849,0.01240111554121912,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Imbalance temporal,10,0.94431,0.0018070540790038694,2425.4,107.70762894676184,891.9,78.72660146213462,42.0,0.0,210.7,15.239203828721934,192.6,13.582668695395943,6988.4,99.1151967269511,0.02051,0.006682722332835458,0.059430000000000004,0.008712577115871053,0.9200900000000001,0.006597044792935664,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Imbalance squared,10,0.94371,0.0022849507653339113,2473.0,166.31362608704745,880.0,84.63779035132923,42.0,0.47140452079103323,205.1,13.236733400318641,185.0,14.552586635295382,7056.8,128.5671463131663,0.02207,0.006726737693711566,0.07618,0.01607481121368321,0.90176,0.01750328223188125,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Imbalance,10,0.94335,0.003039828211520445,2487.4,189.6213771352446,886.3,74.39690853792246,41.8,0.42163702135578396,208.6,17.108802153017933,183.3,14.51474346234813,7044.4,158.91591067815284,0.020399999999999998,0.0059466143495456505,0.08043,0.00794509632135165,0.89915,0.007883350951354536,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Hybrid: Squared only,10,0.9422200000000001,0.0032893092824414455,2551.5,210.17730610130104,889.2,88.71151747847252,41.7,0.4830458915396488,208.3,11.470251377658059,192.7,10.924488292109817,6887.7,144.25290291706438,0.015409999999999998,0.003138453263773238,0.07221999999999999,0.012672174241226325,0.9123699999999999,0.012908313428002706,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Imbalance squared count temporal,10,0.93754,0.003687275416889824,2631.3,179.87406088087798,1088.7,133.78843165402773,43.8,0.9189365834726811,201.3,14.376292212450947,190.7,9.4404566744529,7379.6,95.95855586889817,0.02692,0.005999962962848652,0.07066,0.012035890771632429,0.90242,0.011903388873201897,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Imbalance severity squared temporal,10,0.9373699999999999,0.00291892293682294,2760.5,170.72736550809108,969.9,72.83993105128226,43.2,1.6865480854231367,200.1,10.785278031753386,186.4,14.811407015465406,7134.7,84.81751653468235,0.026119999999999997,0.005868522433760951,0.07199,0.011282577522692037,0.9018900000000001,0.011606171729826423,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Imbalance squared temporal,10,0.93725,0.0029132837524385004,2688.4,152.97944669500905,1050.7,98.59124369503274,44.6,2.503331114069145,200.6,12.258330500792788,188.4,20.08979840615629,7397.2,178.00112359195936,0.03125,0.007931267237963932,0.07235,0.0076139127041664105,0.89643,0.007211110255093262,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
