label,n,service_level_mean,service_level_std,starvations_mean,starvations_std,congestions_mean,congestions_std,total_depot_visits_mean,total_depot_visits_std,total_fixed_on_site_mean,total_fixed_on_site_std,total_picked_up_to_depot_mean,total_picked_up_to_depot_std,total_functional_pickups_mean,total_functional_pickups_std,broken_ratio_end_onsite_mean,broken_ratio_end_onsite_std,broken_ratio_end_depot_mean,broken_ratio_end_depot_std,functional_ratio_end_mean,functional_ratio_end_std,functional_ratio_start_mean,functional_ratio_start_std,total_trips_mean,total_trips_std
VFA: Imbalance severity temporal,10,0.9370900000000001,0.0031373909896954518,2749.6,155.73710041105957,997.5,78.3358155635084,43.2,1.6193277068654832,201.0,10.022197585581939,184.1,13.714955340794956,7181.5,122.08944808349847,0.02769,0.007700137083916826,0.07028999999999999,0.01019176682970677,0.9020199999999999,0.013474403717996417,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Imbalance count temporal,10,0.93589,0.002831744652643988,2713.1,159.86553377413432,1106.7,79.74131788337696,44.3,1.33749350984926,194.6,16.50050504277571,186.4,10.543033508225019,7453.8,139.3602844747703,0.034749999999999996,0.007695489299294463,0.07873,0.010592874963861318,0.88652,0.009376779831050735,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Squared temporal,10,0.93438,0.002117545749210646,2762.6,124.69536211637285,1146.0,65.7047267029634,44.6,1.8973665961010278,209.3,10.934654391733952,196.4,11.692352676476668,6764.5,119.75182670840591,0.01358,0.0040562160801526454,0.062419999999999996,0.010419938152940792,0.92397,0.013356068117359836,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Imbalance temporal,10,0.9343600000000001,0.0015966631871917449,2815.1,110.36046997604409,1093.5,91.26913802351567,44.2,0.9189365834726817,191.2,16.83778818940038,177.8,17.806365902863693,7602.4,80.255425569449,0.03996,0.00702569885808127,0.08022,0.012721704987059627,0.8798199999999999,0.016403102687533738,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Net temporal,10,0.93177,0.003555605902421325,2893.9,170.55429243108094,1170.2,101.18937142254066,44.1,1.5238839267549937,195.9,12.377847596052845,172.3,12.970479302374809,7567.5,163.498725785045,0.03552,0.006691752801438168,0.08607000000000001,0.00933214873434837,0.8783899999999999,0.011999393503191923,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Greedy: Greedy maintenance,10,0.9238199999999999,0.0026927061976136316,3149.5,162.5800657453975,1387.4,67.31385856980386,51.8,2.2509257354845524,206.0,16.01388286595242,206.7,14.787757699454552,5575.7,129.11067603675025,0.0172,0.004194970533600656,0.04396,0.009279511481394553,0.93887,0.010154697872851243,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Squared only,10,0.9217000000000001,0.004922510651193252,3371.0,208.0790448096321,1293.2,172.4553404346889,44.4,1.7126976771553502,207.8,9.354737361952557,104.7,11.116054455905957,6942.8,93.10901615251284,0.017509999999999998,0.00603627000353327,0.17174,0.01713555108863182,0.81074,0.016732549782451613,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Imbalance,10,0.91723,0.0030419474756222926,3605.0,132.05806803574455,1325.5,90.87628953693037,47.5,1.9002923751652303,189.7,15.355418877024775,46.0,7.453559924999299,8202.4,59.96517507872572,0.037219999999999996,0.0071339252090899365,0.24081000000000002,0.01933629000380143,0.72194,0.016990337123069556,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
VFA: Imbalance squared,10,0.91706,0.002731788181149248,3610.5,157.68833536793744,1330.1,100.35763825218065,46.1,2.6436506745197805,195.3,12.463725143168256,57.1,11.892574714221196,7741.7,96.61613621842764,0.028350000000000004,0.010099092368458993,0.23354,0.01708769537805884,0.73812,0.018514546833353584,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
Unknown: nan,10,0.80952,0.008330239425664122,9051.8,480.59772968437727,2292.5,136.27606784269443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26366,0.0148703433420722,0.27268,0.014143926847472978,0.46365,0.023241354426013012,0.9561400000000001,0.005954867290246246,59565.0,409.11639202337324
