policy,experiment,experiment_label,label,mean,std,n,metric
Hybrid,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,Hybrid: EX20 FleetShortageLogistics,2314.6,125.48235821111356,10,starvations
Hybrid,Imbalance,Imbalance,Hybrid: Imbalance,2487.4,189.6213771352446,10,starvations
Hybrid,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,Hybrid: Imbalance severity squared temporal,2369.4,181.4994337303686,10,starvations
Hybrid,Imbalance_severity_temporal,Imbalance severity temporal,Hybrid: Imbalance severity temporal,2356.2,121.81570779939118,10,starvations
Hybrid,Imbalance_squared,Imbalance squared,Hybrid: Imbalance squared,2473.0,166.31362608704745,10,starvations
Hybrid,Imbalance_squared_count_temporal,Imbalance squared count temporal,Hybrid: Imbalance squared count temporal,2369.2,154.32850964384022,10,starvations
Hybrid,Imbalance_squared_temporal,Imbalance squared temporal,Hybrid: Imbalance squared temporal,2410.7,190.1590270156943,10,starvations
Hybrid,Imbalance_temporal,Imbalance temporal,Hybrid: Imbalance temporal,2425.4,107.70762894676184,10,starvations
Hybrid,R4_NetTemporalAlternative,Net temporal,Hybrid: Net temporal,2377.7,184.33426762873532,10,starvations
Hybrid,Squared_only,Squared only,Hybrid: Squared only,2551.5,210.17730610130104,10,starvations
Hybrid,Squared_temporal,Squared temporal,Hybrid: Squared temporal,2434.7,102.44895748073232,10,starvations
VFA,EX12_ShortagePressure,EX12 ShortagePressure,VFA: EX12 ShortagePressure,2555.8,119.88031068064879,10,starvations
VFA,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,VFA: EX13 DemandWeightedBacklog,2624.1,154.7976815789636,10,starvations
VFA,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,VFA: EX14 RepairOpportunityLogistics,3028.9,165.4881331764373,10,starvations
VFA,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,VFA: EX15 FleetBrokenGlobal,2429.5,155.33780394138876,10,starvations
VFA,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,VFA: EX16 DepotIdlePipeline,2647.7,155.22818329442916,10,starvations
VFA,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,VFA: EX20 FleetShortageLogistics,2410.7,145.66861173377205,10,starvations
VFA,Imbalance,Imbalance,VFA: Imbalance,3605.0,132.05806803574455,10,starvations
VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,2760.5,170.72736550809108,10,starvations
VFA,Imbalance_severity_temporal,Imbalance severity temporal,VFA: Imbalance severity temporal,2749.6,155.73710041105957,10,starvations
VFA,Imbalance_squared,Imbalance squared,VFA: Imbalance squared,3610.5,157.68833536793744,10,starvations
VFA,Imbalance_squared_count_temporal,Imbalance squared count temporal,VFA: Imbalance squared count temporal,2631.3,179.87406088087798,10,starvations
VFA,Imbalance_squared_temporal,Imbalance squared temporal,VFA: Imbalance squared temporal,2688.4,152.97944669500905,10,starvations
VFA,Imbalance_temporal,Imbalance temporal,VFA: Imbalance temporal,2815.1,110.36046997604409,10,starvations
VFA,R4_NetTemporalAlternative,Net temporal,VFA: Net temporal,2893.9,170.55429243108094,10,starvations
VFA,Squared_only,Squared only,VFA: Squared only,3371.0,208.0790448096321,10,starvations
VFA,Squared_temporal,Squared temporal,VFA: Squared temporal,2762.6,124.69536211637285,10,starvations
Hybrid,EX12_ShortagePressure,EX12 ShortagePressure,Hybrid: EX12 ShortagePressure,853.1,46.84596508179168,10,congestions
Hybrid,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,Hybrid: EX13 DemandWeightedBacklog,859.1,80.551501813712,10,congestions
Hybrid,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,Hybrid: EX14 RepairOpportunityLogistics,853.4,60.66153824477437,10,congestions
Hybrid,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,Hybrid: EX15 FleetBrokenGlobal,840.4,83.97909792852559,10,congestions
