Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality,Bikes Critical (>0.83),Bikes High (0.60-0.83),Bikes Medium (0.30-0.60),Bikes Low (<=0.30)
2,0,7,420,0,0,0,0,0,0,0,0,0.0,0.443,31,151,362,224
2,0,8,480,0,0,0,0,1,0,22,4,0.0,0.4448,31,153,363,221
2,0,9,540,0,0,0,0,0,0,20,26,0.0,0.4473,32,155,364,217
2,0,10,600,0,0,0,2,0,0,21,19,0.0,0.4502,33,154,369,212
2,0,11,660,4,4,0,4,0,0,18,25,0.0,0.4539,35,156,374,203
2,0,12,720,5,4,1,10,1,1,21,22,0.0,0.4579,38,160,373,197
2,0,13,780,17,17,11,6,2,0,19,25,0.0,0.462,42,157,379,190
2,0,14,840,2,2,3,2,2,0,29,21,0.0,0.4667,47,157,379,185
2,0,15,900,78,68,5,2,2,10,24,16,0.0,0.472,47,161,387,173
2,0,16,960,25,23,28,6,3,2,23,39,0.0,0.4774,51,164,389,164
2,0,17,1020,21,12,17,3,1,9,32,21,0.0,0.4806,52,164,390,162
2,0,18,1080,9,5,10,3,4,4,10,18,0.0,0.4841,52,166,392,158
2,0,19,1140,4,4,6,8,3,0,31,21,0.0,0.4875,55,165,391,157
2,0,20,1200,0,0,7,4,2,0,23,21,0.0,0.4901,59,163,389,157
2,0,21,1260,0,0,5,0,1,0,24,30,0.0,0.4912,59,163,390,156
2,0,22,1320,1,1,7,0,0,0,26,19,0.0,0.4925,60,163,390,155
2,0,23,1380,0,0,0,0,0,0,20,21,0.0,0.4931,61,163,389,155
2,1,24,1440,0,0,0,0,0,0,0,0,0.0,0.4218,0,163,389,216
2,1,1,1500,0,0,0,0,1,0,0,0,0.0,0.4226,1,163,388,216
2,1,2,1560,0,0,0,0,0,0,0,0,0.0,0.4226,1,163,388,216
2,1,3,1620,0,0,0,0,0,0,0,0,0.0,0.4226,1,163,388,216
2,1,4,1680,0,0,0,0,0,0,0,0,0.0,0.4226,1,163,388,216
2,1,5,1740,0,0,2,0,1,0,0,0,0.0,0.424,2,163,389,214
2,1,6,1800,12,12,5,6,0,0,0,0,0.0,0.4267,2,167,387,212
2,1,7,1860,15,15,5,11,0,0,0,0,0.0,0.4303,3,174,384,207
2,1,8,1920,21,21,3,12,0,0,20,28,0.0,0.4325,4,175,385,204
2,1,9,1980,8,8,5,12,0,0,18,25,0.0,0.435,6,176,384,202
2,1,10,2040,12,12,0,5,1,0,25,25,0.0,0.4384,8,179,384,197
2,1,11,2100,6,6,0,13,1,0,23,20,0.0,0.4409,9,183,379,197
2,1,12,2160,4,4,0,3,0,0,25,18,0.0,0.4442,9,189,376,194
2,1,13,2220,14,14,1,14,0,0,26,20,0.0,0.4472,12,188,374,194
2,1,14,2280,24,24,1,5,0,0,18,34,0.0,0.4526,15,191,377,185
2,1,15,2340,35,35,13,3,0,0,27,27,0.0,0.4591,21,195,376,176
2,1,16,2400,15,15,7,8,0,0,26,25,0.0,0.4652,24,200,371,173
2,1,17,2460,11,11,3,2,0,0,17,16,0.0,0.4695,25,204,374,165
2,1,18,2520,10,10,7,3,1,0,33,15,0.0,0.4736,30,202,376,160
2,1,19,2580,7,7,1,6,0,0,18,28,0.0,0.476,32,207,372,157
2,1,20,2640,2,2,0,6,0,0,19,17,0.0,0.4785,33,210,369,156
2,1,21,2700,2,2,0,5,0,0,27,29,0.0,0.4804,33,214,366,155
2,1,22,2760,0,0,0,2,0,0,17,23,0.0,0.4817,33,215,365,155
2,1,23,2820,0,0,0,2,0,0,30,17,0.0,0.482,33,215,365,155
2,2,24,2880,0,0,0,0,0,0,0,0,0.0,0.4445,0,215,365,188
2,2,1,2940,0,0,0,0,0,0,0,0,0.0,0.4448,0,216,364,188
2,2,2,3000,0,0,0,0,0,0,0,0,0.0,0.4448,0,216,364,188
2,2,3,3060,0,0,0,0,0,0,0,0,0.0,0.4448,0,216,364,188
2,2,4,3120,0,0,0,0,0,0,0,0,0.0,0.4448,0,216,364,188
2,2,5,3180,0,0,0,0,0,0,0,0,0.0,0.4453,0,217,363,188
2,2,6,3240,14,14,2,16,0,0,0,0,0.0,0.4479,1,217,363,187
2,2,7,3300,37,37,18,12,0,0,0,0,0.0,0.4514,2,219,366,181
2,2,8,3360,24,24,5,7,0,0,14,30,0.0,0.4543,5,218,367,178
2,2,9,3420,16,16,10,4,1,0,24,25,0.0,0.4569,7,218,367,176
2,2,10,3480,17,17,4,8,1,0,25,20,0.0,0.4599,8,219,370,171
2,2,11,3540,10,10,10,5,1,0,28,17,0.0,0.4632,11,220,369,168
2,2,12,3600,10,10,8,7,0,0,10,26,0.0,0.4659,14,220,372,162
2,2,13,3660,11,11,1,8,1,0,21,21,0.0,0.4703,18,220,373,157
2,2,14,3720,21,21,0,10,0,0,24,24,0.0,0.4751,23,224,367,154
2,2,15,3780,23,18,5,6,0,5,23,22,0.0,0.481,27,223,372,146
2,2,16,3840,10,5,17,7,0,5,36,20,0.0,0.4859,29,226,375,138
2,2,17,3900,13,13,10,9,0,0,17,33,0.0,0.4901,36,222,372,138
2,2,18,3960,2,2,3,5,3,0,28,22,0.0,0.4951,40,224,371,133
2,2,19,4020,12,12,1,6,1,0,20,24,0.0,0.4975,42,227,366,133
2,2,20,4080,5,5,1,5,0,0,23,15,0.0,0.4994,44,227,364,133
2,2,21,4140,2,2,1,3,1,0,19,29,0.0,0.5017,45,230,361,132
2,2,22,4200,3,3,2,2,0,0,27,16,0.0,0.5026,46,230,360,132
2,2,23,4260,0,0,0,1,1,0,25,26,0.0,0.5034,47,230,359,132
2,3,24,4320,0,0,0,0,0,0,0,0,0.0,0.4495,0,230,359,179
2,3,1,4380,0,0,0,0,0,0,0,0,0.0,0.4495,0,230,359,179
2,3,2,4440,0,0,0,0,0,0,0,0,0.0,0.4495,0,230,359,179
2,3,3,4500,0,0,0,0,1,0,0,0,0.0,0.4499,1,229,359,179
2,3,4,4560,0,0,0,0,0,0,0,0,0.0,0.4499,1,229,359,179
2,3,5,4620,2,2,0,2,0,0,0,0,0.0,0.4505,2,228,359,179
2,3,6,4680,20,20,3,2,0,0,0,0,0.0,0.4531,2,230,359,177
2,3,7,4740,51,51,8,8,0,0,0,0,0.0,0.4569,6,230,359,173
2,3,8,4800,22,22,13,14,0,0,18,27,0.0,0.4594,9,231,355,173
2,3,9,4860,7,7,6,10,0,0,19,18,0.0,0.4613,10,232,354,172
2,3,10,4920,23,23,3,8,0,0,27,30,0.0,0.465,14,235,347,172
2,3,11,4980,14,14,7,17,1,0,22,11,0.0,0.4686,19,231,347,171
2,3,12,5040,12,12,0,8,0,0,25,17,0.0,0.4716,22,234,341,171
2,3,13,5100,6,6,5,3,1,0,26,28,0.0,0.4758,26,236,339,167
2,3,14,5160,6,6,5,8,1,0,17,33,0.0,0.4822,32,239,333,164
2,3,15,5220,16,16,7,9,0,0,27,18,0.0,0.4887,35,247,325,161
2,3,16,5280,27,22,14,14,2,5,16,26,0.0,0.4941,40,250,317,161
2,3,17,5340,10,8,5,1,2,2,27,20,0.0,0.4994,49,248,311,160
2,3,18,5400,9,9,8,2,1,0,19,23,0.0,0.5034,54,246,308,160
2,3,19,5460,4,4,4,9,4,0,27,20,0.0,0.5065,57,245,307,159
2,3,20,5520,0,0,5,2,0,0,24,27,0.0,0.5094,59,246,307,156
2,3,21,5580,7,6,1,4,1,1,29,16,0.0,0.511,61,247,306,154
2,3,22,5640,3,3,2,0,1,0,10,30,0.0,0.5121,61,248,305,154
2,3,23,5700,0,0,0,0,1,0,19,19,0.0,0.5123,61,248,305,154
2,4,24,5760,0,0,0,0,0,0,0,0,0.0,0.4432,0,248,306,214
2,4,1,5820,0,0,0,0,0,0,0,0,0.0,0.4432,0,248,306,214
2,4,2,5880,0,0,0,0,0,0,0,0,0.0,0.4432,0,248,306,214
2,4,3,5940,0,0,0,0,0,0,0,0,0.0,0.4432,0,248,306,214
2,4,4,6000,0,0,0,0,0,0,0,0,0.0,0.4432,0,248,306,214
2,4,5,6060,0,0,3,1,0,0,0,0,0.0,0.4438,0,248,306,214
2,4,6,6120,13,13,3,4,0,0,0,0,0.0,0.4469,5,248,301,214
2,4,7,6180,34,34,21,16,0,0,0,0,0.0,0.4499,7,250,298,213
2,4,8,6240,26,26,18,17,0,0,31,11,0.0,0.452,9,251,296,212
2,4,9,6300,11,11,3,1,0,0,16,36,0.0,0.4545,14,251,293,210
2,4,10,6360,14,14,3,7,0,0,17,17,0.0,0.457,15,251,293,209
2,4,11,6420,16,16,7,1,2,0,31,25,0.0,0.4603,19,251,289,209
2,4,12,6480,7,7,6,3,0,0,28,14,0.0,0.4635,22,252,287,207
2,4,13,6540,6,6,5,3,0,0,22,29,0.0,0.4666,26,250,289,203
2,4,14,6600,15,15,3,8,0,0,18,23,0.0,0.4721,31,253,285,199
2,4,15,6660,16,16,2,6,0,0,26,25,0.0,0.4775,33,258,278,199
2,4,16,6720,21,19,2,8,0,2,16,25,0.0,0.4818,36,258,275,199
2,4,17,6780,6,6,0,3,2,0,28,22,0.0,0.486,39,260,274,195
2,4,18,6840,17,17,0,2,6,0,23,28,0.0,0.4908,43,264,268,193
2,4,19,6900,8,8,0,0,1,0,22,17,0.0,0.4932,44,267,265,192
2,4,20,6960,0,0,0,3,0,0,32,18,0.0,0.4952,46,266,264,192
2,4,21,7020,2,2,0,0,1,0,17,22,0.0,0.4969,47,267,262,192
2,4,22,7080,2,2,0,0,0,0,12,27,0.0,0.4989,51,266,259,192
2,4,23,7140,0,0,0,0,0,0,27,12,0.0,0.4999,52,266,258,192
2,5,24,7200,0,0,0,0,0,0,0,0,0.0,0.44,0,266,258,244
2,5,1,7260,0,0,0,0,0,0,0,0,0.0,0.44,0,266,258,244
2,5,2,7320,0,0,0,0,1,0,0,0,0.0,0.4408,1,266,257,244
2,5,3,7380,0,0,0,0,0,0,0,0,0.0,0.4408,1,266,257,244
2,5,4,7440,0,0,0,0,0,0,0,0,0.0,0.4415,1,266,258,243
2,5,5,7500,0,0,0,0,0,0,0,0,0.0,0.4417,1,266,258,243
2,5,6,7560,0,0,0,0,0,0,0,0,0.0,0.442,1,266,258,243
2,5,7,7620,2,2,0,0,0,0,0,0,0.0,0.4425,2,265,258,243
2,5,7,7620,0,0,0,0,0,0,0,0,0.0,0.4425,2,265,258,243
