Seed,Hour,Time (minutes),Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes)
1,0,420,0,0,0,0,0,0,0,0.0
1,7,480,1,0,0,1,0,2,0,60.75
1,8,540,5,0,2,6,0,9,0,38.5
1,9,600,4,0,3,1,1,8,11,46.0
1,10,660,12,0,5,6,1,7,3,31.5
1,11,720,8,0,0,4,6,7,12,29.0
1,12,780,16,0,13,5,10,26,18,8.5
1,13,840,11,7,11,14,9,14,22,7.34
1,14,900,52,2,12,8,38,28,22,0.0
1,15,960,32,3,10,4,21,24,25,23.72
1,16,1020,29,3,16,2,24,17,19,10.5
1,17,1080,1,0,7,15,1,8,13,25.83
1,18,1140,13,10,6,10,11,6,11,48.78
1,19,1200,17,3,3,1,14,14,5,15.5
1,20,1260,4,4,7,5,3,0,0,0.0
1,21,1320,1,6,11,2,1,0,0,0.0
1,22,1380,0,0,2,0,0,0,0,0.0
1,23,1440,0,0,0,0,0,0,0,0.0
1,24,1500,0,0,0,0,0,0,0,0.0
1,25,1560,0,0,0,1,0,0,0,0.0
1,26,1620,0,0,0,0,0,0,0,0.0
1,27,1680,0,0,0,0,0,0,0,0.0
1,28,1740,0,0,0,3,0,0,0,0.0
1,29,1800,18,2,15,7,15,0,0,0.0
1,30,1860,43,1,22,10,41,0,0,0.0
1,31,1920,7,0,11,9,7,21,21,27.84
1,32,1980,15,0,4,6,14,8,12,18.17
1,33,2040,8,0,2,5,3,24,20,12.79
1,34,2100,19,1,9,15,17,14,9,27.06
1,35,2160,10,2,2,18,8,0,14,59.16
1,36,2220,25,7,0,8,21,7,6,18.46
1,37,2280,51,10,8,17,50,4,3,41.5
1,38,2340,52,16,0,16,46,9,11,27.5
1,39,2400,32,20,8,16,29,30,10,17.5
1,40,2460,12,12,17,13,11,7,27,14.5
1,41,2520,6,8,10,9,6,10,10,14.27
1,42,2580,3,1,1,7,3,15,0,34.0
1,43,2640,8,0,0,9,8,7,16,31.5
1,44,2700,15,0,5,12,15,0,0,0.0
1,45,2760,0,0,3,6,0,0,0,0.0
1,46,2820,0,0,0,0,0,0,0,0.0
1,47,2880,0,0,0,1,0,0,0,0.0
1,48,2940,0,0,0,0,0,0,0,0.0
1,49,3000,0,0,0,0,0,0,0,0.0
1,50,3060,0,0,0,0,0,0,0,0.0
1,51,3120,0,0,0,0,0,0,0,0.0
1,52,3180,1,1,0,3,1,0,0,0.0
1,53,3240,30,0,11,6,30,0,0,0.0
1,54,3300,38,3,12,22,38,0,0,0.0
1,55,3360,18,5,3,10,18,16,22,15.0
1,56,3420,22,4,4,8,22,20,11,16.88
1,57,3480,38,0,0,17,36,18,7,40.4
1,58,3540,22,0,4,13,19,0,11,37.5
1,59,3600,28,3,6,12,27,5,14,20.0
1,60,3660,56,0,9,16,54,27,20,3.05
1,61,3720,76,3,5,25,73,14,18,16.0
1,62,3780,61,4,0,46,60,20,13,13.14
1,63,3840,60,3,5,36,56,8,10,50.0
1,64,3900,65,7,9,42,65,1,8,27.89
1,65,3960,42,7,2,19,42,4,5,46.77
1,66,4020,28,6,1,14,28,9,7,35.72
1,67,4080,25,4,5,8,24,8,2,36.28
1,68,4140,16,2,8,9,16,0,0,0.0
1,69,4200,19,3,1,4,19,0,0,0.0
1,70,4260,0,1,1,1,0,0,0,0.0
1,71,4320,0,0,0,0,0,0,0,0.0
1,72,4380,0,0,0,1,0,0,0,0.0
1,73,4440,0,0,0,0,0,0,0,0.0
1,74,4500,0,0,0,0,0,0,0,0.0
1,75,4560,0,0,0,0,0,0,0,0.0
1,76,4620,6,1,4,2,6,0,0,0.0
1,77,4680,71,3,1,6,71,0,0,0.0
1,78,4740,96,7,10,20,96,0,0,0.0
1,79,4800,51,5,8,20,51,10,18,21.13
