Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,anticipated_demand_shortfall,squared_starvation_penalty,squared_congestion_penalty
5193,3306.948534558184,V0,D0,S33,0,0,-225.82048956614932,0.0,0.048089198214833616,0.24515252761375356,0.18892936865690518
5193,3325.892936597964,V0,S33,S16,12,0,-219.65986689759916,-1.742778662473853,0.045847869215219585,0.24617449610342046,0.18010582816277163
5193,3336.3815107550577,V0,S16,S60,6,0,-204.12971645541916,14.573251832312025,0.04613158168621121,0.24726835381620857,0.1575421701931719
5193,3346.569934827111,V0,S60,S15,1,0,-199.51739520711268,4.593223835764775,0.032275085315453596,0.22772904030908517,0.16322041071399637
5193,3354.4927161221863,V0,S15,S65,0,14,-193.79366444503043,5.769705059101767,0.03379010670050232,0.21881772580209774,0.15929219936957045
5193,3369.5962874205347,V0,S65,S54,0,6,-211.97767356439152,-21.068989589386803,0.008443271235060537,0.0,0.29834912621735676
5193,3384.020067583457,V0,S54,S60,12,0,-201.51818037270502,9.485472243811984,0.010213634941074148,0.0,0.2832243370419594
5193,3399.4659993284176,V0,S60,S18,8,0,-202.7065678799828,-2.169922018461108,0.008136862460145198,0.0,0.28528692207622725
5193,3407.9262024935947,V0,S18,S60,0,0,-210.3956454484078,-5.583239832477659,0.007946775322409925,0.0,0.29619439366553424
5193,3412.3864056587718,V0,S60,S66,0,0,-212.24119804062624,-0.41807970965766117,0.00695661984150208,0.0,0.29897385677372534
5193,3416.6172918686534,V0,S66,S52,0,12,-214.7950838902029,-0.4055379188653774,0.0071381957899611355,0.0,0.3025534152624248
5193,3428.7430387614263,V0,S52,S36,5,0,-199.7549690120899,16.338057987701433,0.00729707470522869,0.0,0.28125071333552515
5193,3438.6006604068375,V0,S36,S18,7,0,-193.2118384216372,8.460337773091965,0.005991999244275641,0.0,0.27224816161512944
5193,3451.3690818737496,V0,S18,S41,0,0,-210.69931858520604,-15.387434740318753,0.012171248742869156,0.0,0.29589714032383846
5193,3456.6941637726923,V0,S41,S23,0,0,-212.09591267802162,0.7376639332903494,0.011200953506857299,0.0,0.2980264669171793
5193,3463.4967891249075,V0,S23,S41,0,8,-216.66718158682852,-3.4052954471937653,0.008386529127691214,0.0,0.3049943637818717
5193,3474.299414477123,V0,S41,S18,8,0,-205.21765667630544,12.50502272134571,0.008136862206486836,0.0,0.2888384210604186
5193,3483.6244963760655,V0,S18,S37,0,0,-214.80552240973242,-8.451627810416085,0.006987828515798756,0.0,0.3026226084639526
5193,3488.0558927268694,V0,S37,S53,0,0,-218.14256473843778,-1.1476929477608735,0.008953952595285242,0.0,0.30698209690261885
5193,3494.0757542374154,V0,S53,S40,0,2,-217.88700800496292,2.43557043759526,0.010128521240996143,0.0,0.3064100496434476
5193,3500.3427219286914,V0,S40,S26,0,9,-220.1963974382605,-0.1098834823816901,0.010894544509990892,0.0,0.3095440452932304
5193,3512.9332029783645,V0,S26,S37,0,9,-222.91165914585937,-2.48603327190807,0.015116181300691088,0.0,0.3126338464022601
5193,3528.2216322097847,V0,S37,S44,17,0,-211.34744460580154,12.680272165497655,0.020733679418038723,0.0,0.29527282553297657
5193,3541.0768060968144,V0,S44,S16,3,0,-214.38163306204353,-0.9029616928230553,0.022963656540083702,0.0,0.2991862104168334
5193,3545.810539425043,V0,S16,S62,0,0,-227.8114935767501,-12.550885933231541,0.03193179512196706,0.0,0.3165879133679008
