Seed,Hour,Time (minutes),Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes)
1,0,420,0,0,0,0,0,0,0,0.0
1,7,480,2,0,0,5,0,0,0,58.11
1,8,540,3,0,0,6,0,0,0,31.59
1,9,600,4,0,10,5,1,10,0,40.0
1,10,660,14,0,1,7,5,0,10,34.07
1,11,720,4,0,12,6,0,1,0,58.5
1,12,780,14,0,7,8,6,1,2,64.14
1,13,840,26,5,11,7,3,0,0,25.0
1,14,900,75,24,19,14,10,5,5,26.65
1,15,960,26,18,11,12,10,3,2,66.5
1,16,1020,44,22,7,3,29,4,0,60.77
1,17,1080,9,18,9,5,1,0,1,29.5
1,18,1140,6,12,1,8,4,0,4,34.0
1,19,1200,7,8,3,3,6,1,1,59.5
1,20,1260,4,9,8,6,3,0,0,0.0
1,21,1320,3,6,4,1,1,0,0,0.0
1,22,1380,0,0,0,1,0,0,0,0.0
1,23,1440,0,0,0,0,0,0,0,0.0
1,24,1500,0,0,0,0,0,0,0,0.0
1,25,1560,0,2,0,1,0,0,0,0.0
1,26,1620,0,0,0,0,0,0,0,0.0
1,27,1680,0,0,0,0,0,0,0,0.0
1,28,1740,0,0,1,0,0,0,0,0.0
1,29,1800,15,9,5,7,2,0,0,0.0
1,30,1860,25,19,11,8,8,0,0,0.0
1,31,1920,18,7,6,4,5,4,0,58.5
1,32,1980,8,7,7,6,7,0,0,35.0
1,33,2040,13,2,14,6,3,1,0,57.5
1,34,2100,19,1,10,10,11,0,5,32.52
1,35,2160,18,0,8,6,15,0,0,59.5
1,36,2220,26,2,7,11,19,1,0,59.0
1,37,2280,55,10,10,8,41,0,1,43.22
1,38,2340,43,5,12,21,41,1,0,34.5
1,39,2400,20,10,15,17,15,2,0,63.0
1,40,2460,32,5,21,12,29,0,0,38.77
1,41,2520,23,3,12,10,20,2,0,59.0
1,42,2580,12,8,10,8,12,4,0,59.5
1,43,2640,19,4,2,5,19,0,0,29.0
1,44,2700,8,3,4,8,8,0,0,0.0
1,45,2760,8,2,6,6,4,0,0,0.0
1,46,2820,0,0,0,1,0,0,0,0.0
1,47,2880,0,0,0,0,0,0,0,0.0
1,48,2940,0,0,0,0,0,0,0,0.0
1,49,3000,0,0,0,0,0,0,0,0.0
1,50,3060,0,0,0,0,0,0,0,0.0
1,51,3120,0,0,0,0,0,0,0,0.0
1,52,3180,8,0,1,1,6,0,0,0.0
1,53,3240,45,1,13,6,44,0,0,0.0
1,54,3300,42,15,23,8,42,0,0,0.0
1,55,3360,51,5,11,11,51,0,1,59.5
1,56,3420,18,2,5,8,16,11,0,52.5
1,57,3480,33,6,12,13,29,0,1,39.5
1,58,3540,27,3,5,15,25,1,1,56.0
1,59,3600,18,0,1,12,18,0,5,69.5
1,60,3660,34,0,8,17,34,0,3,28.5
1,61,3720,63,0,9,16,61,0,5,63.38
1,62,3780,66,3,5,21,55,10,0,35.0
1,63,3840,89,8,1,22,89,0,4,58.0
1,64,3900,56,16,10,17,56,0,3,58.0
1,65,3960,38,9,4,9,36,2,0,29.0
1,66,4020,20,2,5,12,18,0,1,59.5
1,67,4080,27,6,6,11,27,5,1,62.0
1,68,4140,12,4,6,5,12,0,0,0.0
1,69,4200,12,6,3,9,12,0,0,0.0
1,70,4260,0,0,0,2,0,0,0,0.0
1,71,4320,0,0,0,0,0,0,0,0.0
1,72,4380,0,0,0,0,0,0,0,0.0
1,73,4440,0,0,0,0,0,0,0,0.0
1,74,4500,0,0,0,0,0,0,0,0.0
1,75,4560,0,0,0,0,0,0,0,0.0
1,76,4620,4,0,0,2,4,0,0,0.0
1,77,4680,49,2,0,8,49,0,0,0.0
1,78,4740,74,3,4,4,72,0,0,0.0
1,79,4800,42,0,7,10,42,1,10,64.0
1,80,4860,34,0,2,5,34,1,0,29.5
1,81,4920,30,12,2,7,30,3,5,57.5
1,82,4980,30,1,7,13,28,1,0,30.37
1,83,5040,49,2,5,16,49,0,0,58.0
1,84,5100,77,10,5,20,75,3,7,50.13
1,85,5160,95,11,10,21,95,4,1,62.5
1,86,5220,102,10,22,25,102,0,3,28.5
1,87,5280,100,17,13,13,100,1,1,41.05
1,88,5340,79,4,14,16,79,8,3,70.0
1,89,5400,58,8,19,11,58,0,0,30.0
1,90,5460,42,20,6,11,42,5,3,61.16
1,91,5520,31,8,9,7,31,1,0,28.5
1,92,5580,14,12,5,5,13,0,0,0.0
1,93,5640,9,6,7,4,9,0,0,0.0
1,94,5700,0,1,0,2,0,0,0,0.0
1,95,5760,0,0,0,0,0,0,0,0.0
1,96,5820,0,0,0,0,0,0,0,0.0
1,97,5880,0,0,0,0,0,0,0,0.0
1,98,5940,0,0,0,0,0,0,0,0.0
1,99,6000,0,0,0,0,0,0,0,0.0
1,100,6060,5,2,0,0,5,0,0,0.0
1,101,6120,31,3,13,9,27,0,0,0.0
1,102,6180,59,1,25,12,59,0,0,0.0
1,103,6240,34,14,15,13,34,0,6,62.0
1,104,6300,34,10,18,5,34,1,0,30.3
1,105,6360,48,10,12,6,45,1,0,59.5
1,106,6420,40,9,23,3,40,0,0,60.0
1,107,6480,56,9,30,10,54,0,3,55.5
1,108,6540,87,9,19,9,87,4,0,55.0
1,109,6600,123,16,20,14,117,3,1,55.0
1,110,6660,126,23,26,17,124,0,6,25.5
1,111,6720,65,15,15,14,65,1,1,53.5
1,112,6780,41,11,31,8,41,2,3,57.0
1,113,6840,30,8,15,7,28,0,0,33.0
1,114,6900,42,5,16,7,42,1,0,44.5
1,115,6960,20,8,9,11,20,1,1,49.5
1,116,7020,19,4,12,3,17,0,0,0.0
1,117,7080,25,4,4,4,25,0,0,0.0
1,118,7140,0,1,0,1,0,0,0,0.0
1,119,7200,0,0,0,1,0,0,0,0.0
1,120,7260,0,0,0,0,0,0,0,0.0
1,121,7320,0,0,0,0,0,0,0,0.0
1,122,7380,0,0,0,0,0,0,0,0.0
1,123,7440,0,0,0,0,0,0,0,0.0
1,124,7500,1,1,0,1,1,0,0,0.0
1,125,7560,2,1,0,0,2,0,0,0.0
1,126,7620,10,3,1,0,10,0,0,0.0
1,127,7620,0,0,0,0,0,0,0,0.0
