episode,service_level,squared_starvation_penalty,squared_congestion_penalty,time_of_day_fraction,multi_horizon_starvation_risk
0,0.9005447563480486,-14.177968470446652,-10.004602138756773,-31.32084143066134,-17.850373062433892
1,0.9336115899948583,-49.40924528339649,-34.345808528749046,-106.2053386856219,-62.507194347284596
2,0.9360038493925178,-74.93572217776915,-51.28532218019223,-155.36852224485762,-95.09665371191795
3,0.9374325458688092,-94.2769597060024,-63.77800706827186,-184.16766366416337,-119.60877768234396
4,0.9306749372323143,-109.48161265220392,-73.48136489976883,-200.32786691475724,-138.8253720006534
5,0.9403923465223831,-122.49950925396394,-81.87740801581045,-210.7361521994315,-155.25221348899487
6,0.9356500898741762,-133.4928106298484,-89.30403997706009,-216.6210084859087,-169.14849456327272
7,0.9385056603773585,-142.98615081088997,-95.78534833506112,-217.40715017334847,-180.9335432484502
8,0.9357051787991014,-151.73904735229348,-101.80272538401469,-216.06381364935987,-191.77141065178014
9,0.9364046973803072,-159.89872304593098,-107.4705012637206,-215.88726851677876,-201.84268668644776
10,0.9340084743216035,-166.96115512431737,-112.46659282921085,-213.48877082170534,-210.511981791345
11,0.9333273483556274,-172.9382924056491,-116.79855616504649,-208.81788815975972,-217.67882012437352
12,0.9326309452137267,-178.69233383178636,-121.04177229612463,-204.78457811751622,-224.7387913206107
13,0.9299893339653946,-184.37506006110885,-125.3951680977312,-203.5795015664474,-231.89664147733998
14,0.9370780366157776,-189.67732933401933,-129.40022867005086,-202.07588632652164,-238.50806734019628
15,0.9413525197255056,-194.3493548922721,-133.05746802742715,-199.36695900776164,-244.27114091633695
16,0.9299657637095321,-198.932638094419,-136.75739433884374,-196.95142657715382,-249.92323775399575
17,0.938164309723526,-202.91081527405356,-139.86892579516567,-193.7598901792876,-254.78423332625664
18,0.9417798974174391,-207.2079224230673,-143.36760866550068,-192.81173029720216,-260.13576264470436
19,0.934107594174991,-210.54483761397339,-146.21033302925713,-189.9252805527308,-264.2856567962289
20,0.9359249329758713,-214.49497489428936,-149.519019683651,-188.113468859822,-269.17580577714
21,0.934220783114469,-217.05615211751154,-151.92657387922767,-184.76928348473214,-272.4533312760747
22,0.9325294716055292,-219.86000861744796,-154.40169716053484,-184.08141539787326,-276.02778553903414
23,0.9284648887297894,-222.61904085651753,-156.90149739054579,-183.08629928670058,-279.59706482363583
24,0.9398183080312679,-224.62164948454736,-158.67756201685785,-178.4502431421712,-281.8487609898802
25,0.9358233781944655,-226.5298036103185,-160.66306591386655,-176.2792045485599,-284.2964315948095
26,0.9356823434076653,-228.68704036633278,-162.81654115619114,-175.88751044613497,-287.11619952483085
27,0.9412032401929553,-230.48413839965752,-164.49887529659364,-173.59943498541065,-289.27455200553754
