episode,service_level,squared_starvation_penalty,squared_congestion_penalty,time_of_day_fraction,multi_horizon_starvation_risk
28,0.9263818416549073,-232.61926684456233,-166.48504695728195,-173.6908936949817,-291.9596121919164
29,0.9315496768375169,-233.88867713709587,-167.960124768279,-170.154161182146,-293.38983161250366
30,0.9421903923770218,-235.41567363644944,-169.621357010374,-169.2468458455442,-295.3896009172495
31,0.9342676902934,-237.53282237357544,-171.60768937333003,-170.22151326047745,-298.1239836516072
32,0.9338664558501582,-238.6418048384692,-172.9696357043978,-169.08120685077648,-299.5467839283374
33,0.9323762524300883,-240.38132044551486,-174.83517810180186,-169.63927649489654,-301.8692605586023
34,0.9322854765866413,-241.95874319428947,-176.60834822699022,-170.33957388690277,-303.9841463035366
35,0.9357248302332448,-243.55005188604426,-178.26604082746059,-170.46140262069144,-305.9798333893483
36,0.9339554267077369,-244.45495408118725,-179.5615714721283,-168.56565792630988,-307.0977583431827
37,0.9382974209776647,-245.25624326122215,-180.78629062320493,-166.96925604787342,-308.05876255216236
38,0.9320344630902705,-247.06928786331324,-182.81096756035237,-168.445255949381,-310.43633795189453
39,0.9341524985553089,-247.83518999260767,-184.02998688721075,-167.57321305091577,-311.46871705851737
40,0.9311379969071227,-248.7631865618972,-185.29862472892074,-166.94801547097322,-312.68548082943516
41,0.9328160712137615,-249.6495573792666,-186.55723543226068,-165.4259571416475,-313.7905968494293
42,0.9302471721826561,-250.4479014927021,-187.57984148389494,-164.68049818523858,-314.81161698621156
43,0.9328908329000092,-251.04543047362145,-188.52910507824893,-162.82680511690143,-315.5825786972973
44,0.9454583595552759,-251.57740773651338,-189.51206696821083,-162.17925937331157,-316.2929446830242
45,0.9298065915526903,-251.69392872350133,-190.2102936381212,-160.1847018970289,-316.4453380874513
46,0.9328834689986988,-251.92958126664885,-191.03535810217912,-159.6996411841282,-316.8176015559396
47,0.9391052695044013,-252.16236004940805,-191.8137589727185,-158.85787418909584,-317.17969320401045
48,0.9369746624184494,-252.1339995217731,-192.4036640098323,-156.12531208174562,-317.1474882869971
49,0.9307987526984889,-253.20547429386573,-193.72272922975569,-157.60672022826103,-318.5679291115749
50,0.9314964916525527,-254.32630546368685,-195.11231932835096,-160.0001028682714,-320.1057312746508
51,0.9306070401233653,-254.86333474150123,-196.12173314470235,-160.9305505405585,-320.96557869032614
52,0.9322683510149016,-255.10198964315748,-196.9073699916936,-160.45871765979592,-321.3659575695654
53,0.9325578627952639,-255.26210960824912,-197.61091935330685,-160.43100436639355,-321.65860506153024
54,0.9319493882923036,-255.32095290868833,-198.2322034651839,-159.23909404086135,-321.7843007670148
55,0.9362729130267405,-255.89770893387498,-199.18067749470356,-159.54503117517066,-322.626049579952
56,0.9358431182665536,-256.4234791396273,-200.06685517359028,-160.08370628338898,-323.3946602220839
57,0.938324410014058,-256.33433033333637,-200.56953969562278,-159.02150788606207,-323.3818514703859
58,0.9382015763076188,-256.1973091128738,-201.0814363194782,-157.91771006888234,-323.31720362484043
59,0.9395662244683092,-256.6042890660081,-201.91411471402063,-158.32230405365783,-323.98638622931014
60,0.9398722627737226,-256.6244803198838,-202.46507997056176,-157.20082496776882,-324.1375853662342
61,0.9355263551737556,-256.7378554295994,-203.0157892630309,-156.00581120808909,-324.2879287072479
62,0.9288256227758007,-256.6980787613742,-203.46294874105067,-155.33516547083238,-324.2805546904054
63,0.9443182153501136,-257.2920792980319,-204.36356419328555,-156.80846779085925,-325.1581121885777
64,0.9331803496482381,-257.00045666614204,-204.66720992359592,-155.4832544743787,-324.83234108719705
65,0.9363265057303096,-257.39748496215884,-205.43148370726763,-155.9506453951643,-325.42143925694006
66,0.9290543613376588,-258.04295511296766,-206.33126885981326,-157.9684756934303,-326.39340609617665
67,0.9317688223938224,-258.32472253583444,-207.00158060208278,-158.45060602900315,-326.79007300882637
68,0.9374904896679753,-258.2897939267599,-207.54139706987513,-157.80355191144005,-326.8107394361872
69,0.9337426988168339,-258.2086725237243,-208.04834672420418,-156.8165894979681,-326.7602000204127
70,0.9345267287886219,-258.4692873015672,-208.71155485253917,-156.56498094924316,-327.1165755229719
71,0.9347466546384002,-258.3636218528718,-209.09051716550377,-155.34154468042323,-327.0384480180371
72,0.9421743177109917,-258.6500927676355,-209.73217741956356,-155.52301444573183,-327.46859411990755
73,0.9356700149604616,-258.5714575361057,-210.1836946150416,-154.73629992973636,-327.40221424591726
74,0.9345774541040813,-258.66951010790217,-210.71801821192656,-154.26259766638643,-327.54711426558856
75,0.9371163347806558,-258.7817613196848,-211.27723957367988,-154.6785302644404,-327.82975629062355
76,0.9351614942355739,-259.03948681390557,-211.9144327126468,-155.63076499047042,-328.22584276193857
77,0.9339808772196084,-259.1269037876816,-212.43918949676652,-155.48660982242046,-328.41415719084443
78,0.9397627108305121,-259.07415657426696,-212.74846249407634,-155.38082544962242,-328.3803027570197
79,0.9260320751265321,-258.9338080201804,-213.08539481172002,-154.35777259555485,-328.1901073951235
80,0.9303401851184037,-258.8541991471537,-213.4876833555956,-154.02191852464713,-328.15783552889894
81,0.9382239382239382,-259.15614150374756,-214.22177189027866,-154.79554573858974,-328.68455284147836
82,0.9375115605154448,-259.27447967526905,-214.71335057692144,-154.06087248588932,-328.8440706600902
83,0.9378978942213516,-259.64795635095345,-215.33978800408642,-155.13104304013203,-329.38236026458077
84,0.9335228973361269,-259.80531436545056,-215.93351067493165,-156.14639962931273,-329.7060225470659
85,0.9287823990355636,-260.022636374501,-216.51120599488857,-157.55914863528787,-330.1333709150257
86,0.930305193646261,-260.31627423872925,-217.13727425287777,-158.52964061910217,-330.63104412602496
87,0.9393803858425023,-260.28273789244986,-217.56602210262835,-157.95817685553794,-330.62931505031895
88,0.931293958659664,-260.5194275130111,-218.18245051802322,-158.28815031654128,-331.0336059603854
89,0.9350371130287852,-260.60080028575044,-218.7094052999659,-158.80929650912884,-331.2612944597614
90,0.9365689717815187,-260.575532857979,-219.1674388979504,-158.83960106875907,-331.34514278353276
91,0.9364803993182371,-260.58701892680784,-219.64810744944054,-158.5340863297358,-331.4083672219248
92,0.9387470011236296,-260.4590113664518,-219.96006147782637,-158.26526016560936,-331.3129880220436
93,0.935458433168542,-260.35340540882095,-220.2122859034453,-157.93767720734644,-331.2464229065185
94,0.9392278650590671,-260.2849971382257,-220.59580575939395,-157.72527644705352,-331.24875233389326
95,0.935873244077036,-260.2355949944409,-220.95896494312606,-157.57266861055757,-331.24281945800027
96,0.9310680497672862,-260.3018397871198,-221.36571791322015,-157.6698013274171,-331.4131324812333
97,0.9349771088303062,-260.485085955653,-221.88919795716808,-157.84185719317105,-331.66728764852917
98,0.929944558274075,-260.3197316482792,-222.15882732131283,-157.70426103173637,-331.57931739517886
99,0.9384146525451857,-260.24618418542326,-222.47050236245926,-157.628753208476,-331.5432214145781
100,0.9288517571505025,-259.99042563127813,-222.70527663101535,-156.46411344776686,-331.2574207058982
101,0.9334255472696656,-259.5974862924029,-222.86089668001782,-155.19229878050785,-330.80308516449503
102,0.9326582427964101,-259.41420990151823,-223.10315211196874,-154.82890076051956,-330.6339064097057
103,0.9344035594035593,-259.25460123418924,-223.3366213863658,-154.23876602832473,-330.48098621954085
104,0.9288592637479169,-258.9611064406625,-223.4844395535046,-153.2686047181192,-330.186582137776
105,0.9309610249332413,-259.136385883233,-223.99105328229186,-153.70958547091183,-330.47170654625
106,0.936188784877946,-258.9463012343451,-224.23403052534584,-153.70200328341366,-330.33181485212606
107,0.9340259119947459,-259.01529950871577,-224.70004488037787,-154.08101909967203,-330.5222936230325
108,0.9301148178284061,-258.9604138599232,-224.99624269256068,-153.97086403835021,-330.5239237355334
109,0.9327978822609271,-258.87490582321215,-225.26629497821182,-153.79076497674683,-330.482430395629
110,0.936501729583396,-258.9207719941163,-225.68482051085581,-154.35971344269385,-330.66721538184163
111,0.9327776607588842,-258.7983730880975,-225.95009989231298,-153.6190820826197,-330.55968100877124
112,0.9312649164677804,-258.8042200018052,-226.31936080095886,-153.89496385930687,-330.6704201688567
113,0.938329031870836,-258.7537423886521,-226.64408188909172,-153.78863957132143,-330.6773338194071
114,0.9344129797042448,-258.7290492118359,-226.95812337610158,-153.87343804975788,-330.7258389789741
115,0.9350767827276874,-258.4996214783187,-227.18307628561385,-153.15015554639706,-330.4685830122103
116,0.9321957112654787,-258.3810354525215,-227.4114531546313,-152.67220621125807,-330.3612562442895
117,0.9362665706916202,-258.6132656307256,-227.87242206223598,-153.44241301945377,-330.74029808415094
118,0.9425314722776108,-258.82333995328185,-228.3353353835686,-154.05512683430553,-331.0713840274456
119,0.9295694920303887,-258.74823848371574,-228.60676176692226,-153.81036042738737,-331.0194459595395
120,0.9323412878444183,-258.5889940105582,-228.7460319300092,-152.66633270790342,-330.804231075854
121,0.9422729462780053,-258.76867549857116,-229.16291988837014,-153.1928228235464,-331.07465828665147
122,0.9429045893719806,-258.7334533367581,-229.4499495316441,-153.1708965634101,-331.09478855391853
123,0.9338717971987779,-258.649021892328,-229.6947420244074,-152.91980563545067,-331.01517964581996
124,0.9253290761769932,-258.56031258330836,-229.9741696595344,-152.91086793258046,-330.9599101132264
125,0.9372928581903505,-258.73042991636214,-230.36525139759206,-153.62298274103026,-331.28016498490825
126,0.9340266197738228,-258.7330696972286,-230.62919375570007,-153.48670643716554,-331.29458949441533
127,0.9376417576435722,-258.68074466493505,-230.86348197746455,-152.8815218316665,-331.24885655101525
128,0.9396066997887722,-258.921132336502,-231.28790364938476,-153.81939192477267,-331.63016765519245
129,0.9333731878642954,-258.9126284766574,-231.52296153173813,-153.76905849874933,-331.675778733534
130,0.9421023899065875,-258.9522381046124,-231.82389519828155,-153.88106060358845,-331.7620717793967
131,0.9433755479785679,-258.8894356039282,-232.0463162069009,-153.4697324354717,-331.707684754253
132,0.9345771747031743,-258.84758830646825,-232.28770776575533,-153.36071051529447,-331.71586695107936
133,0.930993491634224,-258.87141712849683,-232.56402728188917,-153.70405094808243,-331.82080588622244
134,0.9403997687790928,-258.7625353097823,-232.74502318330087,-153.38551613171208,-331.6933999629504
135,0.9362956176515499,-258.70539534181387,-232.95609605650952,-152.8776099828481,-331.6270060278489
136,0.9225055632405124,-258.7724682748223,-233.26845656287466,-152.94826181833363,-331.7512070243438
137,0.9320712694877505,-258.7490063568509,-233.47419052060476,-152.53462791299904,-331.740005460428
138,0.9384128155459214,-258.7584058183083,-233.7323429459344,-152.77606751919635,-331.8154892305252
139,0.9397430883547426,-258.7276836666662,-233.97749909652157,-152.97463562837748,-331.85128442831416
140,0.9346438988818668,-258.69771021034614,-234.17883487349718,-152.90159249895856,-331.8627470337823
141,0.9345252331977996,-258.4276127453376,-234.25243385182054,-152.12179091365707,-331.55045624436985
142,0.9302669726987195,-258.37535223837887,-234.44085356006818,-151.97230581669746,-331.5200349872582
143,0.9298821827824149,-258.1721821330515,-234.5259899525126,-151.3763647060975,-331.26856793251113
144,0.938711713607262,-258.3357315953672,-234.8321775348152,-151.78004718422,-331.51282663182565
145,0.9343909245328803,-258.21170928900307,-234.95171177043008,-151.29709220083578,-331.365888294927
146,0.9391343417702561,-258.33505664513103,-235.24972626289008,-151.69173681953276,-331.57304789753016
147,0.930164212567412,-258.38662551571133,-235.4707661883577,-151.83414062943308,-331.6833018547544
148,0.9408606960722913,-258.30004343380057,-235.59331388157685,-151.51179917585793,-331.5964623789087
149,0.9411322117555001,-258.3113281493601,-235.8025745215373,-151.50534395676596,-331.6145751600833
150,0.9316200370606641,-258.30621736619116,-235.99465528152325,-151.76722019192482,-331.6665191301898
151,0.9343474053465586,-258.30734091633974,-236.20661082857896,-151.66219938446798,-331.6925805364947
152,0.9394180830972616,-258.3260397009138,-236.41001427407483,-151.6607012265842,-331.7290187016684
153,0.9355152103952882,-258.5104740275779,-236.70834785956762,-151.90280518524608,-331.9671264051606
154,0.9361528708567288,-258.27942524313727,-236.72144558141306,-150.86321361063818,-331.6535967253208
155,0.93710386656558,-258.4243374247739,-236.97509544657436,-150.98239573672828,-331.8426181219306
156,0.9366820805754525,-258.5088913719247,-237.23480208571044,-150.96084893711054,-331.9607084287689
157,0.9290222734721126,-258.4833857589395,-237.39903864966416,-150.82234148462203,-331.95784562988507
158,0.9394059045073503,-258.46418796189283,-237.5581965768217,-150.94496213755153,-331.99555951582875
159,0.9379704362020496,-258.45311397122106,-237.72423295220904,-150.7624718528219,-332.00004951753584
160,0.937174194714798,-258.4446014724338,-237.89244176745436,-150.7682532584514,-332.02360145331477
161,0.934080798364795,-258.3895354519255,-238.03599233321805,-150.71409733482915,-331.9856564262623
162,0.9326446653253656,-258.36582662319927,-238.15588843719817,-150.5004699464311,-331.9892560385863
163,0.9316176695057545,-258.39482417336876,-238.33242150152438,-150.79965748587944,-332.06128453105356
164,0.9336842105263158,-258.4139564354247,-238.51481546587175,-151.05823059081644,-332.1384398383014
165,0.9350303610421465,-258.4880096375021,-238.71408069471187,-151.25217558463368,-332.2383414425095
166,0.93354048509714,-258.43372648396866,-238.82788100088268,-151.1901901934962,-332.20360045003224
167,0.9339885936172795,-258.497622347981,-239.02805875517024,-151.3711406901748,-332.3034670597434
168,0.9401657137615801,-258.463202983216,-239.16411803930987,-151.4506533786733,-332.3126337451021
169,0.9323626257438903,-258.4735563170619,-239.32056395465327,-151.50804484684915,-332.34394349356677
170,0.9340533365512248,-258.4508624150318,-239.44013743482526,-151.47541395706935,-332.33853943838204
171,0.9387668535070444,-258.48312256845986,-239.58599435111196,-151.53721021555484,-332.3875489391286
172,0.9353868152164199,-258.52049867737185,-239.73943769135815,-151.76072502740558,-332.4692921033216
173,0.9322919795734455,-258.45519977896663,-239.82157399343606,-151.39361042612873,-332.37988232540437
174,0.937324154444777,-258.3573056159291,-239.88293527181824,-151.19333313335085,-332.2646576352289
175,0.9300596576430734,-258.5211496429412,-240.14657917032864,-151.58424390598637,-332.4970543650207
176,0.9374541676851625,-258.4581968796185,-240.24248887318004,-151.67662338886566,-332.44714677985456
177,0.9356130158634599,-258.60056851711215,-240.47654054515402,-152.20435813502957,-332.6649658380811
178,0.9418759859240383,-258.595036544791,-240.58382002168912,-152.25377312689403,-332.67219850997077
179,0.9397431170108161,-258.6685173668201,-240.76873969142616,-152.5807970864215,-332.8048101190517
180,0.9343152502058366,-258.6121306151876,-240.8474765729551,-152.48952461946772,-332.7507645466378
181,0.9378249178368688,-258.54019814106636,-240.93014059800646,-152.28722877423914,-332.65578010829176
182,0.9323886153476643,-258.6581861049231,-241.13434114021229,-152.83984071748785,-332.8305669947814
183,0.9333472131342573,-258.5819872254963,-241.21143767368147,-152.63696104918412,-332.7322463577634
184,0.9350009019301305,-258.4251471852679,-241.2153016028875,-152.0613080886992,-332.5103472411667
185,0.9340665981748958,-258.33620481386083,-241.25764477075506,-151.86516672925381,-332.39836316894065
186,0.9319959095283927,-258.30408879732636,-241.36205307211233,-151.88781731885126,-332.3881207519275
187,0.9361766945925362,-258.23088349939087,-241.42930545801676,-151.8650128975428,-332.32998629365915
188,0.9367088607594937,-258.1339469628284,-241.48414591115616,-151.66654734017337,-332.20988339488787
189,0.9326552299984818,-258.03886006205425,-241.52420315368937,-151.5731390254571,-332.0939051491363
190,0.9369619717884435,-257.9219280061736,-241.57823234370002,-151.48936115390183,-331.97137817240747
191,0.9386395299533588,-257.76258729021527,-241.594864039704,-151.30939283069583,-331.79683486869186
192,0.9306637115131184,-257.790924915795,-241.7520634468454,-151.66549384011648,-331.8928929188461
193,0.9248791261266639,-257.7617469163004,-241.8564720081922,-151.7711052893618,-331.88866157442783
194,0.9264203944785091,-257.7304579809426,-241.942862695744,-151.92140068458224,-331.88015931587154
195,0.9262730959891843,-257.73506750727563,-242.05503495816154,-152.04256027916904,-331.90290721362425
196,0.9339017900338655,-257.7386026355531,-242.18261307109083,-152.15725275158186,-331.9313233324852
197,0.9330954237389792,-257.670073457634,-242.2292362083369,-152.02330993017972,-331.844981986823
198,0.9392618160898658,-257.67525018546564,-242.33741329853964,-152.05945287470308,-331.8580549945894
199,0.925384592671332,-257.6104520380294,-242.39202395913563,-151.9116853632152,-331.78264048454
