episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-3.2140302363317463,-3.1479839385487143,-0.505664797166537,-0.40224052390403814
1,0.9374868827391839,-0.43250153175229683,-0.2912433540239119,-1.3183446163396415,-1.1854101545875548,-0.4133968344793447,-0.2670320016834614
2,0.9323177044815856,-0.5708243109165985,-0.36774141984860964,-1.805661767301183,-1.5591145040810357,-0.5021080701788511,-0.34554512950443667
3,0.9352160457088442,-0.5921808186853181,-0.3270614836647393,-1.6685199724027622,-1.3202879437274648,-0.5509115142463663,-0.3988553109702263
4,0.9228927061467049,-0.7182513192356426,-0.40040934289064034,-2.1201724093692964,-1.6701049542010886,-0.6607497015526678,-0.4966995214734765
5,0.9318236788003387,-0.7086451341195834,-0.34557337387518194,-1.8195893403130232,-1.3320218015547054,-0.7079340940893085,-0.5434234280566216
6,0.9327640771481459,-0.7185732714679722,-0.32931875590351256,-1.7062007353408983,-1.2368199157667383,-0.7189998124822656,-0.5593215636574801
7,0.9281916482466097,-0.8555421054466102,-0.3965838430786634,-2.173771886194813,-1.6166797592810604,-0.8380696738687196,-0.6676914971857107
8,0.936833544189409,-0.8598380175589768,-0.35865623937794194,-1.964834964457178,-1.3512971140103667,-0.8770448213903428,-0.7092513771952508
9,0.931903892944039,-0.8638627781593526,-0.31338920795010305,-1.754356686881883,-1.0938735970604132,-0.9096735132964118,-0.74361128171321
10,0.9423842447098261,-0.8625045684607542,-0.27298188298585857,-1.4892391288908564,-0.7779492571422219,-0.8986456441152568,-0.7393335297482952
11,0.9355629539951574,-0.9800422311773037,-0.34602677650047814,-1.9307903724019277,-1.1860641138200008,-1.0053346475128297,-0.8274280970505578
12,0.9379137854936002,-0.9982197551742769,-0.3315887975068481,-1.8327279053367,-1.0749950653917328,-1.007662525476345,-0.8592687245313891
13,0.9393259099616859,-1.004442158905547,-0.3277726149180467,-1.7558243953702741,-1.0149231952948699,-1.0341595732806772,-0.889070586573344
14,0.9369659405463955,-1.0341967353940689,-0.3269396843702948,-1.7513039426900596,-0.9650037403021482,-1.0881084164070487,-0.9428613504206872
15,0.9425387219509272,-1.0807229977368524,-0.35150895420619765,-1.82607241253866,-1.0480830526203273,-1.133278845058123,-0.9877878287270729
16,0.9369230312564932,-1.1318803840935976,-0.3746591441183576,-1.9417856672321516,-1.1305453830481254,-1.1679031362488028,-1.0300523064390905
17,0.9250133586653209,-1.1962910180032855,-0.41202473416781066,-2.1190076348333236,-1.3229330186139852,-1.2436648496663836,-1.097488892414539
18,0.9302401909592719,-1.2010212806809166,-0.399946658862977,-2.0056352432340185,-1.254182403180203,-1.2872462811885699,-1.1391377831938994
19,0.931526176753122,-1.2405453990338622,-0.4097648396282057,-2.0760738588486713,-1.294456858193105,-1.3351871582661543,-1.1915072622078318
20,0.939151225343694,-1.2299809513997626,-0.38315414552703586,-1.856862203747628,-1.0595919359193453,-1.3303486703364404,-1.190604765349079
21,0.9377887739589233,-1.2525098869808056,-0.38348525103313863,-1.7951159908608658,-1.0057847650668255,-1.3590681498936372,-1.2207047315727018
22,0.9376312908665937,-1.2792565382465753,-0.3871917216610444,-1.7854404453070534,-0.984737839495611,-1.4092790884540534,-1.2526149179672357
23,0.9329402003200379,-1.3256895126007129,-0.4088241391872254,-1.8890255260924897,-1.0803585500143373,-1.4431541152296588,-1.2893341314689672
24,0.9292457098048678,-1.3823428620907807,-0.4339107636125082,-1.9985036281251074,-1.2034158178696372,-1.499271260506066,-1.350933789363219
25,0.9352270671250226,-1.3921049954053297,-0.43693447910724825,-1.9427615089141066,-1.1753528506974142,-1.5133858085438696,-1.3632896350396644
26,0.937936176558306,-1.3799241497533348,-0.4077821770955744,-1.761647520051802,-1.0043042239172073,-1.5264129429354878,-1.3677765243206332
27,0.9397554693744634,-1.3892058813243937,-0.3948131366386604,-1.6855602030372159,-0.915677942199144,-1.5308589384886224,-1.374343814201168
28,0.9348591019818953,-1.4181665901199993,-0.39430235136190483,-1.7215621184606085,-0.9012773937879734,-1.5620601158027478,-1.4099505577157811
29,0.9304149647783105,-1.4780922956213618,-0.44012458328595905,-1.9146769883871855,-1.126407954699419,-1.6131801906365848,-1.4578577568962763
30,0.9313823200748996,-1.5361861688642526,-0.4693129744831732,-2.1211601373213655,-1.280862500984288,-1.6710123173307696,-1.5071939423161704
31,0.9395898817542284,-1.5251895809137452,-0.4455282073906214,-1.9744266709685947,-1.1568739309600444,-1.6833091525824675,-1.5250980508066891
32,0.9335895602431177,-1.54702189357863,-0.4443163867380917,-1.9250005754824633,-1.111942718235868,-1.7224928118260714,-1.5573047321731026
33,0.9281758084688225,-1.5874308952959009,-0.4726849857164422,-2.0308230345354557,-1.2308151958827318,-1.7587956317779234,-1.5970093497645617
34,0.9396736991857614,-1.5651058084259455,-0.4521750446057073,-1.8188786509218273,-1.0887920969720997,-1.7559088328667847,-1.5993571823905952
35,0.9281766314037798,-1.629571367516464,-0.5062039084916475,-2.0227411234323416,-1.3246088678737675,-1.7922827628170652,-1.6422787178893323
36,0.937353665125773,-1.6339954182212715,-0.48761203686920584,-1.9474514528252895,-1.2497379463485703,-1.814692944208561,-1.6583472780370425
37,0.9348177410666187,-1.6336256874531603,-0.4865555833385474,-1.872807586518585,-1.21750571161682,-1.8462219651043732,-1.6831072436992145
38,0.9318012013986432,-1.6262938799731748,-0.47897410308816507,-1.7619747199926312,-1.1397199955021837,-1.8637629511595277,-1.6997016914819996
39,0.9342065733341345,-1.6395296188696395,-0.48553612025264714,-1.7544067235517242,-1.1422862487022993,-1.8859251680575784,-1.7219206145496047
40,0.9454135154915833,-1.5977399899682343,-0.4472711837561147,-1.452857488829952,-0.8856080439177176,-1.8601602012835823,-1.709737953918539
41,0.9361184464291012,-1.6477348964472325,-0.49438704181308646,-1.6247869903328698,-1.0888053602128007,-1.8957694607203037,-1.7476105094331849
42,0.933748465706673,-1.6795612997974925,-0.5198227102354619,-1.7083934110768797,-1.1927338380341255,-1.9254773496739317,-1.7687458006715515
43,0.936961287803706,-1.6808152681994355,-0.5090326892679491,-1.639502309068218,-1.1250571327269978,-1.9233744351603905,-1.7689748244016876
44,0.9398084405866507,-1.6897161749767897,-0.5174545855887003,-1.6005421495189929,-1.1229096642695802,-1.9308302370862178,-1.7870131189364533
45,0.9366606714628297,-1.7033610238378616,-0.5327490276904694,-1.6277451995690846,-1.1999726966372353,-1.9513630142574494,-1.8202907414002465
46,0.9322873413216277,-1.7472129549785538,-0.555178401067115,-1.7612614113025966,-1.2994622252850425,-2.0026137062563363,-1.8607505164662266
47,0.936335919340719,-1.744300880068105,-0.5431986075686452,-1.6650117984803756,-1.1997038518625407,-2.0071964624723955,-1.8784648767506509
48,0.9365807990819316,-1.7725429378355229,-0.5537086912659668,-1.7539332282474227,-1.266829416125783,-2.05607185058039,-1.92057745024399
49,0.9363324892000596,-1.7647826022573958,-0.5358612940639602,-1.6215054373527833,-1.1461712446442678,-2.0489035068647885,-1.9238057643768263
50,0.9347245309902636,-1.7713114713526408,-0.5488235538116036,-1.6268764263639055,-1.1786738891288433,-2.0700552222982993,-1.9414172578241327
51,0.940414279418246,-1.7827116978981858,-0.5492587276421855,-1.625752295026546,-1.1642934676036132,-2.0884968185520716,-1.9500565044042315
52,0.9365464736384618,-1.8017989613908578,-0.5568134738753052,-1.6549442201822055,-1.161609580271693,-2.117515402056497,-1.9739417617270334
53,0.9321602154945248,-1.8533605127739843,-0.5904656791259881,-1.857441056531227,-1.3327195068397324,-2.1706338997981467,-2.0199181203334353
54,0.9374222222222223,-1.860886755531619,-0.5915047888960835,-1.8148109878152672,-1.2929554949942887,-2.1733488541896646,-2.027190073019583
55,0.9383034945518245,-1.8643438868122881,-0.5757707792397059,-1.7589568287789406,-1.2113192723604782,-2.19980490180906,-2.0474010190608034
