episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9384739147275274,-2.7380379064047977,0.1,0.1,0.2,0.2,1354,711,1438,33563,38358,38347,0,0,0,0,3823,3823,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9426789251189878,-3.274416552867154,0.097486,0.1,0.198291,0.2,1245,694,1596,33827,38606,38600,0,0,0,0,3874,3881,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9319242545854514,-4.002107965408677,0.095095,0.1,0.196596,0.2,1477,813,1620,33639,38187,38183,0,0,0,0,3952,3953,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9339718041758373,-4.263123547032212,0.092819,0.1,0.194915,0.2,1299,921,1415,33622,38472,38467,0,0,0,0,4130,4130,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9321758493064123,-4.120211831440912,0.090649,0.1,0.19325,0.2,1417,837,1613,33233,37923,37913,0,0,0,0,3843,3843,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9354468599033816,-4.3237774746232995,0.088579,0.1,0.191598,0.2,1422,716,1472,33120,37911,37895,0,0,0,0,3913,3904,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.938161593206148,-4.0505746960266045,0.0866,0.1,0.18996,0.2,1415,653,1495,33442,38259,38253,0,0,0,0,3971,3959,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9369168723288991,-4.274970974791384,0.084709,0.1,0.188337,0.2,1411,685,1537,33226,37833,37821,0,0,0,0,4044,4050,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9402436839276116,-3.7966118815870016,0.082898,0.1,0.186727,0.2,1151,850,1380,33486,38461,38458,0,0,0,0,3896,3908,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9420090486671557,-3.9977033587134634,0.081163,0.1,0.185131,0.2,1224,673,1337,32712,37586,37576,0,0,0,0,3992,3983,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
