seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.9477,400.9425,2233,921,60282,58049,58048,226,42,230,226,226,216,7219,7442,0.0157,0.0328,0.9514,0.0039,0.0156,0.9804,3,12,223,210,230,216
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.9482,398.26,2158,953,60062,57904,57905,193,42,218,193,193,181,7493,7694,0.0079,0.0329,0.9593,0.0078,0.0339,0.9582,6,26,219,184,218,181
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.9504,398.7742,2162,786,59410,57248,57250,258,42,207,258,258,249,7080,7329,0.0157,0.0288,0.9556,0.0039,0.0248,0.9712,3,19,198,250,207,249
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.9514,397.6849,2030,860,59520,57490,57493,222,42,214,222,222,212,7264,7492,0.0105,0.0276,0.9619,0.0091,0.0196,0.9713,7,15,214,210,214,212
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.95,397.4299,2188,759,58938,56750,56749,228,41,219,228,228,228,7316,7548,0.0105,0.0316,0.9578,0.0065,0.0078,0.9857,5,6,216,211,219,228
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.9474,398.5457,2179,947,59402,57223,57221,229,42,224,229,229,222,7144,7386,0.0132,0.0448,0.942,0.0065,0.0287,0.9648,5,22,221,213,224,222
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.9493,398.6682,2222,800,59646,57424,57422,228,42,227,228,228,219,7166,7379,0.0106,0.0317,0.9578,0.004,0.0237,0.9723,3,18,224,222,227,219
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.9533,397.2837,1968,792,59136,57168,57170,206,42,215,206,206,196,7294,7496,0.0131,0.0327,0.9542,0.0026,0.017,0.9804,2,13,207,196,215,196
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.9536,398.2886,2012,742,59402,57390,57391,231,42,222,231,231,226,7197,7423,0.0143,0.0261,0.9596,0.0026,0.0274,0.97,2,21,215,229,222,226
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,5,5,24,0.9493,399.5964,2147,890,59852,57705,57706,229,42,249,229,229,227,7067,7277,0.0119,0.0264,0.9618,0.0065,0.0273,0.9661,5,21,245,224,249,227
