episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9408035953850282,-2.5306454966307936,-0.015478806225194215,-0.0059265964792891935,-0.003441975568960628,-0.002746824863222061,-0.0008933756051729926,-0.0041887198156869655,-0.003315922628557495,-0.008491600927740338,-0.00012129468426691823,-0.0014269609541627758,-0.002028855804802115,-0.001441427657700708,0.01,0.01,0.0,0.97,100,14,1,15
1,0.9407695777848324,-2.560581766123609,-0.030734077106054997,-0.011893614315584281,-0.006877358667139386,-0.005584667164342564,-0.0018739250565015326,-0.00833021114427139,-0.006464242974546621,-0.015982864992820343,-0.000223829863620867,-0.0027795484667016996,-0.003708982238967588,-0.003143298032612167,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9401866966096298,-2.5894707562459787,-0.04538995902739356,-0.017523613875312215,-0.010049507224381103,-0.008225056303251512,-0.002682403045263933,-0.012222196759620179,-0.00952813725119855,-0.023919829344483355,-0.000345691616984339,-0.003937519719538309,-0.005681935929412174,-0.004362526255577666,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9403612138660596,-2.617564633465595,-0.0598558493069751,-0.023057181918136972,-0.013467101641863977,-0.010968377236852863,-0.003711213946262053,-0.016210643202053884,-0.01257854679068274,-0.030993790299596136,-0.0004681662490237685,-0.005090452347409906,-0.007256732688888012,-0.005838275143445925,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.9352930454522859,-2.6480775525223663,-0.0754321430349859,-0.029228847889942285,-0.017049842030972817,-0.014105362540761238,-0.0048104477765049634,-0.02075316878771504,-0.01594252376197006,-0.04011351465282234,-0.0006066404743405345,-0.006793279523804803,-0.009206800576031344,-0.007106299380484006,0.008925,0.01,0.0,0.97,100,13,1,14
5,0.9400080323973359,-2.6747034608241322,-0.08897699857116219,-0.03442121327968308,-0.020098920586953378,-0.01662578256987536,-0.005601607177690683,-0.02427543421685886,-0.0187805072839327,-0.047461143089960925,-0.0007203689354481759,-0.007912687539467762,-0.010695383168443979,-0.008341461591081477,0.008692,0.01,0.0,0.97,100,13,1,14
6,0.9405409932166485,-2.700367647643083,-0.10186729598210399,-0.039389652954036104,-0.02290691953286383,-0.018900775511411942,-0.006387763685855738,-0.027603589732860825,-0.02156537538435911,-0.05406937772096814,-0.000820845124305173,-0.00903171527438959,-0.012041467530180578,-0.009860864791555788,0.00847,0.01,0.0,0.97,100,13,1,14
7,0.9411107404936624,-2.725196158726776,-0.11465078059599075,-0.044309644845884656,-0.025722499214889036,-0.021248014329542885,-0.007152279747754138,-0.03086592136161396,-0.024260467243862608,-0.06095315477431846,-0.0009256651731242848,-0.01033604721531324,-0.013593916763641512,-0.011089229458737984,0.00826,0.01,0.0,0.97,100,13,1,14
8,0.9407334532008006,-2.7490443284170554,-0.126607510142761,-0.04902260825695034,-0.028421663272425065,-0.023554685577024715,-0.007916393818945058,-0.034452462156074955,-0.026991579300927614,-0.06747696156355655,-0.0010204362069720912,-0.011567677372038869,-0.015130311778828525,-0.012355017285072998,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9410380925176012,-2.7729148620665423,-0.13880315482807645,-0.053725514187883905,-0.031237479467954445,-0.02576513046444023,-0.008764304243986241,-0.037753404399585105,-0.029584500786484925,-0.07336188480913129,-0.001119717752741175,-0.012635644998609592,-0.016484912370451615,-0.013422358493583175,0.007868,0.01,0.0,0.97,100,13,1,14
