episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.9349695931189732,-2.798489158300494,-0.15191838505458943,-0.058976804845027445,-0.03421041848181783,-0.028275610317280448,-0.00959311892802597,-0.04130478431134421,-0.03259883845989568,-0.08111925252307423,-0.0012111903483154047,-0.013941779778084798,-0.018248848088053566,-0.014847963925661482,0.007686,0.01,0.0,0.97,100,13,1,14
11,0.9371729510541282,-2.822694563986446,-0.16435950142726566,-0.0638427978540231,-0.037063875535577676,-0.030729672821372386,-0.01038113908795406,-0.044553812463151016,-0.03510845935049547,-0.08761907783490415,-0.0013111175092422637,-0.015144575802450636,-0.019578462915582368,-0.016176723229810806,0.007513,0.01,0.0,0.97,100,13,1,14
12,0.9404958677685951,-2.844674265021064,-0.17533370100686516,-0.0681370586645328,-0.03943960310879514,-0.03277080706509872,-0.011006544609165503,-0.04763051747963107,-0.037559519810528096,-0.0943123565657963,-0.0013910826345880241,-0.016265804761553062,-0.021239693806700988,-0.017079864330541695,0.007346,0.01,0.0,0.97,100,13,1,14
13,0.938567585743107,-2.867211709384417,-0.18669276539184054,-0.07256209092384595,-0.041981510077450365,-0.03487456377191282,-0.011727880004495865,-0.050625441599283894,-0.03984499488131754,-0.10027836562989681,-0.0015002792772157857,-0.01727803290218263,-0.022501101289795874,-0.01829657875189182,0.007188,0.01,0.0,0.97,100,13,1,14
14,0.941830795657322,-2.8876030310800775,-0.1969950318993909,-0.07665266986085231,-0.044219068512413806,-0.036795805929796435,-0.012325045137534895,-0.05360079045306031,-0.042032250416445496,-0.10564103168957621,-0.0015761627647389925,-0.018335222647249478,-0.023710394609908026,-0.019235247879152033,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.9441198200013433,-2.9064557244788,-0.20650991054530424,-0.08039809363376534,-0.04630716236399665,-0.038564243867516716,-0.012916168707506559,-0.05625295566302124,-0.04404996965617844,-0.11079648496518946,-0.0016482233021694825,-0.01921579926114146,-0.024886380390218354,-0.02017822311786806,0.006889,0.01,0.0,0.97,100,13,1,14
16,0.9344650810992521,-2.928977858392044,-0.2181745453008865,-0.08496421076937578,-0.04898633179656754,-0.04080321389854938,-0.013705284371423947,-0.059461904282667975,-0.04655943080755346,-0.11682642348203919,-0.0017459057795728955,-0.020267288568900005,-0.02636686453975416,-0.021317732902889235,0.006749,0.01,0.0,0.97,100,13,1,14
17,0.941404071977697,-2.948184347296702,-0.22783049562532942,-0.08869436871701539,-0.05126351487601337,-0.04259553379301819,-0.014460650759760734,-0.062059719472422226,-0.04866250167534252,-0.12154991513446027,-0.0018209594532506363,-0.021109859360211102,-0.02749138899914667,-0.02230471333315133,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.9363571202347019,-2.967239793142077,-0.23741725897362356,-0.09259073201268406,-0.053390090664594055,-0.0444303503611498,-0.015133884305966103,-0.06508595309733997,-0.05075795879199724,-0.12726206330990597,-0.001910923155191042,-0.02216807237196708,-0.028897890833906287,-0.02348993869002635,0.006486,0.01,0.0,0.97,100,13,1,14
19,0.9386656248938411,-2.986482997251682,-0.24720162452426397,-0.0965100439397153,-0.05549498241815576,-0.04637387688478255,-0.015674079886540588,-0.06784515055420706,-0.05288933312279929,-0.13251711910876224,-0.001976299472839225,-0.022907858728517878,-0.030152725769492246,-0.024547758641135856,0.006362,0.01,0.0,0.97,100,13,1,14
20,0.9431081713102158,-3.0043477690693696,-0.25600772927091986,-0.09986707546341571,-0.05747299059325964,-0.04790216541652821,-0.01626050238142817,-0.0701531575735362,-0.054773079889129744,-0.13680012236786251,-0.002051032276746939,-0.023656958636196247,-0.031096268295824764,-0.025361582662687978,0.006242,0.01,0.0,0.97,100,13,1,14
21,0.936669551494171,-3.0239346539475855,-0.26588304916455663,-0.10373016979589243,-0.05959204942321656,-0.04972866554539353,-0.016751312288950354,-0.07281784690106262,-0.05686684019839726,-0.1427363761118218,-0.002137722021081341,-0.024653195786488502,-0.0324523285265,-0.026479393671710944,0.006127,0.01,0.0,0.97,100,13,1,14
22,0.941289524700849,-3.040780394123878,-0.27433313278812027,-0.10716241528564738,-0.061480659939128116,-0.051375926818518595,-0.01730236214791814,-0.07530943408328325,-0.05878000244632365,-0.14691386145956056,-0.002200892274451133,-0.02550490330856027,-0.03342513278193801,-0.027537742592191494,0.006016,0.01,0.0,0.97,100,13,1,14
23,0.9413559436315825,-3.0580841232939138,-0.28309536533021445,-0.1105141330073694,-0.06342034468967049,-0.052959540444755246,-0.017831463798237707,-0.07750760508263524,-0.06054052095418718,-0.15118436852224573,-0.0022568064695389855,-0.026076485388821534,-0.03442372710630896,-0.028460338019184697,0.005909,0.01,0.0,0.97,100,13,1,14
24,0.9385593925871657,-3.075923696507365,-0.292366774324383,-0.11415936850802703,-0.06553709010891016,-0.05472635960392741,-0.018497603294237372,-0.08001994295599624,-0.06251015166434332,-0.15602868050911456,-0.0023281937407761788,-0.026897520382137854,-0.035553229475447014,-0.029505458323105895,0.005806,0.01,0.0,0.97,100,13,1,14
25,0.9408503395628655,-3.092490892852372,-0.3008350457144489,-0.11749312116086655,-0.06740667729364444,-0.05634718955123416,-0.018968878314934254,-0.08241985201181987,-0.06431463758514835,-0.16040291566902978,-0.002403278290166773,-0.027618810109258877,-0.03654142139790294,-0.030322972387327077,0.005706,0.01,0.0,0.97,100,13,1,14
26,0.934215844785772,-3.110831374587326,-0.3100177031097493,-0.1210902629109847,-0.0694437556595195,-0.05805732699150524,-0.01952310749365998,-0.08506276448126254,-0.06640042366112611,-0.16552736561538406,-0.002483810799857767,-0.028487404286292244,-0.03768939526964107,-0.03122342090808542,0.00561,0.01,0.0,0.97,100,13,1,14
27,0.9414840471591288,-3.1267698710377214,-0.3182289388557007,-0.12435986478625584,-0.07128839937917172,-0.059624766546539726,-0.02011969254333872,-0.08732047110733086,-0.06813824590654317,-0.17002197799963945,-0.002553999287773508,-0.02941700412870669,-0.0385807152237257,-0.03189318888544818,0.005517,0.01,0.0,0.97,100,13,1,14
28,0.9444771698335493,-3.14134196544106,-0.32551344529941617,-0.12717575174387263,-0.0729538479934175,-0.06093266369505734,-0.02063868509969866,-0.08934882350161932,-0.06974765552171348,-0.1737257735475337,-0.0026037195854238457,-0.02996804925224498,-0.03949327557892237,-0.03271091348195241,0.005426,0.01,0.0,0.97,100,13,1,14
29,0.9413477467829113,-3.156845317823499,-0.3332980457285829,-0.13020698718040152,-0.07466721425332094,-0.06231987062839972,-0.02110086949420619,-0.09150611405469318,-0.07136290575726724,-0.17766596831624357,-0.002669839417819427,-0.030722798955786796,-0.040402788195873,-0.03347669535377059,0.005339,0.01,0.0,0.97,100,13,1,14
30,0.9380254420081863,-3.1725744817330908,-0.34129642501809404,-0.1333048864155294,-0.07654377951271106,-0.06383436850851947,-0.021700394894783762,-0.09355954429583092,-0.0730035530587726,-0.18159885120320066,-0.0027247717518656387,-0.031420923495037646,-0.04137441380232951,-0.034317998385799804,0.005255,0.01,0.0,0.97,100,13,1,14
31,0.9383651833344587,-3.18798966998712,-0.34904161384003496,-0.13631431431618343,-0.07828426023276681,-0.06530310545193334,-0.02220240492232478,-0.09564733119420597,-0.07469204350692983,-0.18544055781908178,-0.002793534805322595,-0.03213643047406049,-0.04216549707749976,-0.035322003238623376,0.005173,0.01,0.0,0.97,100,13,1,14
32,0.9401685016111708,-3.2030719008123008,-0.35657773279682636,-0.13921717144163312,-0.08000576580816939,-0.0666358506726992,-0.022690460362522865,-0.0976894493603637,-0.07636637461231253,-0.18954159823618788,-0.0028608065357226035,-0.03285718696033186,-0.043170841149839545,-0.036134361868708005,0.005094,0.01,0.0,0.97,100,13,1,14
33,0.9352397399431126,-3.218791714477738,-0.36470606696119523,-0.14244517440280402,-0.0818397718739305,-0.06824951949546117,-0.023240637829211035,-0.09992266996149168,-0.07804863404915582,-0.19378519551422257,-0.0029316060581815796,-0.03368934462115659,-0.04412020837191119,-0.03687581846659307,0.005017,0.01,0.0,0.97,100,13,1,14
34,0.9375406853499357,-3.234135874232059,-0.3726757171705544,-0.14551067507185406,-0.08369454643644608,-0.06975410924105416,-0.02384835465499577,-0.10195014472647596,-0.07976899593929286,-0.19784959694609577,-0.0029847202910997686,-0.03467281299795328,-0.0449448636459652,-0.037578767828697124,0.004942,0.01,0.0,0.97,100,13,1,14
35,0.9403361486772397,-3.2482240879158994,-0.37959589286987694,-0.14816061652291612,-0.08517764171166962,-0.07095396515610815,-0.024205380529186915,-0.10379503697238654,-0.08112740113783468,-0.20151139756800696,-0.003039118657595906,-0.03527316184780273,-0.045704106020931674,-0.03819286040767701,0.00487,0.01,0.0,0.97,100,13,1,14
36,0.93978465588821,-3.2620177589868944,-0.38675932893302073,-0.1510265514900139,-0.08682235261817708,-0.07231799678875664,-0.02475569833546243,-0.10583612764869761,-0.08274389011410314,-0.20528448534667182,-0.0030872974268759228,-0.03605348109306563,-0.046615175422003705,-0.03876512573050637,0.004799,0.01,0.0,0.97,100,13,1,14
37,0.940074460670146,-3.275237266536957,-0.39352597367382086,-0.1537371300805472,-0.08834726704571441,-0.07364614252180067,-0.025187630327365554,-0.10773564409008972,-0.08416480094432459,-0.2086830565203025,-0.0031360393609412666,-0.03660770991857689,-0.047465358204636356,-0.0394651156439396,0.004731,0.01,0.0,0.97,100,13,1,14
38,0.9413413447014198,-3.2888244001298808,-0.4004706571594545,-0.15649542914866618,-0.08990089402957471,-0.07497760807221715,-0.02564869814699557,-0.10967636806185847,-0.08562496058834128,-0.21254171251008105,-0.003187062721566494,-0.03730555593565931,-0.048455454414932625,-0.040034833581438264,0.004665,0.01,0.0,0.97,100,13,1,14
39,0.939019275612743,-3.302696028067123,-0.407526660042203,-0.15929080357967373,-0.09145581757228986,-0.07635536628318716,-0.026036301081207292,-0.11172092536385032,-0.08716695112954076,-0.21659930382906184,-0.0032473920077677665,-0.037929443400377134,-0.04934911349286508,-0.040888724807956314,0.0046,0.01,0.0,0.97,100,13,1,14
40,0.9363560593432239,-3.316969340395911,-0.41485938961120017,-0.16220400308737853,-0.09305027331567158,-0.0778868324832676,-0.02646856475328233,-0.11375830660325198,-0.08871261867821771,-0.22044384467582234,-0.0032997037862384955,-0.03858994677015688,-0.050288832435828226,-0.04151575464361105,0.004537,0.01,0.0,0.97,100,13,1,14
41,0.935377065160759,-3.331259743614616,-0.4220932642629542,-0.16504207117298444,-0.0947227564626522,-0.07927254146361605,-0.026973728451793588,-0.11575221229985197,-0.09028312829867612,-0.2240761907283308,-0.003357872051056276,-0.039234519599990796,-0.051111108919238694,-0.04232780875270272,0.004476,0.01,0.0,0.97,100,13,1,14
42,0.9393070369625008,-3.3442319052609633,-0.42874343816870997,-0.16773676996088507,-0.09619493644238473,-0.08064593751273404,-0.027377006158432318,-0.11761526194126327,-0.09166895958142968,-0.22787587006347268,-0.003402152921559854,-0.0399356800846352,-0.05209107308874022,-0.0429136535281653,0.004417,0.01,0.0,0.97,100,13,1,14
43,0.9404906444906445,-3.3569827956655756,-0.4351566964109324,-0.17029766741193186,-0.09760406736211934,-0.0818652789107611,-0.027794339830960888,-0.1194186923464195,-0.09303087817750488,-0.23094281676068878,-0.0034477906871498037,-0.04041820452631254,-0.05279162288304697,-0.04361167756342484,0.004359,0.01,0.0,0.97,100,13,1,14
44,0.9396139721295256,-3.3695148260251844,-0.4416093809523518,-0.17288040493550794,-0.09901477611620206,-0.08314479503659974,-0.02816762544978926,-0.1212020139291044,-0.09436970765103506,-0.23478279087834494,-0.0035071269349670007,-0.04115559611672994,-0.053726338029636854,-0.04429804440383281,0.004302,0.01,0.0,0.97,100,13,1,14
45,0.939067497054368,-3.3820792600650496,-0.44795798357942007,-0.17535165973282793,-0.10045984469037833,-0.08428944633442872,-0.028586168003706246,-0.12300197989176193,-0.09581808394236263,-0.23805031825845188,-0.0035549104015336398,-0.04170929976538272,-0.05446942766478861,-0.04507019185946653,0.004247,0.01,0.0,0.97,100,13,1,14
46,0.9418064017993522,-3.3937403157943655,-0.45380610528429616,-0.1777250513440463,-0.10168994812467534,-0.08540458129925456,-0.028937738128493706,-0.12471737386946323,-0.09715918496006846,-0.24133753007004097,-0.003602657194970566,-0.04220853486412997,-0.05526694633938639,-0.045567032834904944,0.004194,0.01,0.0,0.97,100,13,1,14
47,0.9366610738255033,-3.406538064380671,-0.46023561690577447,-0.18021545505339437,-0.1031621633723549,-0.08662109015371619,-0.02938300925607463,-0.12646473478947606,-0.09857049396893808,-0.24445842542759064,-0.003655642029515287,-0.042682686138872224,-0.05600755496211455,-0.04625821563885105,0.004141,0.01,0.0,0.97,100,13,1,14
48,0.9398533738965638,-3.4184716922455167,-0.46629679070463764,-0.18258648158999533,-0.10454753393689395,-0.08777837445647978,-0.029782087787452217,-0.12807399978422396,-0.0998264942039361,-0.24756834952361698,-0.003697808850684572,-0.043319986470218994,-0.05673110533685833,-0.04675242514842763,0.00409,0.01,0.0,0.97,100,13,1,14
49,0.9400983761202075,-3.4301132802229444,-0.4721968000430367,-0.18493014191053142,-0.10588242183797991,-0.08889761638807474,-0.030167750453114754,-0.1297349642286588,-0.10102425240909466,-0.25068777422110783,-0.003751086826222841,-0.04382778225539107,-0.057368267995068785,-0.047367894483336496,0.004041,0.01,0.0,0.97,100,13,1,14
50,0.9386053223262526,-3.4419252561280484,-0.47827169783687834,-0.18732448789566222,-0.10729341822531874,-0.09007427821417524,-0.03058382119545442,-0.13138443570657862,-0.10239168240927286,-0.25364543360027103,-0.0037874530414217494,-0.044341195880611986,-0.05800033933069482,-0.04796384927244286,0.003992,0.01,0.0,0.97,100,13,1,14
51,0.9389500622958548,-3.453404193222693,-0.4841316595279224,-0.18961535048858832,-0.10863224144978047,-0.09115648539807182,-0.03099661085349045,-0.1329444349498343,-0.1036825308316917,-0.2567717758251394,-0.003830891109778424,-0.04490032257864721,-0.05862846626003238,-0.04851128436738445,0.003945,0.01,0.0,0.97,100,13,1,14
52,0.9378014469453376,-3.465001663449959,-0.4900577100411191,-0.1918194191215402,-0.11009869163586235,-0.09216740844368787,-0.0314692528403345,-0.13440720331692146,-0.10499146351154987,-0.2594638922810793,-0.003868415966752331,-0.0454303424908689,-0.05920880656440579,-0.0491330331897469,0.003898,0.01,0.0,0.97,100,13,1,14
53,0.9379185641575141,-3.476718122411837,-0.49597401818442943,-0.1941077436568561,-0.11143706161614889,-0.09321909266569384,-0.03182923770240485,-0.1359983331519535,-0.10622623211139828,-0.26268941045392363,-0.003916929596328441,-0.04586542549403216,-0.05995703707591262,-0.049651156374309585,0.003853,0.01,0.0,0.97,100,13,1,14
54,0.9375020972450588,-3.4882705612860483,-0.5018748249824679,-0.1964723447039239,-0.11274218666212417,-0.09436865390915773,-0.032198597792277,-0.13765287099090484,-0.10746076680389635,-0.26599153409667115,-0.003966032591831506,-0.04642524747909486,-0.06071439372021832,-0.05022762532537088,0.003809,0.01,0.0,0.97,100,13,1,14
55,0.9343257589711818,-3.5001269818734326,-0.5078848709779504,-0.19888011493296814,-0.11409249455205256,-0.09560276659465018,-0.03258101007473895,-0.1393584461585336,-0.10868497174919374,-0.269034168299708,-0.004013859025813094,-0.046952879901176116,-0.06144268808503361,-0.05069479237692006,0.003766,0.01,0.0,0.97,100,13,1,14
56,0.9422882725191868,-3.5102451060273623,-0.5130682663989984,-0.200959252374168,-0.11523148277875687,-0.09661374346197296,-0.03289326492003765,-0.14090510095829475,-0.10980143511102301,-0.27170021868912636,-0.004054778047934769,-0.04740606411670724,-0.062092092078456076,-0.05121331243390066,0.003724,0.01,0.0,0.97,100,13,1,14
57,0.941281079085998,-3.52058015307155,-0.518245493701994,-0.20304159069387936,-0.11633376476723906,-0.09761986814033423,-0.03317384570829723,-0.14238206058497044,-0.11091366232984053,-0.2749103871419142,-0.004097902006936268,-0.04785236071071307,-0.06296426539262862,-0.05179910390413155,0.003682,0.01,0.0,0.97,100,13,1,14
58,0.9387219877948322,-3.531000295772347,-0.5235592248180135,-0.2051761955687934,-0.11759942186937203,-0.09867969533510682,-0.03358249695416807,-0.14393917313846957,-0.11214641228844995,-0.2775587645016757,-0.004136188910053786,-0.048322686366282216,-0.06364010713333919,-0.052330075602313716,0.003642,0.01,0.0,0.97,100,13,1,14
59,0.937451450572461,-3.5418412660396004,-0.5289920101477787,-0.20731428968718368,-0.11879540433052026,-0.099704471449112,-0.03394998617317549,-0.14549854803176843,-0.11336386684816921,-0.2805214997427496,-0.004180599475937233,-0.04876513169233272,-0.06436524174085403,-0.052960493142254046,0.003602,0.01,0.0,0.97,100,13,1,14
60,0.9411346797929565,-3.5516876974873797,-0.5338940536183211,-0.209252681483153,-0.11989458116884943,-0.10063343202196898,-0.0342421563301376,-0.14690095787985494,-0.11442116976638285,-0.28286868837968365,-0.004220043386120716,-0.049197776809493714,-0.06490121628249336,-0.053391561818104914,0.003564,0.01,0.0,0.97,100,13,1,14
61,0.940535199946413,-3.56162326675143,-0.5390472417506974,-0.2112906156747348,-0.12107566849006494,-0.1016714783484526,-0.03460451921536739,-0.14827273968683824,-0.11555524926199358,-0.28552013211391875,-0.004262726999398152,-0.049592971626989814,-0.0654780200391777,-0.05389083415875217,0.003526,0.01,0.0,0.97,100,13,1,14
62,0.9377865426105717,-3.572092372197294,-0.54434110205993,-0.21336630233019496,-0.12226946214147712,-0.10264236872910659,-0.03495690855487003,-0.14974145263581895,-0.11669628938152123,-0.28813400490086144,-0.004301288253809437,-0.05005327791070808,-0.06611754274222177,-0.05447148158000911,0.003489,0.01,0.0,0.97,100,13,1,14
63,0.932245964230692,-3.583406675234458,-0.5500922761502556,-0.21570334038030622,-0.12354351881919266,-0.10378942649802711,-0.035312191255534774,-0.15139291864674742,-0.11790459167672304,-0.29139194181911704,-0.00434427904947725,-0.05067315261759038,-0.06686761326008762,-0.055133633365707854,0.003453,0.01,0.0,0.97,100,13,1,14
64,0.9391596807389188,-3.59331657578491,-0.5549694626982282,-0.21757226682159356,-0.1246645351925663,-0.10465702673121073,-0.035639189603747366,-0.15271888953842122,-0.11898946211778522,-0.2938805266362956,-0.004381358857878956,-0.05107839386187321,-0.06735461268666179,-0.05570122767161101,0.003417,0.01,0.0,0.97,100,13,1,14
65,0.934080732585934,-3.604189484925787,-0.5605149189548434,-0.21974675618921308,-0.12591538010731676,-0.10570051147642878,-0.035976667175555956,-0.15425020892659463,-0.12019688627099194,-0.2971107704618273,-0.004428256495587555,-0.051574102962978534,-0.06807480818893659,-0.0561951480556893,0.003382,0.01,0.0,0.97,100,13,1,14
66,0.9391863530280898,-3.6138071715959943,-0.5653672273129188,-0.22162895817981837,-0.12701916766316657,-0.10655494552921002,-0.03629991776808591,-0.15551441946579586,-0.12120328850036712,-0.2997451886430617,-0.004470019788100712,-0.05205920463854153,-0.06871749788499606,-0.0567346081210062,0.003348,0.01,0.0,0.97,100,13,1,14
67,0.9454793965779082,-3.622165249309088,-0.5695522282021049,-0.22321916424924845,-0.12799546835367018,-0.107280273536592,-0.03660821603059119,-0.1566494299576154,-0.12209646546738502,-0.3016740850403819,-0.004500214691493058,-0.05238722071539155,-0.06916405180584553,-0.057124514766425404,0.003315,0.01,0.0,0.97,100,13,1,14
68,0.936911156851917,-3.6317289547382727,-0.5744495430382839,-0.22520955223006928,-0.12907787629895842,-0.1082754485885185,-0.03689573672339413,-0.1580947751929152,-0.12319645502633632,-0.30443263897495504,-0.004535008995384433,-0.052810035242125346,-0.06988245512574119,-0.05757742385648568,0.003282,0.01,0.0,0.97,100,13,1,14
69,0.9391448747840381,-3.6409164031545815,-0.5791630876377841,-0.22713439102239996,-0.13012250279684212,-0.10920964481636787,-0.03720128788055485,-0.15954124994371782,-0.12431141621724254,-0.30694562980731327,-0.004565993464912358,-0.05323662989549764,-0.0704467837104642,-0.05814533367986071,0.00325,0.01,0.0,0.97,100,13,1,14
70,0.9408524258760108,-3.6497877405749777,-0.5836520726676262,-0.2288682372171836,-0.13113626008129634,-0.11003909460200509,-0.037507328683197075,-0.16078128257307628,-0.12525555843560784,-0.309189145538649,-0.0046023131255839775,-0.053694802987463285,-0.07098275060323986,-0.05865091959925868,0.003219,0.01,0.0,0.97,100,13,1,14
71,0.9424147675021318,-3.658181293232273,-0.5878054623299275,-0.2304903321393135,-0.13207941415000843,-0.11080776755520128,-0.03781339056932723,-0.1619123532378478,-0.12616071842087276,-0.311296901702228,-0.0046383914585200435,-0.053972051264532014,-0.07151407800019025,-0.05910116318893119,0.003188,0.01,0.0,0.97,100,13,1,14
72,0.9360724467549891,-3.666672923002368,-0.5920998564856803,-0.2323340006845186,-0.13300601338527956,-0.11179872737003078,-0.03806365062876751,-0.1632797569570172,-0.12713811254388827,-0.31385266622449765,-0.004656583168752627,-0.054569988099038534,-0.07202358620577445,-0.05956661620081078,0.003157,0.01,0.0,0.97,100,13,1,14
73,0.9407398640651946,-3.6748783110917813,-0.5962989602806164,-0.23403630251219387,-0.13393181106979707,-0.11262531899719906,-0.03833082588873314,-0.16445666337294002,-0.12805543445370363,-0.31594478816164107,-0.004694394955324361,-0.05495615836209769,-0.07252464324205637,-0.060007590908450294,0.003128,0.01,0.0,0.97,100,13,1,14
74,0.9398936528235848,-3.6837962631100316,-0.6008258502749655,-0.23578648556064838,-0.13495644867679235,-0.11346240989783803,-0.03863333125230569,-0.16559972407603485,-0.1290723133615015,-0.3184186941638542,-0.0047292061102714444,-0.05530194988197606,-0.07324783393798606,-0.06038796272259801,0.003098,0.01,0.0,0.97,100,13,1,14
75,0.9361914088882886,-3.6931775608218205,-0.6056528747369013,-0.23771005026247977,-0.1360695469117993,-0.11441466415055178,-0.039006482592997785,-0.1669487172802233,-0.13016459884201378,-0.3208286931671789,-0.004773804513778157,-0.05578239133528524,-0.07381443038536209,-0.06092893803190738,0.00307,0.01,0.0,0.97,100,12,1,13
76,0.947496762692767,-3.700411440958336,-0.6092570190365167,-0.2391197389894297,-0.1368684784767202,-0.11507974592937109,-0.039230051343995584,-0.16791965092051075,-0.13093993301680337,-0.32272633595713685,-0.0047930209891406846,-0.05612892264896647,-0.07422929320700486,-0.061273456950050646,0.003042,0.01,0.0,0.97,100,13,1,14
77,0.9387001970410447,-3.7092977896193955,-0.6138509961973413,-0.2409273070856115,-0.13792918947050542,-0.11592677726688919,-0.039563168595510255,-0.169169663192212,-0.13192727074240732,-0.32513787724618887,-0.004826910343868571,-0.05659279823556079,-0.0748315465421224,-0.06170328405961608,0.003014,0.01,0.0,0.97,100,13,1,14
78,0.9384426752662165,-3.717988813019439,-0.6182402747516819,-0.24269805738949168,-0.13893030454523797,-0.11679400034093045,-0.039876263695572595,-0.1704184702147455,-0.1328742134602542,-0.3274510588141693,-0.0048684580555984035,-0.05702264253861502,-0.0753628763863807,-0.06206247638136856,0.002987,0.01,0.0,0.97,100,13,1,14
79,0.9416884839005815,-3.726038087780152,-0.6222301429753119,-0.24427056214650983,-0.1398028453618572,-0.11754959270850099,-0.04012739858038561,-0.17159798666867343,-0.13371621487305557,-0.3296306497755699,-0.0049016794092598,-0.05730293346079202,-0.07587451347871986,-0.062362978949186416,0.00296,0.01,0.0,0.97,100,13,1,14
80,0.9430663554070168,-3.733802161966338,-0.6261077830223087,-0.2457831834074646,-0.14065420752640936,-0.11827255670183551,-0.04036356842914815,-0.17266706663613443,-0.13450497908305956,-0.33181292261092354,-0.004933523844868673,-0.05769548131781535,-0.07640551665291791,-0.06271028276310855,0.002934,0.01,0.0,0.97,100,13,1,14
81,0.9393421471539403,-3.7421672694238954,-0.6303432424244654,-0.24745506822001673,-0.14158896070393845,-0.11911245849566152,-0.04061927349224982,-0.17382849852246796,-0.1354484152774326,-0.3341843169124573,-0.004962854402488697,-0.05803226459061991,-0.0769618156311314,-0.06313569925648238,0.002909,0.01,0.0,0.97,100,13,1,14
