episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,imbalance_hotspot_distance,starvation_count,congestion_count,hotspot_imbalance_mass,projected_starvation_risk,projected_congestion_risk
0,0.8945301881663597,-22.460954025497582,-10.325292231223727,-7.388779849387459,-9.433918795571879,-6.670768318492221,-36.64802437628825,-34.832458594632264,-12.192207022855786,-6.538357581044734,-6.474978352320319,-4.07150371075702,-5.998646118270703,-1.3430206519031922,-0.7053971206414512
1,0.9314249669590292,-40.378190574500934,-18.624498410568467,-12.644477953456779,-16.947422260215664,-11.313742110201414,-68.9776158449893,-62.74323437107177,-22.046762487657347,-9.873971113817666,-11.284171044051424,-6.378924821368144,-11.775990607446488,-2.1960941314473224,-1.2099715207151527
2,0.9395122246429436,-48.27366383581911,-22.20033510823555,-14.412187352171534,-20.066871356611497,-12.740148841726981,-84.58430994179619,-74.23292028459238,-26.579343821811715,-9.186309999254618,-12.76742179005558,-6.455344802870484,-14.955135072671041,-2.4336223370977823,-1.3933972849015819
3,0.9296093773602006,-52.88780953676394,-24.25059937307982,-15.157585461682759,-21.77270555292116,-13.256731088255053,-93.80883657226526,-79.85715100227053,-29.38822330269037,-7.770889846416658,-13.197181965255863,-6.061829606980687,-17.053581815572407,-2.5148784606970627,-1.4612773469169238
4,0.9403511920787341,-56.11106806147776,-25.64820278395465,-15.574321194056186,-22.901664201122532,-13.495182121750563,-100.02988437591824,-83.00895980359691,-31.3835655352069,-6.885806443054528,-13.288414606173049,-5.560995365153831,-18.61971391648283,-2.540303569259652,-1.502519756026674
5,0.9366312099601112,-58.236548369652176,-26.472425601421765,-15.611765428718531,-23.48731252284005,-13.411840772054385,-104.2152261786657,-84.46215394554528,-32.795352443110666,-6.052016287673396,-12.931441808829847,-4.975334989064562,-20.009156319331016,-2.52738543698223,-1.539247596391841
6,0.937263680087117,-59.61257326176227,-26.959725936727295,-15.470531172404995,-23.785461792631207,-13.17323132372494,-106.48813773009321,-84.30387922645266,-33.79178154314427,-5.055457194596746,-12.444958738603331,-4.3452370020582665,-21.01037963871183,-2.49379704740909,-1.5398596302779208
7,0.9366500829187396,-60.509122176412596,-27.24320780532004,-15.220150648602162,-23.89257140883179,-12.838657422180837,-107.53915580856736,-83.16941208015402,-34.49833873400694,-4.317876300306443,-11.780746653365172,-3.6593922212246452,-21.714730908848008,-2.434196607056369,-1.5410777481244569
8,0.937547186905445,-61.199200570328976,-27.47581372586418,-14.877278447705283,-23.952341233779073,-12.42790284225296,-108.06880091583012,-81.418654030283,-35.115805613149966,-3.7531760326757464,-11.131704111091915,-2.996985204876373,-22.350708146645946,-2.410770491381585,-1.539420290785096
9,0.9402573807721423,-62.121779893635974,-27.8462436178392,-14.695497691733069,-24.154665241448576,-12.165685007409666,-108.40916746372497,-80.17042541044103,-35.84568627922452,-3.5877007733530206,-10.639251740096336,-2.4711678839160744,-22.842887031060073,-2.397387151626058,-1.5475111163337147
10,0.9368672539943258,-63.28279660392888,-28.279419907158236,-14.499625808803264,-24.40984629422716,-11.8752461986944,-109.49798255373956,-79.04508112158368,-36.71736907264378,-3.8145224202234136,-10.128501179163864,-1.8164825339097606,-23.598206796329542,-2.375236737391133,-1.5580372431727476
11,0.9387381987112243,-63.807631408491154,-28.44285131020128,-14.182879523958754,-24.42266635931736,-11.49527028931919,-108.91038449996681,-76.82172805487777,-37.21377594697459,-3.5191288847563276,-9.487381958677652,-1.2023106436916657,-23.972247312110007,-2.3377460002799326,-1.5557634733745904
12,0.9433277413451273,-65.87807407253266,-29.29734081038025,-14.2695860968947,-25.057941984133645,-11.4625675707489,-111.79135762344241,-77.44255529447963,-38.586000282810566,-4.159983554060631,-9.164549375032427,-0.7698269193052455,-24.999287835276053,-2.3498242489110055,-1.5862342687847795
13,0.9358179913186648,-67.78844588605615,-29.977378375074345,-14.348495220675618,-25.511781856946858,-11.435864009304364,-114.19725867002713,-78.01370618015329,-39.84464798817053,-4.644108802030295,-8.65285191491825,-0.37736420213378885,-26.02435727559407,-2.3341201419804403,-1.6122262886935796
14,0.9464194025793591,-68.10752517769917,-30.112411178983496,-13.935556594968288,-25.503004029671654,-10.97002216290952,-113.5461831464358,-75.43127676591646,-40.25942092485218,-4.018595725523061,-7.94786169953752,-0.0035133072514761687,-26.318516447960242,-2.319415108585231,-1.6311933673025558
15,0.9363275613275613,-69.5939659421391,-30.576252953397592,-13.934431270027472,-25.762744339822728,-10.868061027700325,-114.79953262597704,-75.16409663256464,-41.29402624794448,-4.15324424948407,-7.351525179624312,0.0,-27.09001766201122,-2.292262177435705,-1.6662518801006292
16,0.9422187043351193,-70.57066724493748,-30.905399159806286,-13.809175149601076,-25.927039499208586,-10.672046816637595,-115.0312771265948,-74.08747073554427,-42.02562953662606,-4.198712947340702,-6.807623222629037,0.0,-27.623514636632933,-2.2713907007445746,-1.6996125689775663
17,0.9344615845439569,-71.37573764923923,-31.21046596709568,-13.626300791582073,-26.075100210077625,-10.42238347120539,-115.0030579732401,-72.72291188602823,-42.68128458681391,-4.242155660321097,-6.258590318203378,0.0,-28.08342206951468,-2.2700760950886743,-1.7347943692986656
18,0.9376123696512046,-72.42005851538225,-31.583260181628113,-13.527549633351184,-26.276642795734272,-10.248056821739569,-115.38266143126972,-71.81136651690476,-43.49135942514681,-4.3790949758030635,-5.743890151639399,-0.0017070465884716473,-28.588018045649097,-2.256463660949426,-1.7742527366628111
19,0.9365853658536585,-72.94008001590537,-31.731423432529912,-13.302207926638404,-26.281027855276506,-9.973108675699415,-114.84741370312469,-70.10024550379349,-43.99639223846322,-4.436990631878781,-5.110541306296612,0.0,-28.964467787274277,-2.225738968341132,-1.8106471242186755
20,0.9377590886045749,-74.66110538608908,-32.35394787993823,-13.38242060760686,-26.686333337514565,-9.961885720122906,-116.96338079102577,-70.54968320132384,-45.14275082105381,-5.125951801206337,-4.5932117437431845,0.0,-29.869521116223794,-2.196524201870309,-1.8454760490873143
21,0.9399676472350369,-74.50541141527377,-32.263177920055774,-12.957642531027938,-26.483990753501796,-9.515673362918903,-115.11194362274993,-67.54099750765829,-45.2769009503523,-4.78165059588729,-3.8830469477768945,0.0,-29.894911912089988,-2.1563061741941594,-1.8686532574214287
22,0.9442698512465955,-75.08002313789996,-32.46613835878867,-12.750473077142436,-26.548983642464954,-9.255191656640676,-114.6217561952135,-66.05768870857807,-45.80596649132767,-4.635193240551561,-3.350429665934719,0.0,-30.2032750514066,-2.176225224642156,-1.914481212201591
23,0.9333753488790852,-77.71771851284905,-33.47884417972467,-13.093324055516034,-27.311377801899948,-9.465351853046167,-118.38801901925436,-68.05100363560257,-47.44162066967408,-5.755959550916914,-3.0923427253523106,0.0,-31.37513411528968,-2.1825493285499005,-1.9638879344188966
24,0.935198512654432,-78.46514479599522,-33.75164203776284,-12.93153772983576,-27.43181239185566,-9.25131717504646,-118.57792388105699,-66.98900681020875,-48.0561048252528,-5.554648629373543,-2.5611919777444556,0.0,-31.811873957222424,-2.172540798780385,-2.0086346887408584
25,0.9447015687924506,-79.03007463195637,-33.913561519098295,-12.766954377454946,-27.45899643795238,-9.040761389076373,-118.13806238504415,-65.81155199929682,-48.57863892588782,-5.367913281412101,-2.017675544796902,0.0,-32.13136566067773,-2.149346515437683,-2.0583160864714642
26,0.9369082301529498,-80.87773678459915,-34.519611934958704,-12.84078271004428,-27.845929120338162,-9.025780960931074,-120.74771574139696,-66.772430040897,-49.78761507755521,-6.006047546015296,-1.4992528422597253,0.0,-33.194911054744416,-2.1203049556629288,-2.1003192953824907
