episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max
0,0.9071061384941034,-31.06657430093,-27.19178316751522,-1.2731203877777875,-4.848639114386405,0.0,-107.17223033502552
1,0.9171894228171804,-34.96658169026426,-27.0711166497099,0.0,-2.9075991023198684,0.0,-105.93048976404091
2,0.9179866455070815,-39.13222599352976,-27.072125116868946,-1.9406323022902645,-2.6872960654117612,-0.42809205566750325,-95.58972290145677
3,0.9225043120404273,-38.98613278709424,-29.900925960218398,-1.3521956993589053,-3.544054080053039,-2.0716316973898574,-69.33976409344378
4,0.9144214577820544,-53.05846816203613,-43.32927964472721,-3.717699869218734,-6.80770725194694,-0.572890213842405,-95.67555928674454
5,0.9138871312784356,-52.129632010344864,-46.606344333359964,-5.521740511184059,-4.923419346982591,0.0,-41.385297150768906
6,0.908899957990758,-69.34704500841771,-59.49939861125491,-10.194426455913192,-4.159058286768473,-0.19357914919438424,-92.51132138464395
7,0.9216128450297673,-67.53500331366642,-58.58916046385767,-9.2519196054008,-5.189402262022506,-1.0386953666877805,-63.2464805456498
8,0.9109332374014449,-74.22193314467151,-65.24478214916431,-7.711961623392173,-5.221655528880795,-2.9191462701304767,-101.14454689200278
9,0.915340488527017,-70.2409059085471,-61.72438774884285,-3.137757829011236,-6.799416695381849,-0.15613421348071777,-79.53603746765165
10,0.9293760960675326,-66.74609519298659,-61.695517877396995,-5.583287232844773,-5.928527890787821,0.0,-71.18852189236966
11,0.9234994354764884,-67.04407338164216,-63.97830297051176,-7.5544834208157985,-3.914737005522701,0.0,-80.06076061381768
12,0.9142510244346638,-67.20249799542918,-67.73507958680634,-8.662591127518175,-2.447047772445694,0.0,-95.44532365113649
13,0.9007656689767878,-72.51382963297642,-69.78614553418859,-5.686185629656446,-0.8140842261247192,0.0,-104.5941282300641
14,0.9086687773254938,-72.21715439173539,-77.86501781401377,-3.8706685784511965,-0.9679821628183439,0.0,-99.46541488573375
15,0.918950177935943,-73.15967623443309,-75.70697975377348,-4.338595156552559,-1.8230963096411132,-0.3227007181443836,-97.1412052055663
16,0.9172952748777986,-73.94107447776341,-78.53571218455794,-2.8245335311406805,-1.8846805594237737,-0.010215139486018716,-99.27126318287664
17,0.9164445790430042,-74.77994597731181,-78.2223190515316,-4.520698713627136,-1.071411007451356,-0.09200159677469386,-98.38403856503217
18,0.9132892072415149,-71.03121249582192,-77.59936179157098,-5.380657217561464,-0.19802150954375758,-0.9625324837018548,-83.78391831277911
19,0.9129523925188244,-82.93619438054485,-82.30311657647185,-6.168998960731292,-3.3816354738876067,0.0,-98.81919529471065
20,0.917145421903052,-76.40227246710747,-78.51916571176434,-6.515928761517723,-4.007729918595789,0.0,-73.64483417286544
21,0.9138738846280103,-80.35689459606232,-81.50479184027077,-5.6087374740944504,-3.1205656536164916,0.0,-100.50210872316379
22,0.9104740312043197,-78.66779943092465,-79.25891695841831,-6.0138818933182305,-4.41237725411383,-0.7071033139335873,-103.92254935135448
23,0.9147711948215409,-77.95249866358917,-79.00917567927016,-4.594262052248189,-5.643975925820199,-0.15036826228259564,-100.49201088849469
24,0.914286577810016,-71.3774335343039,-74.77097846968479,-5.296079419436618,-4.9765883628708085,0.0,-64.28980817516918
25,0.9142548660888342,-71.83542456877329,-77.57928142894684,-9.311633332896635,-2.6625508221233547,-0.45988128558054303,-72.5367646738264
26,0.9092996898115009,-85.7648631664,-87.22647295470207,-9.509677275655473,-4.937640068930846,-0.23488605738512683,-103.65761565830536
27,0.9097487132909476,-77.75571550742764,-84.92261002279632,-7.9180545835407425,-5.055981466512015,-0.28685857683067906,-80.49425050633312
28,0.9125109361329834,-80.31306095239124,-84.80548190701555,-8.33002808022344,-5.325571856299176,-0.22368284069961608,-72.73996906774087
29,0.914368520123099,-85.76558075357019,-88.8982252009435,-8.796452412273743,-6.569536787050175,-0.003994905083953135,-81.47535639203127
30,0.9110822798177594,-90.1027619890886,-91.58645084273702,-7.584113632532383,-7.873809814194496,-1.778346884734267,-103.90077710579676
31,0.9111751326762699,-93.51660806511107,-94.78099280228888,-8.870106706736888,-9.742400906156895,0.0,-89.31721511073354
32,0.912689771971209,-93.24565169609014,-91.48378078285671,-8.110113672418484,-8.402137645406656,-1.0515610300000553,-86.63042172596148
33,0.914183732115309,-94.9311905493841,-92.60186343597863,-10.437136642362328,-7.622319639047647,0.0,-84.06173146020592
34,0.9249588261715825,-92.38681809183599,-89.51754051042695,-9.304898561918186,-6.044175925476461,0.0,-46.05623867410893
35,0.9200048408568317,-95.89769042285417,-91.994483734312,-9.709239663538483,-6.4560039941458065,-1.9434133664619397,-55.890629777050286
36,0.9165125094768765,-101.60669325866512,-95.51016391610163,-11.011910082677556,-7.774411340361002,-1.7322010631009488,-87.6294588012569
37,0.9255893983759471,-102.76869816074313,-99.09275932296755,-10.286807245967605,-6.759102161035373,0.0,-61.866918961563854
38,0.9125545586808923,-105.22594892138974,-102.56049598054541,-10.244728628044506,-7.412296041474086,0.0,-67.92199839708333
39,0.9170383586083853,-105.10586201346746,-102.72260940439223,-10.961376708171409,-6.82729498213942,-0.6716625796525495,-66.03900496421362
40,0.9179716853527308,-110.4952975979482,-102.53679759975796,-11.873142188102246,-5.891958959174175,0.0,-54.78249539206361
41,0.9225269608579411,-111.62507989198299,-102.96146444798865,-10.510675569579822,-7.447445375263329,0.0,-38.55343525500945
42,0.9122817616142089,-118.7456345960585,-109.01361289017818,-11.53481524126414,-7.901222262760501,0.0,-81.077834955176
43,0.9261276442090693,-121.76059797337875,-111.4943182940074,-12.69426956938644,-8.953081259410027,-2.4369882693501657,-55.807748630688465
44,0.9190560014321091,-120.87976586623209,-110.9863499485254,-12.141377365081956,-10.134187398948896,-0.004197316136466215,-63.2853245769181
45,0.9165461557001687,-123.71120281459785,-114.51908211900219,-10.589018811386145,-11.839131455362379,-0.09453115636965669,-65.6775294199062
46,0.910650289459981,-122.77526417297011,-111.07704856170297,-10.772108042926412,-12.125765675007024,-0.2947451853676285,-62.663151588980455
47,0.9215674343606438,-123.27542400876905,-113.70469751571498,-11.891203412616361,-12.543746476068454,-0.0017791103421282717,-66.42261533517981
48,0.9188918253895926,-123.8336603646662,-114.13530208756879,-16.2219842914918,-9.272092033020503,-0.11972516676912304,-57.47800630196862
49,0.9207507507507507,-127.82228828151759,-117.34298412193125,-15.473506478423829,-10.539923536064649,0.0,-67.67330799644887
50,0.9138899738605294,-134.34385973993056,-123.07516961753228,-16.626790276641962,-11.123794193626923,-1.868289315656808,-88.61017544546043
51,0.9142917394709887,-136.04305074158088,-125.26806032980502,-15.27044523172751,-12.370576577604107,0.0,-69.76795067072398
52,0.9163668249024884,-140.62450876116975,-125.17031949563436,-15.97435374292862,-11.397502772398088,-1.3597020189470563,-64.26190777985518
53,0.9217183056428678,-139.45864428008545,-125.32634145314417,-16.365171656268934,-11.759874342501877,-4.794707321724847,-71.1387715564298
54,0.915325128637198,-138.5601987628169,-126.35174212775523,-15.634768845516039,-11.665540515623496,0.0,-63.99153119068783
55,0.9233770948030734,-134.654539095599,-124.83779995084866,-15.449538184206466,-9.251438700415214,-0.11376163240126831,-56.7547219463956
56,0.9240349819059107,-138.70111697185627,-126.21936754572174,-14.81675397383126,-10.124000622068174,-0.007111046137085131,-62.76795758048097
57,0.919392977940076,-142.21231307894894,-126.89024086727314,-12.706929445886852,-13.173382897991175,0.0,-75.20449551853382
58,0.9170026580652868,-140.61708698276004,-122.63325988254665,-9.766213691897878,-13.777554414496853,0.0,-67.94554858339795
59,0.919972206277756,-139.51491289160083,-122.11224988405687,-8.367422864737462,-12.295039085115459,-0.18290492610846532,-68.8334871284912
60,0.9187186229978485,-140.08747586574705,-124.60304609669656,-7.498995217547185,-11.705047903899361,-2.550469274212922,-78.69732481818465
61,0.9127280390149919,-143.74131700400415,-127.73579715644102,-8.530046345872293,-10.823278317509304,-3.001989487108161,-89.5029686986166
62,0.9231231953801733,-143.22934531119805,-126.15770780045663,-10.224635778165842,-12.093816125616787,0.0,-76.3359244252159
63,0.9178069722989168,-145.52267386141907,-127.00776103697818,-11.83198918049264,-11.84047535221417,-0.02606183411750804,-75.79857403975515
64,0.9289457647775746,-142.92120756739178,-125.54702841825643,-10.280643480017755,-10.759294856773913,-1.0157023269738459,-67.4048335043743
65,0.9194258488631566,-141.78358118720874,-125.50645164396383,-8.423201826587619,-10.080069060434962,0.0,-74.67034815639558
66,0.923126142595978,-141.9618307092951,-127.23155074746882,-8.773487346392509,-11.22295213725131,0.0,-67.73315414298493
67,0.9205552717766894,-148.24252488615045,-132.87641033947074,-10.686359687371207,-11.320368983121455,0.0,-83.43623175912448
68,0.9241171822767884,-147.76988117915676,-131.60207313695088,-11.398537727509554,-9.66536251349224,0.0,-71.84448655817845
69,0.9229672762563309,-147.3969779970303,-130.31796811053363,-10.71348348531264,-10.117061520957625,-1.5798865211487678,-79.9285103253337
70,0.9187859884836852,-148.44714390672283,-129.25606848977566,-12.308111998508684,-10.681923186048932,-2.556490936082257,-81.53356472061236
71,0.9250097215159583,-148.90488639139676,-129.90081759670943,-11.189837306942252,-11.944552562676982,-0.1530016947519401,-85.56607446463113
72,0.9205072225379071,-145.75010275045287,-127.0895583867283,-9.91400388509384,-11.272100220938658,-2.4385078588587112,-82.23105592986524
73,0.9216500469796624,-147.05418953240303,-128.21969157098704,-9.451804195123383,-11.388774760926953,-2.1981877446313836,-77.34002020777264
74,0.9243509400179051,-148.72696662352777,-129.8285072679926,-10.200713352581408,-12.419693006406856,0.0,-82.53245121510193
75,0.9218901258470474,-151.4709383586216,-131.6206268812715,-10.702375022277876,-14.395358267717311,-1.3291124479803509,-84.1734608907878
76,0.9240251418807591,-150.92493401910147,-129.1185955692817,-11.174039407817867,-15.124677466767935,-0.1270557479356773,-77.56686818685075
77,0.9191484162619505,-157.78207223462783,-134.2354252916214,-11.666424612067985,-17.575775103532802,-2.5070668637994604,-107.1231419894406
78,0.9273881833241303,-155.722988262719,-132.35736332687142,-13.19461373853208,-15.798324528414799,-3.543821981543283,-93.99444741257943
79,0.9249206589088711,-159.21353325637438,-132.69980333517512,-12.836261083215447,-16.467327471752213,-2.9050574306577803,-109.68098599344486
80,0.9232523936728997,-159.3336876699594,-133.13748115856222,-15.706490827881431,-14.022307959141271,-2.355967977389633,-101.12676604261345
81,0.925833283105298,-158.14841865419953,-130.5713199833543,-15.77349507148771,-13.70573380889555,-3.4201171749722366,-101.84576816364434
82,0.9283092733056031,-154.75221473310978,-129.70890504667113,-16.03009106603142,-14.372872644922635,-2.506074670169886,-83.19125936244068
83,0.9211080999698886,-158.16424079596754,-131.90142291181243,-16.29075577258513,-15.875035765387965,-7.928441731554633,-112.89316241593602
84,0.9201801801801802,-158.24883649053197,-131.0975775649394,-18.220724418510727,-15.295820018869385,-4.333687790629238,-106.61331345211187
85,0.9345012818947626,-153.6576367617548,-127.36120052084941,-18.236143230132644,-13.955524883593203,-1.3602684542931858,-77.12480551246865
86,0.924823211630095,-159.2448208786303,-131.28235624640524,-19.279760912397705,-15.145551265066526,-4.226374941572852,-98.42032410091744
87,0.9236069140577783,-162.92258750618248,-135.3818131429508,-19.375479143557797,-17.297834669368115,-4.847021146690165,-114.0352476299023
88,0.9252432776548337,-162.41991574627178,-135.20891668922772,-19.687143463681497,-15.997179798881334,-3.5462032955845264,-101.05909022319315
89,0.9245467762513723,-163.42783954449445,-137.01130389512048,-20.9112577544829,-15.794091695343932,-3.702200742283473,-103.8594537406122
90,0.9238505314504231,-171.61058284367581,-142.04849718348655,-21.897722442565193,-16.11206531547975,-4.918458486977728,-106.64824926644809
91,0.9270245950809838,-173.6470405395625,-144.13415223421933,-22.72417686933379,-15.969750190452013,-4.535008488637576,-112.06011441486461
92,0.928151871139639,-173.02840856991438,-142.51971488766443,-20.94460240686743,-15.350584173370859,-3.5750499630568005,-99.07343889364951
93,0.9287610085655689,-177.0729792751835,-144.35527032251562,-20.340572585278643,-16.812042975879738,-3.8511329941808303,-109.77586995636956
94,0.9265194211728865,-180.1420920258482,-146.71629549182688,-19.792424051070626,-18.55915779357749,-6.959975586674999,-116.4569575092545
95,0.9294754272872435,-180.32011627576836,-147.0904387186093,-21.167028049222022,-19.165973360198286,-2.4232217532998175,-111.6945055363894
96,0.9272874591123248,-180.0594691246264,-146.62721402647495,-20.960040337880823,-19.94033279708707,-1.1971823459335522,-108.60759515630326
97,0.9248179851951138,-183.0220013482221,-147.009463401471,-21.445989576051783,-20.300441957740404,-5.158768041287227,-112.53316266486645
98,0.9310292694726657,-180.99555116646923,-144.60877271626032,-21.56642693201464,-18.779183899172484,-3.9363428067816972,-97.83958525345304
99,0.9290737331361483,-181.06702564965858,-145.12494769220942,-21.403011113553035,-18.483065092992163,-8.243663581552825,-99.0464327174291
100,0.929340711650601,-186.68688986701991,-146.49318049304128,-22.299347511603145,-19.548858734855358,-5.474045298730002,-123.5740384418372
101,0.9209793768146308,-189.90820078636835,-149.09783465854525,-22.44020135788317,-20.981574268970007,-4.014202158548937,-137.29266521605092
102,0.9342648077328435,-186.0161514992648,-146.15188576563406,-22.255094127955875,-20.25070658135877,-3.156244085178134,-111.39262286919114
