episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.9133567337890264,-2.8944333240693907,-0.39443332406938986,-0.21608435232428266,-0.08537616199956045,-0.044004312352513515,-0.37911538925233235,-0.058806282874979195,-0.04180629295996426,-0.1381703460949936,-0.10619044200658273,-0.12064136407093268,-0.0036931467473937545,0.007686,0.01,0.0,0.97,100,11,0,11
11,0.9258666576828488,-2.921691646126378,-0.4216916461263776,-0.23080428501710204,-0.09115181360222376,-0.04689851171510689,-0.4052495369061279,-0.0626439615991319,-0.04456069749447358,-0.14629251794707374,-0.11420253107803012,-0.12915224531879363,-0.0038494132676334604,0.007513,0.01,0.0,0.97,100,11,0,11
12,0.9272564820122053,-2.9483422845433656,-0.4483422845433652,-0.24534096342694722,-0.09673811031423443,-0.049948810257752614,-0.4307603240680334,-0.06647203824606718,-0.04739336044014318,-0.15259490256206698,-0.12036605416131857,-0.1359387657976546,-0.004164952686893193,0.007346,0.01,0.0,0.97,100,11,0,11
13,0.9212008135410888,-2.977101423879455,-0.47710142387945453,-0.2608805274552205,-0.10294159449549246,-0.053063505339112756,-0.4584577413175954,-0.07071689999636965,-0.05037822276257713,-0.1609855079467229,-0.12854249573361987,-0.14436535640195644,-0.0045734487990542255,0.007188,0.01,0.0,0.97,100,12,0,12
14,0.9244434751975307,-3.0033247134894876,-0.503324713489487,-0.2749959830135845,-0.10844548436545129,-0.05600619438044737,-0.48350540283700344,-0.07441362012706942,-0.05320941322822966,-0.1681344314205886,-0.13514164068797088,-0.15153236598838693,-0.004704028434957155,0.007035,0.01,0.0,0.97,100,11,0,11
15,0.9256544853841381,-3.0288725601606314,-0.5288725601606308,-0.28898389368255645,-0.11405015552442697,-0.058850105660639196,-0.50811796042152,-0.07839454058899836,-0.05604270616796601,-0.1778107504765274,-0.14377766945508608,-0.15968166246701396,-0.005201776393238925,0.006889,0.01,0.0,0.97,100,12,0,12
16,0.9282417895920388,-3.0525524308934124,-0.5525524308934111,-0.30209311923118193,-0.1192331264721077,-0.061483864910366906,-0.5307299434713861,-0.08188889828619196,-0.05850434277063811,-0.18619874852261445,-0.14981407173315056,-0.16672357674730223,-0.005535851482088874,0.006749,0.01,0.0,0.97,100,11,0,11
17,0.9301143368630829,-3.0747069922336725,-0.5747069922336708,-0.3140557635622203,-0.12388706927109734,-0.06398659775928865,-0.5518552192179528,-0.08498222972616527,-0.06088137322567691,-0.19249927341304138,-0.15510193115049978,-0.17270450891222447,-0.00570916561878998,0.006615,0.01,0.0,0.97,100,11,0,11
18,0.9189725296706227,-3.1008372375876085,-0.6008372375876074,-0.32838909511478265,-0.12944269888282128,-0.06698962437741497,-0.5769463636909126,-0.08862978559917477,-0.06363987931226626,-0.20365950088034235,-0.16080480140254813,-0.18075858706939643,-0.0059325836494342025,0.006486,0.01,0.0,0.97,100,12,0,12
19,0.9250899463715974,-3.1240731698144986,-0.6240731698144976,-0.3411265069710195,-0.1344138366700435,-0.06964993785955204,-0.5990530472870463,-0.09204085440563486,-0.06621867220716804,-0.20984231951588708,-0.1664735781301893,-0.18727153035144975,-0.0061431355830202745,0.006362,0.01,0.0,0.97,100,11,0,11
20,0.9251229732191656,-3.146470382613318,-0.6464703826133164,-0.3531574953789516,-0.13900987040114088,-0.07214931072380952,-0.6204154959478548,-0.09530169021054022,-0.06873887868882177,-0.2161922685879719,-0.17222922896046994,-0.19350743299901546,-0.006252713021247971,0.006242,0.01,0.0,0.97,100,11,0,11
21,0.9249817669906206,-3.1690381471631945,-0.6690381471631934,-0.3651319122905132,-0.14379174598552147,-0.07442696128762415,-0.641981732580486,-0.09853487252745549,-0.07101374258118603,-0.2234563295694392,-0.18002388284332707,-0.20087755958989997,-0.006672647468089201,0.006127,0.01,0.0,0.97,100,12,0,12
22,0.9262661245796315,-3.1906162935580373,-0.6906162935580362,-0.37702962048959887,-0.1484399274640222,-0.0768931301748297,-0.6626854815151126,-0.10177944278214231,-0.07328631423297849,-0.23134111526592932,-0.1850861898347491,-0.20709950934713403,-0.006889101483878516,0.006016,0.01,0.0,0.97,100,11,0,11
23,0.9214572305202469,-3.2127055302200103,-0.7127055302200095,-0.3890715517489876,-0.15318920860094623,-0.07933082867191323,-0.6838897068323163,-0.10487642110303745,-0.07578360846582001,-0.23824482914010306,-0.1907208343578509,-0.2137172680540889,-0.006987127268075802,0.005909,0.01,0.0,0.97,100,11,0,11
24,0.9279700499168053,-3.2330276551340766,-0.7330276551340758,-0.39997931449718327,-0.1574419086797111,-0.08159032896484673,-0.7032535284226443,-0.10785066451297556,-0.07808251337251881,-0.24453858961407318,-0.19578183574075553,-0.21941280735375,-0.007313668806958314,0.005806,0.01,0.0,0.97,100,11,0,11
25,0.9157231432807657,-3.2559853547900217,-0.7559853547900206,-0.4126576220332726,-0.1624849531376645,-0.08417597148891144,-0.7253884560531211,-0.1113041187064063,-0.08063811008246642,-0.25071651444499626,-0.2025046594953646,-0.22619323357895876,-0.00746295613205358,0.005706,0.01,0.0,0.97,100,11,0,11
26,0.9288635601743211,-3.275492623362418,-0.7754926233624171,-0.4232840810508851,-0.16664632003051505,-0.08628092598498502,-0.7438769821584755,-0.11409652819512195,-0.08262566354856303,-0.2574332290662874,-0.2065743282781479,-0.231701808034398,-0.007932521799134305,0.00561,0.01,0.0,0.97,100,12,0,12
27,0.9288424415895626,-3.294175016238577,-0.7941750162385754,-0.4332858960421184,-0.17053172368470118,-0.08835849605556062,-0.7616488890904436,-0.11681307760322371,-0.08462412656200781,-0.2626306499328651,-0.21034048619796694,-0.23648410324901462,-0.008067534760342035,0.005517,0.01,0.0,0.97,100,11,0,11
28,0.9218473963153024,-3.3140406342049245,-0.8140406342049236,-0.4440196788184738,-0.17472970651714134,-0.09065253426341377,-0.7806645835069839,-0.11978288610191487,-0.08677776694395989,-0.2688307995386884,-0.21499012812158164,-0.24173123833861604,-0.008300651192039947,0.005426,0.01,0.0,0.97,100,11,0,11
29,0.9261629958167431,-3.3327280346029204,-0.8327280346029196,-0.4541283712483215,-0.17877204171322472,-0.09270990659286983,-0.7985398647394187,-0.12262539507244408,-0.08883250892632559,-0.27466224375590315,-0.21998030512586988,-0.24715287600547023,-0.00844121621242509,0.005339,0.01,0.0,0.97,100,11,0,11
30,0.9259403856599674,-3.351155003718791,-0.8511550037187895,-0.4640772118572288,-0.18272564852832895,-0.09477886861318714,-0.8162480560101266,-0.12535227517060596,-0.09083976758199233,-0.2807788418194116,-0.22471901119110407,-0.2525142797093219,-0.008619665727212103,0.005255,0.01,0.0,0.97,100,12,0,12
31,0.9265819795198812,-3.3688589085489267,-0.868858908548925,-0.47371573196739236,-0.18645096024867602,-0.09676131115308832,-0.8331045302564956,-0.12789535444205757,-0.09278795833876459,-0.28594416677839357,-0.2288049015024744,-0.25741161093833015,-0.008725770342261461,0.005173,0.01,0.0,0.97,100,11,0,11
32,0.9212194588777346,-3.387581998149471,-0.8875819981494691,-0.4839452581054091,-0.19057229040403567,-0.09885416231563535,-0.8512419773772771,-0.13071508260238826,-0.09468632176150779,-0.29216058176271215,-0.23454768366584494,-0.26312318824236997,-0.008829517260498645,0.005094,0.01,0.0,0.97,100,11,0,11
33,0.9242880845156266,-3.40500617494215,-0.9050061749421481,-0.4935415732756622,-0.19443405627936503,-0.10081882675081492,-0.8680542180710304,-0.13327898677601632,-0.09665305429192081,-0.29770555844644225,-0.2404692234150216,-0.268319614592719,-0.008902067387365755,0.005017,0.01,0.0,0.97,100,11,0,11
34,0.920293970268916,-3.42364653206531,-0.9236465320653083,-0.5037357295506045,-0.19846614616366642,-0.10287610164108715,-0.8860331122527871,-0.13599844450133666,-0.09861355489981044,-0.30358160633910464,-0.24554909756793256,-0.27383282309867035,-0.009069574089063509,0.004942,0.01,0.0,0.97,100,11,0,11
35,0.9270512603620369,-3.440206458323951,-0.9402064583239489,-0.5126734060295374,-0.20193445219973144,-0.10467734800153519,-0.9017670875241035,-0.13834161496118247,-0.10026681710325909,-0.3076827013117561,-0.24944306248315878,-0.27832806431138213,-0.009135953102071185,0.00487,0.01,0.0,0.97,100,12,0,12
36,0.9249341972059122,-3.4568257821188997,-0.956825782118898,-0.5217486992235353,-0.20548346707466267,-0.10654581018895208,-0.9176870975312647,-0.14081575594998566,-0.10211422061505865,-0.31286583914331184,-0.25339127355269875,-0.2829999844457802,-0.009272571627392532,0.004799,0.01,0.0,0.97,100,11,0,11
37,0.9259965571944511,-3.4729765871808214,-0.9729765871808197,-0.5303071432014786,-0.20882964799634343,-0.10830581509419489,-0.9330704472860051,-0.1432207433034876,-0.10400927385870919,-0.31700728421962443,-0.2574003569334026,-0.2874119224718916,-0.009332024177812839,0.004731,0.01,0.0,0.97,100,11,0,11
38,0.9230124962310295,-3.489613410088959,-0.989613410088958,-0.5392451535679539,-0.21233120966951188,-0.11013191813244397,-0.9489284355913852,-0.14554203336674254,-0.10578561877680796,-0.3223588542996264,-0.2606922833945804,-0.2920439921004908,-0.009486114389458266,0.004665,0.01,0.0,0.97,100,11,0,11
39,0.9202354203695631,-3.5068312693457524,-1.0068312693457515,-0.5487694098998461,-0.21621173528349408,-0.11203417513653717,-0.9654850496964758,-0.14828657056529065,-0.10778179045455688,-0.32845516896704774,-0.266551362240149,-0.29770695862112884,-0.009571277739505961,0.0046,0.01,0.0,0.97,100,11,0,11
40,0.9273052336858439,-3.521472952127893,-1.0214729521278918,-0.5568060387331969,-0.21931245077240055,-0.11377302917260744,-0.9795154475116893,-0.15041068757411444,-0.10941940662099489,-0.33207338431265987,-0.27018882954186213,-0.3012892022870453,-0.00970146224893278,0.004537,0.01,0.0,0.97,100,11,0,11
41,0.9254714761152385,-3.537166371978379,-1.0371663719783772,-0.565381897579801,-0.22266507866024102,-0.1155688542526926,-0.9946114753284044,-0.15281957756090828,-0.11120716057902769,-0.3384014611806116,-0.27424030807526245,-0.30594511987597883,-0.009818194877481354,0.004476,0.01,0.0,0.97,100,12,0,12
42,0.9258799865906805,-3.5522896419802192,-1.0522896419802181,-0.5738395222369038,-0.2260987693587434,-0.1173106229380549,-1.0092516668587899,-0.15510607833056397,-0.11293876216617714,-0.34304597743498133,-0.2772416845535402,-0.31000030637069353,-0.009979905977820593,0.004417,0.01,0.0,0.97,100,12,0,12
43,0.9223746570217012,-3.5678442329014937,-1.0678442329014926,-0.5824126702102022,-0.22943914918005417,-0.11912356376313572,-1.0242163406843905,-0.15736251412966185,-0.11462853927363098,-0.34760070805511156,-0.28073628495054376,-0.31435901340871514,-0.010073648821890007,0.004359,0.01,0.0,0.97,100,11,0,11
44,0.917307853490906,-3.5845580431836903,-1.0845580431836883,-0.591735458196252,-0.23325834679504598,-0.120993806857153,-1.0403666524740018,-0.1599565497899364,-0.11659045928475863,-0.3534616746030853,-0.28515879575472675,-0.3196219639483425,-0.01024318720110272,0.004302,0.01,0.0,0.97,100,11,0,11
45,0.9236745194975533,-3.599181271114541,-1.0991812711145386,-0.599636297244961,-0.23640727646357426,-0.12248046344244369,-1.0543427066846909,-0.16217524615785164,-0.11807354535742567,-0.35885258851369856,-0.2885111784774204,-0.32454610167315884,-0.010462989346382665,0.004247,0.01,0.0,0.97,100,11,0,11
46,0.9215863908601338,-3.614295531697945,-1.114295531697943,-0.6079279751069407,-0.23971125193634846,-0.12420665226276759,-1.0689288229064526,-0.16439869011662964,-0.11972109992742429,-0.36343378960616135,-0.29196755146121917,-0.32861064382582034,-0.010662247174155107,0.004194,0.01,0.0,0.97,100,12,0,12
47,0.9220748738410984,-3.629111789933823,-1.1291117899338214,-0.6160768427070571,-0.2429123734754933,-0.1259168995395491,-1.0831488251211208,-0.16652766801439384,-0.12138973433532108,-0.36849325573649216,-0.2955767285299586,-0.3327922106364871,-0.01078641040673046,0.004141,0.01,0.0,0.97,100,11,0,11
48,0.9178075330572993,-3.6446248344873413,-1.144624834487338,-0.6247332744085439,-0.24629400487836547,-0.12775292871273403,-1.0980478992887392,-0.16889202280213259,-0.12310470282434692,-0.3726387750492968,-0.2995585022475901,-0.3367740697018205,-0.010939673616846706,0.00409,0.01,0.0,0.97,100,11,0,11
49,0.9232915861141464,-3.658640114246589,-1.158640114246586,-0.6324533542154673,-0.24933609629187684,-0.12940915613684273,-1.111519811813067,-0.17099969478390534,-0.12477143057024476,-0.3776959553164154,-0.3032006524070876,-0.3408487356647054,-0.011065622014185572,0.004041,0.01,0.0,0.97,100,11,0,11
50,0.9246815580579657,-3.6722873490123704,-1.172287349012367,-0.639743705681688,-0.25214748558893063,-0.13089035942619986,-1.1245527225516154,-0.17295844037540775,-0.12623470727146557,-0.38163370354757026,-0.3069630435716232,-0.34475104013731483,-0.011157077296194962,0.003992,0.01,0.0,0.97,100,12,0,12
51,0.9225154313201137,-3.685985950346227,-1.185985950346223,-0.6471860389029256,-0.2550389108052549,-0.1324142702624831,-1.1376322702201307,-0.17501690703668196,-0.1277502917880955,-0.38633561511359366,-0.3107559323740529,-0.3486131865948695,-0.01129997117505406,0.003945,0.01,0.0,0.97,100,11,0,11
52,0.9291341239182875,-3.6981939437784286,-1.1981939437784237,-0.6538281504714989,-0.25765028570276594,-0.13375572173039832,-1.149280698432546,-0.17696229208498568,-0.12912903658871044,-0.3897844032701178,-0.31381269957436003,-0.35195080808392804,-0.011365451485782007,0.003898,0.01,0.0,0.97,100,11,0,11
53,0.920575443292071,-3.711907923438588,-1.2119079234385841,-0.6613040941348243,-0.2606263108507312,-0.1352864796093897,-1.162451998058415,-0.17900532633553273,-0.1306468125527937,-0.39411599117117435,-0.3176029615836161,-0.3561356108737865,-0.011545512199143144,0.003853,0.01,0.0,0.97,100,11,0,11
54,0.9229930191972077,-3.7252389839752107,-1.2252389839752067,-0.6685205414339858,-0.2634820329070038,-0.13674741209722718,-1.1752515032345436,-0.18100108911205962,-0.13215411203079247,-0.3984993123082197,-0.3208408803840101,-0.35984484350894813,-0.011627377018988996,0.003809,0.01,0.0,0.97,100,12,0,12
55,0.9240894247676463,-3.7378934019263483,-1.2378934019263441,-0.6753168370999795,-0.2661107767472576,-0.13820873746930976,-1.1872508760335005,-0.18282520447941322,-0.13357198760284483,-0.4018944723618116,-0.32337270509530863,-0.362935341150286,-0.011693321031709551,0.003766,0.01,0.0,0.97,100,11,0,11
56,0.9241431706905284,-3.7502936351972576,-1.2502936351972544,-0.6819197720426783,-0.26866617262134423,-0.13952663388699615,-1.1990485648012585,-0.1846066607185773,-0.13488439962412924,-0.40520789706877675,-0.32671526603237705,-0.36635425300111757,-0.011872175053908508,0.003724,0.01,0.0,0.97,100,11,0,11
57,0.9225457166323059,-3.7631409459736997,-1.2631409459736966,-0.6888575134003136,-0.27145518176676997,-0.14093331233995723,-1.2114262588608509,-0.1865264643816373,-0.13636996402319057,-0.4096557623899718,-0.33097611383647163,-0.3704339428865526,-0.011925582761883949,0.003682,0.01,0.0,0.97,100,11,0,11
58,0.9221951424489453,-3.7758548471013342,-1.275854847101331,-0.6958330516390617,-0.27423309405060287,-0.14238560211589513,-1.223653032907779,-0.18843635468735712,-0.1377977078994629,-0.41401921576012046,-0.33413733319437,-0.37411086979312197,-0.012029879585531526,0.003642,0.01,0.0,0.97,100,12,0,12
59,0.9192701740172499,-3.788804962123642,-1.288804962123638,-0.7029568697449158,-0.2771010068046688,-0.1437646662417375,-1.236176268357087,-0.19041920815301297,-0.13921167243819477,-0.4183019852867401,-0.33768412376672885,-0.3782403867535493,-0.012190485786644572,0.003602,0.01,0.0,0.97,100,11,0,11
60,0.921413331057438,-3.8009016822311184,-1.3009016822311137,-0.7096299271322375,-0.27979401135059523,-0.1451084019080522,-1.247772259078139,-0.192364597384066,-0.14057965336455733,-0.4220941818135065,-0.34107678750199844,-0.38196094006812614,-0.012393309748350135,0.003564,0.01,0.0,0.97,100,11,0,11
61,0.9220279427758722,-3.8132056028712578,-1.313205602871253,-0.7164515883492565,-0.2825371136862352,-0.14651510954630828,-1.2596580133648434,-0.1941672313111968,-0.14194706504212706,-0.42642872089479156,-0.344520080167049,-0.38569262271612426,-0.012447960552607863,0.003526,0.01,0.0,0.97,100,11,0,11
62,0.9250695205190865,-3.8247560123161466,-1.3247560123161415,-0.7227109251989,-0.2850310171202155,-0.1477871012174075,-1.2707022212673051,-0.19594940308288078,-0.1431323038919747,-0.4302021834756101,-0.3470034412941451,-0.3889990328321613,-0.012507146369662585,0.003489,0.01,0.0,0.97,100,12,0,12
63,0.9248765793657434,-3.8361377203381912,-1.336137720338186,-0.7288376516040327,-0.2875009591070848,-0.1489665598439309,-1.2816328313018088,-0.19766690932809244,-0.14435374368468054,-0.43430509576388854,-0.3505481160878166,-0.3926491987080356,-0.012635661428025127,0.003453,0.01,0.0,0.97,100,11,0,11
64,0.9242421709107325,-3.847327063356077,-1.3473270633560717,-0.7349787818016151,-0.28994188880677463,-0.15023652106019234,-1.2923640624004311,-0.19929948140982426,-0.14561064177514388,-0.4382099047959513,-0.353693098183257,-0.3960353676306624,-0.012691737229345126,0.003417,0.01,0.0,0.97,100,11,0,11
65,0.9243875390664381,-3.85814420850181,-1.3581442085018038,-0.740883005589192,-0.29226296447575967,-0.15151156144670605,-1.3027619798522345,-0.20095746940872108,-0.1468857699486517,-0.4413187125226448,-0.35679159897403623,-0.3989418983300409,-0.012851895958526713,0.003382,0.01,0.0,0.97,100,11,0,11
66,0.9208587206472296,-3.8703811981247087,-1.3703811981247018,-0.7474668005897289,-0.29492565093626777,-0.1529027711634292,-1.3145492497345839,-0.2028484472120816,-0.14833224621482716,-0.4451257316282397,-0.35898589996142366,-0.4020512489507158,-0.013014285917193206,0.003348,0.01,0.0,0.97,100,12,0,12
67,0.9263976517426364,-3.880702511430133,-1.3807025114301252,-0.753026690097929,-0.2971021334995474,-0.15405104978641965,-1.3243749990502711,-0.20441713652106416,-0.1495011329376218,-0.4482349943777316,-0.36135565789000373,-0.4049533947169726,-0.013042681063911123,0.003315,0.01,0.0,0.97,100,11,0,11
68,0.9238245513907307,-3.891705848153255,-1.391705848153248,-0.7589397384503543,-0.2994322250216891,-0.15528604744758992,-1.3348568746023832,-0.20601116131864344,-0.15071554204935084,-0.45211715566685373,-0.36419104859019064,-0.40816564241221226,-0.013254935506696588,0.003282,0.01,0.0,0.97,100,11,0,11
69,0.9205034946281615,-3.9029801744904025,-1.4029801744903958,-0.7651188841238952,-0.30193494055478,-0.15654862419881552,-1.3457350887965702,-0.20786360824474778,-0.15206394823303498,-0.4565002986304898,-0.3669036889302827,-0.4114605235805201,-0.013345676340975844,0.00325,0.01,0.0,0.97,100,11,0,11
70,0.9230587640165248,-3.913879194782282,-1.413879194782275,-0.7710860571199544,-0.30431441563517725,-0.15778085695808006,-1.35616661361713,-0.2095613852971668,-0.15333397453521097,-0.46044944699332085,-0.3695290255572279,-0.41467113987438486,-0.013463306750705816,0.003219,0.01,0.0,0.97,100,12,0,12
71,0.9269320138412932,-3.9239602487954426,-1.4239602487954357,-0.7764603345591145,-0.30643543079754715,-0.15884870519974914,-1.3658267990903876,-0.21113030576643183,-0.15442095985955023,-0.46326361490644574,-0.3719556545009452,-0.4173483030201482,-0.013541840411742471,0.003188,0.01,0.0,0.97,100,11,0,11
72,0.9262256626788646,-3.9338387350364217,-1.4338387350364141,-0.7818735084149785,-0.3086240066917304,-0.15990681705282575,-1.3753832280657459,-0.21271463575963548,-0.15546818892739822,-0.46654058411487215,-0.3751340005027217,-0.420325126876628,-0.013857397808333512,0.003157,0.01,0.0,0.97,100,12,0,12
73,0.922804771210998,-3.944245799242552,-1.4442457992425444,-0.7876534135633071,-0.31100379993068855,-0.1610610077450323,-1.385406818157669,-0.21437369013938587,-0.1566198794088967,-0.4706213970069895,-0.3780351806680556,-0.42365394066767925,-0.01402852759973994,0.003128,0.01,0.0,0.97,100,11,0,11
74,0.9274980137599946,-3.953532536292164,-1.453532536292156,-0.7927228968855967,-0.3130326075600249,-0.16210748087402613,-1.3943864450699484,-0.2158048456779153,-0.1577858357815176,-0.473263341228362,-0.38073464973612836,-0.4262163755162737,-0.01406208716825726,0.003098,0.01,0.0,0.97,100,11,0,11
75,0.9270444519850696,-3.9630657387616606,-1.4630657387616524,-0.7978718718377957,-0.31507093204013814,-0.16313410369348927,-1.4035191814725712,-0.2172455037357851,-0.15889925632207008,-0.4766950162738399,-0.3838050275065605,-0.42918644931237326,-0.014137891834081479,0.00307,0.01,0.0,0.97,100,12,0,12
76,0.9255554045791154,-3.972510294873536,-1.472510294873527,-0.8031173031979822,-0.3171461458465637,-0.16425093397409457,-1.412715042705584,-0.21871132590171788,-0.1600092365948607,-0.4797766436754879,-0.38594392110522535,-0.43176942839739174,-0.014158381209373471,0.003042,0.01,0.0,0.97,100,11,0,11
77,0.9186104715186705,-3.983384403057601,-1.4833844030575916,-0.8091310217823544,-0.3195747466877503,-0.16546519135742563,-1.4232861228504223,-0.2204260209861709,-0.16127202869908622,-0.4834247345972853,-0.389286446722428,-0.4350160905278275,-0.014210166934657166,0.003014,0.01,0.0,0.97,100,11,0,11
78,0.9297122990880233,-3.9921764142640295,-1.4921764142640206,-0.8138085530451967,-0.3214686199117467,-0.1663758591290776,-1.4316985745616992,-0.22184344654606605,-0.16219634107144576,-0.4860060337669204,-0.3914125585553422,-0.4374532449086463,-0.014223784409472985,0.002987,0.01,0.0,0.97,100,12,0,12
79,0.9234245714188627,-4.001717331835957,-1.5017173318359491,-0.8189637884858262,-0.32356478797017857,-0.16742973927559376,-1.4408347753517103,-0.22340590204312535,-0.16330056799539616,-0.48961479674608366,-0.39445349514329126,-0.4404084551431711,-0.014268096767738008,0.00296,0.01,0.0,0.97,100,11,0,11
80,0.9247674691917666,-4.011000692657964,-1.5110006926579564,-0.8239254658270649,-0.3255762843225399,-0.16836596477367058,-1.4497497833514295,-0.2248798566415593,-0.16431894527014598,-0.4934339889134825,-0.3971978388369654,-0.4436479382792582,-0.014396494346757022,0.002934,0.01,0.0,0.97,100,11,0,11
81,0.9262634770889487,-4.020129013158678,-1.5201290131586718,-0.828850226274286,-0.3274869101468974,-0.16933626039450209,-1.4584342308917955,-0.22625304975281169,-0.16525873912296005,-0.496360502542664,-0.39950356198777703,-0.44626837765429905,-0.01446310605852132,0.002909,0.01,0.0,0.97,100,11,0,11
82,0.9224121957382296,-4.029667635490812,-1.5296676354908048,-0.8340739031877884,-0.32962555565246415,-0.17040704074306884,-1.4676538920133035,-0.2277972237190449,-0.1664488281479082,-0.4997311376261179,-0.40190328199758096,-0.44894465271707845,-0.014457501653829564,0.002883,0.01,0.0,0.97,100,12,0,12
83,0.9217667630640931,-4.039171666855451,-1.539171666855444,-0.8393118340842762,-0.3317841176933345,-0.17141906157204428,-1.4768502848225442,-0.2293119662345622,-0.16747773974864646,-0.5033428834116532,-0.4040329395290461,-0.4518561159313948,-0.014549529559774932,0.002859,0.01,0.0,0.97,100,11,0,11
84,0.9268385896115118,-4.047866237823959,-1.547866237823951,-0.8441008091658699,-0.333702954833324,-0.17237835732129805,-1.4852206215379489,-0.23058688166496083,-0.16841060493761328,-0.5060220434804268,-0.4063055804956049,-0.45424962788656453,-0.014647676143019456,0.002834,0.01,0.0,0.97,100,11,0,11
85,0.919295460686301,-4.057739127976138,-1.5577391279761315,-0.8494383999944111,-0.3358721422086197,-0.1734384073037896,-1.494630688036214,-0.23213751140010466,-0.16945690200742047,-0.5095438672226902,-0.4087982599601013,-0.4572078593014731,-0.014773022726748155,0.00281,0.01,0.0,0.97,100,12,0,12
86,0.9294283338706667,-4.06557823296246,-1.5655782329624541,-0.8536565830087782,-0.3375723222884176,-0.1742490881307232,-1.502174943667044,-0.23332982464757854,-0.17032018527388454,-0.512437187607519,-0.4103886367350968,-0.4593228550550581,-0.01487308528147359,0.002787,0.01,0.0,0.97,100,11,0,11
