episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,time_of_day_fraction,multi_horizon_starvation_risk
0,0.890392749244713,-2.438421521143773,-1.8625892625005187,-8.556148215823793,-4.984045637275337,-3.002026885986222
1,0.9426351412875223,-6.148722631210679,-4.6470386624521804,-23.055451456530697,-13.437161135841961,-7.7420843143081255
2,0.9384471412183784,-9.163740908128869,-6.863082542147327,-35.80753204051656,-20.72562651237876,-11.698983390833305
3,0.9403034800254414,-11.752243813008949,-8.752040790913822,-47.36839927463803,-27.52313138907085,-15.178157613858335
4,0.9407352284566156,-14.064793931752591,-10.423244395994693,-57.99233404938398,-33.70150772298339,-18.309829206572456
5,0.9396199182102478,-16.10347134171999,-11.892649514003434,-67.37177753931222,-39.185655987472636,-21.08590189018476
6,0.9362949531580538,-17.952207040659925,-13.212295000430611,-75.84198660730453,-44.116959596287046,-23.59682028364322
7,0.9402790810303598,-19.566855649411803,-14.372465265598741,-83.14342404598453,-48.379105369709514,-25.79397365645506
8,0.9429686785202355,-21.113199475772277,-15.470662166217855,-90.06143292230117,-52.38303317396163,-27.892351892634842
9,0.9372447424565681,-22.506596501487536,-16.452390101473952,-96.19369563559067,-55.92162396323141,-29.781314069050154
10,0.9325044937088076,-23.800670629065618,-17.358268562639918,-101.72460081468688,-59.063148838427104,-31.515925210406635
11,0.9396041685437126,-24.974525517705825,-18.177207058686324,-106.68717390555071,-61.868058216222146,-33.09609666557083
12,0.938181168483116,-26.110095875609264,-18.970653158291267,-111.56883322493691,-64.68420171756229,-34.629394243316895
13,0.9403390239488448,-27.176198580222415,-19.711382803504527,-115.94291217178777,-67.21544382699997,-36.057061613823976
14,0.9435131413518529,-28.100326102998714,-20.352731547866803,-119.6283445890474,-69.34379764302112,-37.28663781479232
15,0.9350525024680647,-29.048267356593826,-21.003762428874186,-123.37183065903346,-71.53090326682111,-38.54347190833852
16,0.9342105263157895,-29.883479547916696,-21.57243195709011,-126.4912732742299,-73.30430505575531,-39.63566534860116
17,0.9391089407367216,-30.680121808066676,-22.114558019478995,-129.34579939212844,-74.88038720613307,-40.66264961243683
18,0.940638993101779,-31.423338391402048,-22.62035760409552,-131.9637155258599,-76.36284983616,-41.62112977054168
19,0.9424004367739391,-32.08842052191543,-23.068462927846426,-134.1929900322636,-77.55702352775381,-42.471672784781425
20,0.9399003840614498,-32.73919915695166,-23.51305249371816,-136.43921666797598,-78.76237565938665,-43.31222741717611
21,0.9392083509322392,-33.40985812084622,-23.964303952807644,-138.79292921364782,-80.08934900926609,-44.18476167811658
22,0.9388298677320742,-33.98084646030594,-24.346672915939912,-140.61733354605352,-81.09051356400772,-44.90930709796154
23,0.9367199540660602,-34.56383829883377,-24.743002966881704,-142.54617567656533,-82.18940946639148,-45.660115215691945
24,0.9377268500464949,-35.122119164277926,-25.12297743105761,-144.35131043598724,-83.19426035354049,-46.375801489603965
25,0.9344208222135596,-35.648369420482396,-25.476292615716346,-145.98546788905952,-84.0982322472068,-47.046617373761606
26,0.9356745996375196,-36.132397567254294,-25.796634195483445,-147.33144482048664,-84.85749289385203,-47.65073780321903
27,0.9419779823136618,-36.62349980808372,-26.129364894128955,-148.76206076506537,-85.67771464773567,-48.27126771004585
28,0.9420751879699248,-37.03537119671715,-26.408259680944486,-149.78223451373896,-86.24648300246739,-48.77810125133993
29,0.9354126908396947,-37.44577921020094,-26.690937108049695,-150.81908599620812,-86.81070108341338,-49.28695918640979
30,0.9391432248575106,-37.86222599561299,-26.974219743304523,-151.98113563227204,-87.43738806637761,-49.812147567477844
31,0.9374773468648061,-38.21594863237697,-27.20936919936054,-152.75593358215346,-87.83684362658086,-50.23385888432851
32,0.9440478721788524,-38.599081086915,-27.463984651869435,-153.700130310288,-88.35665369613439,-50.70122153092792
33,0.9371590400953942,-38.92501535441264,-27.67816791130075,-154.3148816924891,-88.6864594788709,-51.081659941242094
34,0.936771797406176,-39.268651036636015,-27.909951569630202,-155.17395730880602,-89.17995241129239,-51.50867265570174
35,0.9354253033558265,-39.58587154480532,-28.125018284393384,-155.86482629080575,-89.55570130021046,-51.89014864337184
36,0.9370639929936883,-39.93484857021556,-28.361629485620792,-156.80615062173823,-90.10970067466626,-52.333500806630056
37,0.9415412402167369,-40.24117927776639,-28.568302310883947,-157.47874275458986,-90.51224836935175,-52.70794576569668
38,0.9417067307692307,-40.52038936815027,-28.75545022695034,-157.94408816127495,-90.7203768588192,-53.02987357185994
39,0.9465450591930418,-40.78416743503199,-28.93139753633495,-158.37592865492402,-90.97728453340986,-53.33665693851723
40,0.9361895803622903,-41.05309967017622,-29.10795407690198,-158.86158433723293,-91.23114672477804,-53.65286316805731
41,0.9424327676437668,-41.320490950272,-29.285894073928393,-159.3982565218052,-91.54207754490317,-53.97150728631271
42,0.9384842816629457,-41.55421928832351,-29.43458629507042,-159.70981814927697,-91.70082150277027,-54.23425989655649
43,0.9409837060412052,-41.78969057549836,-29.593598290522376,-160.10097650990207,-91.90154588114609,-54.508243889373105
44,0.9397043488928418,-42.02509466002349,-29.75671923510726,-160.56687903843124,-92.1602363137578,-54.797166309290304
45,0.9356817909733031,-42.24750070845158,-29.90784628013219,-160.90946341802274,-92.31728231257237,-55.05435675711215
46,0.9420686373639445,-42.44482399257504,-30.038846337739432,-161.13574174578147,-92.41108163468324,-55.278659598111915
47,0.9440654843110505,-42.63763433201344,-30.16822520508749,-161.35618256593057,-92.55428666248216,-55.497544196860346
48,0.937501895260333,-42.8065539233999,-30.27564675367911,-161.41388163074473,-92.55460081939657,-55.67389204140251
49,0.9356597600872409,-42.99520288804018,-30.4027054285214,-161.62724437908574,-92.644110989168,-55.887968876521825
50,0.9391074697638127,-43.18270015997673,-30.528843210762947,-161.868592692902,-92.75822157189322,-56.10535373082263
51,0.9387151310228233,-43.35830187616062,-30.646770732873005,-162.09635897480348,-92.89331772479495,-56.313370365190714
52,0.9400674432863274,-43.5189572770201,-30.752802041856647,-162.23658357035026,-92.96270168823301,-56.49549339128923
53,0.9373525635283227,-43.6681991107923,-30.849556710059947,-162.30025081785462,-92.9892617784623,-56.65948158974831
54,0.9346879971185881,-43.807957445445844,-30.941712258612043,-162.28098807662576,-92.96522173463411,-56.802763178204856
55,0.9396977405356876,-43.98458682408765,-31.057550196768904,-162.55400406168116,-93.1059800660403,-57.00962368808931
56,0.9378216383120421,-44.1293492228643,-31.151828036916957,-162.63634251818507,-93.13611864998101,-57.16705777621904
57,0.9361759025404843,-44.27520626971449,-31.24670093074804,-162.73373954105617,-93.19134321366019,-57.32919664796025
58,0.9365516415766318,-44.42836770390648,-31.34490943745344,-162.90345934500328,-93.30562171887462,-57.49885535700643
59,0.9341839959071895,-44.564170449455354,-31.434177319313733,-162.96728440535315,-93.35814446038626,-57.645274428299324
60,0.9347437425506555,-44.70080059419824,-31.524459420459642,-163.08262822297954,-93.4286581687041,-57.79622385560991
61,0.9399773161413563,-44.84201082038957,-31.618453138359342,-163.25278727650593,-93.53240533771401,-57.95709486997145
62,0.9333556801560214,-44.99405778827214,-31.720770922219486,-163.49896868381427,-93.69171576590135,-58.13728749830405
63,0.9393505253104107,-45.11288675887883,-31.797323797073304,-163.5495646151062,-93.71795332783783,-58.264309484928624
64,0.937263336463603,-45.236604655972535,-31.876729515103687,-163.64298296032524,-93.76497886525881,-58.401658132627375
