episode,service_level,bias,rebalancing_imbalance,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9328883820767373,-2.535310571900757,-0.01784345656280275,-0.005508352542047669,-0.0038088941108071596,0.01,0.01,0.0,0.97,100,15,0,15
1,0.9359242117926183,-2.5669447617944527,-0.033241794706554195,-0.010278887420419715,-0.007194633005543897,0.009708,0.01,0.0,0.97,100,14,1,15
2,0.93204176372991,-2.600779021013318,-0.050281859946257106,-0.015428547754209909,-0.010875996299777903,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9364444370051721,-2.6313523509953596,-0.06562975385722322,-0.020077081046028306,-0.014085177783378805,0.009172,0.01,0.0,0.97,100,14,1,15
4,0.9337520091467961,-2.6626307006316465,-0.0809444755682621,-0.024676595640631963,-0.01729195154495138,0.008925,0.01,0.0,0.97,100,14,1,15
5,0.9344522909066568,-2.690452273078665,-0.09480372107709713,-0.02884340704638927,-0.02015582159426935,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.9310777991792982,-2.7209533956783147,-0.11019039402171978,-0.033317474376072416,-0.023420840706951006,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9292695130086724,-2.7518655161460503,-0.12570171046788825,-0.0382875175985423,-0.02681670297700694,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9315398446246226,-2.780450891150676,-0.1399797706740738,-0.04325043518540138,-0.030185479498799555,0.008059,0.01,0.0,0.97,100,14,1,15
9,0.9305025792683952,-2.808773286434557,-0.15402423415023617,-0.04786078686565214,-0.03342389605594991,0.007868,0.01,0.0,0.97,100,14,1,15
10,0.9260659207741155,-2.8375127154834554,-0.16857311406147937,-0.05232843202011934,-0.03661263611047118,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9348341830296301,-2.8627068971320226,-0.18099921204766026,-0.05626193803098407,-0.03942020799220534,0.007513,0.01,0.0,0.97,100,14,1,15
