episode,service_level,squared_starvation_penalty,squared_congestion_penalty,work_ratio,imbalance_concentration
0,0.9023082650781832,-13.849530421789982,-9.74111622707039,-53.9620761860589,-2.271906235775085
1,0.9274303970789594,-39.411885535240515,-27.545883645560487,-156.57002826638754,-6.577675316532495
2,0.9322470496615348,-51.54099632691762,-36.02001301111541,-201.8461512815206,-8.396831287090944
3,0.9350003016227303,-57.78775838561251,-40.355945119531654,-221.58175577537443,-9.11601039222488
4,0.930060102263553,-62.34489455565361,-43.556403046601176,-233.07746055078624,-9.51210069927775
5,0.9388522764888206,-64.4180578094288,-45.20785718759947,-233.7012515301831,-9.418326337970267
6,0.9330696866199293,-66.00032529362207,-46.41246219805684,-233.25061652333162,-9.315363594181697
7,0.9381335946831644,-67.41096375766551,-47.555797640633195,-230.93709622627276,-9.105180862882198
8,0.9376145667847977,-69.10202712213854,-48.836238639809295,-231.18941902474776,-9.011807398596824
9,0.9337635455984414,-70.94117745176177,-50.162719233603184,-232.1059946760453,-8.95818174963673
10,0.925576551108466,-72.790960539972,-51.48641032142537,-233.76191514849197,-8.94498276879269
11,0.933452204660159,-74.42467999356505,-52.594834831340215,-234.18874501965522,-8.878552169168396
12,0.9327691023959948,-75.42544196160827,-53.20880681274375,-231.0335163520303,-8.67314846933136
13,0.9280745266469058,-76.64916174078873,-53.96865687466398,-229.04844223817742,-8.539275317232232
14,0.9391322662173547,-78.80578391890599,-55.39201880069033,-232.01731733496325,-8.61328901481796
15,0.9394456928838951,-80.37186835169935,-56.38865943176492,-231.4008701893467,-8.528474081872021
16,0.9384093113482056,-81.44739522963047,-56.97992362820328,-227.8641802696836,-8.309615740722824
17,0.9291399612460873,-82.9781681922812,-57.99486266303809,-227.97430726621303,-8.256706818521705
18,0.9297544433342417,-84.71454133728942,-59.05223145105076,-229.18683457340907,-8.236530952794224
19,0.9407977859334576,-86.25910894573377,-60.01074121313189,-228.93302445081474,-8.165367609555975
20,0.9289575289575289,-87.53162947169325,-60.751295852979716,-227.50475580455492,-8.020489384876571
21,0.9324478292156393,-89.22634274063716,-61.88315891593671,-229.65012412211166,-8.070128975998154
22,0.9301277459407832,-90.37286929371095,-62.61799773958481,-228.33469121647164,-7.965739156349872
23,0.935116123946395,-91.8516000753641,-63.6197606318717,-229.5862127438588,-7.979369766964048
24,0.9256698099086963,-93.06262313571692,-64.3349163816362,-228.5901842254959,-7.884143783784292
25,0.9358343645308302,-94.28413480279207,-65.11276317863216,-227.91335321534888,-7.810789934156414
26,0.9364836023687138,-95.19107708271838,-65.60384707689043,-225.31571584353014,-7.65016320470733
27,0.9324007906340277,-96.8378218944724,-66.70721586898611,-226.78987426974706,-7.663729963091392
28,0.9309036594473488,-97.8937905992213,-67.31677429804613,-224.72669015478704,-7.5109497178864935
29,0.9282929924757501,-99.09764223082331,-68.07449709850671,-224.07898585965577,-7.43554748452499
30,0.9330599848139711,-100.61545646456793,-68.98113883166528,-225.1674330406843,-7.433550197135294
31,0.9350744002429395,-101.99186778740533,-69.87161663692908,-226.5624048914683,-7.439804963289044
32,0.9355607871544127,-103.07035891277565,-70.48469651232219,-226.37053481555856,-7.425963356204955
33,0.932241250930752,-103.81524272320627,-70.91717260250914,-223.50108072357492,-7.246626817184883
34,0.9319846320086445,-105.15123102545485,-71.69127052840152,-224.04816835622492,-7.2392144661548725
35,0.9320026453435941,-106.39888906502829,-72.4476542870763,-224.04632125108955,-7.200334885809596
36,0.9371675531914894,-107.7293516944054,-73.2525460457802,-224.86370941766666,-7.188286240535956
37,0.9323962315263522,-108.69529407356104,-73.86012802752505,-223.9532312141177,-7.115497139163664
38,0.9302697966705943,-109.7049055715635,-74.40061064303646,-223.02723255767924,-7.03997022008605
39,0.9394151052263962,-110.85656463312058,-75.12667021890613,-223.76006903428927,-7.051082494476972
