seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9502,400.8614,2190,810,60282,58092,58092,247,42,209,247,247,244,7377,7621,0.0157,0.0328,0.9514,0.0078,0.0222,0.97,6,17,204,232,209,244
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9504,397.9784,2163,817,60062,57899,57900,210,42,194,210,210,201,7576,7797,0.0079,0.0329,0.9593,0.0091,0.0209,0.97,7,16,196,197,194,201
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9465,398.5528,2381,798,59410,57029,57032,231,42,226,231,231,224,7270,7503,0.0157,0.0288,0.9556,0.0039,0.0235,0.9725,3,18,221,221,226,224
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9538,397.4841,1982,765,59520,57538,57539,256,42,205,256,256,242,7365,7614,0.0105,0.0276,0.9619,0.0078,0.0261,0.9661,6,20,204,250,205,242
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9527,397.9454,2025,762,58938,56913,56909,222,42,200,222,222,212,7567,7789,0.0105,0.0316,0.9578,0.0078,0.0169,0.9752,6,13,198,204,200,212
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9506,398.6205,2009,926,59402,57393,57392,234,42,203,234,234,241,7420,7661,0.0132,0.0448,0.942,0.0052,0.0248,0.97,4,19,199,220,203,241
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9447,398.1218,2423,874,59646,57223,57223,201,42,224,201,201,194,7551,7759,0.0106,0.0317,0.9578,0.0092,0.0317,0.9591,7,24,224,200,224,194
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9492,397.6382,2003,1002,59136,57133,57133,238,42,206,238,238,225,7230,7475,0.0131,0.0327,0.9542,0.0026,0.0235,0.9739,2,18,198,225,206,225
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9541,398.1698,1983,744,59402,57419,57418,233,42,202,233,233,221,7419,7660,0.0143,0.0261,0.9596,0.0039,0.0235,0.9726,3,18,196,232,202,221
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,3,18,0.9524,399.6014,2014,832,59852,57838,57839,214,42,225,214,214,205,7489,7688,0.0119,0.0264,0.9618,0.0104,0.0247,0.9648,8,19,225,206,225,205
