episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,projected_starvation_risk
0,0.8905503820439351,-9.501804222084385,-7.006071934753624,-35.468184382024276,-2.088995694107342
1,0.9351846292404683,-25.73903320498219,-19.14882584727068,-97.12864180269315,-5.362846200189174
2,0.932145656236812,-33.63234501902463,-25.224911819513995,-124.78233862592096,-7.071282534764866
3,0.9415043470358365,-38.29212106052107,-28.91717688905765,-139.75511280576478,-8.113997293204326
4,0.9282935296582271,-41.14974769914257,-31.165623939984467,-145.8781395808038,-8.78034360895803
5,0.9333372732108032,-43.5961456899527,-33.132959704019015,-151.43025497051087,-9.392690420666323
6,0.9402411109415535,-45.36664004730837,-34.62674587613835,-154.05545131455602,-9.873219944548637
7,0.9319847990663993,-46.90564787110598,-35.98334006191381,-156.0402152392218,-10.25785637186603
8,0.9281588447653429,-48.18618306426667,-37.28725376891236,-156.90342792865508,-10.615408577412579
9,0.9388657009575252,-49.42366067059381,-38.552483778134935,-158.02087670604195,-10.921057149618939
10,0.9274268988201213,-50.552791781200646,-39.837815167634766,-158.56812769063797,-11.171387511012108
11,0.9308823081839486,-51.49351653129233,-40.95133168953535,-158.35092663855804,-11.358722750232996
12,0.9299624906226557,-52.64464748055409,-42.18343949291682,-159.27199962565888,-11.60231482116282
13,0.9320940704006815,-53.449478267653376,-43.11524839534999,-158.60795159526683,-11.7250483696781
14,0.9349132075471698,-54.12707887703392,-43.95070357308237,-157.0718919681162,-11.91789828659562
15,0.9287004697097435,-55.17959082639427,-45.07664626810156,-157.65775287648282,-12.161461378095336
16,0.9306762257731332,-55.873852637917146,-45.84323698630513,-156.48346960738417,-12.358816448879844
17,0.9273141623436985,-56.61880443643853,-46.773110342846536,-155.96657238440446,-12.467675988829695
18,0.9302381597567217,-57.55530358616242,-47.69723724958667,-156.41241689465485,-12.640894191772983
19,0.932179324512114,-58.30897501764619,-48.537696295891166,-156.27395703792473,-12.752829137484435
20,0.9367013018034157,-59.09846446766842,-49.3424743078455,-156.2222013007239,-12.953651375845647
21,0.9348662458671476,-59.615611621970004,-49.9869948296004,-155.21830457562896,-13.092431143971162
22,0.9374848851269649,-60.25251337078156,-50.63982278689013,-154.48163723103877,-13.251301615466287
23,0.9331118559606086,-60.90001890330846,-51.37489694372235,-153.81639837165565,-13.418689972240088
24,0.9321121337905311,-61.81580373382212,-52.25204762747728,-154.6187459229077,-13.62919999831974
25,0.9336201411821735,-62.27250576625738,-52.85857103085739,-153.4496516872933,-13.77005148825688
26,0.9317178632555626,-62.93182400762091,-53.58296845906654,-153.18788233844927,-13.937946585848607
27,0.927780785658425,-63.783607499043015,-54.480423659472756,-154.53515029081765,-14.071767860007455
28,0.9339928003146081,-64.31254098931821,-55.085958713691596,-153.7326723706724,-14.218474312216243
29,0.9294419499679282,-64.75698954348864,-55.573991824650854,-152.59288741629223,-14.39543748257614
