episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,imbalance_hotspot_distance,starvation_count,congestion_count,hotspot_imbalance_mass,projected_starvation_risk,projected_congestion_risk
0,0.8965496603525152,-28.5637549679959,-12.866428053030697,-9.26072954026422,-11.714307083179193,-8.284645688792128,-49.82479061572943,-48.173119817500144,-8.315827852564254,-7.890186268157214,-4.747653689658959,-8.56709319104678,-1.5187251933135733,-0.8531941303883456
1,0.9338023470903963,-48.85805990417287,-22.348938323117714,-15.88931524377459,-20.33249849669122,-14.209227767937882,-81.99763371651109,-78.19385970292318,-7.000426086941837,-13.781200664637733,-8.09833512755717,-13.908009546954235,-2.378087420136546,-1.5625440944909232
2,0.9306441469769113,-51.80795276072028,-24.250687452423637,-16.687999106757005,-22.001418683105946,-14.859223427495182,-81.17429831050399,-75.64044899623974,-3.1584082117443906,-14.581424115616203,-8.274637100808764,-13.439237509656687,-2.3982412203861836,-1.8086296457162143
3,0.9280168522419501,-54.53373676691769,-26.038754366619322,-17.401158503398726,-23.56713037107361,-15.419026799882658,-79.1149891240485,-72.7720050118205,-1.6919485318128276,-15.275813400506912,-8.401815278350009,-12.736715287690462,-2.381222697254969,-2.0657921569161855
4,0.9337344015248533,-58.3827752336877,-28.455910155507,-18.031820758132888,-25.6585526671812,-15.836845588879372,-80.57380406941927,-71.60548803221386,-1.349047216370118,-16.11056450601866,-8.033529889709019,-12.884440627432069,-2.363411901258026,-2.2913999638904783
5,0.9374924471299093,-61.25018447401905,-30.081259533656578,-18.382640532870695,-26.98487248987651,-16.00541762271631,-80.21014790701956,-69.21777720293119,-0.31365425673557207,-16.312949867415927,-7.566555932639958,-12.91326274676096,-2.292551177637405,-2.432134023923652
6,0.9291086142322097,-64.83056189911592,-31.931417536810017,-18.896598555631645,-28.49704036409338,-16.305395806139924,-81.95651129112815,-68.19985921373622,-0.049064675651688455,-16.53294246035755,-7.092099711565724,-13.402602964483245,-2.3077492799116275,-2.5619769651981317
7,0.938753959873284,-67.09281359257477,-33.302373793990306,-19.115703111292397,-29.621234611680315,-16.366401262227317,-81.28212981438573,-65.4314869055944,-0.38291752409950947,-16.775448852581274,-6.578385934798602,-13.502302063594692,-2.3414376645043857,-2.6771649649913587
8,0.9353302381308971,-68.72488599126233,-34.437158207710254,-19.010846070892345,-30.524019502427535,-16.11390933927063,-80.27135862345457,-61.262625203386094,-0.0027667432848071626,-16.681471996170323,-5.797968235684852,-13.513976526145457,-2.370348784688675,-2.728167409790629
9,0.9347716712539584,-71.65894031130506,-36.18451240108082,-19.316523920532596,-31.98923104205397,-16.267626669660462,-81.63377804199659,-59.289849814140474,-0.36702024125135124,-17.05116966971134,-5.372092178507071,-13.837208262761733,-2.33436702300035,-2.8088195729624235
10,0.9438422161999398,-73.5460275401803,-37.18633590193236,-19.32018952906671,-32.739661208311446,-16.13752584910183,-80.48199733248863,-56.83995060049737,0.0,-16.719160740363417,-4.771728975016753,-14.052912328090672,-2.3100573260981343,-2.8840500209132913
11,0.9385733757383008,-75.3467851923762,-38.15661846374655,-19.294291128149236,-33.46655474919921,-15.989968674956774,-79.7842679725037,-54.19874311519484,-0.25676937635570546,-16.48027258404563,-4.234621748436219,-14.320811166466207,-2.3296283932984045,-2.9715124714956773
12,0.9393011152416357,-78.67382274073077,-39.87459200385935,-19.734348737714726,-34.901248716516584,-16.247479156586753,-81.88040809604624,-53.965466473472695,-0.38170377840862885,-16.79584025747145,-3.858269740728346,-15.004166543983825,-2.422485723192403,-3.1077003703129726
13,0.9351042966660724,-81.56383835124807,-41.2287745813433,-20.173070029947933,-35.96001965631287,-16.490201384573137,-82.49649988969887,-53.83904430701313,-0.43350282103860505,-16.75581923186909,-3.415287400498922,-15.530353884983043,-2.431804724028467,-3.233897121215089
14,0.940597942498567,-83.01331440416305,-41.9447967355084,-20.184519168860085,-36.455063613728086,-16.404887400538243,-80.93623012381272,-51.37679251914491,-0.3975766842330309,-16.369781976327847,-2.9674635806465357,-15.858850175838246,-2.3929352067272176,-3.3535277382351976
15,0.9337056386236714,-82.98433911332161,-42.14111177521117,-19.74296557356968,-36.52134708308499,-15.910947325035265,-76.9878488095856,-46.58610291906109,-0.008698621887700436,-15.860273338272558,-2.3231584287008573,-15.500460831589772,-2.366348522574908,-3.4451401017783807
16,0.9371788398134672,-85.34715461997972,-43.496471720983706,-20.01358862848341,-37.643767338151584,-16.055101699650827,-78.1394531769758,-46.477485261932436,-0.1977022405851451,-16.012465122916947,-2.0054847806543354,-15.995655807829772,-2.489513419233613,-3.603752668490925
17,0.93505192202587,-88.45644147275411,-45.063196923609475,-20.36078793749884,-38.90147934944135,-16.222903832628802,-81.17260208060374,-47.23557048815189,-0.0904995628777928,-16.01924123791857,-1.493006481503424,-16.970579396518247,-2.572737857538662,-3.7321943717438155
18,0.9432936071566559,-89.4148551197055,-45.72780982477142,-20.130586454460328,-39.3810731213036,-15.8973808724002,-79.4036373980555,-44.00484971425403,-0.17021052512940266,-15.75055727274176,-0.7763415479170152,-16.9719010024494,-2.6190103608713575,-3.859738535499236
19,0.9388875409438311,-91.67506457552112,-46.820716535763836,-20.30618397122782,-40.21227841540041,-15.947552497698402,-80.40487350855162,-44.30220331554203,-1.0629324936350768,-15.567837655085702,-0.3441770305630092,-17.640709035954867,-2.636754528796919,-3.97433657135934
20,0.9394208128191799,-93.43759451929907,-47.648641655637164,-20.315225797652705,-40.798030887273946,-15.837972606650121,-80.26993479173335,-43.48253117997501,-1.231034494181372,-15.18003237959564,-0.0015614151244464746,-18.215347729618756,-2.6127327720411566,-4.112738129838149
21,0.9445365986066291,-94.11210687828316,-47.923018028725096,-20.13865573716512,-40.897539191403354,-15.579494309588254,-78.0624061988747,-41.525745401912815,-0.29021681936026716,-14.554404788589393,0.0,-18.38422276545315,-2.6089186259330535,-4.217652743252602
22,0.9397126885856825,-95.59917222915547,-48.538482576929376,-20.203474687076262,-41.30657082679689,-15.562611295893834,-77.2509823639409,-41.18820275264028,-0.49123006933799973,-14.129387153073521,0.0,-18.84977614138588,-2.6319024532138013,-4.351816061811075
23,0.9422650775588429,-96.7861767422525,-49.0757615876057,-20.195322906607924,-41.650416465581095,-15.492618539151097,-75.91457008233996,-40.41522095743572,-0.6892389848726049,-13.75096999502076,-0.055217233385431906,-19.09858517170183,-2.682072887106788,-4.493026509104914
24,0.9386282669221327,-99.01830053515303,-50.00221773852683,-20.386863063360344,-42.32192594920335,-15.58273116993194,-77.27190868792047,-41.465914833871615,-1.2103291494988848,-13.376214077577146,-0.004804256795731764,-20.006580114792335,-2.7034472327360324,-4.640921644530951
25,0.9308963744507875,-100.4549904304927,-50.634895987547004,-20.35403283430454,-42.75853096349043,-15.477853044305528,-76.82339852998898,-40.49152432390798,-0.7019952421727641,-13.00079257107318,-0.0007401075217559042,-20.520908652754848,-2.768486627103035,-4.784449372192912
26,0.9338927795218546,-102.28843467732521,-51.382795912250096,-20.521765510068587,-43.28823610452109,-15.553715348136238,-77.28109872944088,-40.923182977411884,-0.6994920494526344,-12.62671845834203,-0.01750266095363898,-21.19794506760506,-2.848677396521409,-4.923598916264779
27,0.9375449748141041,-103.62367424925091,-52.104751919670214,-20.538468862313273,-43.81996190382646,-15.510084989182312,-76.90828357259541,-40.39896716523056,-0.555478132315325,-12.39718344948004,-0.025617622360004453,-21.57060192494728,-2.9039950982492595,-5.0682743128974135
28,0.9425762752502548,-105.07084016943882,-52.83850368202353,-20.626743961970288,-44.35272562896862,-15.518159478809347,-76.40976175335868,-39.7856419934928,-0.7003303147159956,-12.129050992034514,-0.003017742988276873,-21.89707385230785,-2.949506543587155,-5.235075500068883
29,0.9441822472318026,-106.36680711525443,-53.39326981875112,-20.529946725055677,-44.71060032685674,-15.3575384735449,-76.54711308124824,-39.219527014014474,-0.4843874376446484,-11.676402520976591,-0.007087872986412404,-22.547445237984796,-2.983654418470279,-5.38382344705452
30,0.9404869251577999,-107.3946757181901,-53.75587042768354,-20.416309136323168,-44.89803928226058,-15.179287411716667,-75.6250000200565,-38.718139939041635,-0.6964861498919718,-11.162225369821765,-0.0020832469860135863,-23.06665579507703,-3.0315316340636764,-5.50116475697036
31,0.9351292909271105,-109.85399281445476,-54.860014880500344,-20.736293296818726,-45.74900994632446,-15.386810808838591,-77.71920462336774,-40.69712379850938,-1.0036490617025184,-10.964599949246146,-6.0628836958606224e-05,-23.985283700577178,-3.1035800538536367,-5.644293755216651
32,0.9406909385598944,-110.05143463347616,-54.94092853350604,-20.437720760549688,-45.69974074799138,-15.064758081208971,-75.38170386681361,-38.748884897699135,-0.9516318355550825,-10.348885310877636,0.0,-24.168601423117238,-3.112463314544075,-5.747194694760772
