episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity,starvation_severity_max,time_of_day_fraction,multi_horizon_starvation_risk
0,0.9170291168297693,-18.45795471086381,-11.826668752814856,-6.772258643886434,-9.682730125031576,-0.7013032363624183,-5.088759685397567,-58.4391123627834,-27.109546758264248,-21.014096565854775
1,0.9135067189417293,-28.014295592335262,-14.60965737075509,-5.411697875429389,-10.880873864878753,-2.4496619593551725,-6.185641005583928,-70.85390096562683,-36.98409593940174,-28.3614557077677
2,0.9161560981498807,-34.430437355514556,-20.394027314119107,-9.777203534051528,-11.415882679205957,-4.149456803709861,-8.42916722096104,-76.26039834966653,-42.4439959796892,-34.988025076810835
3,0.9107062325245783,-34.429227021985895,-19.905416444253188,-10.813061522460504,-12.642207813349206,-6.65715202469541,-9.78555311887291,-81.40957566018204,-51.11589803996435,-36.2090283017282
4,0.9085765336509828,-35.56386846540605,-18.46886766704593,-5.192826244975938,-9.83607653679297,-6.262620030951637,-11.295703288881981,-56.93026159230229,-44.27059247383273,-34.697805283381214
5,0.9130968831567634,-48.49393939265257,-22.36007158432502,-7.603335798032436,-9.755332135176682,-6.103308400244899,-11.921257700452635,-61.19289229161888,-49.76425466870694,-43.78854853539523
6,0.9150134048257372,-48.68088577828279,-19.823988785400893,-4.946887609092605,-8.028585552223825,-8.38532088537401,-12.014146372888849,-27.133155662840377,-31.139768461353487,-38.256235986750085
7,0.9146755645593756,-51.964477901585,-22.543195625421188,-7.046270816665172,-7.517935610822179,-10.894291686060733,-12.416799547709644,-42.567742137623924,-44.704932063913034,-42.95280921627493
8,0.9247651761558805,-44.58712383145663,-21.49947316305357,-7.712106203188715,-1.4598275860322345,-11.854041718264778,-11.670125454732405,-14.44176322885187,-33.05352011508197,-36.1742532463651
9,0.9181729060719319,-52.874317290388376,-28.16320890064619,-8.085595419308676,-5.884641413067542,-11.460756319379993,-12.716539519382259,-59.3435206357532,-59.78603363556157,-49.152805218564076
10,0.9146599196308974,-48.02253815376289,-31.757912215491544,-2.9976924778466922,-4.066670698237787,-11.413113015134586,-13.453804062601955,-42.69464834492915,-39.37086199551312,-47.12258839688631
11,0.9206924680503943,-51.088898118378445,-35.466958317976186,-3.2592213130822096,-6.344604198097603,-11.855803036863964,-14.319051102676129,-30.069308526922857,-46.921125169230294,-48.081639493968424
12,0.9248335492423101,-47.04062678217411,-38.135035018027104,-0.5394176474234204,-4.641848564777325,-14.700366719666095,-16.062960300517112,-8.012319647354035,-20.563066063821346,-45.17159242008836
