episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity,starvation_severity_max,time_of_day_fraction,multi_horizon_starvation_risk
13,0.9150872329526621,-47.14223248320005,-40.0893815477836,-4.441043242992522,-3.198968360017393,-14.1082251156809,-18.264474626946253,-14.400182713400488,-47.36091144055717,-44.630783045957706
14,0.9225931889297323,-48.25195715287897,-38.93142898083141,-0.36527497461130154,-0.48661179046032177,-13.854327147928073,-19.65482940628987,-2.330443137047488,-41.367213471955246,-44.518146306735346
15,0.9195286594031264,-54.314987426513305,-43.32831873768796,-3.9624110547650986,-1.9528026429660987,-16.334454456314198,-21.423619956267697,-18.262709735488205,-49.64880188814897,-53.52325113755254
16,0.9253007721314419,-54.87256794625586,-43.63082963613678,-4.057069638943336,-2.571826168798753,-15.514565946955798,-22.210820108638973,-17.491301686879012,-46.883092322818484,-53.7086033006388
17,0.9098046266331056,-57.39525911072114,-46.77081000304213,-7.196638847544366,-2.9930647675997593,-14.338558861684568,-20.391146283930585,-38.487764446466386,-60.74498906563717,-58.99910126906693
18,0.9114990787446764,-56.92240264296319,-47.6954705396929,-6.005624486546065,-4.727776139243002,-17.00614678278297,-20.36970343145329,-16.85978048027651,-48.473033945832846,-56.41946180085745
19,0.916606628242075,-56.199401050168355,-47.71699901667469,-5.647564729305724,-1.1424142570975644,-18.853179684065164,-20.742167742800408,-7.197050670959345,-42.908896148336915,-55.61627038485958
20,0.9214117504981583,-58.43856996341494,-46.270497125621574,-1.1713557408281123,-1.2833190032555748,-19.29467970520904,-21.124288885680567,-7.508647596782242,-46.33423577087257,-57.133410228745305
21,0.9205437430453219,-56.61081356441736,-47.53168904691031,-1.2584657082058923,-1.7027886969471484,-19.28949546580227,-21.778373456821615,-2.8413678988726687,-48.83725556139179,-54.29287935901673
22,0.9259462257543923,-53.19966017355987,-46.70288815445495,-0.08242988241900613,0.0,-18.864674301900916,-21.002777437550765,0.0,-38.63087989511692,-50.58219202829862
23,0.9236754018274479,-53.71653005787824,-50.01371332983308,-1.4465540172223823,-0.48771604878410246,-18.31927742744751,-21.702786991634426,-13.051246919445477,-52.516108409510544,-52.93923404784946
24,0.9242428826430279,-53.83041747038774,-48.519170294283256,-0.3242297624567019,-2.515977166352087,-18.158622984545538,-21.85773139685557,-14.832238139002076,-44.0110861892241,-51.76427228284973
25,0.9134292202876608,-56.89590725868884,-51.86406498441405,-1.3810946307250063,-1.9153729766603416,-18.533454763998662,-20.616363363766542,-6.9828140898992945,-43.330153254707675,-56.36546454256771
26,0.9196364074163256,-59.9218454862883,-52.73353265445936,-1.3556181877743494,-1.675987619655011,-18.393844687455303,-22.088980560658573,-0.01408239442889303,-34.58221450053341,-57.74823951651615
27,0.9197152640115336,-63.502516925484215,-57.83083978548463,-4.326364378642119,-2.1235010567688772,-20.321767293517986,-24.30874514679497,-2.941985418781903,-35.179413811608896,-61.41003965476667
28,0.9166145507608923,-61.32211997914555,-55.06648921984945,-2.96508008702518,-1.514333408418894,-20.8940636637626,-25.84583978831572,0.0,-42.779152320420536,-59.66486459875488
29,0.9162693057429899,-63.488059117429266,-58.04260956162532,-3.4855069957810367,-2.5239163444510413,-21.036794193251254,-25.91062810968963,-3.373705485435588,-28.99837733259166,-62.589158590029854
30,0.921511017838405,-66.49713865385226,-60.49134281077138,-6.040993652129961,-1.1030287860968566,-22.35505794984397,-26.354741942256886,-16.435120852325202,-36.65864967008306,-64.56404821657247
31,0.9205591855341133,-66.2396478707823,-60.08318299280652,-1.0139028280160645,-4.893025020580802,-20.680194585938793,-28.372415592312834,-3.8489713243994443,-37.9369733821261,-63.651506710377205
32,0.914276204308884,-72.74776857233418,-65.61123012869967,-5.840496778806644,-2.0937817964108296,-21.060444514804857,-28.981894534406553,-6.272311277083301,-49.36388275305255,-69.65997713793584
33,0.9137659871212795,-78.61089282642995,-69.53535218039079,-4.023738954345177,-6.688578162556813,-21.869715074152705,-29.83691388565093,-17.176950766662525,-47.396184860056074,-76.09347434571532
34,0.926358801790704,-69.27848726050152,-65.02202074130705,-0.31693062898278546,-0.038181401108500074,-20.788347555185783,-27.24966031681828,0.0,-30.406772360705673,-63.23157053526272
35,0.9143759398496241,-74.87790905209778,-70.61931762727505,-4.514373505292657,-2.627990741812422,-20.64887396427629,-26.330637033320556,-24.561666286570315,-53.42078351502085,-71.15390060613738
36,0.9118887910887182,-73.44627354136468,-71.3716417996207,-0.07554835184095204,-3.3949207429140267,-19.742948855770077,-25.58713846186389,-14.45770000837451,-49.61614121564525,-69.31392013069892
37,0.9173458566883805,-73.9498879743987,-71.1290449063573,-2.572117620611948,0.0,-19.535812541042883,-24.74074782232045,0.0,-46.96519684627913,-67.15996189505378
38,0.9184936032194125,-72.1279751501878,-71.6770500208759,-1.0528747162095733,-2.613877302625108,-20.42109050195783,-25.01949060994012,-9.995850494153192,-51.794509475679895,-66.41214715961219
39,0.9203349209719989,-72.07809265957084,-72.55565761579678,-2.1123035611126166,-0.5934989682569456,-21.46519072479963,-24.06727964199099,-0.24768993497365885,-45.0805225173641,-66.11338031156725
40,0.9209933635626558,-73.94052575659781,-73.8255800665152,-0.03950274161620097,-0.2869972999404809,-21.677295406731,-23.767652595942206,-6.484937418991542,-51.24659670777391,-67.08714054510449
41,0.9123609806357769,-76.02891066466184,-73.45874463422376,0.0,-2.2406965806194883,-24.064161608146865,-24.486067907008522,-13.872289191857973,-54.032540105291524,-70.74234106455039
42,0.9079640718562875,-86.59208641570142,-78.75794506741975,-5.76125950689354,-6.5498720171483304,-26.86982524049109,-26.78618898614186,-31.46508784791756,-66.38877852278634,-81.03331757517888
43,0.9155481827778615,-83.14044029063633,-75.3843417327168,-1.720574724899029,-3.250879993419291,-24.826828907454047,-26.17440472555646,-9.892295655652699,-57.37467069377467,-75.20528849425948
44,0.9138909746208139,-91.18892122080481,-78.54418031445505,-2.764471919999878,-2.133006900868825,-25.105612968215937,-26.257257312630312,-14.610412757277125,-49.02421178882474,-80.16104303202827
45,0.9119008960250166,-92.90408177385713,-80.64411746892037,-6.0570414052017645,-2.342033053357202,-27.022113454410942,-27.29392709162376,-3.3961315321424386,-47.17915799115951,-80.99257246017244
46,0.911004064428722,-96.50892310126922,-82.49560201612653,-4.75389423046106,-2.9173757703801955,-27.447807965581976,-28.195894019175146,-1.8229751228475384,-53.02458715761943,-83.1046726928212
47,0.9225911714052633,-95.59110835309711,-80.34783172004067,-0.32046349593329787,-1.0542119594575114,-25.661559983849695,-27.84338036986571,-0.0028606373193897517,-50.88283762494112,-79.38193946646399
48,0.9207719191612217,-95.34929259849824,-80.20943956786341,-1.8205466978552283,-0.03048301520308993,-24.637633523942565,-27.161744915792713,-0.25508867794748896,-51.30429315375777,-75.70780608869745
49,0.9108006448146158,-100.02313214561072,-83.29268318130431,-3.329182118576889,-2.6480377315895334,-25.124582721715196,-27.32333474978442,-15.784197140350734,-63.06123369414744,-81.76873466278566
50,0.919941075669663,-101.27104064439982,-83.8511686240013,-1.2873887830737376,-3.227007131185089,-25.43804959361586,-28.013768829709793,-16.277040274945293,-63.971900285203866,-82.01878655489196
51,0.9087289797373581,-103.06182120059474,-85.7946874837332,-3.9841739603883113,-1.616159400223403,-26.4226185893694,-27.206632797048837,-5.728480588572194,-67.15666571754096,-83.43600509899434
52,0.9152732679877401,-106.53596113052798,-88.76470913012746,-3.496291876299205,-3.9534657328213587,-26.451310365342216,-27.701105397511803,-19.5077019104083,-73.21449345630637,-87.9333673353622
53,0.9135451854952019,-103.07492705406513,-88.1813975710653,-0.8724621293073814,-1.8959414572155213,-26.6463231116713,-28.02841360485607,-5.018315506814278,-64.21549484905167,-83.2715984161294
54,0.9070621894293028,-110.13869411694714,-89.99487282187967,-1.489920025646416,-5.986482803452393,-27.229077409392747,-29.290628408383085,-21.667903043736786,-70.28627269243853,-89.47738789674013
55,0.9231454188160158,-104.2278494676737,-88.26066252738926,-2.233886468989817,-0.06048719845656412,-26.057427081348305,-28.49306411712411,-13.765064668338951,-56.909346173475925,-81.78202011503895
56,0.9220015837241884,-102.58513005675557,-88.70959350103668,-2.267085325827248,0.0,-24.88578386607687,-27.32223374196176,-1.781719638187485,-59.73475851707845,-78.80460567473496
57,0.9187262215032503,-106.62354414044658,-92.1531796990412,-4.706987447461407,-1.7122519097880362,-26.114435098145922,-27.519302314701818,-16.848086932832743,-71.71808303707304,-83.7741443194503
58,0.9222365617215402,-107.94241893639432,-92.08190925205994,-3.8752064523837193,-1.4297734988935888,-25.92371005476451,-27.74759427361542,-12.304415588276507,-71.49967052242577,-82.77002536782375
59,0.9168696070472926,-111.93771119931134,-95.25404127644259,-2.5262933043364577,-4.180839290272024,-27.01556294810124,-29.159272717805337,-10.712198494277953,-67.60470926103658,-85.23019062424747
60,0.9189897043771449,-115.37297267180425,-97.21401382051272,-6.088441233449344,-0.6910103336058601,-28.364188822773183,-29.816414725780643,-13.279230654367462,-72.95186755614745,-87.5838409989334
61,0.9184146413928338,-119.1172872986918,-100.35544023194015,-5.992784246037661,-1.7047805410984287,-29.27720049593838,-30.720536176997076,-24.26156325050744,-68.15905858634282,-91.21985062015892
62,0.9216720295554761,-114.90361912479351,-101.2719102188949,-1.621394328297776,-1.668838460257075,-29.480895740650734,-29.475307515643358,0.0,-59.789928041597776,-86.22122072201168
63,0.9232624755012815,-116.9404778082143,-104.55989188797294,-3.2342908100132792,-1.0984852448065014,-30.07954534744105,-30.193774850688932,-14.439583389493482,-61.98424810786238,-87.8658470223636
64,0.9276078862235244,-117.01485485059114,-106.63274316741852,-1.92122401681585,0.0,-30.633673146022385,-29.602741827416146,0.0,-47.75241977211549,-85.54159756717408
65,0.9280713502983076,-118.06559540235534,-108.6226655458849,-1.4439615067331926,0.0,-30.685139559270528,-28.136689462984325,-5.802025354988905,-52.61543333224965,-86.73254564153707
66,0.9241499297967157,-122.80004474222905,-111.66235670109074,-4.459852862356094,-0.7826572338742981,-31.143809320648963,-28.355954333859394,-15.08204303625859,-64.13964688207803,-92.24172325413666
67,0.9170190433348329,-128.28224981322342,-115.3481886450867,-4.981157915951549,-2.4391405115564284,-31.53316169500331,-30.192883599417492,-25.348881932892905,-71.50965239412209,-98.58045098375608
68,0.9241421196477376,-125.95878029412883,-111.66819320472942,-0.543702803530297,-0.7994472026640197,-30.733122759320512,-31.177826194445732,-4.758668143910025,-60.271374428180025,-93.2567822992612
69,0.9184584798898914,-129.62499577739186,-116.35700369812623,-4.254460645782277,-2.7312405004828633,-30.92733996953274,-30.840967262654132,-16.403581882998743,-66.07995022824997,-97.2811580665295
70,0.9203107192130047,-131.58174679895902,-117.215868217392,-2.135752282103892,-2.8597805476369826,-30.068288958899835,-31.276605832051594,-16.605127796257833,-70.49180141990666,-98.37835654149883
71,0.9138270483113736,-143.43089608861123,-125.3975386032045,-10.781527534665882,-4.560773740133333,-31.767447394589013,-34.05379272962825,-53.90413750227172,-89.72618225314825,-112.20035646716441
72,0.9189614953497531,-136.63681958290388,-122.98020482068691,-3.2059927988587695,-3.3859107766353342,-30.91760160588117,-33.50721067119193,-16.933188772834992,-65.56097057112204,-102.85741697456083
73,0.9241362574695908,-137.04208658283213,-123.22242783979904,-3.2103975882272713,-1.8693203973408588,-30.211314007891243,-33.57144750595942,-20.916263571063737,-70.99616946591748,-102.52533643687089
74,0.9254017750059966,-137.24701262924685,-125.57367829131042,-4.2479142983398335,-1.0197127993935613,-30.936320172367058,-34.076214484995276,-27.573431558098495,-80.07305130088808,-104.00864920473816
75,0.9101160762615024,-142.81645177516904,-130.84609203720973,-7.597500321226523,-3.0601582531689386,-32.73812727555411,-35.26815773143826,-49.645308929728664,-91.32055906522064,-111.66362183057458
76,0.932853789201228,-136.38688072892796,-127.2161332993628,-0.29989525770676295,-0.9785614606778027,-31.710697439886886,-35.0526233804756,-4.524647268885559,-57.48052243953603,-101.22707225800548
77,0.933937863250464,-137.11177635969347,-127.06134637625591,-1.7264961276715511,-1.375162190947247,-31.293447221005884,-34.91097749858882,-16.261805004978125,-63.43288456896755,-102.65861971382483
78,0.9214351425942963,-139.148346550323,-128.35343204906158,-4.073159289123701,-1.6895031551900717,-32.60795554429871,-35.22283575960362,-27.621452941163916,-77.01884350579272,-104.86160877347977
79,0.9224438978470134,-137.9523973138913,-126.4515631399492,-0.3907626132355534,-0.054406490416058356,-31.90736672863022,-35.23192053216051,-15.290314779015082,-74.73776883322334,-102.05846899572329
80,0.924978173826655,-143.03783939401757,-128.2142332779725,-3.6363029918547665,-0.9074010082411954,-32.66204096348303,-35.95522387523716,-20.795009476104198,-76.73738384077325,-105.81796418105029
81,0.9267815191855913,-146.7252314192458,-129.53480897154816,-4.678166629664244,-2.4548146834399036,-34.33055464882941,-36.31976592460357,-28.68115965027389,-81.32409057764946,-108.95510075581359
82,0.9320557491289199,-143.39873256260364,-126.88394796922836,-0.9770243782199343,-0.27974175058210843,-34.22567281335876,-36.12706216947826,-9.23512966373906,-74.25650137526566,-103.6887026780381
83,0.9231724305008782,-145.4961657709751,-128.63561620994557,-1.5292276957802957,-2.2799033381641967,-34.2141609578126,-37.38109485890892,-28.83006626235177,-88.03827476429493,-106.75705176691761
84,0.9332411138509653,-144.26137230316417,-129.03178842301173,-4.313701499999268,-0.07847290997018158,-35.10993053657047,-36.0056318083565,-23.015082770471363,-83.71933191492555,-104.59059064226516
85,0.9285411108416202,-144.47138153129927,-129.57733103971196,-4.664644765475576,-0.21807870812661617,-35.50607376924397,-35.75016452222377,-23.513539039975488,-85.28462014885245,-104.33017860596273
86,0.9285479681108357,-149.02748381092786,-133.77859022731985,-7.609786437949909,-3.0839667189878335,-36.36369882990033,-35.872499926382936,-45.671417320089084,-92.13420729112526,-109.30813048046362
87,0.9234000120867831,-152.9916572966876,-136.59930549170934,-6.82211295223943,-6.741370489776293,-36.34674905989597,-37.016634559311164,-55.94288825274004,-100.09799203230546,-113.93136484162181
88,0.9265982874950833,-152.59358337536102,-137.36131179611246,-5.654420464809132,-5.654291710094714,-36.12699920322232,-36.71982040367315,-44.91700350226331,-88.70259623299702,-112.58125398475006
89,0.9266183618093449,-152.14518624072952,-137.2694431399642,-3.758027723213886,-3.8241671684217735,-35.71115234925934,-37.96019442950849,-24.680119118312547,-74.01970231249496,-109.87484187606799
90,0.9263510427766783,-153.2590629245286,-137.05762890502172,-5.562311070753301,-1.7269776293569832,-36.378677727848924,-37.64268510213406,-29.5919950746444,-81.4297710497513,-109.78306081404742
91,0.9244469893315653,-155.90447833832513,-138.8528850448081,-7.280511713637354,-2.761276894631883,-36.38535596612555,-38.25839679662771,-43.38120346558164,-92.36120904779243,-114.19354861888037
92,0.925374486590964,-156.04919921969372,-140.65469173912626,-5.1998700048897195,-3.93916796857811,-37.17119127998387,-39.521142006178636,-38.73932058783469,-90.42498578415551,-114.09821321632597
93,0.9247079964061096,-159.17248367608352,-142.23083739501098,-3.954246210244751,-6.78371193711573,-37.39432072498944,-39.73797779619681,-46.259370666642305,-96.07915971426088,-117.50447701943489
94,0.9205009528995372,-163.37950360593382,-145.29870734669947,-6.583767922675978,-7.034648918292243,-38.227091806340404,-40.251726414862475,-50.56780538235742,-92.13673434690182,-121.72876181245189
95,0.9266445956716326,-164.5617119652497,-145.0928857772719,-3.396946456519488,-8.16412541253406,-38.074445270863215,-41.561568213970325,-37.15723122732166,-86.94542731196421,-121.3072345860131
96,0.9307035282045091,-166.56111665229042,-145.61251231926215,-8.617310880627643,-4.404039071415279,-39.64812734206163,-41.705330786223634,-46.27944832897957,-94.20735671323098,-123.71638182665544
97,0.923095606764429,-168.1936109322561,-147.0723889237078,-7.211521511411005,-5.604178818075896,-40.18232034726098,-42.5296566239491,-55.257136395758565,-99.13831323036915,-126.05164643680571
98,0.9349407732547652,-166.66428777751517,-146.79670807099146,-6.340453282351804,-4.508298871921599,-40.320268008036685,-42.848250439404666,-32.69658101915041,-79.65017694798722,-122.82259511649278
99,0.9268057106637289,-168.92257556334656,-148.82189966338686,-10.411070789921096,-2.221632510174621,-41.567384760622936,-43.32152076598704,-30.958761478467487,-77.50011377981707,-125.02866357215784
100,0.9322120285423038,-170.9247881570161,-150.6072603597186,-8.835035329115268,-5.287673466325233,-41.483082668362215,-45.34226246407907,-39.96624559538098,-83.47163877418997,-126.95566366661161
101,0.9210156413553847,-176.26815168089126,-155.9496941701852,-11.360208003232831,-7.606374498285801,-42.22580083837279,-46.0052778422781,-57.66673402755347,-88.34370708678664,-132.66992570780943
102,0.9294286654894801,-177.92568514544308,-157.1080154200914,-8.706370989556552,-10.438205152822787,-42.26358162308696,-46.49489566677915,-52.96653643476325,-88.49222670468556,-133.55086469342407
103,0.9362589536676036,-173.09928846198383,-154.89228907276373,-6.427139199766962,-7.910395724281003,-41.729538640255115,-45.86607142430613,-36.27243740022711,-81.52166854375018,-127.48998991182752
104,0.9331360231940082,-178.01453546440814,-157.63281140203117,-9.828193815085625,-9.135389741286101,-42.45139188680524,-46.86677706761444,-47.99342072008812,-87.28064921025893,-131.53716053994054
105,0.9299856442158153,-178.78692073560885,-158.18765024763488,-12.58714956913082,-7.727602883087702,-43.25870519371788,-47.140417870746525,-41.762340673679425,-84.54105130229016,-130.69522066468133
106,0.9212314478154616,-185.10559723899334,-162.087482371845,-15.312477373976174,-11.752025427101234,-43.96168137614022,-48.87546885876788,-70.65813422776833,-106.11944269980067,-139.44110430975684
107,0.9238853789262509,-183.47873400062372,-162.49697671192644,-12.513949798192074,-12.56737165689711,-42.95056539688679,-49.44780369095242,-67.52501021103006,-107.12693848370208,-137.87089191939623
108,0.929581327320373,-179.99732198303744,-160.9121662539164,-11.033067232237295,-9.516791920673251,-42.934406399384805,-49.16911936638198,-50.572536363670075,-95.2558997426657,-132.90985378219202
109,0.9245546841753298,-181.35326522053046,-163.15425159666796,-13.282183643197286,-9.739542665530784,-43.1026097430535,-49.71801880888413,-51.16187047602168,-96.42762988573193,-133.97110153492596
110,0.9202846549455806,-186.15948032517213,-167.38778400715347,-17.30720061369631,-10.767661194451657,-44.00967871865522,-50.01567478129944,-65.30019593048776,-106.43501115311007,-139.82405463902984
111,0.9298610050404765,-183.7507753920828,-167.32835575587654,-14.205913270962826,-11.004714559923354,-43.59745117087989,-50.556110329149924,-51.50919276472705,-97.51235867720084,-136.7569088202642
112,0.923287264080844,-187.11409182669874,-169.03654088690675,-14.211877032336186,-13.029828778312892,-44.306608137258124,-51.28112689355942,-64.6882878721747,-109.34714505766188,-140.7762225597181
113,0.9230304494925085,-189.79469774346336,-170.0764526175129,-15.350051818798084,-12.787256608896463,-44.84804733445923,-52.87259388612614,-64.8735039794676,-106.34474602190141,-141.85797646311892
114,0.9315540378624491,-187.18231687965377,-168.93625861395384,-16.09828308126234,-9.564833926406841,-44.74572647706375,-52.613288302834874,-51.218259987531354,-102.76011539835696,-137.81697053737622
115,0.9297215496368039,-191.0116950209848,-171.77609715127147,-12.948788470044164,-14.05755161299201,-45.06373626953708,-53.66612809383275,-60.36202788204461,-104.34339247870204,-142.14649765835688
116,0.9411640530759952,-187.75670473007594,-170.03359886837737,-14.041378128463268,-9.397307334054148,-46.35840470366578,-53.23779370844245,-41.646849669698256,-91.90784049312411,-137.17113728683557
117,0.9290831376798507,-191.01880270402066,-173.01475514825194,-16.221525189510178,-10.389648403261047,-47.02037461470057,-54.357998908706904,-53.2326066064819,-98.7746753271365,-141.21549832450083
118,0.9232717296270614,-195.62434116261645,-176.26520158516195,-14.62750053532562,-15.775360573690973,-47.174257521151745,-55.77506982354512,-72.93155378182219,-108.59226928100401,-147.25562773459075
119,0.9207719654647029,-198.36884885834493,-179.23027281986978,-15.60867155173991,-16.901859476878542,-47.67345735136543,-56.41490398865384,-76.04824731093458,-108.20296618427442,-150.09817836289977
120,0.9160252762720493,-201.1136831508325,-181.3401114205157,-19.41252345529819,-15.956377108698439,-48.48322031634574,-56.45499363139292,-82.72593551037487,-106.60584956936741,-152.54898038594703
121,0.9284857211423087,-198.5031312933801,-179.62950258987559,-17.059982296152647,-14.431991430156048,-48.2261307400712,-56.83480472683407,-73.01232099804852,-103.70386424880722,-148.85354051531863
122,0.9286558569480224,-197.82233337043587,-179.2632082870521,-14.704175768578489,-15.435598358739316,-48.04496595098682,-57.95081851000182,-63.5007406193194,-98.79922117237216,-147.2505386094332
123,0.9228603433138567,-201.0894653670295,-181.9250298470114,-18.65784244664645,-14.756784606156849,-49.515032959044156,-58.91174513155796,-68.6228992299358,-96.70184685831758,-150.31017851884658
124,0.932890365448505,-201.11081739854393,-181.60121046217137,-16.84110887777184,-15.565655302343826,-49.612652958786974,-60.08724033014812,-64.79977583055371,-95.80115042436447,-149.60916180607268
125,0.9293426103646834,-200.77663110694374,-181.95581930286943,-18.76957438960968,-13.924523555199382,-50.062532041021086,-60.84536890956565,-61.94786588370246,-98.17755469556162,-149.1155606057545
126,0.9234798934108527,-203.319247742315,-184.09652451539355,-17.51990292369725,-16.754991148111316,-50.47346407796068,-62.030043615116064,-74.54455068877705,-107.42257942241798,-151.95806405489864
127,0.9285779218811552,-202.87064226744738,-183.24984245903062,-13.728568602133059,-18.159170936241647,-50.32058734970916,-62.41324373435253,-67.71295447850228,-108.34884039387066,-150.6730712205441
128,0.9276627662766277,-203.34188439653406,-184.49350931025262,-18.439833409961544,-15.177276830472826,-50.50198218671081,-62.274447075932535,-72.4904504136003,-114.39705500810773,-151.30341874951907
129,0.9310428114244309,-202.26516166691314,-183.71172537218632,-14.635427156960517,-16.54510445151144,-50.02242780548939,-63.30994531260316,-67.24546325583366,-111.33732630348223,-150.15402152681295
130,0.932110985898334,-202.30754682982723,-183.9446412688509,-16.680596114753005,-14.210570945048214,-50.79119377571241,-63.65165576954895,-63.21520310197418,-108.06417866731162,-149.7516597327431
131,0.9222292475837774,-204.6062206109306,-188.21123407178123,-18.60362103614022,-16.46948966697707,-50.825712417848216,-64.01930468936338,-74.7955969768955,-115.38147350513995,-153.48888472125648
132,0.9293706082813112,-205.0095711510902,-190.04331703651442,-18.203837968532252,-17.721806220293438,-51.02423156272836,-64.58247609057962,-70.08562683490578,-108.45000294542803,-153.45080467375573
133,0.9198579231710593,-209.41973892521614,-193.93206345503924,-22.321098562264364,-20.05124145116046,-51.99386158993761,-65.13834904480018,-89.90723158883422,-114.37571972381292,-158.56348729631256
134,0.9269326987613643,-206.72440281868376,-193.20832552515714,-19.07267118160026,-20.410446390333796,-52.421418028618156,-65.4843601000142,-75.18244598099044,-103.59882450691299,-155.51016890786988
135,0.9331988754430999,-204.69170860254138,-192.09408220483058,-18.741569400801374,-18.47933570605562,-52.411446332492744,-65.46063878814823,-65.43585355995582,-101.11608317705665,-152.89628862076253
136,0.9250935208738591,-205.05282283482225,-193.7975463775783,-22.46772681636502,-17.644567069448573,-52.96148002866294,-65.51832787531696,-70.85616413213525,-106.77417071599434,-153.55004776669227
137,0.9300172137472547,-206.70527382746852,-195.0337804373444,-19.129431777810705,-21.273389056103934,-52.84208685822523,-66.67666063735162,-75.04133946045407,-110.6177433009711,-155.39253356430024
138,0.928556195350821,-208.8545033737655,-197.50037073286217,-19.960167103189118,-21.686493707992863,-53.201169431470184,-67.06458718971149,-76.26477188129795,-107.94499774479078,-156.73703923681614
139,0.9325092781036753,-208.06969892069935,-198.021658674412,-18.736371539926093,-22.795983054906266,-53.38841411711579,-67.53454345801727,-78.2220919765244,-109.56923005841999,-155.98698849888882
140,0.933248646523304,-206.24353586976108,-197.39720375244886,-17.306815817121535,-21.7190674865196,-53.21781767440666,-68.22019454207067,-62.85795990658116,-105.648703893113,-154.02421316478498
141,0.9335299250744742,-207.72310392299585,-197.94454104207918,-20.41380979614906,-20.684567315488742,-53.79248514828103,-68.6415240068687,-69.29348413861428,-109.01628214077728,-155.78553366978196
142,0.9279325713246218,-207.82610300050675,-197.91331614651125,-22.648536033707472,-18.89435290947144,-54.28191633079781,-69.13335226185406,-69.61121132304248,-111.6939788319037,-155.46634285392483
143,0.929789156626506,-207.39297707628472,-197.62717268197665,-20.408728293938832,-20.079728154748246,-54.09232259465049,-69.38731014765729,-68.32147250425948,-108.3506409680943,-154.80566146943988
144,0.9268256289355099,-208.54593052036032,-199.63800104359302,-20.405358429108112,-22.632090938850148,-54.670166283529696,-70.30286425972697,-75.61478720022626,-111.52661368114738,-157.21932012710192
145,0.9305802027250579,-207.8570435726039,-200.4842289216436,-21.911106943906724,-20.902488961885393,-55.16970599859808,-70.5669452570246,-70.66932191892964,-107.38027958095515,-156.3954405127697
146,0.9285242753405749,-209.30743793901027,-202.34368371674555,-22.14504129548397,-22.531492030562323,-55.42771925478103,-70.86005895476647,-76.35777528047164,-110.01629107229111,-158.18130503013086
147,0.9305606226438039,-207.57553987747121,-201.4022050006106,-20.599444952715814,-21.65311143518745,-55.58439657877302,-70.39936539351487,-66.67740339117896,-106.58211371288765,-155.49458225314726
148,0.9297354179194227,-207.21164946863695,-201.90795597215072,-19.70022561004384,-22.095786172336034,-55.67564207876632,-70.9662606791569,-66.43824902694078,-109.85219177193356,-155.6837129700722
