episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon
29,0.9250877811938243,-4.4177639697642395,-2.4560069175220196,-1.1081228167034316,-0.5170480272420135,-4.383099525606685,-3.498234881621209,-0.8734900674886649,-0.5657664323687515,-1.783197624620758,-1.4211217750675758,-1.3716620374576076,-0.03860484118633516,0.000534,0.001,0.14957
30,0.9240901683867463,-4.4451994269657975,-2.473079779086201,-1.1191248269786747,-0.5197959920609974,-4.414071232609876,-3.5190769620974143,-0.8844527683608315,-0.5735826666103588,-1.8064247766418644,-1.4372230997610456,-1.3802432259206532,-0.0389103678674177,0.000525,0.001,0.148078
31,0.9268012888641463,-4.470642205766263,-2.4887995817893893,-1.1289407716960804,-0.5216689897358656,-4.4426677213816035,-3.535376179292203,-0.8947401554949879,-0.5809201790811633,-1.8263486302295604,-1.4563055989548428,-1.3886316078267065,-0.03811885951259326,0.000517,0.001,0.146602
32,0.9198405892145487,-4.507924724912567,-2.509567847928917,-1.1417283498366049,-0.5248484008637508,-4.481936670258149,-3.562427474692675,-0.906430037129633,-0.5889618793181391,-1.8519884010107304,-1.4777777421258615,-1.4021741612851868,-0.03780346333554019,0.000509,0.001,0.145141
33,0.9248129211390648,-4.535720298252605,-2.5272185905678906,-1.1534457797084758,-0.5276558344962266,-4.5145645328035755,-3.58360258252183,-0.9180967445112731,-0.5967609347516479,-1.873727324333813,-1.4924003251500615,-1.4100551091654432,-0.037736980826913555,0.000502,0.001,0.143694
34,0.925572072824453,-4.560804179982693,-2.543804145568192,-1.1641573893733796,-0.5301338895783665,-4.542967658840807,-3.6024097649111804,-0.9282699879631674,-0.6028579275481449,-1.8905549463026414,-1.505614903193929,-1.4186971481417663,-0.037152107535012885,0.000494,0.001,0.142261
35,0.920842497039418,-4.597690962953537,-2.5666941335058095,-1.1778216792619725,-0.5341693396486307,-4.583818425409603,-3.632147461030916,-0.9410429200842124,-0.6109167635096513,-1.9114742560869675,-1.5227742971654017,-1.4290997600556394,-0.03724354761669949,0.000487,0.001,0.140843
36,0.9231794560302355,-4.624822604393231,-2.582857181448618,-1.1888329389341736,-0.5364255202032345,-4.6149210317584375,-3.651929834698748,-0.9527010142267603,-0.6189348942525167,-1.9344946753522732,-1.5367666765755306,-1.4377904206931253,-0.03689684893864565,0.00048,0.001,0.139439
37,0.9286630438451413,-4.638931248215727,-2.5916737420989455,-1.196995248000814,-0.5372255936030529,-4.632200550892508,-3.6610844266374385,-0.961720901356252,-0.6246897823372539,-1.948983592308927,-1.5527612029240094,-1.4431336226419949,-0.03651016457237107,0.000473,0.001,0.138049
38,0.9290093470468023,-4.653190349917685,-2.600134982156939,-1.204559254863682,-0.5379796783762183,-4.649480186801913,-3.6704502996203177,-0.9700101673844774,-0.6299214419096983,-1.9642884393614697,-1.5628433159626043,-1.4486226072492416,-0.035758241146283176,0.000466,0.001,0.136673
39,0.9252490023139609,-4.672036403118715,-2.612334332336187,-1.2133896713325345,-0.5397459540277216,-4.671741854639672,-3.68466705526314,-0.9804096264958478,-0.6368878389804129,-1.9800256451597258,-1.5797313214151627,-1.4562213334124876,-0.03529142789826729,0.00046,0.001,0.13531
40,0.9236283290323669,-4.695169796172598,-2.6266847982105794,-1.2221611073166405,-0.5420919250478371,-4.697401560818239,-3.701305413998279,-0.9881547926736097,-0.6425179902488993,-1.9957975799768282,-1.5911069340960384,-1.4627837689855747,-0.03484959578871802,0.000454,0.001,0.133961
41,0.9213534137896259,-4.723994864936171,-2.643927829863012,-1.232939998917061,-0.5450270855454941,-4.7296460985009245,-3.723233159386489,-0.998956394196011,-0.6502754632006792,-2.0177104662577223,-1.6059981733967499,-1.4724820683253803,-0.034432688554249344,0.000448,0.001,0.132626
42,0.9255782769024472,-4.741107500177439,-2.6556304212495836,-1.241837771157697,-0.546473204134657,-4.750592117010108,-3.7364122823943737,-1.0086390091716595,-0.656848358585835,-2.038329677129346,-1.6201598486322968,-1.4789799979482554,-0.03442948702817239,0.000442,0.001,0.131304
43,0.9198137523904548,-4.769485858327786,-2.671605785365283,-1.2525322911046701,-0.5485851998716424,-4.781553003597794,-3.7568316760643503,-1.0197508318850506,-0.6643716351328969,-2.0597222939809483,-1.63571485739436,-1.4883955722771307,-0.03437922491668037,0.000436,0.001,0.129995
44,0.9243315732126394,-4.786238623146617,-2.6828383769988244,-1.2608212607140914,-0.54969340437502,-4.800418271552073,-3.7684362608675745,-1.0292157770125614,-0.6702402021784343,-2.0841837757361774,-1.648581510385182,-1.4961712425894376,-0.033844795919721664,0.00043,0.001,0.128699
45,0.9237585969160402,-4.804564016297213,-2.694665696762677,-1.2690986082627762,-0.5515847960991858,-4.821558077210532,-3.7828852429946633,-1.0388417721084717,-0.6763206883032673,-2.0994310607060243,-1.6637455129364036,-1.5029065023263084,-0.03354072328407767,0.000425,0.001,0.127416
46,0.924388075226064,-4.821694587832711,-2.7041167382419453,-1.2771738423414993,-0.5522875686282331,-4.841894247212634,-3.7936935089110984,-1.0484312094463186,-0.6826819614818114,-2.1131292107182795,-1.6794084020332782,-1.5090224206871172,-0.03320670467967669,0.000419,0.001,0.126145
47,0.924891444666119,-4.835712946815643,-2.712885792139238,-1.2846406694115546,-0.5531249249408537,-4.86020765467503,-3.8031384887981816,-1.0573029538955818,-0.6883244531097412,-2.1251867362387213,-1.6899404721551097,-1.5132846871495458,-0.032835606141327106,0.000414,0.001,0.124888
48,0.9175404033658341,-4.8657274465429,-2.7316429874210955,-1.2962823079909973,-0.5564603771239001,-4.893360001983862,-3.8274074736518156,-1.068299652955503,-0.6955488118061958,-2.1474669856724504,-1.7008955061835458,-1.5227389350488403,-0.03260381405211226,0.000409,0.001,0.123643
49,0.9227872572917543,-4.88057410681946,-2.742086015015377,-1.3040037343585404,-0.5577860785336167,-4.911110287525643,-3.838616761612969,-1.0773115072876565,-0.7019581455786533,-2.164428053533662,-1.713299713895559,-1.527143475453342,-0.03208941404250005,0.000404,0.001,0.12241
50,0.9265947270377767,-4.887524066196748,-2.7471248556948598,-1.309961765775551,-0.5578368666467921,-4.9225359183765764,-3.843481341542223,-1.084761263269006,-0.7062782990965188,-2.174366787041509,-1.7235027851345683,-1.5306106210232076,-0.03151170018315451,0.000399,0.001,0.12119
51,0.9231209109104058,-4.90220808136638,-2.7571773363700003,-1.3177135174831578,-0.559260911570075,-4.9412105319914765,-3.8546588881455643,-1.093943890461644,-0.7117085835723337,-2.187061370897224,-1.7373568714978345,-1.5364127506037706,-0.031081252232249886,0.000394,0.001,0.119982
52,0.9294377625208752,-4.905916654437363,-2.7596086405013076,-1.3229862241611061,-0.558256814407401,-4.950542813369875,-3.854896947867723,-1.1019515665722384,-0.7166111081015107,-2.1983996657500797,-1.7459788007486523,-1.537432517643932,-0.030706870762211964,0.00039,0.001,0.118786
53,0.928203412512546,-4.911694789652923,-2.762812226680583,-1.3277395801836187,-0.5575491434147668,-4.958940360447904,-3.85645891967822,-1.1082456355513481,-0.7207364226903363,-2.2140018721593684,-1.754402765592154,-1.5409964750210827,-0.030561508393244317,0.000385,0.001,0.117601
54,0.9255604779164989,-4.919896014012003,-2.767956734970098,-1.3333668453339953,-0.5573703368320633,-4.969897554087986,-3.860827305216565,-1.1154992857284451,-0.7254799493455245,-2.2292954858446126,-1.7648874044221319,-1.5435239765496118,-0.030372648121668233,0.000381,0.001,0.116429
55,0.9186469061374865,-4.940530489499352,-2.7806988550332936,-1.342295299637441,-0.5591796893696439,-4.993336673882139,-3.8754072387000615,-1.1239228110022352,-0.7309294461144035,-2.2422848331486938,-1.7801812049738532,-1.550225360680664,-0.030460883619769317,0.000377,0.001,0.115268
56,0.9265912544318757,-4.946607956698473,-2.7843081354594554,-1.3469480599315022,-0.5587717693979399,-5.00167701631117,-3.8777274525973815,-1.1312648403510261,-0.735377235579076,-2.25520832122514,-1.795566942810995,-1.5522930826932637,-0.030066955129250672,0.000372,0.001,0.114119
57,0.9218920232647794,-4.9634813511347975,-2.7936956711835843,-1.3543807060075441,-0.5597994867605818,-5.020996696155854,-3.8893886812517704,-1.1403305160438368,-0.7411703062002545,-2.269957632922469,-1.8114093983556163,-1.558447025231526,-0.029545538280938134,0.000368,0.001,0.112982
58,0.9180435330700059,-4.984623386694288,-2.806587330274479,-1.3630022967341526,-0.5617292197006482,-5.044334462547106,-3.905159213469154,-1.1494096314007973,-0.7476296432958496,-2.2909341204196787,-1.826128509903668,-1.5652585974529156,-0.029136389302808163,0.000364,0.001,0.111855
59,0.9206204533562881,-5.00000895911254,-2.8158723801439316,-1.3702352179998916,-0.5625923530875775,-5.062815138980135,-3.9161333508493885,-1.1576940032299852,-0.7532673679283192,-2.3054836734482738,-1.8394043208426276,-1.5702576746706898,-0.02892661225627933,0.00036,0.001,0.11074
60,0.9277118716394982,-4.999480156005701,-2.8162249870331917,-1.3736700024971533,-0.5615047988408417,-5.065095803776608,-3.913059003673884,-1.163566717558148,-0.7567767256005593,-2.3123285763246906,-1.846953871024465,-1.5703527415211993,-0.028665079432458225,0.000356,0.001,0.109636
61,0.9247887559608466,-5.00505705049312,-2.821458646335276,-1.3793218806736702,-0.5616884234540979,-5.074353018230324,-3.915871442470912,-1.1706987251209962,-0.761586521584592,-2.3241118405108714,-1.856733903838402,-1.573308326612249,-0.027669235909956683,0.000353,0.001,0.108543
62,0.9283559450577231,-5.0069170242308925,-2.823384432469717,-1.3837426225067468,-0.5606032061853236,-5.079427422669939,-3.914220204802334,-1.1770410779639324,-0.7655678415243922,-2.33616193955265,-1.8658468066663307,-1.5755477283258619,-0.02722870611319175,0.000349,0.001,0.107461
63,0.9195548489666137,-5.024636912729135,-2.8342217230776994,-1.3917360147127955,-0.5618907610766918,-5.099992119436951,-3.926962453807085,-1.1862472889688642,-0.771388454357278,-2.3489505364703396,-1.8781897291781526,-1.5798654241607992,-0.027257962127532242,0.000345,0.001,0.10639
64,0.9298767743985019,-5.024320605183465,-2.835129669840186,-1.395442103759138,-0.560970817501397,-5.10303028060075,-3.924078205209597,-1.190959957750963,-0.7746745786043948,-2.3580452497983235,-1.8837753649885127,-1.5810212540576922,-0.02666939611265468,0.000342,0.001,0.105329
65,0.9174984037369358,-5.045334271508101,-2.8483059605075356,-1.4042427274342015,-0.5631458830074093,-5.127368438193036,-3.9395553981012252,-1.2000327011273262,-0.7805938489993708,-2.3738521793253273,-1.8982876017016133,-1.5880118786511752,-0.026565086873932345,0.000338,0.001,0.104279
66,0.926162780938953,-5.049465143878946,-2.85069161288293,-1.4085198453861727,-0.5628112846744933,-5.133799020419593,-3.9413134634003466,-1.2059561665618161,-0.7840499537132845,-2.381378406172926,-1.9049030038360069,-1.589618708062399,-0.02650048253179939,0.000335,0.001,0.10324
67,0.9262458247579203,-5.052176804054437,-2.853402614495256,-1.4131407897372028,-0.562341698858294,-5.140476537886106,-3.941447610326382,-1.2121722085547892,-0.7876570284484291,-2.3903274639716443,-1.9137647040940293,-1.5913672518698379,-0.02622523042704562,0.000331,0.001,0.10221
68,0.9217766437815789,-5.062277954456063,-2.859405363021745,-1.4185885288311457,-0.5628181779860497,-5.153212936801729,-3.9477073170171137,-1.2191359670904096,-0.7920765631840928,-2.402017487997883,-1.923937681300622,-1.5941334886601568,-0.02608235710729157,0.000328,0.001,0.101191
69,0.9288000938605165,-5.061189879881985,-2.8598955590352957,-1.4222239931249265,-0.5616992718610828,-5.155750167770495,-3.9444598556506807,-1.2256993606790414,-0.7963835046162947,-2.4138618221442454,-1.9321582644454633,-1.5945687028443867,-0.025544950028198565,0.000325,0.001,0.100183
70,0.9290953545232274,-5.0584871140670105,-2.8598224135412806,-1.4253051590129189,-0.5609455371224972,-5.156580931019996,-3.9422649082258006,-1.2313469910819344,-0.7997947891430026,-2.4220887058795957,-1.9383776621276727,-1.5943660431406568,-0.025466794456933964,0.000322,0.001,0.099184
71,0.9239063205228933,-5.066911199199906,-2.865621841102702,-1.4310494827861904,-0.5614476147553629,-5.168279603184479,-3.948338451749742,-1.2377830158232737,-0.804128039940694,-2.4327531681676344,-1.9459778846649471,-1.5981256849081007,-0.02497761708087291,0.000319,0.001,0.098195
72,0.9226902583693576,-5.076261600232984,-2.8727423187071284,-1.4365099129723486,-0.5623472652229465,-5.180645124856803,-3.955457789213042,-1.2444350656387897,-0.8082721696541423,-2.443739467506667,-1.9546104476079056,-1.6013423921419567,-0.02479605750921842,0.000316,0.001,0.097216
73,0.9271682727946627,-5.075996506620419,-2.873072527436284,-1.4400341001783359,-0.5613943952484067,-5.18354150617682,-3.9538663688192344,-1.2494533033423234,-0.8115404070108604,-2.4524956046124373,-1.962188586560756,-1.602595975258644,-0.02408373204590123,0.000313,0.001,0.096247
74,0.9269570803117129,-5.075234817604569,-2.873612395709018,-1.443423459568271,-0.5608878631244462,-5.186155186068445,-3.9533338810688443,-1.2544764169615066,-0.8149169594352917,-2.4596744164654405,-1.9683597147524514,-1.6030194635562813,-0.023443195409760247,0.00031,0.001,0.095288
75,0.9303529012555141,-5.069381663065554,-2.8705734738284603,-1.445342296403277,-0.5590219914844528,-5.183416500276077,-3.945591036736503,-1.258436855365638,-0.8176631828401171,-2.467320143284071,-1.9754858062709388,-1.6023866928782444,-0.02302307262844348,0.000307,0.001,0.094338
76,0.9263876622053129,-5.069219166482618,-2.87100703213036,-1.4487048321732796,-0.5584437018607203,-5.186824281947197,-3.9445497392964475,-1.2626075276768494,-0.8210911713509149,-2.4791548594507105,-1.9820727658901058,-1.6033627220004272,-0.022167119475639492,0.000304,0.001,0.093397
77,0.9186605265792371,-5.082851545946556,-2.8796705265174007,-1.455209240356466,-0.5595979348249462,-5.202408378261879,-3.95424581478895,-1.269271666492233,-0.825981257320409,-2.4930848448165714,-1.991480718263741,-1.6076191868529663,-0.022020652488022957,0.000301,0.001,0.092466
78,0.9243714415276868,-5.086087800935437,-2.882288611416685,-1.4592923807055624,-0.5592142479239974,-5.208405672735701,-3.9539578712675225,-1.274732279240305,-0.8292104445483489,-2.503493409084706,-1.9995439186484936,-1.6097816797794609,-0.021761863789994673,0.000299,0.001,0.091544
79,0.9285556518341064,-5.08367804589222,-2.882705449096062,-1.4624778880753215,-0.5585487925401659,-5.208526671302387,-3.9515987761491056,-1.2794840368755778,-0.8320635542736659,-2.5116844527268,-2.0053979375670257,-1.6096084662538521,-0.021445936146163653,0.000296,0.001,0.090632
80,0.9278566871495249,-5.0832100145092305,-2.883741704385975,-1.4657895916652723,-0.5576811540049055,-5.212311939573826,-3.9488357770408373,-1.284240782616553,-0.8346496103669462,-2.5196628668068497,-2.0124115202421806,-1.6112519913214562,-0.020980207240368056,0.000293,0.001,0.089728
81,0.9273584905660377,-5.085035241984942,-2.885695908072422,-1.4691659705578608,-0.557596394434332,-5.216212818327418,-3.949582495434551,-1.289437985669614,-0.8381646485608444,-2.5279396136054775,-2.018433959754995,-1.6125200680549125,-0.02042330151784946,0.000291,0.001,0.088834
82,0.9244167438726523,-5.090253914740795,-2.8894970041364494,-1.4735268980331453,-0.5577523439428804,-5.224353497479109,-3.953298804857416,-1.2957390990791129,-0.8432024168666359,-2.540084871830007,-2.0289101914070455,-1.6142527403613391,-0.020050017396021493,0.000288,0.001,0.087948
83,0.9229100813773623,-5.099078557302232,-2.895262568069852,-1.478802392075988,-0.5579149319951541,-5.23579717748702,-3.9580120675185064,-1.3018214403414026,-0.8469353878440269,-2.5521587393156495,-2.038631789623382,-1.6181426137416102,-0.019675957269313236,0.000286,0.001,0.087071
84,0.9244624638596258,-5.107063090976126,-2.8997339694118494,-1.4833188680874838,-0.5579636264518743,-5.24684845999713,-3.961896096210246,-1.307118285269129,-0.850165188339207,-2.5604334734831102,-2.0451903757056313,-1.6206403358067132,-0.01937209561414614,0.000283,0.001,0.086203
85,0.921659686571197,-5.1134537234344455,-2.9042295866668675,-1.4878877176881597,-0.5581550548356827,-5.255361825796185,-3.965686053191553,-1.3129089768956035,-0.853728352836956,-2.571197199001974,-2.0534521449272023,-1.6233285357110314,-0.018731017529762396,0.000281,0.001,0.085344
86,0.922607028320296,-5.118612669907644,-2.9076116738764037,-1.4921678329210968,-0.5579668244629283,-5.263041934183589,-3.967628175729064,-1.3181887277913267,-0.857375945684837,-2.581506023626941,-2.0599852288649556,-1.6256283371832705,-0.018416944853806422,0.000279,0.001,0.084493
87,0.9196941690472189,-5.131013624041894,-2.9148760119884174,-1.498094138360923,-0.5586339742142613,-5.277939903281918,-3.976148723949625,-1.3251755881445004,-0.8619578193946005,-2.5926624212644644,-2.0709261559652004,-1.629520370967526,-0.018028578752712757,0.000276,0.001,0.083651
88,0.9241976600881265,-5.13439322436641,-2.91738169408098,-1.5017919202026369,-0.5583552390634693,-5.283720849613014,-3.9774772902239643,-1.3300804391110672,-0.8650233196873809,-2.600626201752615,-2.077058264520444,-1.631159375946437,-0.017683111719859715,0.000274,0.001,0.082817
89,0.921934591110061,-5.142708609232134,-2.922198260082795,-1.5060787765681727,-0.5587117356711462,-5.294200782117466,-3.9827783281395353,-1.3353348503046072,-0.8689336457819778,-2.610638619273473,-2.0854957526093494,-1.63411293897731,-0.017394152629600097,0.000272,0.001,0.081991
90,0.9275172518007354,-5.142234325176032,-2.9220910726479987,-1.5089318204870164,-0.5577790825705241,-5.297223866702367,-3.980626323256231,-1.340252485860218,-0.8720533027194294,-2.617559771990798,-2.090436951436731,-1.6347260182847199,-0.017162490414812315,0.00027,0.001,0.081174
91,0.9249585546571032,-5.143319281838537,-2.9231710335353314,-1.5122702993542159,-0.5570730689496318,-5.300698141378268,-3.980092552626651,-1.344434650654065,-0.8751283585152687,-2.6256216629019375,-2.0971466185765464,-1.6355535352976036,-0.016546665566124233,0.000267,0.001,0.080365
92,0.9269528668033828,-5.141581924430999,-2.9242477748179723,-1.5154054322134352,-0.5566004369174677,-5.301829090514775,-3.9787283916852325,-1.3487869544487874,-0.8783688934328688,-2.631659383744982,-2.1032319595480904,-1.6355297895159386,-0.016206547071760898,0.000265,0.001,0.079563
93,0.92175017548551,-5.149914230125385,-2.9297141570273317,-1.5202728593041392,-0.5571300246005063,-5.311931818164165,-3.984731443754082,-1.354942242405208,-0.8822402425518299,-2.642848710706698,-2.112939479131286,-1.6387171872648898,-0.01572546706381158,0.000263,0.001,0.07877
94,0.9342938407882707,-5.139315192632036,-2.9245153393403522,-1.5211113006706267,-0.555342799640281,-5.305071624426701,-3.975879771925044,-1.3580258644017216,-0.8844692843765783,-2.6458616249962983,-2.1167050128570533,-1.636384409227321,-0.015329296052157186,0.000261,0.001,0.077985
95,0.9253828991293553,-5.141913002238267,-2.9268536510932055,-1.5246679556341542,-0.5548788159878874,-5.309379089985272,-3.975940248370238,-1.3628630983253793,-0.8872319701856821,-2.6538936926856573,-2.1251275608201357,-1.6384202492348652,-0.014888404058776885,0.000259,0.001,0.077207
96,0.9278585541314149,-5.138360677743531,-2.9260104080452254,-1.5266706060717643,-0.5541962141004747,-5.308403600802944,-3.9731966076111145,-1.366742399980917,-0.8895577905049975,-2.660474822715071,-2.1286924974246983,-1.6375652865520651,-0.014716484219625422,0.000257,0.001,0.076438
