episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon
0,0.9285248423833972,-0.3936367306301653,-0.210393133223989,-0.08432337159338539,-0.04671462190498229,-0.3811745765966706,-0.3114966294346621,-0.062422152737376446,-0.03761399885074956,-0.1271192653585936,-0.10572827383718725,-0.11726182067970346,-0.004790703119765425,0.001,0.001,0.2
1,0.9242383482413075,-0.7649354197708677,-0.4122189091727359,-0.168541886957355,-0.09041638974166141,-0.7423515472770723,-0.6040044945077186,-0.12547521902804612,-0.07243405997132119,-0.2372231240934775,-0.20812705015204647,-0.23100140896734314,-0.00825021515466264,0.000971,0.001,0.198006
2,0.9230331054818389,-1.1052715302327787,-0.5975810914057138,-0.2447767104803107,-0.1296882832885568,-1.0741777882042207,-0.868424678394556,-0.17962353342165507,-0.10644119978499683,-0.3667228792415944,-0.3034577499194064,-0.34085365051686184,-0.011536790744024904,0.000943,0.001,0.196032
3,0.9273919662723973,-1.390952915694659,-0.7551672954031922,-0.30898985754090885,-0.16621016688103227,-1.3511014105746237,-1.1021127949190883,-0.22392027299860026,-0.13651638436454216,-0.4657258045744474,-0.3719975193956404,-0.4191985908875291,-0.014855564617621508,0.000917,0.001,0.194078
4,0.915495990988006,-1.7121636637155941,-0.930813680677366,-0.38281070219942787,-0.20390791131746705,-1.6648090656121088,-1.3556190395839265,-0.27768922819497543,-0.17040162749786336,-0.5812909120427234,-0.4804176752860239,-0.5252073480748364,-0.01905014887771133,0.000893,0.001,0.192143
5,0.9180476047002109,-1.9845188593619487,-1.0807453843280794,-0.4467627634945207,-0.23754686377204776,-1.9305398396464213,-1.576153941945347,-0.32335353038444803,-0.20099131833072859,-0.6792539190933713,-0.5595614485237175,-0.6115020076468618,-0.02299999654672158,0.000869,0.001,0.190228
6,0.9253552704775712,-2.198880909846976,-1.1989686318175603,-0.4969432669578734,-0.26372617160204537,-2.140944637784159,-1.7468075357899813,-0.36122604288561755,-0.22781518708326476,-0.7607980054195946,-0.6183569470117444,-0.6716787953646354,-0.025325735342245876,0.000847,0.001,0.188331
7,0.9252632107527241,-2.3876403003758533,-1.302087249997369,-0.5421955318534204,-0.28500187368653634,-2.3255907894730896,-1.8919161772675837,-0.39647138399817045,-0.24929185799798653,-0.8575475297530307,-0.6780117133303387,-0.7355380143236605,-0.02616605597931037,0.000826,0.001,0.186454
8,0.923839880639528,-2.5652628713354853,-1.4024386203811408,-0.5873415904199142,-0.30628444842726577,-2.500865682167813,-2.032789665974538,-0.42872497297910217,-0.2706972690623414,-0.9343404941171722,-0.7368552710145243,-0.7971735301510952,-0.026914872212581462,0.000806,0.001,0.184595
9,0.9252466608497214,-2.730110980964637,-1.4923645358859579,-0.6258549915731692,-0.32565924745237723,-2.6625110648809036,-2.164062198289502,-0.46010410499115756,-0.29224154969759675,-0.9857550203910771,-0.7836365433405105,-0.8437337574179864,-0.027682865123500554,0.000787,0.001,0.182755
10,0.9070083804981274,-2.95499291780244,-1.6217145326619438,-0.6839759112802677,-0.3528966893456093,-2.886788195433583,-2.345034731903742,-0.5041244865283806,-0.3211633834520745,-1.0854971448266906,-0.8580118234335546,-0.9193962208789077,-0.029745718388427246,0.000769,0.001,0.180933
11,0.9175959303304922,-3.1215780036201997,-1.7150211523901655,-0.7250444196624976,-0.37344434223330597,-3.050651381603678,-2.4800058660491993,-0.5361363848632255,-0.3421905835274707,-1.146442670011702,-0.901458319231778,-0.9633265099603414,-0.031839401817678296,0.000751,0.001,0.179129
12,0.9220304123537544,-3.248805945515846,-1.7873817452068208,-0.7595405726782708,-0.3884662052995677,-3.1797706902485663,-2.5813140667285857,-0.5640820837030671,-0.3594593884221731,-1.200810156812275,-0.9356419800749441,-1.001543199856043,-0.03238014311979274,0.000735,0.001,0.177343
13,0.923167431462525,-3.3627190742234774,-1.851948368885427,-0.7897880416398573,-0.4021771515159686,-3.29479804858257,-2.6739710132029924,-0.5873860668795863,-0.37587812019827566,-1.2483074837336456,-0.9755514898029407,-1.0377765077026508,-0.03296092613026958,0.000719,0.001,0.175575
14,0.9233530724195199,-3.472032362609535,-1.913268545128824,-0.8181922889937656,-0.4148788659447396,-3.4025326594790517,-2.761058522238623,-0.6093913321447958,-0.39139428255165143,-1.2911823834161766,-1.0156428069731056,-1.0716500334829246,-0.034056974317949386,0.000704,0.001,0.173825
15,0.9264259479765877,-3.5598937305359826,-1.9652747153296386,-0.8435799783229652,-0.42518500460555525,-3.4933219706765173,-2.831671741900557,-0.6312563464877687,-0.4049938637919695,-1.3344222807005608,-1.0500790734216296,-1.0996629928145978,-0.03572738580847215,0.000689,0.001,0.172092
16,0.9232576482236654,-3.654410963014735,-2.0189991214903382,-0.8702426059337938,-0.4352523089716761,-3.5884226194672237,-2.903781591532491,-0.6537063282353894,-0.4199249497723887,-1.375053516355635,-1.0869012487262761,-1.1295318823944818,-0.03675863470014992,0.000675,0.001,0.170376
17,0.9269730286602151,-3.7248646447272065,-2.058540945269994,-0.8907202531919454,-0.4427093094875685,-3.6585552779235107,-2.958310268683474,-0.6730097438830742,-0.43249794397390307,-1.4110909213856893,-1.1146781614154524,-1.151389704032464,-0.03657136060555863,0.000662,0.001,0.168678
18,0.9235231364181891,-3.799736508179563,-2.101995882458277,-0.9124149768711417,-0.45077117270139117,-3.735099439789308,-3.0137987254333725,-0.692281059112735,-0.4449042218738167,-1.4478968995359824,-1.1362511403769355,-1.1748093790696568,-0.037318254842524524,0.000649,0.001,0.166996
19,0.917724526508723,-3.891925479702111,-2.1541271905936004,-0.9379455936023342,-0.4612737267499485,-3.8288163113222624,-3.0869889785064917,-0.7148288894097227,-0.4599031527468639,-1.493826400017909,-1.1642748538109375,-1.2033656085204991,-0.03788409671712161,0.000636,0.001,0.165332
20,0.9224067970652048,-3.9655172283126503,-2.196094206228947,-0.9601497340351103,-0.46926644085635505,-3.905877921128104,-3.1449830120814988,-0.735354808169188,-0.4731031558740609,-1.5395780850914198,-1.2000515484573089,-1.2315891030376591,-0.03747556266402806,0.000624,0.001,0.163683
21,0.9228786105598806,-4.029998124427463,-2.2320973668488393,-0.979941189543069,-0.4760203570900296,-3.972953431200562,-3.1950132572257695,-0.7525483909599459,-0.48547888675643347,-1.5753721991255294,-1.2326516288624467,-1.2521723370013804,-0.037415193448778465,0.000613,0.001,0.162052
22,0.9276715354113336,-4.078242017060345,-2.258754922378995,-0.9955594144387859,-0.48090052970484004,-4.023523156439595,-3.232462253539641,-0.7682656670911693,-0.49518610306923505,-1.600801239362111,-1.2557238777306698,-1.2666969556543322,-0.0378614643889194,0.000602,0.001,0.160436
23,0.9230081931285613,-4.136550639101479,-2.2930862817498756,-1.014562886219492,-0.48741730827369195,-4.086066706628919,-3.279587095151689,-0.7851073208502518,-0.506666834781335,-1.6260016344274533,-1.2799178711526251,-1.2844524056831637,-0.03752996057287004,0.000591,0.001,0.158837
24,0.9214808652246256,-4.201913490412576,-2.3320198356394872,-1.0339929037012952,-0.49595147099215126,-4.153978732583427,-3.334564701534556,-0.801237486909194,-0.5188888672329445,-1.6555800520829054,-1.3068618904281937,-1.3038823979383516,-0.037817716372316616,0.000581,0.001,0.157253
25,0.9189917778676372,-4.259365112637147,-2.3655995209549667,-1.0527667972205967,-0.5018111866939192,-4.21494425221079,-3.3778784612360733,-0.8191325618721023,-0.5291504271074292,-1.6885971974986052,-1.3364032915752677,-1.3234701547189234,-0.037817008044129505,0.000571,0.001,0.155686
26,0.9243881997988602,-4.299700952142108,-2.3876410797864587,-1.0663669088851195,-0.5052278571986237,-4.256388768950274,-3.4067045795973705,-0.8328765763517516,-0.5382864579165493,-1.7185864611691215,-1.3566098347291349,-1.3373157917800635,-0.03799356603645154,0.000561,0.001,0.154133
27,0.9220694934433868,-4.347069929874953,-2.415312940486304,-1.0822607549657413,-0.5100651783445671,-4.306963540486101,-3.443635217069305,-0.8484111391804016,-0.5483448919077749,-1.7430037141701513,-1.3802081103828048,-1.3510147269401445,-0.038097522683795126,0.000552,0.001,0.152597
28,0.9258181206359889,-4.384231964205453,-2.4362442587130277,-1.0956160573801337,-0.5133963225841369,-4.347543753197197,-3.472130423415685,-0.8614923495142265,-0.5568066782694342,-1.761989129827398,-1.4005075526067625,-1.360879172143278,-0.03855442145610968,0.000543,0.001,0.151076
